CASRN	Compound	Hf
108-11-2	4-Methyl-2-Pentanol	-342430
1795-16-0	n-Decylcyclohexane	-336850
5634-30-0	n-Dodecylcyclopentane	-333170
629-59-4	n-Tetradecane	-332050
3452-07-1	1-Eicosene	-330240
75-85-4	2-Methyl-2-Butanol	-329710
75-84-3	2,2-Dimethy-1-Propanol	-319080
2883-02-5	n-Nonylcyclohexane	-316230
108-05-4	Vinyl Acetate	-315730
598-75-4	3-Methyl-2-Butanol	-314220
6032-29-7	2-Pentanol	-313800
6785-23-5	n-Undecylcyclopentane	-312550
75-65-0	tert-Butanol	-312410
629-50-5	n-Tridecane	-311430
18435-45-5	1-Nonadecene	-310040
137-32-6	2-Methyl-1-Butanol	-302090
71-41-0	1-Pentanol	-298740
7446-09-5	Sulfur Dioxide	-296850
1795-15-9	n-Octylcyclohexane	-295600
1634-04-4	Methyl-tert-Butyl Ether	-292880
78-92-2	sec-Butanol	-292870
1795-21-7	n-Decylcyclopentane	-291960
112-40-3	n-Dodecane	-290790
112-88-9	1-Octadecene	-289030
75-69-4	Trichlorofluoromethane	-288700
108-10-1	Methyl Isobutyl Ketone	-288490
1071-81-4	2,2,5,5-Tetramethylhexane	-285900
75-43-4	Dichlorofluoromethane	-283250
78-83-1	Isobutanol	-283210
591-78-6	Methyl-n-Butyl Ketone	-279830
5617-41-4	n-Heptylcyclohexane	-275020
71-36-3	n-Butanol	-274670
7664-39-3	Hydrogen Fluoride	-272600
67-63-0	Isopropanol	-272440
92-51-3	Bicyclohexyl	-272010
2882-98-6	n-Nonylcyclopentane	-271330
1120-21-4	n-Undecane	-270160
6765-39-5	1-Heptadecene	-268400
1072-16-8	2,7-Dimethyloctane	-263510
353-36-6	Ethyl Fluoride	-263180
1459-09-2	n-Hexadecylbenzene	-261910
7154-80-5	3,3,5-Trimethylheptane	-259870
107-87-9	Methyl-n-Propyl Ketone	-259190
96-22-0	Diethyl Ketone	-258390
13475-81-5	2,2,3,3-Tetramethylhexane	-257990
20278-87-9	3,3,4-Trimethylheptane	-257740
871-83-0	2-Methylnonane	-256520
71-23-8	n-Propanol	-256420
15869-85-9	5-Methylnonane	-254720
17301-94-9	4-Methylnonane	-254720
4292-75-5	n-Hexylcyclohexane	-254390
5911-04-6	3-Methylnonane	-254390
3522-94-9	2,2,5-Trimethylhexane	-253300
60-29-7	Diethyl Ether	-252120
1795-20-6	n-Octylcyclopentane	-250700
124-18-5	n-Decane	-249530
629-73-2	1-Hexadecene	-247820
1071-26-7	2,2-Dimethylheptane	-246100
57-13-6	Urea	-245620
16747-26-5	2,2,4-Trimethylhexane	-243170
1072-05-5	2,6-Dimethylheptane	-242800
1069-53-0	2,3,5-Trimethylhexane	-242550
1070-87-7	2,2,4,4-Tetramethylpentane	-242260
7732-18-5	Water	-241820
16747-25-4	2,2,3-Trimethylhexane	-241420
2131-18-2	n-Pentadecylbenzene	-241210
16747-30-1	2,4,4-Trimethylhexane	-239960
16747-28-7	2,3,3-Trimethylhexane	-239280
13475-79-1	2,4-Dimethyl-3-Isopropylpentane	-238860
78-93-3	Methyl Ethyl Ketone	-238380
593-53-3	Methyl Fluoride	-237640
7154-79-2	2,2,3,3-Tetramethylpentane	-237110
16747-38-9	2,3,3,4-Tetramethylpentane	-236320
3221-61-2	2-Methyloctane	-235850
16747-31-2	3,3,4-Trimethylhexane	-235390
2216-34-4	4-Methyloctane	-235210
1186-53-4	2,2,3,4-Tetramethylpentane	-234970
64-17-5	Ethanol	-234440
4292-92-6	n-pentylcyclohexane	-233800
2216-33-3	3-Methyloctane	-233700
1067-20-5	3,3-Diethylpentane	-232840
15869-80-4	3-Ethylheptane	-231460
16747-32-3	2,2-Dimethyl-3-ethylpentane	-231290
5617-42-5	n-Heptylcyclopentane	-230120
111-84-2	n-Nonane	-228860
1068-87-7	2,4-Dimethyl-3-ethylpentane	-227940
13360-61-7	1-Pentadecene	-227230
594-82-1	2,2,3,3-TetraMethylButane	-225730
590-73-8	2,2-Dimethylhexane	-224600
540-84-1	2,2,4-Trimethylpentane	-224010
592-13-2	2,5-Dimethylhexane (diisobutyl)	-222510
1459-10-5	n-Tetradecylbenzene	-220400
563-16-6	3,3-Dimethylhexane	-219990
564-02-3	2,2,3-Trimethylpentane	-219950
589-43-5	2,4-Dimethylhexane	-219240
560-21-4	2,3,3-Trimethylpentane	-218450
565-75-3	2,3,4-Trimethylpentane	-217320
67-64-1	Acetone	-217150
540-67-0	Methyl Ethyl Ether	-216460
592-27-8	2-Methylheptane	-215350
1067-08-9	3-Methyl-3-Ethylpentane	-214850
584-94-1	2,3-Dimethylhexane	-213800
1678-93-9	n-Butylcyclohexane	-213170
609-26-7	2-Methyl-3-Ethylpentane	-212800
583-48-2	3,4-Dimethylhexane	-212670
589-81-1	3-Methylheptane	-212510
589-53-7	4-Methylheptane	-211960
619-99-8	3-Ethylhexane	-210710
141-43-5	Monoethanolamine	-210180
4457-00-5	n-Hexylcyclopentane	-209490
67-68-5	Dimethyl Sulfoxide	-209160
111-65-9	n-Octane	-208820
1120-36-1	1-Tetradecene	-206520
123-72-8	n-Butyraldehyde	-206070
590-35-2	2,2-Dimethylpentane	-205810
464-06-2	2,2,3-Trimethylbutane (Triptane)	-204430
108-08-7	2,4-Dimethylpentane	-201670
67-56-1	Methanol	-200660
562-49-2	3,3-Dimethylpentane	-199790
123-02-4	n-Tridecylbenzene	-199700
1310-73-2	Sodium Hydroxide	-197770
872-50-4	N-Methyl-2-Pyrrolidone	-195390
40626-78-6	2-Methylhexane	-194720
565-59-3	2,3-Dimethylpentane	-194100
1678-92-8	n-Propylcyclohexane	-193300
55255-57-7	1-n-Decyl-[1,2,3,4-Tetrahydronaphthalene]	-192630
68-12-2	N,N-Dimethylformamide	-191690
589-34-4	3-Methylhexane	-191330
617-78-7	3-Ethylpentane	-189330
3741-00-2	n-Pentylcyclopentane	-188910
142-82-5	n-Heptane	-187650
123-38-6	n-Propionaldehyde	-186000
2437-56-1	1-Tridecene	-185980
75-83-2	2,2-Dimethylbutane (neohexane)	-184680
2207-04-7	trans-1,4-Dimethylcyclohexane	-184600
109-99-9	Tetrahydrofuran	-184190
115-10-6	Dimethy Ether	-184060
590-66-9	1,1-Dimethylcyclohexane	-181000
583-57-3	trans-1,2-Dimethylcyclohexane	-180000
123-01-3	n-Dodecylbenzene	-179000
79-29-8	2,3-Dimethylbutane	-176800
624-29-3	cis-1,4-Dimethylcyclohexane	-176650
2207-03-6	trans-1,3-Dimethylcyclohexane	-176560
107-83-5	2-Methylpentane	-174690
33425-49-9	1-n-Nonyl-[1,2,3,4-Tetrahydronaphthalene]	-173890
