-1	13966-86-4	CdCl	147.865	[Cd+].[Cl-]	InChI=1S/Cd.ClH/h;1H/q+1;/p-1	ZBHADFXDTSTADC-UHFFFAOYSA-M	Cadmium chloride (CdCl) (6CI,7CI,8CI,9CI)	
24580	449146-65-0	MnO4S	151.001	O=S(=O)([O-])[O-].[Mn+2]	InChI=1S/Mn.H2O4S/c;1-5(2,3)4/h;(H2,1,2,3,4)/q+2;/p-2	SQQMAOCOWKFBNP-UHFFFAOYSA-L	manganese(2+);sulfate	Manganese(1+), [sulfato(2-)-κO]-	Manganese sulphate	MANGANESE SULFATE	Sulfuric acid, manganese salt	Sorba-spray Mn	Sorba-Spray Manganese	MnSO4	Manganese sulfate anhydrous	UNII-IGA15S9H40	CCRIS 6916	HSDB 2187	NCI C61143	EINECS 232-089-9	Manganese(II) sulfate (1:1)	EINECS 233-342-6	MnO4S	manganese(II) sulphate	Winkler's solution #1	Manganous sulfate,feeded	manganese(2+) sulphate	Sulfuric acid, manganese (II) salt (1:1)	Sulfuric acid, manganese(2++) salt (1:1)	manganese(2+) ion sulfate	Manganous sulphate,anhydrous	AC1L2NJ8	IGA15S9H40	DTXSID9044160	Manganous(II)sulfate monohydrate	CHEBI:86360	CTK3J9629	Manganese (II )sulfate anhydrous	10034-96-5 (monohydrate)	10101-68-5 (tetrahydrate)	SQQMAOCOWKFBNP-UHFFFAOYSA-L	LS-319	Manganese Sulfate Mono ACS USP FCC	15244-36-7 (unspecified hydrate)	AKOS015904462	RP21428	AN-18260	AN-19427	IN003646	IN005898	IN005947	K370	LS-89227	LS-89228	SC-46804	SC-65093	Sulfuric acid manganese(2+) salt (1:1)	10124-55-7 (unspecified manganese salt)	FT-0628155	MANGANOUS SULFATE, MnSO4<195>4H2O	sulfuric acid manganese salt (1:1) monohydrate	13444-72-9 (manganese(+3)[3:2] salt)	J-521672	Sulfuric acid, manganese (II) salt (1:1) (8CI)	I14-16486	sulfuric acid, manganese(2+) salt (1:1), monohydra te	Sulfuric acid, manganese(2+) salt (1:1), monohydrate	MANGANESE(II) SULFATE TETRAHYDRATE 99% (METALS BASIS)	SULFURIC ACID  MANGANESE(2+) SALT  HYDRATE (1:1:4)	MANGANESE SULFATE MONOHYDRATE(SEE ALSO MANGANESE SULFATE (CAS 7785-87-7))
24947	10108-64-2	CdCl2	183.318	[Cd+2].[Cl-].[Cl-]	InChI=1S/Cd.2ClH/h;2*1H/q+2;;/p-2	YKYOUMDCQGMQQO-UHFFFAOYSA-L	dichlorocadmium	Cadmium chloride (CdCl2)	Cadmium chloride	Cadmium dichloride	Dichlorocadmium	NSC 51148	cadmium chloride	Caddy	VI-Cad	Kadmiumchlorid	CdCl2	Caswell No. 135	CCRIS 114	HSDB 278	Cadmium(II) chloride	Kadmiumchlorid [German]	NSC51148	AI3-09096	EINECS 233-296-7	EPA Pesticide Chemical Code 012902	Cadmium chloride [Cadmium and cadmium compounds]	cadmium(2+) chloride	[CdCl2]	AC1L2NSA	AC1Q3FL1	WLN: CD G2	CADMIUM CHLORIDE, ACS	CHEBI:35456	Cadmium chloride 0.1 M solution	Cadmium chloride, technical grade	CCG-35380	LS-346	NSC-51148	AKOS015902786	BP-10826	Cadmium chloride, anhydrous, 99% (ACS)	IN000640	NCI60_004237	Cadmium chloride (CdCl2) (7CI,8CI,9CI)	Cadmium chloride, 99.99% trace metals basis	BRD-K26756156-001-01-2	I14-17629	I14-19772	Cadmium chloride,  (99.999%-Cd) (O2 < 50ppm) PURATREM	Cadmium chloride, anhydrous, beads, -10 mesh, 99.999% trace metals basis	Cadmium atomic spectroscopy standard concentrate 1.00 g Cd, 1.00 g/L, for 1L standard solution, analytical standard	Cadmium atomic spectroscopy standard concentrate 10.00 g Cd, 10.00 g/L, for 1L standard solution
61511	10377-66-9	MnN2O6	178.946	O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Mn+2]	InChI=1S/Mn.2NO3/c;2*2-1(3)4/q+2;2*-1	MIVBAHRSNUNMPP-UHFFFAOYSA-N	manganese(2+);dinitrate	Nitric acid, manganese(2+) salt (2:1)	Manganese nitrate (6CI)	Nitric acid, manganese(2+) salt (8CI,9CI)	Manganese dinitrate	Manganese nitrate (Mn(NO3)2)	Manganese(2+) nitrate	Manganese(II) nitrate	Manganous dinitrate	Manganous nitrate	Manganese nitrate	Manganese (II) nitrate	Nitric acid, manganese(2+) salt	Manganese (II) nitrate, anhydrous	EINECS 233-828-8	UN2724	manganese(2+) dinitrate	Manganesenitrate	UNII-I389H78514	Nitric acid, manganese(2++) salt	AC1L1VDW	Manganese Nitrate Reagent	ACMC-1C6G7	Manganese(II) nitrate solution	CTK0H8978	KS-00000VSK	MIVBAHRSNUNMPP-UHFFFAOYSA-N	MolPort-003-926-148	MANGANESE(2+) ION DINITRATE	MFCD00011112	AKOS015903754	AN-20405	IN003862	IN006081	IN014800	LS-96729	Manganese nitrate [UN2724] [Oxidizer]	S248	Manganese nitrate [UN2724]  [Oxidizer]	RT-003373	I389H78514	NITRIC ACID,MANGANESE(2+) SALT (2:1)	MANGANESE NITRATE SOLUTION, 50%, REAGENT	Manganese(II) nitrate, 50% w/w aqueous solution	I14-18420	I14-41301	Manganese(II) nitrate solution, 62 wt. % in water  50g	30488-22-3	13224-08-3
182616	20694-39-7	H8MnN2O10	251.006	O.O.O.O.O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Mn+2]	InChI=1S/Mn.2NO3.4H2O/c;2*2-1(3)4;;;;/h;;;4*1H2/q+2;2*-1;;;;	ALIMWUQMDCBYFM-UHFFFAOYSA-N	manganese(2+);dinitrate;tetrahydrate	Nitric acid, manganese(2+) salt, tetrahydrate (8CI,9CI)	Manganese dinitrate tetrahydrate	Manganese nitrate (Mn(NO3)2) tetrahydrate	Manganese nitrate tetrahydrate	Manganese(II)nitrate tetrahydrate	Manganous nitrate tetrahydrate	Manganese(II) nitrate tetrahydrate	manganese(2+) ion tetrahydrate dinitrate	UNII-03M0G68R5F	ACMC-20akkk	AC1L4BBK	Manganese(+2) Cation Dinitrate Tetrahydrate	KSC206G2F	Mn.2NO3.4H2O	CTK1A6322	DTXSID40174754	ALIMWUQMDCBYFM-UHFFFAOYSA-N	03M0G68R5F	KS-00000UV7	8836AF	manganese(2+) dinitrate tetrahydrate	MFCD00149789	AKOS030228345	manganese(II) tetrahydrate dinitronate	MANGANESE(II)NITRATETETRAHYDRATE	IN002848	IN013755	Manganese(II) nitrate tetrahydrate, 99%	RT-001534	Manganese(II) nitrate tetrahydrate, 98%  250g	Manganese(II) nitrate tetrahydrate, purum p.a., >=97.0% (KT)
419951	15238-00-3	CoI2	312.741	[Co+2].[I-].[I-]	InChI=1S/Co.2HI/h;2*1H/q+2;;/p-2	AVWLPUQJODERGA-UHFFFAOYSA-L	diiodocobalt	Cobalt iodide (CoI2)	Cobalt diiodide	Cobalt iodide	Cobalt(II) iodide	Cobaltous iodide	CoI2	MFCD00016030	Diiodocobalt	Cobalt(ii)iodide	ACMC-20ale6	AC1L9IQ5	Cobalt(II) iodide, anhydrous	Cobalt(II) iodide, ultra dry	CTK1F8902	DTXSID00329389	Cobalt(II) iodide, 95%, powder	8486AF	IN016386	TC-167397	Cobalt(II) iodide, anhydrous, powder, 99.999%	54427-16-6
516903	7757-79-1	KNO3	101.102	O=[N+]([O-])[O-].[K+]	InChI=1S/K.NO3/c;2-1(3)4/q+1;-1	FGIUAXJPYTZDNR-UHFFFAOYSA-N	potassium;nitrate	Nitric acid potassium salt (1:1)	Nitric acid potassium salt (8CI,9CI)	Potassium nitrate (1:1)	Collo-Bo	E 252	Krista K	Krista K Plus	Niter	Nitre	Nitric acid,potassium salt	Potassium nitrate	Saltpeter	MolPort-027-838-020	96193-83-8
3007855	7646-85-7	Cl2Zn	136.296	[Cl-].[Cl-].[Zn+2]	InChI=1S/2ClH.Zn/h2*1H;/q;;+2/p-2	JIAARYAFYJHUJI-UHFFFAOYSA-L	zinc;dichloride	Zinc chloride (ZnCl2)	Zinc chloride (6CI,7CI,8CI)	Butter of zinc	Knittex ZH	NSC 529648	Zinc Butter	Zinc dichloride	Zinc(II) chloride	Zinkchlorid	Chlorure de zinc	ZnCl2	zincchloride	Sinkkikloridi	Sinkklorio	Zinkklorid	Cloruro de cinc	Cloreto de zinco	CHEBI:49976	Chlorure de zinc anhydre	Dichlorek cynku (Chlorek cynku)	zinc-chloride	Galvanizers Flux	zinc(II)chloride	zinc(II)-chloride	Cl2Zn	zinc(2+) chloride	zinc (II) chloride	FLUX LOTOP	Zinc Chloride ACS USP	AC1MHN2P	ACMC-1BIC4	ZINC CHLORIDE, ACS	Epitope ID:156810	Zinc Chloride Solution 50%	KSC377K7T	zinc, ion (zn2+) dichloride	ZINC CHLORIDE, U.S.P.	CHEMBL1200679	CTK2H7579	KS-00000UXI	JIAARYAFYJHUJI-UHFFFAOYSA-L	MolPort-003-925-261	ANW-41104	AKOS024438088	86Q357L16B	RP20302	RTR-024482	TRA-0188177	IN002098	IN018739	R999	SC-54095	AB1002914	TR-024482	Zinc chloride, ACS, 97.0% min.  250g	Zinc Choride 0.5M solution in Tetrahydrofuran	53917-99-0	1162648-93-2
3014615	7785-87-7	H2MnO4S	153.017	O=S(=O)(O)O.[Mn]	InChI=1S/Mn.H2O4S/c;1-5(2,3)4/h;(H2,1,2,3,4)	KNLQKHUBPCXPQD-UHFFFAOYSA-N	manganese;sulfuric acid	Sulfuric acid, manganese(2+) salt (1:1)	Man-Gro	Manganese monosulfate	Manganese sulfate	Manganese sulfate (1:1)	Manganese sulfate (MnSO4)	Manganesesulphate	Manganese(2+) sulfate	Manganese(2+) sulfate (1:1)	Manganese(2+) sulfate (MnSO4)	Manganese(II) sulfate	Manganous sulfate	Sorba-Spray Mn	Sulfuric acid manganese salt (1:1)	manganese; sulfuric acid	AC1MHZW2	7487-89-0	32916-06-6	36474-32-5	139939-61-0	10124-55-7
5360315	7786-30-3	Cl2Mg	95.211	[Cl-].[Cl-].[Mg+2]	InChI=1S/2ClH.Mg/h2*1H;/q;;+2/p-2	TWRXJAOTZQYOKJ-UHFFFAOYSA-L	magnesium;dichloride	Magnesium chloride (MgCl2)	Magnesium chloride (6CI,7CI,8CI)	Aerotex Accelerator MX	C-TEK	Catalyst G	Ekimac	FIX-Mg	Freecat MX	HMC 23D	Magnesium dichloride	Magnesium(II) chloride	Magnogene	NSC 529832	TMT 2	TMT 4	White Nigari	White Nigari NS	MAGNESIUM CHLORIDE	Magnesium chloride anhydrous	MgCl2	MAGNESIUM CHLORIDE, ANHYDROUS	CHEBI:6636	Cl2Mg	Chloromagnesite	Magnesiumchlorid	magnesium(II)chloride	AC1NSEHA	magnesium(II) chloride	magnesium (II) chloride	[MgCl2]	AC1L2NJB	magnesium(2+) dichloride	ACMC-1BE2K	Anhydrous magnesium chloride	Magnesium chloride,anhydrous	Magnesium Chloride ACS USP	magnesium(2+) ion dichloride	CHEMBL2219642	DTXSID5034690	CTK0H4732	KS-00000GIG	MolPort-006-119-075	TWRXJAOTZQYOKJ-UHFFFAOYSA-L	ANW-56406	AKOS015833135	DB09407	RP18592	RTR-037808	Magnesium chloride solution 1M in water	TRA-0177849	Magnesium Chloride, Powder, -325 Mesh	IN002095	K371	SC-18226	Magnesium chloride, anhydrous, 99%  1kg	AB1003546	KB-254614	TR-037808	C07755	SR-01000944482	SR-01000944482-1	12285-34-6	77069-22-8	1122625-86-8
5360350	10361-37-2	BaCl2	208.234	[Ba+2].[Cl-].[Cl-]	InChI=1S/Ba.2ClH/h;2*1H/q+2;;/p-2	WDIHJSXYQDMJHN-UHFFFAOYSA-L	barium(2+);dichloride	Barium chloride (BaCl2)	Barium chloride (8CI)	Ba 0108E	Barium dichloride	NSC 146181	barium(2+) dichloride	CHEBI:63317	bariumchloride	Barium Chloride ACS	AC1NSEHY	Barium chloride,anhydrous	Barium Chloride Anhydrous	ACMC-1BUU6	barium(2+) ion dichloride	0VK51DA1T2	AC1L18N7	CHEMBL3184191	CTK0H7164	WDIHJSXYQDMJHN-UHFFFAOYSA-L	AKOS025293994	RL00173	RTR-000842	IN000755	IN006062	SC-79331	Barium Chloride, Anhydrous (Metals Basis)	TR-000842	Barium chloride, anhydrous, 99.995% trace metals basis  500mg
