CAS	Chemical	C1	C2	C3	C4	C5	Tmin	Tmax
108-87-2	Methylcyclohexane  	0.1791	-0.0002291	0	0	0	273.15	374.08
590-67-0	1-Methylcyclohexanol  	0.21558	-0.00022728	0	0	0	299.15	548.8
7443-70-1	cis-2-Methylcyclohexanol  	0.21839	-0.00025776	0	0	0	280.15	484.2
7443-52-9	trans-2-Methylcyclohexanol 	0.21828	-0.0002557	0	0	0	269.15	484.8
96-37-7	Methylcyclopentane  	0.1929	-0.0002492	0	0	0	130.73	344.95
693-89-0	1-Methylcyclopentene  	0.20023	-0.00025581	0	0	0	146.62	348.64
1120-62-3	3-Methylcyclopentene  	0.1994	-0.00026149	0	0	0	115	338.05
75-54-7	Methyldichlorosilane  	0.21956	-0.00032153	0	0	0	182.55	314.7
540-67-0	Methylethyl ether  	0.27304	-0.0004518	0	0	0	160	341.34
78-93-3	Methylethyl ketone  	0.2197	-0.0002505	0	0	0	186.48	352.79
624-89-5	Methylethyl sulfide  	0.22136	-0.00028938	0	0	0	167.23	339.8
107-31-3	Methyl formate  	0.3246	-0.000468	0	0	0	174.15	373.15
625-44-5	Methylisobutyl ether  	0.222	-0.00032217	0	0	0	150	390
108-10-1	Methylisobutyl ketone  	0.2301	-0.00028899	0	0	0	189.15	451.42
624-83-9	Methyl isocyanate  	0.2822	-0.00042037	0	0	0	256.15	312
598-53-8	Methylisopropyl ether  	0.24154	-0.0003774	0	0	0	127.93	370
563-80-4	Methylisopropyl ketone  	0.2332	-0.0003044	0	0	0	180.15	435.9
1551-21-9	Methylisopropyl sulfide  	0.20978	-0.00026468	0	0	0	171.64	357.91
74-93-1	Methyl mercaptan  	0.26119	-0.00038345	0	0	0	150.18	279.11
80-62-6	Methyl methacrylate  	0.2583	-0.000379	0	0	0	290.15	363.45
3004-93-1	2-Methyloctanoic acid  	0.20911	-0.00021852	0	0	0	208.2	555.2
107-83-5	2-Methylpentane  	0.19334	-0.00028038	0	0	0	119.55	389.25
628-80-8	Methyl pentyl ether  	0.21698	-0.00028998	0	0	0	176	432.3
75-28-5	2-Methylpropane  	0.20455	-0.00036589	0	0	0	113.54	400
75-65-0	2-Methyl-2-propanol 	0.21258	-0.00029864	0	0	0	298.97	404.96
115-11-7	2-Methyl propene  	0.2802	-0.000786	6.516E-07	0	0	132.81	395.2
554-12-1	Methyl propionate  	0.22534	-0.0002683	0	0	0	185.65	475
557-17-5	Methylpropyl ether  	0.24817	-0.0003774	0	0	0	133.97	373
3877-15-4	Methylpropyl sulfide 	0.21103	-0.00025985	0	0	0	160.17	368.69
992-94-9	Methylsilane  	0.2774	-0.00054608	0	0	0	116.34	216.25
98-83-9	α-Methyl styrene  	0.19657	-0.0002118	0	0	0	249.95	438.65
1634-04-4	Methyl tert-butyl ether 	0.2253	-0.00037273	1.1728E-07	0	0	164.55	328.18
107-25-5	Methyl vinyl ether  	0.28035	-0.0004646	0	0	0	151.15	341.1
91-20-3	Naphthalene  	0.17096	-0.00010059	0	0	0	353.43	646.97
7440-01-9	Neon  	0.2971	-0.017356	0.0005911	-7.421E-06	0	25	44
79-24-3	Nitroethane  	0.247	-0.0002814	0	0	0	183.63	387.22
7727-37-9	Nitrogen  	0.2654	-0.001677	0	0	0	63.15	124
75-52-5	Nitromethane  	0.3276	-0.000405	0	0	0	244.6	374.35
10102-43-9	Nitric oxide  	0.1878	0.0010293	-9.43E-06	0	0	110	176.4
629-92-5	Nonadecane  	0.21229	-0.00022	0	0	0	305.04	603.05
124-19-6	Nonanal  	0.21523	-0.0002799	9.572E-08	0	0	255.15	593.15
111-84-2	Nonane  	0.209	-0.000264	0	0	0	219.66	423.97
112-05-0	Nonanoic acid  	0.204	-0.0002	0	0	0	285.55	528.75
143-08-8	1-Nonanol  	0.2292	-0.00023	0	0	0	268.15	578.65
628-99-9	2-Nonanol  	0.20829	-0.00022922	0	0	0	238.15	471.7
124-11-8	1-Nonene  	0.20468	-0.00025738	0	0	0	191.91	420.02
1455-21-6	Nonyl mercaptan  	0.20244	-0.00021343	0	0	0	253.05	492.95
3452-09-3	1-Nonyne  	0.20954	-0.00024588	0	0	0	223.15	423.85
593-45-3	Octadecane  	0.2137	-0.0002252	0	0	0	301.31	589.86
124-13-0	Octanal  	0.20143	-0.00021102	0	0	0	246	573.15
111-65-9	Octane  	0.2156	-0.00029483	0	0	0	216.38	398.83
124-07-2	Octanoic acid  	0.203	-0.0002	0	0	0	289.65	512.85
111-87-5	1-Octanol  	0.2316	-0.0002407	0	0	0	257.65	570.15
123-96-6	2-Octanol  	0.20955	-0.00023733	0	0	0	241.55	452.9
111-13-7	2-Octanone  	0.2132	-0.0002494	0	0	0	252.85	499
106-68-3	3-Octanone  	0.21732	-0.00024969	0	0	0	255.55	440.65
111-66-0	1-Octene  	0.20467	-0.0002675	0	0	0	171.45	394.41
111-88-6	Octyl mercaptan  	0.2012	-0.0002142	0	0	0	223.95	472.19
629-05-0	1-Octyne  	0.2095	-0.00025334	0	0	0	193.55	399.35
144-62-7	Oxalic acid  	0.3074	-0.00028101	0	0	0	462.65	643.2
7782-44-7	Oxygen  	0.2741	-0.00138	0	0	0	60	150
10028-15-6	Ozone  	0.17483	0.00075288	-2.5228E-06	0	0	77.35	161.85
629-62-9	Pentadecane  	0.20649	-0.00021911	0	0	0	283.07	543.84
110-62-3	Pentanal  	0.22697	-0.00033227	1.177E-07	0	0	182	513.15
109-66-0	Pentane  	0.2537	-0.000576	3.44E-07	0	0	143.42	445
109-52-4	Pentanoic acid  	0.1848	-0.0001434	0	0	0	239.15	458.65
71-41-0	1-Pentanol  	0.2006	-0.0001603	0	0	0	273.15	353.15
6032-29-7	2-Pentanol  	0.21875	-0.00027849	0	0	0	200	392.2
107-87-9	2-Pentanone  	0.2161	-0.00024866	0	0	0	196.29	375.46
96-22-0	3-Pentanone  	0.21569	-0.00024081	0	0	0	234.18	375.14
109-67-1	1-Pentene  	0.21361	-0.00030777	0	0	0	108.02	303.22
2084-19-7	2-Pentyl mercaptan  	0.20597	-0.00024518	0	0	0	160.75	385.15
110-66-7	Pentyl mercaptan  	0.2086	-0.00024536	0	0	0	197.45	399.79
627-19-0	1-Pentyne  	0.22102	-0.000322	0	0	0	167.45	313.33
627-21-4	2-Pentyne  	0.21282	-0.0002856	0	0	0	163.83	329.27
85-01-8	Phenanthrene  	0.13753	-2.5247E-05	0	0	0	372.38	610.03
108-95-2	Phenol  	0.18831	-0.0001	0	0	0	314.06	454.99
103-71-9	Phenyl isocyanate  	0.16326	-0.00017777	0	0	0	243.15	439.43
85-44-9	Phthalic anhydride  	0.22946	-0.00021345	0	0	0	404.15	557.65
463-49-0	Propadiene  	0.23081	-0.0004078	0	0	0	136.87	238.65
74-98-6	Propane  	0.26755	-0.00066457	2.774E-07	0	0	85.47	350
71-23-8	1-Propanol  	0.2203	-0.0002155	0	0	0	200	370.35
67-63-0	2-Propanol  	0.20161	-0.00021529	0	0	0	185.26	425
13511-13-2	Propenylcyclohexene 	0.1831	-0.00020275	0	0	0	199	431.65
123-38-6	Propionaldehyde  	0.2498	-0.00030075	0	0	0	170	453.15
79-09-4	Propionic acid  	0.1954	-0.000164	0	0	0	252.45	543.15
107-12-0	Propionitrile  	0.26626	-0.0003307	0	0	0	180.26	370.5
109-60-4	Propyl acetate  	0.2332	-0.0003096	0	0	0	178.15	434.82
107-10-8	Propyl amine  	0.2632	-0.0004278	4.12E-07	0	0	188.36	333.15
103-65-1	Propylbenzene  	0.18707	-0.00019846	0	0	0	173.55	583.15
115-07-1	Propylene  	0.24719	-0.00048824	0	0	0	87.89	340.49
110-74-7	Propyl formate  	0.2247	-0.000264	0	0	0	180.25	483.15
75-33-2	2-Propyl mercaptan  	0.21706	-0.00028952	0	0	0	142.61	325.71
107-03-9	Propyl mercaptan  	0.2202	-0.00028535	0	0	0	159.95	340.87
57-55-6	1,2-Propylene glycol  	0.2152	-4.97E-05	0	0	0	213.15	460.75
106-51-4	Quinone  	0.26524	-0.00028676	0	0	0	388.85	545
100-42-5	Styrene  	0.20215	-0.0002201	0	0	0	242.54	418.31
110-15-6	Succinic acid  	0.28215	-0.0002585	0	0	0	460.65	642
7446-09-5	Sulfur dioxide  	0.38218	-0.0006254	0	0	0	197.67	400
2551-62-4	Sulfur hexafluoride  	0.2544	-0.0006595	0	0	0	223.15	318.69
7446-11-9	Sulfur trioxide  	0.92882	-0.0030803	2.66E-06	0	0	289.95	481.47
84-15-1	o-Terphenyl  	0.16853	-0.00010817	0	0	0	329.35	723.15
629-59-4	Tetradecane  	0.20293	-0.00021798	0	0	0	279.01	526.73
109-99-9	Tetrahydrofuran  	0.19428	-0.000249	0	0	0	164.65	339.12
119-64-2	1,2,3,4-Tetrahydronaphthalene 	0.14563	-5.36E-05	0	0	0	237.38	480.77
110-01-0	Tetrahydrothiophene  	0.20414	-0.00021217	0	0	0	176.98	394.27
594-82-1	2,2,3,3-Tetramethylbutane  	0.17835	-0.00023704	0	0	0	373.96	426
110-02-1	Thiophene  	0.20571	-0.00020028	0	0	0	234.94	357.31
108-88-3	Toluene  	0.20463	-0.00024252	0	0	0	178.18	474.85
79-00-5	1,1,2-Trichloroethane  	0.20731	-0.00024997	0	0	0	236.5	482
629-50-5	Tridecane  	0.20447	-0.00022612	0	0	0	267.76	508.62
121-44-8	Triethyl amine  	0.1918	-0.0002453	0	0	0	158.45	483.15
75-50-3	Trimethyl amine  	0.23813	-0.00038397	0	0	0	156.08	276.02
526-73-8	1,2,3-Trimethylbenzene  	0.18854	-0.0001963	0	0	0	247.79	449.27
95-63-6	1,2,4-Trimethylbenzene  	0.19216	-0.0002105	0	0	0	229.33	442.53
540-84-1	2,2,4-Trimethylpentane  	0.1659	-0.00022686	0	0	0	165.78	372.39
560-21-4	2,3,3-Trimethylpentane  	0.16815	-0.00020535	0	0	0	172.22	387.91
