CASRN	Chemical	Tc	Pc	omega
5634-30-0	N-Dodecylcyclopentane	749.872222222222	1296214.37111558	0.7193
6006-34-4	N-Tridecylcyclopentane	761.372222222222	1206582.5263044	0.7546
1795-22-8	N-Tetradecylcyclopentane	772.372222222222	1130740.19607955	0.7893
4669-01-6	N-pentadecylcyclopentane	780.372222222222	1027318.83668203	0.8333
6812-39-1	n-Hexadecylcyclopentane	790.65	972160.778336688	0.8607
110-82-7	Cyclohexane	553.538888888889	4074801.56026229	0.2144
108-87-2	Methylcyclohexane	572.188888888889	3471510.29711009	0.2333
1678-91-7	Ethylcyclohexane	609.261111111111	3033693.20899392	0.2426
590-66-9	1,1-Dimethylcyclohexane	590.927777777778	2964745.63606224	0.2376
2207-01-4	cis-1,2-Dimethylcyclohexane	605.927777777778	2964745.63606224	0.2363
6876-23-9	Trans-1,2-Dimethylcyclohexane	595.927777777778	2964745.63606224	0.2416
638-04-0	Cis-1,3-Dimethylcyclohexane	590.927777777778	2964745.63606224	0.2237
2207-03-6	Trans-1,3-Dimethylcyclohexane	598.15	2964745.63606224	0.1886
624-29-3	Cis-1,4-Dimethylcyclohexane	598.15	2964745.63606224	0.2338
2207-04-7	Trans-1,4-Dimethylcyclohexane	589.816666666667	2964745.63606224	0.2419
1678-92-8	N-Propylcyclohexane	639.261111111111	2806855.69404869	0.2577
696-29-7	Isopropylcyclohexane	639.816666666667	2837192.62613863	0.237
3073-66-3	1,1,3-Trimethylcyclohexane	612.038888888889	2695160.62589937	0.181
1678-93-9	n-Butylcyclohexane	667.038888888889	3150904.08297778	0.3618
1678-98-4	Isobutylcyclohexane	658.705555555556	3120567.15088784	0.3189
7058-01-7	Sec-Butylcyclohexane	668.705555555556	2675165.82974918	0.2643
3178-22-1	Tert-Butylcyclohexane	659.261111111111	2669650.02391465	0.252
1795-16-0	n-Decylcyclohexane	750.372222222222	1358267.1867541	0.5825
291-64-5	Cycloheptane	589.261111111111	3723168.93831072	0.3359
292-64-8	Cyclooctane	618.15	3447378.646584	0.4412
74-85-1	ethylene	282.361111111111	5031793.87255401	0.0856
115-07-1	Propene	364.761111111111	4612592.62912939	0.1477
106-98-9	1-Butene	419.594444444445	4019643.50191694	0.1874
590-18-1	cis-2-Butene	435.577777777778	4205801.94883248	0.2044
624-64-6	trans-2-Butene	428.627777777778	4102380.58943496	0.2138
115-11-7	2-Methylpropene	417.9	3998959.23003744	0.1898
109-67-1	1-Pentene	464.777777777778	4067906.80296912	0.245
627-20-3	cis-2-Pentene	475.927777777778	3654221.36537904	0.2403
646-04-8	trans-2-Pentene	475.372222222222	3654221.36537904	0.2372
563-46-2	2-Methyl-1-butene	465.372222222222	3447378.646584	0.2321
563-45-1	3-Methyl-1-butene	450.372222222222	3516326.21951568	0.2285
513-35-9	2-Methyl-2-butene	470.372222222222	3447378.646584	0.2837
