CAS	Chemical	Tc	Pc	Vc	omega
108-03-2	1-Nitropropane	606	3999997	0.000283	0.3533
143-08-8	1-Nonanol	671	2546000	0.000544	0.6177
111-65-9	Octane	568.8	2494622	0.000492	0.394
111-66-0	1-Octene	566.6	2624317	0.000464	0.386
95-48-7	2-Methylphenol	697.6	5005455	0.000282	0.443
112-88-9	1-Octadecene	739	1134840	0.001012	0.837
106-44-5	4-Methylphenol	704.6	5147310	0.000332	0.515
109-66-0	Pentane	469.7	3369056	0.000304	0.251
71-41-0	1-Pentanol	586	3850350	0.000326	0.58
107-87-9	2-Pentanone	561.19	3672000	0.000301	0.3396
108-95-2	Phenol	694.2	6130163	0.000229	0.44
75-44-5	Phosgene	455	5674200	0.00019	0.204
71-23-8	1-Propanol	536.7	5167575	0.0002185	0.624
79-09-4	Propionic acid	604	4333000	0.0002218	0.5184
107-03-9	1-Propanethiol	536.6	4529228	0.0002863	0.225
75-56-9	1,2-Propylene oxide	482.2	4924395	0.000186	0.269
110-86-1	Pyridine	620	5633670	0.000254	0.24
7697-37-2	Nitric acid	520	6890100	0.000133	0.7144
7647-01-0	Hydrogen chloride	324.6	8308650	0.000081	0.12
119-36-8	Salicylic acid methyl ester	709	4090000	0.000412	0.5789
75-15-0	Carbon disulfide	552	7903350	0.000202	0.115
100-42-5	Styrene	635.2	3870000	0.0003472	0.3007
67-68-5	Dimethyl sulfoxide	720	5704597		0.3319
631-36-7	Tetraethylsilane	603.7	2602026	0.000492	0.473
75-65-0	tert-Butanol	506.2	3971940	0.000275	0.618
629-59-4	Tetradecane	691.8	1572564	0.0008937	0.679
493-02-7	trans-Decahydronaphthalene	690	3141075	0.000485	0.2756
119-64-2	1,2,3,4-Tetrahydronaphthalene	719.2	3515978	0.0004081	0.3207
56-23-5	Tetrachloromethane	556.4	4559625	0.000276	0.194
109-99-9	Tetrahydrofuran	540.2	5187840	0.000224	0.217
108-88-3	Toluene	591.7	4113795	0.000316	0.257
121-44-8	Triethylamine	535	3039750	0.00039	0.329
79-00-5	1,1,2-Trichloroethane	602	4154325	0.000294	0.2454
127-18-4	Tetrachloroethylene	620	4458300	0.00029	0.242
71-55-6	1,1,1-Trichloroethane [R140a]	545	4301246	0.000268	0.216
79-01-6	Trichloroethylene	571	4914263	0.000256	0.213
98-08-8	1',1',1'-Trifluorotoluene	565	3390334	0.000356	0.2816
3522-94-9	2,2,5-Trimethylhexane	569.8	2330475	0.0005435	0.357
464-06-2	2,2,3-Trimethylbutane	531.1	2949571	0.000398	0.251
10025-78-2	Trichlorosilane	479	4054013	0.000268	0.1935
108-05-4	Vinyl acetate	519.13	4185000	0.000265	0.3767
7732-18-5	Water	647.3	22048321	0.000056	0.344
108-38-3	m-Xylene	617	3546375	0.000376	0.331
106-42-3	p-Xylene	616.2	3515978	0.000379	0.324
79-24-3	Nitroethane	595	4850002	0.000228	0.3156
74-89-5	Methylamine	430	7457520	0.00014	0.275
124-40-3	Dimethylamine	437.6	5309430	0.000187	0.288
75-33-2	2-Propanethiol	512	4346843	0.000252	0.213
96-41-3	Cyclopentanol	619.5	4900000	0.00028	0.4023
462-06-6	Fluorobenzene	560.1	4549493	0.000271	0.245
10026-04-7	Tetrachlorosilane	507	3749025	0.000326	0.264
75-79-6	Methyltrichlorosilane	517.75	3526000	0.0003397	0.2468
75-77-4	Trimethylchlorosilane	497.8	3201870	0.000366	0.2674
628-28-4	Methyl butyl ether	512.78	3371000	0.000329	0.311
79-34-5	1,1,2,2-Tetrachloroethane	650	5127045	0.000314	0.318
515-84-4	Trichloroacetic acid ethyl ester	640	3349805	0.000403	0.419
105-37-3	Propanoic acid ethyl ester	546.5	3363990	0.000345	0.395
123-92-2	Acetic acid 3-methylbutyl ester	586.1	2760000	0.000443	0.4722
590-01-2	Propanoic acid butyl ester	594.5	2614185	0.000449	0.4204
7664-41-7	Ammonia	405.6	11277470	0.0000725	0.25
75-01-4	Vinyl chloride	429.7	5603272	0.000186	0.122
110-71-4	1,2-Dimethoxyethane	542.7	3960000	0.000271	0.3074
376-77-2	Perfluorocyclopentane	423.6	2669914	0.000422	0.409
678-26-2	Perfluoropentane	420.59	2045000	0.00047	0.437
507-20-0	tert.Butyl chloride	507	3951675	0.000295	0.19
76-13-1	1,1,2-Trichloro-1,2,2-trifluoroethane [R113]	487.25	3411613	0.0003251	0.255
111-49-9	Hexamethylene imine	624	4269835	0.00031	0.3205
50-00-0	Formaldehyde	408	6586125	0.000101	0.2484
123-39-7	N-Methylformamide	725	7500076	0.00018	0.492
127-19-5	N,N-Dimethylacetamide	643	4499843	0.000285	0.377
107-13-1	Acrylonitrile	536	4559625	0.00021	0.35
107-02-8	Acrolein	506	5167575	0.00019	0.33
56-81-5	Glycerol	850	7500000	0.000255	0.5152
79-41-4	Methacrylic acid	643	4700467	0.00027	0.4678
108-24-7	Acetic anhydride	606	4000000	0.00029	0.4419
107-92-6	Butyric acid	624	3951675	0.000292	0.5913
74-98-6	Propane	369.95	4245518	0.000203	0.152
109-60-4	Acetic acid propyl ester	549.4	3333593	0.000345	0.392
57-10-3	Palmitic acid	804	1641465	0.000947	0.9297
109-73-9	Butylamine	524	4154325	0.000288	0.396
120-92-3	Cyclopentanone	626	4600000	0.000268	0.273
110-89-4	Piperidine	594	4762275	0.000289	0.2561
75-45-6	Chlorodifluoromethane [R22]	369.35	4975057	0.000165	0.215
75-71-8	Dichlorodifluoromethane [R12]	385.15	4123928	0.000217	0.176
115-25-3	Perfluorocyclobutane [R318]	388.37	2776305	0.0003248	0.3505
124-10-7	Tetradecanoic acid methyl ester	740	1428683	0.000891	0.7365
100-63-0	Phenylhydrazine	750	5197972	0.000322	0.5565
108-94-1	Cyclohexanone	665.5	3850350	0.000312	0.1837
108-93-0	Cyclohexanol	650	4260000	0.000327	0.3695
112-39-0	Hexadecanoic acid methyl ester	765	1276695	0.001002	0.8037
108-47-4	2,4-Dimethylpyridine	647	3951675	0.000372	0.3488
109-67-1	1-Pentene	464.7	3526110	0.0003	0.245
75-25-2	Tribromomethane [R20B3]	685	5643803	0.000288	0.1958
80-62-6	Methacrylic acid methyl ester	536	4255650	0.00032	0.5383
513-35-9	2-Methyl-2-butene	470	3445050	0.000296	0.285
563-46-2	2-Methyl-1-butene	465	3445050	0.000294	0.232
57-11-4	Octadecanoic acid	822	1429696	0.001057	0.9802
123-51-3	3-Methyl-1-butanol	579.5	3850350	0.000329	0.58
593-60-2	Vinyl bromide	474	4600155	0.000197	0.091
142-62-1	Hexanoic acid	663	3201870	0.000416	0.6701
124-07-2	Octanoic acid	694	2695245	0.000509	0.7792
79-04-9	Chloroacetyl chloride	581	5109820	0.000245	0.3582
110-80-5	2-Ethoxyethanol	569.65	4199921	0.000295	0.6745
78-81-9	2-Methylpropylamine	516	4255650	0.000284	0.3
111-85-3	1-Chlorooctane	646.3	2521979	0.000526	0.4392
526-75-0	2,3-Dimethylphenol	722.8	4863600	0.000387	0.5407
105-67-9	2,4-Dimethylphenol	707.6	4356975	0.000387	0.5136
576-26-1	2,6-Dimethylphenol	701	4255650	0.000387	0.4395
108-68-9	3,5-Dimethylphenol	715.6	3647700	0.000387	0.4976
126-98-7	Methacrylonitrile	554	3880747	0.000265	0.2903
57-55-6	1,2-Propanediol	676.4	5941000	0.000237	0.5928
110-02-1	Thiophene	579.4	5694465	0.000219	0.2
872-50-4	N-Methyl-2-pyrrolidone	721.7	4519095	0.0003108	0.3577
96-22-0	3-Pentanone	561	3738893	0.000336	0.347
589-38-8	3-Hexanone	582.82	3323460	0.000374	0.377
123-19-3	4-Heptanone	604	3019485	0.000431	0.441
592-84-7	Formic acid butyl ester	563	3556507	0.000345	0.3844
534-22-5	2-Methylfuran	527.59	4723000	0.000246	0.2658
107-31-3	Methyl formate	487.2	5998440	0.000172	0.252
79-16-3	N-Methylacetamide	718	4979921	0.00024	0.4651
96-47-9	2-Methyltetrahydrofuran	537.03	3758000	0.000267	0.264
79-11-8	Chloroacetic acid	680	5649882	0.00022	0.575
111-27-3	1-Hexanol	610	3419719	0.000381	0.56
392-56-3	Hexafluorobenzene	516.7	3303195	0.0003351	0.4
79-10-7	Acrylic acid	615	5674200	0.00021	0.56
101-68-8	4,4'-Diphenylmethane diisocyanate	875	4002338		0.6816
335-57-9	Perfluoroheptane	477.75	1750000	0.000664	0.5559
565-59-3	2,3-Dimethylpentane	537.3	2910054	0.000393	0.299
79-31-2	2-Methylpropionic acid	605	3698363	0.000292	0.61
107-41-5	2-Methyl-2,4-pentanediol	621	4009430	0.000398	1.0381
93-58-3	Benzoic acid methyl ester	692	3647700	0.000396	0.4133
1459-93-4	1,3-Benzenedicarboxylic acid dimethyl ester	766	2650000	0.0005631	0.6386
123-72-8	Butyraldehyde	537.2	4316445	0.0002576	0.352
542-92-7	1,3-Cyclopentadiene	500	4699960	0.000232	0.1898
493-01-6	cis-Decahydronaphthalene	702.3	3201870	0.000485	0.2849
75-28-5	2-Methylpropane	408.8	3639594	0.000259	0.176
141-32-2	2-Propenoic acid butyl ester	644	4540000	0.000423	0.3184
140-88-5	2-Propenoic acid ethyl ester	552	3749025	0.00032	0.4
151-67-7	2-Bromo-2-chloro-1,1,1-trifluoroethane	495	3951675	0.000296	0.2763
75-04-7	Ethylamine	456	5623538	0.000178	0.284
75-00-3	Chloroethane	460.4	5268900	0.000199	0.1895
95-47-6	o-Xylene	630.2	3732000	0.000369	0.3118
112-07-2	2-Butoxyethyl acetate	640.2	2695245	0.0005487	0.6015
109-52-4	Pentanoic acid	639.9	3629461	0.00034	0.616
100-61-8	N-Methylaniline	702	4802805	0.000349	0.436
107-12-0	Propionitrile	564.4	4184722	0.00023	0.318
126-99-8	2-Chloro-1,3-butadiene	525	4259703	0.00027	0.1928
124-11-8	1-Nonene	592	2340608	0.000525	0.43
75-29-6	2-Chloropropane	485	4721745	0.00023	0.2576
107-05-1	3-Chloro-1-propene	514.15	4762265	0.000234	0.13
110-00-9	Furan	487.03	5323000	0.000218	0.2167
540-54-5	1-Chloropropane	503.1	4579890	0.000254	0.23
98-85-1	alpha.-Phenylethanol	667.47	3991597	0.000385	0.6905
111-92-2	Dibutylamine	607.5	3110000	0.000517	0.5782
628-32-0	Ethyl propyl ether	500.6	3252532	0.000339	0.312
111-43-3	Di-n-propyl ether	530.6	3029617	0.000391	0.3585
628-81-9	Ethyl butyl ether	531	3039750	0.00039	0.3771
111-70-6	1-Heptanol	633	3039750	0.000435	0.56
111-87-5	1-Octanol	652.5	2860405	0.00049	0.5963
112-30-1	1-Decanol	684.4	2314263	0.0006	0.6919
143-07-7	Dodecanoic acid	761	2239283	0.000726	0.8253
544-63-8	Tetradecanoic acid	784	1915042	0.000836	0.874
111-82-0	Dodecanoic acid methyl ester	712	1631333	0.000781	0.6737
112-61-8	Octadecanoic acid methyl ester	788	1165238	0.001112	0.8645
556-52-5	2,3-Epoxy-1-propanol	660.24	5978550	0.000212	0.4269
98-82-8	Isopropylbenzene	631	3212003	0.000428	0.3261
135-19-3	beta-Naphthol	825	4498830	0.000457	0.507
872-05-9	1-Decene	615	2208885	0.000584	0.491
563-45-1	3-Methyl-1-butene	450	3515978	0.000305	0.2274
2004-70-8	trans-1,3-Pentadiene	496	3992205	0.000275	0.175
625-27-4	2-Methyl-2-pentene	518	3282930	0.000351	0.229
1192-22-9	2,3-Epoxy-2-methylpentane	580	3242400	0.000356	0.1453
565-69-5	2-Methyl-3-pentanone	577	3199843	0.000372	0.3254
565-67-3	2-Methyl-3-pentanol	576	3460000	0.000369	0.5451
106-99-0	1,3-Butadiene	425	4326578	0.000221	0.195
689-97-4	1-Buten-3-yne	455	4964925	0.000202	0.092
79-29-8	2,3-Dimethylbutane	500	3149181	0.000361	0.247
106-98-9	1-Butene	419.6	4022603	0.00024	0.187
103-65-1	Propylbenzene	638.3	3201870	0.00044	0.344
75-83-2	2,2-Dimethylbutane	489	3099532	0.000358	0.231
105-54-4	Ethyl butyrate	568.8	3141075	0.000395	0.4379
98-86-2	Acetophenone	709.5	4010444	0.0003863	0.377
