CAS	Chemical	Tc	Pc	Vc	omega
355-02-2	Perfluoromethylcyclohexane	486.7	2330475	0.0005701	0.4857
565-61-7	3-Methyl-2-pentanone	579	3310288	0.000368	0.338
75-97-8	3,3-Dimethyl-2-butanone	571.5	3470000	0.000371	0.2882
565-80-0	2,4-Dimethyl-3-pentanone	582	3384255	0.000415	0.4
137-32-6	2-Methyl-1-butanol	571	3850350	0.000322	0.6137
75-84-3	2,2-Dimethyl-1-propanol	549	3951675	0.000319	0.62
6032-29-7	2-Pentanol	561.15	3870605	0.000329	0.6263
598-75-4	3-Methyl-2-butanol	556.1	3870000	0.000327	0.5149
75-85-4	tert-Pentanol	545	3710000	0.000319	0.4646
77-74-7	3-Methyl-3-pentanol	575.6	3520000	0.00038	0.5061
623-37-0	3-Hexanol	582.48	3360000	0.0003827	0.5934
626-93-7	(+-)-2-Hexanol	586.15	3310004	0.000384	0.5998
107-04-0	1-Bromo-2-chloro ethane	605	5491815	0.000262	0.236
142-28-9	1,3-Dichloropropane	610.3	4247544	0.0003	0.2614
74-95-3	Dibromomethane [R30B2]	583	6499999	0.000211	0.3029
75-12-7	Formamide	771	7799999	0.000125	0.4378
122-39-4	Diphenylamine	931.15	8140000	0.00052	0.3047
95-49-8	o-Chlorotoluene	635	4014496	0.000369	0.4322
93-89-0	Ethyl benzoate	697	3242400	0.000451	0.48
106-94-5	Propyl bromide	539	4798000	0.000272	0.2517
1569-01-3	1-Propoxy-2-propanol	605.1	3051000	0.000398	0.4966
355-68-0	Perfluorocyclohexane	457.2	2431800	0.000489	0.4782
503-74-2	3-Methyl butyric acid	629	3394388	0.000336	0.7598
623-42-7	Methyl butanoate	554.4	3475447	0.00034	0.382
36653-82-4	1-Hexadecanol	770	1460093	0.000937	0.8156
112-92-5	1-Octadecanol	790	1279735	0.001047	0.8661
1120-21-4	n-Undecane	638.4	1948480	0.0006886	0.535
3221-61-2	2-Methyloctane	582.8	2310210	0.000541	0.4499
565-75-3	2,3,4-Trimethyl pentane	566.4	2729696	0.00046	0.317
629-62-9	Pentadecane	707	1479345	0.000966	0.6897
108-32-7	Propylene carbonate	762.7	4140000	0.00025	0.4107
2189-60-8	Octylbenzene	728	2036633	0.00072	0.5634
504-63-2	1,3-Propanediol	718.2	6550000	0.000241	0.6309
1634-09-9	1-Butylnaphthalene	791.75	2591893	0.00061	0.5141
1127-76-0	1-Ethylnaphthalene	775.6	3100545	0.000553	0.3767
629-11-8	1,6-Hexanediol	700	3000000	0.000398	0.9606
629-05-0	1-Octyne	598.46	3100545	0.000441	0.2619
149-57-5	2-Ethyl hexanoic acid	674.6	2776305	0.000548	0.8176
111-14-8	Heptanoic acid	679	2877630	0.000466	0.7297
75-26-3	Isopropyl bromide	525.6	5530319	0.000264	0.2645
106-43-4	p-Chlorotoluene	640	4004364	0.000362	0.4228
112-41-4	1-Dodecene	657	1854247	0.000681	0.5192
110-62-3	Valeraldehyde	566.1	3971940	0.0003132	0.3304
66-25-1	Hexanal	591	3455182	0.000378	0.3847
111-71-7	Heptanal	614	3232267	0.000434	0.4258
124-13-0	Octanal	638.1	2958690	0.000488	0.4318
124-19-6	Nonanal	656	2690179	0.000543	0.5132
95-13-6	Indene	695.15	3799688	0.0003685	0.2571
591-76-4	2-Methylhexane	530.4	2739828	0.000421	0.33
589-43-5	2,4-Dimethylhexane	553.5	2560483	0.000472	0.343
98-06-6	tert-Butylbenzene	660	2968822	0.0004898	0.265
120-80-9	1,2-Dihydroxybenzene	770	6494932	0.000292	0.5145
108-45-2	m-Phenylenediamine	815	4799765	0.000322	0.558
142-68-7	Tetrahydropyran	572.2	4772407	0.000263	0.218
76-03-9	Trichloroacetic acid	685	5099687	0.000293	0.5911
110-61-2	1,2-Dicyanoethane	770	3540295	0.0003	0.5949
1072-16-8	2,7-Dimethyloctane	602.9	2097428	0.00059	0.4459
1640-89-7	Ethylcyclopentane	569.5	3400467	0.000375	0.2708
3875-51-2	Isopropylcyclopentane	601	2999220	0.000426	0.24
91-17-8	Decalin <Isomer not specified>	645.15	2010000	0.000485	0.4155
563-78-0	2,3-Dimethyl-1-butene	501	3242400	0.000343	0.221
112-05-0	Nonanoic acid	712	2350740	0.000594	0.7603
95-50-1	o-Dichlorobenzene	697.3	4103663	0.00036	0.272
108-44-1	m-Methylaniline	709	4154325	0.000343	0.4078
108-46-3	1,3-Dihydroxybenzene	810	6750272	0.000292	0.6413
1634-04-4	Methyl tert-butyl ether	497.1	3434918	0.000319	0.267
591-93-5	1,4-Pentadiene	478	3789555	0.000276	0.1473
557-17-5	Methyl propyl ether	472	3800701	0.000274	0.3107
598-53-8	Methyl isopropyl ether	464.5	3759157	0.000277	0.2633
103-84-4	Acetanilide	825	4701480	0.000407	0.6168
112-72-1	1-Tetradecanol	743	1669836	0.000826	0.781
109-05-7	2-Methylpiperidine	598	3799688	0.00034	0.2669
693-65-2	Dipentyl ether	627	1996103	0.000611	0.5315
2207-01-4	cis-1,2-Dimethylcyclohexane	606	2938425	0.000422	0.2323
142-29-0	Cyclopentene	507	4801792	0.000245	0.194
591-49-1	1-Methylcyclohexene	584.2	3566640	0.0003536	0.2576
95-51-2	o-Chloroaniline	730	4600155	0.000337	0.373
108-42-9	m-Chloroaniline	753	5005455	0.000337	0.4071
106-47-8	p-Chloroaniline	756	4448168	0.000337	0.417
88-74-4	2-Nitroaniline	800	5501947	0.00037	0.708
99-09-2	3-Nitroaniline	840	5005455	0.00037	0.63
100-01-6	4-Nitroaniline	870	5501947	0.00037	0.764
994-05-8	Methyl tert-amyl ether	534	3113717	0.000377	0.3103
13389-42-9	trans-2-Octene	580	2766172	0.00046	0.35
7789-20-0	Deuterium oxide	644	21663290	0.0000556	0.388
142-92-7	Hexyl acetate	618.4	2381138	0.0005239	0.5042
496-11-7	Indane	684.9	3789555	0.0003835	0.2913
575-41-7	1,3-Dimethyl naphthalene	781.2	3313328	0.000534	0.4126
571-58-4	1,4-Dimethyl naphthalene	790.2	3363990	0.000534	0.3933
629-76-5	1-Pentadecanol	757	1599922	0.000882	0.8072
111-42-2	2,2'-Diethanolamine	715	3269758	0.000333	1.0463
624-24-8	Methyl pentanoate	579	3090413	0.000396	0.3481
539-82-2	Ethyl valerate	593.3	2654715	0.000451	0.3552
591-68-4	Butyl valerate	636	2087295	0.000561	0.4786
638-11-9	Isopropyl butyrate	579	2614185	0.000443	0.325
109-75-1	Allylcyanide	585	3951675	0.000265	0.3596
75-63-8	Trifluorobromomethane [R13B1]	340.2	3971940	0.0002	0.1687
75-37-6	1,1-Difluoroethane [R152a]	386.35	4515700	0.000181	0.2586
75-08-1	Ethanethiol	499	5491815	0.000207	0.186
13952-84-6	sec-Butylamine	511	3969995	0.000282	0.2998
78-86-4	sec-Butyl chloride	520.6	3951665	0.000305	0.3
7058-01-7	sec-Butylcyclohexane	669	2674980	0.000522	0.264
5063-65-0	1,2-Heptenoxide	610	2705378	0.000417	0.3282
807-28-3	1,3-Dimethyl-1,1,3,3-tetraphenyldisiloxane	893	1380000		0.8079
120-12-7	Anthracene	873.1	3404520	0.000554	0.5159
85-01-8	Phenanthrene	873.1	3171472	0.000554	0.4734
123-96-6	2-Octanol	637	2735775	0.000494	0.52
627-20-3	cis-2-Pentene	476	3597038	0.000292	0.233
95-68-1	2,4-Dimethylaniline	714	4002338	0.000402	0.4972
102-82-9	Tributylamine	643	1823850	0.000731	0.5884
2765-18-6	1-Propyl naphthalene	781.15	2923226	0.0005669	0.456
1077-16-3	Hexylbenzene	695.4	2554403	0.0005826	0.529
109-74-0	Butanenitrile	585.4	3819953	0.000285	0.3325
2837-89-0	1-Chloro-1,2,2,2-tetrafluoroethane [R124]	395.65	3718628	0.0002457	0.3003
151-56-4	Ethylenimine	528	7700700	0.00015	0.3139
1574-41-0	cis-1,3-Pentadiene	488	3989996	0.000275	0.2552
542-55-2	Isobutyl formate	549	3556507	0.000352	0.3725
111-13-7	2-Octanone	629	2624318	0.000497	0.479
105-30-6	2-Methyl-1-pentanol	582	3400467	0.00038	0.7262
102-69-2	Tripropylamine	600	2229150	0.000566	0.452
538-68-1	Pentylbenzene	679.9	2604053	0.00055	0.4274
105-38-4	Vinyl propionate	546	3680124	0.000323	0.3691
110-01-0	Tetrahydrothiophene	632	5167575	0.0002648	0.1988
102-71-6	Triethanolamine	787	2450039	0.000446	1.1008
95-15-8	Benzo(b)thiophene	752.1	3880747	0.0003758	0.2927
90-04-0	o-Anisidine	728	5846453	0.000367	0.5558
507-19-7	tert-Butyl bromide	540.5	4793686	0.00031	0.2454
97-53-0	4-Allyl-2-methoxyphenol	778.7	4105000	0.0005	0.4526
100-71-0	2-Ethylpyridine	634	4103663	0.000372	0.3512
75-73-0	Tetrafluoromethane [R14]	227.5	3738893	0.00014	0.176
7688-21-3	cis-2-Hexene	512	3201870	0.000351	0.288
1873-88-7	1,1,1,3,5,5,5-Heptamethyltrisiloxane	553.4	1481000		0.5247
111-01-3	Squalane	795.9	509665	0.001645	1.2135
140-29-4	Benzylcyanide	745	4002338	0.000397	0.4131
4050-45-7	trans-2-Hexene	508	3120810	0.000351	0.299
13269-52-8	trans-3-Hexene	510	3282930	0.000351	0.292
627-05-4	1-Nitrobutane	625	3800002	0.000338	0.4004
124-38-9	Carbon dioxide	304.2	7376460	0.000094	0.2252
74-82-8	Methane	190.6	4600155	0.000099	0.008
7782-44-7	Oxygen	154.6	5045985	0.0000734	0.021
74-85-1	Ethylene	282.35	5041628	0.000129	0.085
74-84-0	Ethane	305.4	4883865	0.000148	0.098
115-07-1	Propylene	365	4620420	0.000181	0.148
7727-37-9	Nitrogen	126.2	3394388	0.0000895	0.04
630-08-0	Carbon monoxide	132.9	3475447	0.0000931	0.049
7440-37-1	Argon	150.8	4873732	0.0000749	-0.004
7782-50-5	Chlorine	417	7700700	0.000124	0.073
7439-90-9	Krypton	209.4	5501947	0.0000912	-0.002
10024-97-2	Dinitrogen monoxide	309.6	7244738	0.0000974	0.1733
7440-63-3	Xenon	289.7	5836320	0.000118	0.002
1333-74-0	Hydrogen	33.2	1296960	0.000065	-0.22
74-86-2	Ethyne	308.3	6140295	0.000113	0.184
7783-06-4	Hydrogen sulfide	372.8	8936865	0.0000985	0.1
420-46-2	1,1,1-Trifluoroethane [R143a]	346.25	3759157	0.000194	0.2619
75-46-7	Fluoroform [R23]	299.05	4752143	0.000133	0.2528
120-51-4	Benzyl benzoate	825	2533125	0.000694	0.547
75-89-8	2,2,2-Trifluoroethanol	499.29	4839991	0.0002054	0.6307
106-35-4	3-Heptanone	602	2920186	0.00043	0.4346
7642-09-3	cis-3-Hexene	517	3282930	0.00035	0.225
590-35-2	2,2-Dimethylpentane	520.5	2770226	0.000416	0.289
75-35-4	1,1-Dichloroethylene	489	4679999	0.000219	0.1705
589-53-7	4-Methyl-heptane	561.7	2540218	0.000476	0.369
112-52-7	1-Chlorododecane	714.9	1852221	0.000746	0.621
591-22-0	3,5-Dimethylpyridine	667.3	3951675	0.000355	0.349
2207-04-7	trans-1,4-Dimethylcyclohexane	587.7	2938425	0.00045	0.2502
6163-66-2	Di-tert-butyl ether	550	2459999	0.0004949	0.3327
544-01-4	Diisopentyl ether	614	2148090	0.000595	0.523
99-97-8	4-Dimethylaminotoluene	695	3749025	0.000457	0.529
609-72-3	2-Dimethylaminotoluene	667	3121000	0.000457	0.395
92-51-3	Bicyclohexyl	731.4	2614185	0.000577	0.3979
4390-04-9	2,2,4,4,6,8,8-Heptamethylnonane	692	1469213	0.00088	0.5256
372-38-3	1,3,5-Trifluorobenzene	530.9	3953702	0.000304	0.3056
367-11-3	1,2-Difluorobenzene	565.5	4580903	0.00029	0.2945
372-18-9	1,3-Difluorobenzene	543.1	4308339	0.0002967	0.3161
540-36-3	1,4-Difluorobenzene	557.75	4397505	0.0002967	0.2843
551-62-2	1,2,3,4-Tetrafluorobenzene	550.75	3790568	0.0003152	0.339
2367-82-0	1,2,3,5-Tetrafluorobenzene	535.15	3746999	0.00031	0.3417
327-54-8	1,2,4,5-Tetrafluorobenzene	543.35	3800701	0.00031	0.355
363-72-4	Pentafluorobenzene	531	3531176	0.0003193	0.373
592-57-4	1,3-Cyclohexadiene	559	4450194	0.000277	0.2
344-04-7	Bromopentafluorobenzene	601	3039750	0.000415	0.355
593-45-3	Octadecane	747.7	1292000	0.001189	0.8087
344-07-0	Chloropentafluorobenzene	570.81	3238347	0.0003848	0.4
110-56-5	1,4-Dichlorobutane	646.7	3694309	0.00035	0.3064
628-76-2	1,5-Dichloropentane	673.6	3267731	0.000406	0.3546
2163-00-0	1,6-Dichlorohexane	692.5	2930319	0.000461	0.4227
578-58-5	2-Methoxy toluene	662	1291894	0.000392	0.1965
107-88-0	1,3-Butanediol	676	4020000	0.0003064	0.7206
110-59-8	Valeronitrile	603	3259625	0.000331	0.4152
111-86-4	1-Octanamine	641	2617000	0.000517	0.4509
75-18-3	Dimethyl sulfide	503	5532345	0.0002037	0.19
112-70-9	n-Tridecanol	732	1790413	0.000771	0.6942
2051-30-1	2,6-Dimethyloctane	603.1	2149995	0.000576	0.4442
75-10-5	Difluoromethane [R32]	351.55	5830241	0.000121	0.271
74-97-5	Bromochloromethane [R30B1]	558	6180825	0.000207	0.193
616-45-5	2-Pyrrolidone	799	6342935	0.00025	0.4434
584-84-9	2,4-Toluene diisocyanate	745.2	3538830	0.000419	0.5441
106-49-0	p-Methylaniline	667.15	2305000	0.000351	0.4426
98-54-4	4-tert-Butylphenol	730	3300155	0.00048	0.5335
86-73-7	9H-Fluorene	822.32	2989088	0.00055	0.4196
86-74-8	Diphenylenimine	900.05	3240373	0.000525	0.4876
206-44-0	Fluoranthene	916.11	2573655	0.000655	0.516
75-69-4	Trichlorofluoromethane [R11]	471.15	4407638	0.000248	0.188
583-48-2	3,4-Dimethylhexane	568.8	2690179	0.000466	0.338
95-87-4	2,5-Dimethylphenol	706.9	4863600	0.00035	0.5474
95-65-8	3,4-Dimethylphenol	729.8	4964925	0.00035	0.5602
541-73-1	m-Dichlorobenzene	684	3850350	0.000359	0.2728
78-10-4	Tetraethoxysilane	592.2	2044700	0.000657	0.6248
92-94-4	p-Terphenyl	908	2990000	0.0007288	0.6532
538-93-2	Isobutylbenzene	650	3049883	0.0004898	0.3694
503-17-3	2-Butyne	488.6	4900000	0.000221	0.1078
76-16-4	Hexafluoroethane [R116]	293.04	3041777	0.0002219	0.229
354-33-6	Pentafluoroethane [R125]	339.45	3595011	0.00021	0.3003
98-88-4	Benzoylchloride	697	4060093	0.000367	0.4205
1511-62-2	Bromodifluoromethane [R22B1]	411.98	5132010	0.000167	0.2051
353-59-3	Bromochlorodifluoromethane [R12B1]	426.9	4245518	0.00023	0.184
638-68-6	Triacontane	857	636000	0.001693	1.26
592-27-8	2-Methylheptane	559.7	2499688	0.000488	0.378
562-49-2	3,3-Dimethylpentane	536.4	2949571	0.000414	0.27
630-02-4	Octacosane	845.4	727513	0.001583	1.195
78-82-0	Isobutyronitrile	565	3760171	0.000278	0.3384
111-61-5	Octadecanoic acid ethyl ester	781.54	1198100	0.001167	0.9408
110-58-7	1-Aminopentane	555	3576772	0.000346	0.407
544-40-1	Dibutylsulfide	650	2499688	0.000536	0.4277
624-92-0	Dimethyl disulfide	615	4799998	0.00026	0.1869
110-81-6	Diethyl disulfide	642	3499999	0.00037	0.3086
103-69-5	N-Ethylaniline	698.3	4002338	0.000402	0.471
100-46-9	alpha-Aminotoluene	686	4802805	0.000347	0.435
629-14-1	1,2-Diethoxyethane	542	3220000	0.000411	0.65
646-31-1	Tetracosane	802.62	896726	0.001362	1.0411
630-06-8	Hexatriacontane	901	682000	0.002025	1.5125
544-85-4	Dotriacontane	851.44	597818	0.0018	1.3585
590-73-8	2,2-Dimethylhexane	549.8	2530085	0.000478	0.338
16747-26-5	2,2,4-Trimethylhexane	573.7	2371005	0.000526	0.3471
592-13-2	2,5-Dimethylhexane	550	2489555	0.000482	0.352
112-60-7	Tetraethylene glycol	800	3199843	0.000571	0.8143
77-99-6	2-Ethyl-2-hydroxymethyl-1,3-propanediol	709	3909929	0.000416	1.2871
7440-59-7	Helium	5.3	232034	0.0000578	-0.387
7440-01-9	Neon	44.4	2756040	0.0000417	-0.0414
2551-62-4	Sulfur hexafluoride	318.7	3760171	0.0001988	0.1499
7446-09-5	Sulfur dioxide	430.8	7883085	0.000122	0.251
109-92-2	Ethyl vinyl ether	475.37	4075000	0.00026	0.2868
821-55-6	2-Nonanone	651.9	2482000	0.000254	0.5072
629-94-7	Heneicosane	778	1030000	0.0012	0.9049
109-97-7	Pyrrole	625.15	5490000	0.000214	0.3255
1638-26-2	1,1-Dimethylcyclopentane	547	3445050	0.00036	0.273
124-12-9	Caprylonitrile	674.4	2850000	0.000506	0.4892
111-34-2	Butyl vinyl ether	540.5	3200000	0.0003806	0.342
10034-85-2	Hydrogen iodide	423.15	8298518	0.000131	0.05
591-50-4	Iodobenzene	721	4519095	0.000351	0.246
584-94-1	2,3-Dimethylhexane	563.5	2630397	0.000468	0.346
76-19-7	Perfluoropropane [R218]	345.05	2680046	0.000299	0.3257
7782-39-0	Deuterium	38.4	1659997	0.0000603	-0.13
116-14-3	Tetrafluoroethylene	306.5	3940002	0.000172	0.223
1074-55-1	p-Methylpropylbenzene	660.7	2845206	0.000482	0.3856
2696-92-6	Nitrosylchloride	440	9119250	0.000139	0.318
79-38-9	Chlorotrifluoroethylene	379	4053000	0.000212	0.2464
10102-43-9	Nitrogen oxide	180	6479997	0.000058	0.588
684-16-2	Perfluoro-2-propanone	357.14	2837100	0.0003288	0.365
463-58-1	Carbonyl sulfide	378.3	6302415	0.0001351	0.099
105-46-4	sec-Butyl acetate	560	3124863	0.000388	0.403
122-79-2	Acetic acid phenyl ester	685.7	3590000	0.000397	0.4335
105-39-5	Ethyl chloroacetate	618	3899999	0.00033	0.4
352-32-9	4-Fluorotoluene	589.9	3949649	0.000331	0.3103
111-15-9	1,2-Ethanediol-monoacetate-monoethyl ether	607.3	3161340	0.0004435	0.5443
109-83-1	2-N-Monomethylaminoethanol	630	5300000	0.0002554	0.6022
1120-36-1	1-Tetradecene	689	1560405	0.000791	0.644
637-92-3	Ethyl tert-butyl ether	509.4	2933931	0.000394	0.3194
353-36-6	Fluoroethane [R161]	375.3	5025720	0.000169	0.2153
75-68-3	1-Chloro-1,1-difluoroethane [R142b]	410.35	4048000	0.000228	0.2316
60-34-4	Methylhydrazine	567	8039997	0.000271	0.3901
10544-72-6	Dinitrogen tetroxide	431	10132500	0.000167	0.8539
7783-54-2	Nitrogen trifluoride	234	4529228	0.000124	0.1021
682-01-9	Propyl silicate	647.7	1696200	0.000867	0.7546
593-53-3	Methyl fluoride [R41]	317.8	5876850	0.00011	0.1774
74-83-9	Methyl bromide [R40B1]	467	8265790	0.000156	0.1642
622-97-9	p-Methyl-styrene	669	3303195	0.000402	0.283
611-14-3	1-Ethyl-2-methylbenzene	651.5	3140000	0.0004399	0.3197
620-14-4	1-Ethyl-3-methylbenzene	645.1	3248480	0.00049	0.3319
622-96-8	1-Ethyl-4-methylbenzene	638.7	3230000	0.0004399	0.3731
488-23-3	1,2,3,4-Tetramethylbenzene	700.5	3273811	0.0004357	0.3879
527-53-7	1,2,3,5-Tetramethyl benzene	679	2841153	0.0004362	0.4051
2870-04-4	2-Ethyl m-xylene	665.1	2929306	0.0004462	0.4359
1758-88-9	2-Ethyl p-xylene	662.6	2899922	0.0004608	0.4175
934-80-5	4-Ethyl o-xylene	662.6	2899922	0.0004521	0.4472
874-41-9	4-Ethyl m-xylene	662.6	2899922	0.000482	0.4331
934-74-7	5-Ethyl m-xylene	649.1	2800623	0.000458	0.4692
141-93-5	1,3-Diethylbenzene	657.1	2919173	0.0004677	0.3927
105-05-5	1,4-Diethylbenzene	657.88	2802649	0.0004782	0.409
527-84-4	o-Isopropyl-toluene	657.3	2904988	0.0004902	0.369
535-77-3	m-Isopropyl-toluene	651.4	2846219	0.0004902	0.3628
1074-17-5	o-Propyltoluene	662.1	2887763	0.0004898	0.399
3042-50-0	2-Propyl p-xylene	679.7	2654715	0.0005511	0.4295
4132-72-3	2,5-Dimethyl cumene	668.8	2629384	0.0005511	0.4297
573-98-8	1,2-Dimethyl naphthalene	790.24	3361964	0.0004692	0.3951
571-61-9	1,5-Dimethyl naphthalene	781.3	3219095	0.0004734	0.4261
575-43-9	1,6-Dimethyl naphthalene	778.2	3222135	0.0004726	0.412
575-37-1	1,7-Dimethyl naphthalene	778.2	3222135	0.0004726	0.4327
581-40-8	2,3-Dimethyl naphthalene	785.2	3217069	0.0005139	0.4137
581-42-0	2,6-Dimethyl naphthalene	777.2	3222135	0.0005077	0.3818
582-16-1	2,7-Dimethyl naphthalene	778.2	3222135	0.0005077	0.4069
939-27-5	2-Ethyl naphthalene	771.8	3171472	0.000516	0.4114
1120-62-3	3-Methyl cyclopentene	523.2	3828058	0.0003068	0.227
2207-03-6	trans-1,3-Dimethyl cyclohexane	598	2938425	0.00046	0.2118
638-04-0	cis-1,3-Dimethyl cyclohexane	591	2938425	0.00046	0.2828
624-29-3	cis-1,4-Dimethyl cyclohexane	598	2938425	0.00046	0.2338
1678-92-8	n-Propyl cyclohexane	639	2546297	0.0004813	0.2585
3877-19-8	2-Methyl tetralin	715.2	2968822	0.0005	0.39
1680-51-9	6-Methyl tetralin	733.2	3116757	0.0004831	0.3769
583-61-9	2,3-Dimethylpyridine	655.4	4109742	0.000359	0.3408
589-93-5	2,5-Dimethylpyridine	644.2	3874668	0.000359	0.3501
536-78-7	3-Ethylpyridine	661	4000108	0.000368	0.3367
536-75-4	4-Ethylpyridine	663	4099609	0.000368	0.3392
620-22-4	m-Toluonitrile	710	3749025	0.0004	0.4244
104-85-8	p-Toluonitrile	723	3546375	0.0004	0.3939
589-16-2	4-Ethyl aniline	715	3850350	0.000402	0.479
776-35-2	9,10-Dihydrophenanthrene	774	1314185	0.00066	0.5475
1125-80-0	3-Methyl-isoquinoline	808	5099687	0.0005	0.351
1198-37-4	2,4-Dimethyl quinoline	807	3899999	0.000552	0.3909
110-87-2	2,3-Dihydro-4H-pyran	561.7	4559625	0.000268	0.2392
123-07-9	4-Ethylphenol	716.4	4053000	0.0004	0.4892
90-00-6	2-Ethylphenol	703	4296180	0.000381	0.4793
92-69-3	p-Phenylphenol	825	3495713	0.0005	0.5695
287-27-4	Thiacyclobutane	603.15	6099765	0.000204	0.182
554-14-3	2-Methyl thiophene	606.2	4673109	0.0002794	0.2381
616-44-4	3-Methyl thiophene	610.8	4787606	0.0002748	0.243
1613-51-0	Tetrahydrothiopyran	654	4549493	0.000293	0.219
1795-09-1	2-Methyl-thiacyclopentane	631.2	4300233	0.000306	0.245
4740-00-5	3-Methyl-thiacyclopentane	641.2	4375214	0.000306	0.246
1679-07-8	Cyclopentane-thiol	629	4274902	0.00032	0.253
108-98-5	Benzenethiol	685	4600155	0.000317	0.284
632-16-6	2,3-Dimethyl thiophene	635.2	3879734	0.000332	0.2679
638-00-6	2,4-Dimethyl thiophene	631.2	4014496	0.000332	0.2955
638-02-8	2,5-Dimethyl thiophene	625.2	3890373	0.000332	0.2811
632-15-5	3,4-Dimethyl thiophene	640.2	3907700	0.000332	0.2674
5258-50-4	3-Methyl-thiacyclohexane	664	3874668	0.00035	0.249
5161-16-0	2-Methyl-thiacyclohexane	656	3825019	0.00035	0.245
5161-17-1	4-Methyl thiacyclohexane	665	3849944	0.00035	0.245
1569-69-3	Cyclohexanethiol	664.2	3849337	0.000401	0.252
577-55-9	1,2-Diisopropylbenzene	668.95	2445985	0.0005829	0.4743
99-62-7	1,3-Diisopropylbenzene	664.35	2348714	0.0005829	0.4858
2027-19-2	2-n-Propylnaphthalene	780.05	2849259	0.0005635	0.4943
1134-62-9	2-n-Butylnaphthalene	793.35	2541231	0.00061	0.4656
129-00-0	Pyrene	938.2	2604053	0.000626	0.4862
84-15-1	o-Terphenyl	857	2990000	0.0007311	0.5459
590-66-9	1,1-Dimethylcyclohexane	591	2938425	0.00045	0.238
6876-23-9	trans-1,2-Dimethylcyclohexane	596	2938425	0.00046	0.2296
92-85-3	Thianthrene	920	3420000	0.0005841	0.4602
6682-71-9	4,7-Dimethyl indan	722.3	4742000	0.000514	0.502
290-37-9	Pyrazine	622	5799843	0.00025	0.2392
96-54-8	N-Methyl pyrrole	596	4850428		0.311
109-08-0	2-Methyl pyrazine	634.4	5005455	0.0003187	0.2749
625-84-3	2,5-Dimethyl pyrrole	661	5099687	0.000323	0.446
529-19-1	o-Tolunitrile	709	3951675	0.0004	0.4092
120-72-9	Indole	790.7	4275915	0.000369	0.3464
87-62-7	2,6-Dimethylaniline	722	4199921	0.000402	0.4273
611-32-5	8-Methylquinoline	791	5000389	0.00047	0.3855
260-94-6	Acridine	905.15	3600077	0.0005431	0.4133
123-31-9	1,4-Dihydroxybenzene	820	6749967	0.000292	0.6598
620-17-7	3-Ethylphenol	718.8	4154325	0.000389	0.5105
87-66-1	1,2,3-Trihydroxybenzene	840	6251753	0.000307	0.6095
644-35-9	2-Propylphenol	705	3850350	0.000442	0.5982
132-64-9	Dibenzofuran	809.59	3201870	0.0004934	0.4336
1795-01-3	3-Ethylthiophene	629	4154325	0.000332	0.2815
7133-36-0	1-Cyclopentyl-1-thiaethane	652	3749025	0.000375	0.2885
100-68-5	1-Phenyl-1-thiaethane	706	4070225	0.000372	0.3351
698-71-5	3-Methyl-5-ethyl-phenol	725	3566640	0.000442	0.5613
697-82-5	2,3,5-Trimethylphenol	730	3850350	0.000442	0.5475
574-00-5	1,2-Dihydroxynaphthalene	718.59	3505845	0.00045	0.3
102-25-0	1,3,5-Triethylbenzene	679	2435000	0.0006166	0.5238
132-65-0	Dibenzothiophene	897	3860000	0.0005159	0.3863
208-96-8	Acenaphthylene	796.87	3221922	0.0004756	0.3609
594-56-9	2,3,3-Trimethyl-1-butene	533	2897895	0.0004	0.192
1814-88-6	1,1,1,2,2-Pentafluoropropane	380.12	3137002	0.0002732	0.3016
75-19-4	Cyclopropane	398	5540451	0.000162	0.1261
628-73-9	N-Hexanoic acid nitrile	622.05	2920186	0.000384	0.4743
105-58-8	Carbonic acid diethyl ester	576.33	3367400	0.00036	0.4561
96-49-1	Ethylene carbonate	794.82	6141840	0.000195	0.406
106-65-0	Dimethylsuccinate	665.73	3092783	0.00042	0.5386
2690-08-6	Di-n-octyl thioether	780	1800000	0.001112	0.8067
287-23-0	Cyclobutane	458	5045985	0.000218	0.2061
929-06-6	Diglycolamine	727	6220000	0.000325	0.6432
104-72-3	1-Phenyldecane	753	1779997	0.00085	0.6646
123-01-3	1-Phenyldodecane	779.1	1570538	0.00098	0.7278
1459-10-5	1-Phenyltetradecane	792	1419999	0.00111	0.8171
2131-18-2	1-Phenylpentadecane	800	1350004	0.00114	0.4254
103-49-1	Dibenzylamine	835	4053000	0.000624	0.485
543-49-7	2-Heptanol	608.3	3021005	0.0004418	0.5784
594-82-1	2,2,3,3-Tetramethylbutane	567.8	2867497	0.000461	0.2469
544-10-5	1-Chlorohexane	594.4	3052922	0.000416	0.3738
375-96-2	Perfluorononane	523.95	1560000	0.0008	0.5193
617-78-7	3-Ethylpentane	540.6	2889789	0.000416	0.31
1678-93-9	n-Butylcyclohexane	667	3151208	0.00053	0.3524
872-55-9	2-Ethylthiophene	626	4002338	0.000332	0.2653
109-79-5	n-Butylmercaptan	570.1	4002338	0.0003244	0.2734
513-44-0	iso-Butylmercaptan	557	3899999	0.000307	0.2485
513-53-1	sec-Butylmercaptan	551	3849995	0.000307	0.2479
107-00-6	1-Butyne	440	4600000	0.000208	0.2485
590-19-2	1,2-Butadiene	443.7	4498830	0.000219	0.255
74-99-7	Propyne	402.4	5623538	0.000164	0.218
