CASRN	Chemical	Tc	Pc	Vc	omega
19037-72-0	4,4-dimethylcyclopentene	559.35	3768000	0.0003525	0.232
19089-47-5	2-ethoxy-1-propanol	582	3670000	0.0003501	0.783
19089-92-0	hexyl-2-butenoate	650	2350000	0.0005402	
19113-78-1	3,5-dimethyl-3-hexanol, (±)	600.92	2849000	0.000488	0.733
19132-06-0	(2S,3S)-(+)-2,3-butanediol	630.99	5032000	0.0002899	1.127
19177-04-9	1-methyl-3-(1-methylethoxy)benzene	670	2840000	0.000495	0.445
19182-11-7	1,2-diethylnaphthalene	812.35	2460000	0.0006335	0.537
19182-13-9	1,6-diethylnaphthalene	812.35	2460000	0.0006335	0.537
19184-10-2	cis-1-fluoro-1-propene	430.49	4450000	0.0002015	0.208
1921-70-6	2,6,10,14-tetramethylpentadecane	748.87	1095000	0.0011483	0.741
19218-94-1	1-iodotetradecane	758.94	1682000	0.0008385	1.03
19264-94-9	3,3-dimethyl-1-pentanol	604.2	3160000	0.0004355	0.695
19269-28-4	3-methylhexanal	593	2850000	0.000434	0.464
1928-30-9	2-methyltricosane	814.95	806000	0.0014468	0.71
19287-45-7	diborane	289.8	4053000	0.0001731	0.125
19313-57-6	5-thiapentadecane	762.23	1544000	0.0008735	0.7
19313-61-2	3-thiatridecane	733.68	1806000	0.0007615	0.631
19374-46-0	1,trans-2,cis-3-trimethylcyclopentane	572.46	2854000	0.0004225	0.265
19398-53-9	2,4-dibromopentane	673.87	4195000	0.0004275	0.448
19398-61-9	2,5-dichlorotoluene	710	3620000	0.000404	0.343
19398-75-5	1,3-diethylcyclopentane	610.99	2681000	0.0004773	0.302
19398-77-7	3,4-diethylhexane	618.8	2330000	0.000519	0.403
1940-18-7	1-ethylcyclohexanol	645	3590000	0.0004482	
19411-41-7	3,3,4-trimethyl-2-pentanol	602.05	2894000	0.0004795	0.674
1942-45-6	4-octyne	594.1	2959000	0.0004443	0.359
1942-46-7	5-decyne	642.22	2446000	0.0005575	0.417
19447-29-1	2-nonyne	630.31	2707000	0.0005015	0.368
1945-53-5	palustric acid	789	1720000	0.000993	0.917
19482-57-6	2,2-dimethyl-3-octyne	642.22	2446000	0.0005575	0.417
19484-26-5	1-tridecanethiol	742.13	1733000	0.0008175	0.673
19486-08-9	2,2-dimethylhexadecane	734.97	1167000	0.0010886	0.683
19489-10-2	1-methyl-cis3-ethylcyclohexane	620.1	2741000	0.0004715	0.305
19522-67-9	N-isopropylethylenediamine	637.67	4210000	0.000358	0.591
19522-69-1	N-butylethylenediamine	663	3810000	0.0004084	0.65
19549-70-3	2,2-dimethyl-3-heptanol	607.23	2595000	0.0005415	0.748
19549-71-4	2,3-dimethyl-3-heptanol	602.05	2595000	0.0005415	0.748
19549-73-6	2,6-dimethyl-3-heptanol	600.27	2587000	0.0005405	0.782
19549-74-7	3,5-dimethyl-3-heptanol	605.89	2595000	0.0005415	0.748
