CASRN	Chemical	Tc	Pc	Vc	omega
100-00-5	p-chloronitrobenzene	751	3980000	0.000432	0.491
100-01-6	p-nitroaniline	851	4420000	0.000406	0.782
100-10-7	p-dimethylaminobenzaldehyde	832	3070000	0.000471	0.527
100-18-5	p-diisopropylbenzene	689	2450000	0.000598	0.39
100-21-0	terephthalic acid	1113	3950000	0.000424	1.059
100-25-4	p-dinitrobenzene	803	3850000	0.000434	0.662
100-36-7	N,N-diethyl-1,2-ethanediamine	663	3810000	0.0004084	0.65
100-37-8	2-diethylaminoethanol	592	3180000	0.000401	0.782
100-39-0	(bromomethyl)benzene	699	4370000	0.000379	0.318
100-40-3	vinylcyclohexene	599	3430000	0.000379	0.329
100-41-4	ethylbenzene	617.15	3609000	0.000374	0.304
100-42-5	styrene	636	3840000	0.000352	0.297
100-44-7	benzyl chloride	686	3910000	0.00036	0.314
100-46-9	benzylamine	684	4320000	0.000373	0.401
100-47-0	benzonitrile	699.35	4215000	0.0003132	0.366
100-50-5	3-cyclohexene-1-carboxaldehyde	655	4030000	0.000345	0.364
100-51-6	benzyl alcohol	720.15	4550000	0.000335	0.367
100-52-7	benzaldehyde	695	4650000	0.000324	0.313
100-53-8	benzenemethanethiol	712	4060000	0.000367	0.299
100-54-9	3-pyridinecarbonitrile	703	4120000	0.000344	0.422
100-60-7	N-methylcyclohexylamine	622	3490000	0.000393	0.386
100-61-8	N-methylaniline	701.55	5200000	0.000373	0.475
100-63-0	phenylhydrazine	761	4910000	0.000418	0.535
100-64-1	cyclohexanone oxime	715	4690000	0.000369	0.462
100-66-3	anisole	645.6	4250000	0.000337	0.35
100-68-5	methyl phenyl sulfide	710.76	4206000	0.0003735	0.327
100-71-0	2-ethylpyridine	636.2	3980000	0.000367	0.357
100-80-1	m-methylstyrene	657	3290000	0.000407	0.349
100-97-0	methenamine	837	3680000	0.000402	0.299
1000-86-8	2,4-dimethyl-1,3-pentadiene	556	3450000	0.0003478	
1000-87-9	2,4-dimethyl-2,3-pentadiene	556	3450000	0.0003478	
1001-89-4	2-chloroheptane	621.08	2693000	0.0004765	0.418
1002-17-1	2,9-dimethyldecane	646.14	1805000	0.0006955	0.519
1002-43-3	3-methylundecane	655	1870000	0.000693	0.552
1002-69-3	1-chlorodecane	679.88	2038000	0.0006445	0.547
1002-84-2	pentadecanoic acid	775	1600000	0.000864	0.959
10020-43-6	2-(octyloxy)ethanol	672	2340000	0.0006245	
10022-50-1	nitryl fluoride	349.5	6116000	0.00010982	
10024-78-9	4-ethyl-1-methyloctylamine	664.56	1966000	0.0006779	0.606
10024-97-2	nitrous oxide	309.57	7245000	0.0000974	0.1408
10025-67-9	sulfur monochloride	659.37	6275000	0.00023938	0.272
10025-71-5	tellurium dichloride	1021.54	17703000	0.00012569	
10025-78-2	silane, trichloro	479	4170000	0.000268	0.203
10025-85-1	nitrogen trichloride	564	10400000	0.0002069	0.199
10025-87-3	phosphorus oxychloride	602.15	3440000	0.000201	0.0832
10025-91-9	antimony trichloride	794	4820000	0.000272	0.171
10026-01-4	osmium (IV) chloride	1357.65			
10026-03-6	selenium tetrachloride	743.95	6105000	0.00027761	0.269
10026-04-7	silicon tetrachloride	507	3590000	0.000326	0.2318
10026-07-0	tellurium tetrachloride	1002	8560000	0.00031	0.326
10026-10-5	uranium (IV) chloride	1661.19	10365000	0.00034911	
10026-11-6	zirconium chloride	778	5770000	0.000319	0.298
10026-12-7	niobium (V) chloride	803.5	4880000	0.000397	
10026-13-8	phosphorus pentachloride	646.15	5815000	0.00027716	0.531
10028-15-6	ozone	261	5570000	0.000089	0.2119
10028-17-8	tritium	44.91	2380000	0.00004111	
10028-18-9	nickel fluoride	3278.75	27037000	0.0003025	0.654
100295-82-7	2-methyl-3-hexanol, (±)	587.2	3151000	0.0004341	0.709
100295-83-8	5-methyl-3-hexanol, (±)	587.2	3151000	0.0004341	0.709
100295-85-0	6-methyl-3-heptanol, (±)	600.92	2849000	0.000488	0.733
100296-26-2	2-methyl-3-heptanol, (±)	600.92	2849000	0.000488	0.733
1003-03-8	cyclopentylamine	584	4640000	0.000308	0.329
1003-17-4	2,2-dimethyltetrahydrofuran	563.41	4016000	0.0003315	0.269
1003-19-6	1,1-diethylcyclopropane	530	3300000	0.0003759	
1003-30-1	2-ethyltetrahydrofuran	580.07	3796000	0.0003335	0.308
1003-38-9	2,5-dimethyltetrahydrofuran	556.78	3647000	0.0003325	0.282
1003-90-3	2,3,4,5-tetramethyl-1H-pyrrole	670	3750000	0.00039	
10031-22-8	lead bromide	1933.47	15943000	0.0003025	0.498
10031-24-0	tin (II) bromide	1466.09	13911000	0.00022958	
10031-87-5	2-ethylbutyl acetate	618	2540000	0.000494	0.54
10032-13-0	hexyl isopentanoate	652	2047000	0.0006587	0.639
10032-15-2	hexyl sec-pentanoate	652	2047000	0.0006587	0.639
10034-85-2	hydrogen iodide	423.85	8310000	0.0001219	0.0381
10035-10-6	hydrogen bromide	363.15	8552000	0.00010026	0.0693
10036-47-2	tetrafluorohydrazine	309.35	3710000	0.000213	0.2233
10038-98-9	germanium chloride	553.2	3861000	0.00033	0.123
1004-77-9	2-isopropylcyclohexanone	690	2950000	0.0004746	
10042-59-8	2-propyl-1-heptanol	643.4	2316000	0.0006085	0.883
10043-35-3	boric acid	289.8	4053000	0.00017311	0.1254
10043-52-4	calcium chloride	3620			
10043-92-2	radon	377	6280000	0.00014	
10049-04-4	chlorine dioxide	465	8613000	0.00009783	0.3564
10049-06-6	titanium (II) chloride	2906.02	33586000	0.00018847	
10049-14-6	uranium (IV) fluoride	2686.76	29277000	0.0001999	
10049-17-9	rhenium (VI) fluoride	472.97			
1005-64-7	trans-(1-butenyl)benzene	692.76	3104000	0.0004675	0.366
1006-59-3	2,6-diethylphenol	699.96	3376000	0.0004215	0.541
10061-01-5	cis-1,3-dichloropropene	577	4380000	0.000277	0.206
10061-02-6	trans-1,3-dichloropropene	577	4380000	0.000277	0.206
1007-26-7	1-phenyl-2,2-dimethylpropane	667.65	2701000	0.0005325	0.351
10071-60-0	1-chloro-2-pentene	561.69	3541000	0.0003432	0.275
10075-38-4	cis-1,3-dichloro-2-butene	640	3798000	0.000332	0.302
10076-31-0	dimethyl-2,2-dimethylpropylamine	574.03	2976000	0.0004545	0.344
10086-50-7	2-(isobutyl-3-methylbutoxy)ethanol	690	2100000	0.0007118	
10086-64-3	1-fluoro-2-methylbutane	494.45	3322000	0.0003275	0.298
101-54-2	p-aminodiphenylamine	867	3190000	0.000596	0.694
101-68-8	diphenylmethane-4,4'-diisocyanate	802	2280000	0.000712	0.95
101-81-5	diphenylmethane	760	2710000	0.000563	0.482
101-83-7	dicyclohexylamine	737	2520000	0.000619	0.513
101-84-8	diphenyl ether	766.8	3080000	0.000503	0.439
10101-63-0	lead iodide	1865.07	15379000	0.0003025	0.487
10102-03-1	nitrogen pentoxide	515.51	6433000	0.00018256	0.266
10102-06-4	uranyl nitrate	510.39	2949000	0.00037705	
10102-43-9	nitric oxide	180.15	6480000	0.000058	0.5829
10102-44-0	nitrogen dioxide	431.15	10133000	0.00008249	0.8511
10108-64-2	cadmium chloride	2019.79	16655000	0.0003025	0.511
10112-91-1	mercury (I) chloride	1115	20673000	0.00011749	
1012-72-2	1,4-di-tert-butylbenzene	708	2300000	0.000732	0.502
10124-73-9	2-chloro-1-hexene	583.61	3160000	0.0004005	0.341
101257-63-0	1-chloro-3-methylhexane	621.08	2693000	0.0004765	0.418
10130-91-3	2,2,6-trimethylcyclohexanol	655	3390000	0.0004788	
10136-52-4	9-heptadecenoic acid	916	1600000	0.0010007	
10136-83-1	1-methyl-6-isopropylnaphthalene	817.54	2480000	0.0006275	0.507
10137-80-1	N-(2-ethylhexyl)aniline	730	2100000	0.0007559	
10137-96-9	ethylene glycol mono-2-methylpentyl ether	636	2640000	0.0005259	
10138-47-3	2-(1-ethylamyloxy)ethanol	654	2640000	0.0005407	
10138-87-1	2-(2-(1-ethylamyloxy)ethoxy)ethanol	690	2100000	0.0007118	
1014-60-4	1,3-di-tert-butylbenzene	712.89	1953000	0.0007094	0.565
10143-20-1	2,8-dimethyl-6-isobutylnonanol-4	732.87	1565000	0.0008863	0.871
10143-23-4	2,3-dimethyl-1-pentanol	599.26	3149000	0.0004345	0.731
10143-60-9	bis(2-ethylhexyl) ether	707	1440000	0.00091	0.934
101654-30-2	3-chloro-2,3-dimethylhexane	642.41	2443000	0.0005325	0.462
10192-32-2	1-tetracosene	814.11	826000	0.0013605	0.721
10192-93-5	3,4-dimethyl-3,4-diphenylhexane	810	1670000	0.001014	0.698
101935-28-8	3,5-dimethyl-2,4-heptadiene	616	3280000	0.0004007	
101947-30-2	1,1 difluorodisulfane	434.64	5655000	0.00016742	
102-01-2	acetoacetanilide	879	3030000	0.000564	0.795
102-25-0	1,3,5-triethylbenzene	678	2300000	0.000593	0.508
102-27-2	N-ethyl-3-methylaniline	705.58	3284000	0.000482	0.413
102-36-3	3,4-dichlorophenyl isocyanate	733	3330000	0.000456	0.335
102-47-6	1,2-dichloro-4-(chloromethyl)benzene	737	3340000	0.000447	0.26
102-53-4	N,N,N',N'-tetraethylmethanediamine	741	2850000	0.0005974	
102-69-2	tripropylamine	577.5	2230000	0.000576	0.699
102-70-5	N,N-diallyl-2-propeN-1-amine	592	2460000	0.000521	0.499
102-71-6	triethanolamine	772.1	2743000	0.000472	1.284
102-76-1	glyceryl triacetate	704	2310000	0.000625	0.839
102-81-8	2-dibutylaminoethanol	770	2700000	0.0006014	
102-82-9	tributylamine	644	1800000	0.000735	0.694
102-86-3	trihexylamine	673.74	1183000	0.0010815	0.804
102-87-4	tridodecylamine	928.54	465000	0.0020895	
102-88-5	trioctadecylamine	1229.51	324000	0.0029226	
10203-28-8	2-dodecanol	704.8	2010000	0.000713	0.631
10203-30-2	3-dodecanol	712.9	1970000	0.0007045	0.635
10215-33-5	3-butoxy-1-propanol	618	2940000	0.0004606	
10222-95-4	1,2,4-trimethyl-5-isopropylbenzene	697.15	2361000	0.000602	0.437
10233-13-3	isopropyl dodecanoate	708	1580000	0.0008421	
102370-18-3	1-ethyl-2-methylcyclohexanol	655	3390000	0.0004788	
10241-05-1	molybdenum (V) chloride	850	4720000	0.000369	
102449-95-6	3-chloro-2,2,3-trimethylhexane	661.88	2227000	0.0005885	0.505
10250-47-2	3-methyl-3-pentyl acetate	618	2540000	0.000494	0.54
10250-52-9	1,1-diiodopropane	708.27	4206000	0.0003735	0.243
10250-55-2	1,1-diiodo-2-methylpropane	732.32	3764000	0.0004235	0.258
10276-09-2	2,2-dimethyl-3-butenoic acid	696	3300000	0.0003894	
10288-13-8	1,2-dibromo-3-methylbutane	659.19	4195000	0.0004275	0.448
10289-68-6	3-tridecanol	724.8	1835000	0.0007585	0.642
10294-33-4	boron tribromide	581	4866000	0.000272	0.216
10294-34-5	boron trichloride	451.95	3871000	0.0001483	0.1505
10294-48-1	chlorine heptoxide	565.78	5090000	0.00025323	0.2
10294-70-9	tin (II) iodide	1635.64	13269000	0.00026852	
10297-57-1	2-methyl-2-nonanol	643.93	2341000	0.0006035	0.819
103-08-2	5-ethyl-2-nonanol	696.85	2130000	0.0006505	0.596
103-09-3	2-ethylhexyl acetate	642.4	2170000	0.0006	0.599
103-11-7	2-ethylhexyl acrylate	655	2070000	0.000664	0.673
103-23-1	bis(2-ethylhexyl) adipate	845	1120000	0.00126	1.06
103-29-7	1,2-diphenylethane	780	2650000	0.000616	0.488
103-30-0	trans-stilbene	820	2740000	0.000607	0.487
103-44-6	2-ethylhexyl vinyl ether	636	2500000	0.0005282	
103-50-4	dibenzyl ether	777	2560000	0.000608	0.591
103-65-1	propylbenzene	638.35	3200000	0.00044	0.344
103-69-5	N-ethylaniline	698.55	3580000	0.000426	0.415
103-70-8	formanilide	787	4110000	0.000382	0.545
103-71-9	phenyl isocyanate	653	4060000	0.00037	0.412
103-73-1	phenetole	647.15	3420000	0.00039	0.418
103-76-4	1-piperazineethanol	711	4030000	0.000386	0.833
103-84-4	acetanilide	825	3730000	0.00043	0.565
103-90-2	N-(4-hydroxyphenyl)acetamide	736	4260000	0.000452	0.8
10307-61-6	ethyl 2-methylbutanoate, (+)	584	2765000	0.0004445	0.456
10321-71-8	4-methyl-2-pentenoic acid	696	3300000	0.0003894	
10339-67-0	5-methyl-5-hepteN-2-one	635	3160000	0.0004518	
10340-23-5	cis-3-noneN-1-ol	629.65	2467000	0.0005338	0.541
10342-97-9	methyldiisopropylamine	561.82	2967000	0.0004535	0.376
10359-64-5	3-methyl-2-thiapentane	585	3400000	0.00037	0.266
10377-51-2	lithium iodide	2370	17000000	0.0003025	0.457
10377-60-3	magnesium nitrate	989			
104-01-8	4-methoxybenzeneacetic acid	768	3900000	0.00047	0.898
104-13-2	4-butylaniline	690	2985000	0.0005255	0.69
104-40-5	4-nonylphenol	738.5	2090000	0.000757	0.793
104-43-8	4-dodecylphenol	770	1700000	0.0008549	
104-46-1	anethole	723	2900000	0.000482	0.485
104-51-8	butylbenzene	660.5	2890000	0.000497	0.394
104-57-4	benzyl formate	698	3590000	0.000397	0.42
104-72-3	decylbenzene	753	1770000	0.000813	0.68
104-75-6	2-ethylhexylamine	601.45	2652000	0.0005176	0.5
104-76-7	2-ethyl-1-hexanol	640.6	2800000	0.000485	0.556
104-78-9	N,N-diethyl-1,3-propanediamine	689	3450000	0.0004654	
104-79-0	N,N-diethyl-N'-methylethylenediamine	689	3450000	0.0004654	
104-83-6	1-chloro-4-(chloromethyl)benzene	710	3620000	0.000404	0.343
104-87-0	p-tolualdehyde	698	3670000	0.000416	0.442
10403-60-8	2,3,3-trichlorobutane	633.36	3518000	0.0003895	0.271
104035-66-7	4-ethyl-6-methyl-5-hepteN-2-one	675	2560000	0.0005842	
10405-27-3	difluoramine	403	9951000	0.00008906	
104177-72-2	4-isopentylaniline	700	2750000	0.0005661	
10422-35-2	1-bromo-2-methylbutane	590.01	3806000	0.0003715	0.359
10424-38-1	1,2-propanediamine, (±)	587	5270000	0.0002669	0.474
10428-64-5	1,2-dibromo-2-methylbutane	665.93	4211000	0.0004285	0.414
10435-81-1	2-octanethiol, (±)	648	2537000	0.0005247	0.401
10436-75-6	4-methyl-N-isopropylaniline	690	2985000	0.0005255	0.69
10473-14-0	3-methyl-3-buteN-2-ol	573	4550000	0.0002584	
10478-12-3	methyl 2-methyl-2-pentenoate	592.33	2830000	0.000428	0.432
10486-19-8	1-tridecanal	724	2350000	0.000738	0.716
10488-25-2	cis-2-isopropylcyclohexanol	655	3390000	0.0004788	
104934-52-3	3-dodecylthiophene	815	1700000	0.0009796	
10495-45-1	diisobutyl sulfone	767	2540000	0.000569	0.688
10496-15-8	7,8-dithiatetradecane	747.1	1833000	0.0008155	0.692
10496-16-9	8,9-dithiahexadecane	765.96	1565000	0.0009275	0.758
10496-18-1	11,12-dithiadocosane	820.08	1038000	0.0012635	0.83
105-04-4	N,N,N'-triethylethylenediamine	715	3150000	0.0005253	
105-05-5	p-diethylbenzene	657.9	2803000	0.000497	0.403
105-08-8	1,4-cyclohexanedimethanol	724	3530000	0.000445	1.188
105-30-6	2-methyl-1-pentanol	604.4	3450000	0.00038	0.51
105-34-0	methyl cyanoacetate	687	3810000	0.000305	0.541
105-37-3	ethyl propanoate	546	3362000	0.000345	0.394
105-38-4	vinyl propanoate	546	3680000	0.000323	0.38
105-39-5	ethyl chloroacetate	618	3790000	0.000327	0.393
105-41-9	4-methyl-2-hexanamine	565.35	2919000	0.0004593	0.409
105-42-0	4-methyl-2-hexanone	592.42	3022000	0.0004275	0.451
105-43-1	3-methylpentanoic acid	661	3380000	0.000389	0.652
105-45-3	methyl acetoacetate	642	3710000	0.000343	0.513
105-46-4	sec-butyl acetate	561	3170000	0.000389	0.395
105-53-3	diethyl malonate	653	2780000	0.000469	0.616
105-54-4	ethyl butanoate	571	2950000	0.000403	0.401
105-56-6	ethyl cyanoacetate	679	3340000	0.000358	0.558
105-57-7	acetal	539.7	3220000	0.000402	0.487
105-58-8	diethyl carbonate	576	3390000	0.000356	0.486
105-59-9	methyl diethanolamine	675	3880000	0.000368	1.165
105-60-2	epsiloN-caprolactam	806	4770000	0.000356	0.476
105-66-8	propyl butanoate	593.7	2720000	0.000442	0.433
105-67-9	2,4-xylenol	707.65	4400000	0.00039	0.514
105-68-0	isopentyl propanoate	611	2550000	0.000497	0.462
105-76-0	dibutyl maleate	716	1900000	0.000719	0.899
105-79-3	isobutyl hexanoate	637	2200000	0.0006	0.579
105-85-1	citronellyl formate	672	2250000	0.0005784	
10519-33-2	3-deceN-2-one	675	2560000	0.0005842	
10522-26-6	2-methyl-1-undecanol	712.9	1970000	0.0007045	0.635
10523-96-3	4-chloro-2-methyl-1-butene	569.17	3510000	0.0003465	0.281
10524-01-3	4-chloro-3-methyl-1-butene	554.87	3522000	0.0003395	0.277
10524-07-9	5-chloro-trans-2-pentene	576.34	3530000	0.0003445	0.296
10524-08-0	4-chloro-1-pentene	562.47	3522000	0.0003395	0.277
10524-70-6	3,3-dimethyl-1-hexanol	616.63	2844000	0.0004915	0.738
10524-71-7	3-methyl-3-ethyl-1-pentanol	608.48	2844000	0.0004915	0.738
10525-37-8	eicosylamine	794.6	950000	0.00117	0.98
10544-63-5	ethyl 2-butenoate	569	3250000	0.000376	0.434
10544-72-6	nitrogen tetraoxide	431.15	10133000	0.00008249	0.8533
10544-73-7	nitrogen trioxide	425	6990000	0.000195	0.4312
10545-99-0	sulfur dichloride	542	6680000	0.000183	0.2561
10557-44-5	2,5-dimethyl-cis3-hexene	550.28	2718000	0.0004515	0.317
10570-69-1	2,6-dimethyl-4-ethylphenol	713.32	3318000	0.0004215	0.54
10574-36-4	3-methyl-cis2-hexene	549.51	2976000	0.0004085	0.307
10574-37-5	2,3-dimethyl-2-pentene	553.47	2993000	0.0004095	0.282
10575-56-1	3,4,4-trimethyl-2-pentanol	592.43	2894000	0.0004795	0.674
10575-87-8	1,2-dichloroheptane	654.02	2614000	0.0005195	0.442
10580-52-6	vanadium (II) chloride	1918.64			
10588-10-0	2-methylpropyl pentanoate	629	2330000	0.000547	0.596
106-18-3	N-butyl laurate	721	1500000	0.0008756	
106-20-7	bis(2-ethylhexyl)amine	702	1470000	0.000985	0.918
106-21-8	3,7-dimethyl-1-octanol	638.54	2334000	0.0006025	0.852
106-22-9	citronellol	656.59	2236000	0.0006015	0.612
106-23-0	3,7-dimethyl-6-octenal	670	2200000	0.0005823	
106-27-4	3-methylbutyl butanoate	619	2330000	0.0005	0.694
106-30-9	ethyl heptanoate	629	2330000	0.000547	0.596
106-31-0	butyric anhydride	644	2640000	0.000501	0.655
106-32-1	ethyl octanoate	637	2200000	0.0006	0.579
106-33-2	ethyl laurate	695	1660000	0.0008039	
106-35-4	3-heptanone	606.6	2920000	0.000433	0.408
106-36-5	propyl propanoate	568.6	3060000	0.000389	0.449
106-37-6	p-dibromobenzene	761	4660000	0.000372	0.293
106-38-7	p-bromotoluene	699	4370000	0.000379	0.318
106-42-3	p-xylene	616.2	3511000	0.000378	0.322
106-43-4	p-chlorotoluene	660	3910000	0.00036	0.312
106-44-5	p-cresol	704.65	5150000	0.000277	0.513
106-45-6	p-methylthiophenol	716.03	4386000	0.0003735	0.329
106-46-7	p-dichlorobenzene	684.75	4070000	0.000351	0.285
106-47-8	p-chloroaniline	754	4590000	0.000364	0.421
106-48-9	p-chlorophenol	738	5320000	0.000325	0.485
106-49-0	p-toluidine	693.15	4000000	0.000346	0.472
106-50-3	p-phenylenediamine	796	5180000	0.000317	0.539
106-51-4	p-benzoquinone	683	5960000	0.000291	0.495
106-63-8	isobutyl acrylate	587	2950000	0.000433	0.455
106-65-0	dimethyl succinate	657	3280000	0.000424	0.622
106-67-2	4-methyl-2-ethyl-1-pentanol	607.39	2835000	0.0004905	0.773
106-68-3	3-octanone	624	2640000	0.000469	0.528
106-70-7	methyl hexanoate	587.95	2840000	0.000442	0.407
106-72-9	2,6-dimethyl-5-heptenal	650	2600000	0.0004801	
106-73-0	methyl heptanoate	602	2610000	0.000494	0.395
106-88-7	1,2-epoxybutane	526	4390000	0.000258	0.235
106-89-8	α-epichlorohydrin	615	4900000	0.000233	0.252
106-92-3	allyl glycidyl ether	629	3680000	0.000366	0.409
106-93-4	1,2-dibromoethane	650.15	5477000	0.0002616	0.207
106-94-5	1-bromopropane	544	5390000	0.000266	0.285
106-95-6	3-bromo-1-propene	540.2	5139000	0.0002465	0.273
106-97-8	butane	425.12	3796000	0.000255	0.2
106-98-9	1-butene	419.59	4020000	0.0002399	0.187
106-99-0	butadiene (1,3 butadiene)	425.37	4330000	0.0002208	0.193
1066-35-9	chlorodimethylsilane	472	3620000	0.000299	0.253
1067-08-9	3-methyl-3-ethylpentane	576.5	2810000	0.0004551	0.305
1067-09-0	1,3-dichloro-2-(chloromethyl)-2-methylpropane	635.09	3121000	0.0004515	0.345
1067-20-5	3,3-diethylpentane	610.05	2675000	0.000473	0.338
1068-19-5	4,4-dimethylheptane	585.4	2432000	0.000501	0.364
1068-87-7	2,4-dimethyl-3-ethylpentane	591	2530000	0.000512	0.353
1069-53-0	2,3,5-trimethylhexane	579.2	2401000	0.000509	0.364
107-00-6	ethylacetylene	443.2	4950000	0.000222	0.247
107-01-7	2-butene	425.43	4082000	0.0002378	0.199
107-02-8	acrolein	506	5000000	0.000197	0.32
107-03-9	1-propanethiol	536.6	4630000	0.000254	0.232
107-05-1	3-chloro-1-propene	514.15	4710000	0.000234	0.148
107-06-2	1,2-dichloroethane	561.6	5370000	0.00022	0.287
107-07-3	2-chloroethanol	585	5920000	0.000212	0.658
107-08-4	1-iodopropane	593	5030000	0.00029	0.258
107-10-8	propylamine	496.95	4740000	0.00026	0.28
107-11-9	allylamine	505	5170000	0.000247	0.327
107-12-0	propionitrile	564.4	4185000	0.000229	0.325
107-13-1	acrylonitrile	535	4480000	0.000212	0.35
107-15-3	ethylenediamine	593	6290000	0.000264	0.472
107-16-4	hydroxyacetonitrile	664	5930000	0.000195	0.801
107-18-6	allyl alcohol	545.1	5620000	0.000208	0.57
107-19-7	propargyl alcohol	580	6530000	0.000176	0.555
107-20-0	chloroacetaldehyde	555	5370000	0.000201	0.33
107-21-1	ethylene glycol	720	8200000	0.000191	0.507
107-22-2	glyoxal	495	5880000	0.000164	0.413
107-25-5	methyl vinyl ether	437	4670000	0.00021	0.237
107-29-9	acetaldoxime	568	6040000	0.000213	0.638
107-30-2	chloromethyl methyl ether	521	5030000	0.000214	0.27
107-31-3	methyl formate	487.2	5998000	0.000172	0.254
107-39-1	2,4,4-trimethyl-1-pentene	550	2680000	0.000436	0.301
107-40-4	2,4,4-trimethyl-2-pentene	555	2680000	0.000436	0.297
107-41-5	hexylene glycol	621	4010000	0.000398	1.158
107-45-9	tert-octylamine	601.45	2652000	0.0005176	0.5
107-46-0	hexamethyldisiloxane	518.7	1914000	0.000601	0.415
107-47-1	di-tert-butyl sulfide	658.04	2559000	0.0005375	0.447
107-51-7	octamethyltrisiloxane	564.4	1440000	0.000868	0.533
107-52-8	tetradecamethylhexasiloxane	653.2	804000	0.001808	0.785
107-74-4	3,7-dimethyl-1,7-octanediol	716.12	2530000	0.000629	1.315
107-80-2	1,3-dibromobutane	672.32	4717000	0.0003775	0.435
107-81-3	2-bromopentane	585.36	3806000	0.0003715	0.359
107-82-4	1-bromo-3-methylbutane	589.86	3806000	0.0003715	0.359
107-83-5	2-methylpentane	497.7	3040000	0.000368	0.279
107-84-6	1-chloro-3-methylbutane	558.87	3353000	0.0003585	0.293
107-85-7	3-methylbutylamine	544.9	3620000	0.00034	0.416
107-86-8	3-methyl-2-butenal	570	4100000	0.0002715	
107-87-9	methyl propyl ketone	561.08	3694000	0.000301	0.343
107-88-0	1,3-butanediol	676	4020000	0.000305	0.704
107-89-1	3-hydroxybutanal	620	4590000	0.000278	0.797
107-92-6	butanoic acid	615.7	4064000	0.0002917	0.681
107-93-7	trans-2-butenoic acid	666	4700000	0.00027	0.571
107-96-0	3-mercaptopropionic acid	729	5020000	0.000281	0.589
107-98-2	propylene glycol monomethyl ether	553	4340000	0.000294	0.722
1070-01-5	tridecylamine	839.25	607000	0.0017535	
1070-32-2	3-methyl-1-heptanol	616.9	2811000	0.0004965	0.806
1070-78-6	1,1,1,3-tetrachloropropane	654.78	3741000	0.0003885	0.31
1070-83-3	3,3-dimethylbutanoic acid	661	3380000	0.000389	0.652
1070-87-7	2,2,4,4-tetramethylpentane	574.6	2490000	0.000504	0.314
1071-26-7	2,2-dimethylheptane	576.7	2350000	0.000519	0.391
1071-31-4	2,2,7,7-tetramethyloctane	635.1	1839000	0.0006855	0.403
1071-81-4	2,2,5,5-tetramethylhexane	581.4	2190000	0.000584	0.377
1071-84-7	1,1,1-trichlorononane	710.31	2116000	0.0006755	0.52
1071-94-9	trans-5-hepteN-2-one	615	3560000	0.0003913	
1072-05-5	2,6-dimethylheptane	579	2300000	0.00052	0.393
1072-16-8	2,7-dimethyloctane	604	2130000	0.000575	0.442
1072-33-9	tridecyl acetate	732	1320000	0.000925	1.194
1072-39-5	13-docosenoic acid	996	1300000	0.001314	
1072-43-1	2-methylthiacyclopropane	561.1	5236000	0.0002065	0.201
1073-07-0	1,4-cyclooctadiene	645	3900000	0.000366	0.286
1074-11-9	(1,2-dichloroethyl)benzene	735	3300000	0.000446	
1074-17-5	1-methyl-2-propylbenzene	662	2940000	0.000482	0.407
1074-43-7	1-methyl-3-propylbenzene	654	2810000	0.000482	0.413
1074-55-1	1-methyl-4-propylbenzene	656	2810000	0.000482	0.413
1074-92-6	1-methyl-2-tert-butyl benzene	687.73	2660000	0.0005325	0.351
107494-37-1	3-undecanol, (R)-	696.85	2130000	0.0006505	0.596
1075-38-3	1-methyl-3-tert-butylbenzene	671.48	2660000	0.0005325	0.351
1075-74-7	4-pentenylbenzene	703	2800000	0.0005213	
1076-61-5	1,2,3,4-tetrahydro-6,7-dimethylnaphthalene	737.62	2773000	0.0005485	0.424
1077-16-3	hexylbenzene	698	2380000	0.000593	0.479
1078-04-2	2,3-dihydro-1,1,4,7-tetramethyl-1H-indene	749.21	2513000	0.0006045	0.468
1078-71-3	heptylbenzene	714	2180000	0.000648	0.529
108-00-9	N,N-dimethylethylenediamine	612.33	4610000	0.0003161	0.533
108-01-0	dimethylethanolamine	571.82	4140000	0.0003	0.711
108-03-2	1-nitropropane	605	4350000	0.0002888	0.413
108-05-4	vinyl acetate	519.13	3958000	0.00027	0.351
108-08-7	2,4-dimethylpentane	519.8	2740000	0.000418	0.302
108-09-8	2-amino-4-methylpentane	557.83	3376000	0.0003885	0.419
108-10-1	4-methyl-2-pentanone	574.6	3270000	0.000369	0.356
108-11-2	4-methyl-2-pentanol	574.4	3470000	0.00038	0.573
108-16-7	1-(dimethylamino)-2-propanol	626.41	3790000	0.000368	0.841
108-18-9	diisopropylamine	523.1	3200000	0.000418	0.388
108-20-3	diisopropyl ether	500.05	2880000	0.000386	0.339
108-21-4	isopropyl acetate	532	3290000	0.000336	0.368
108-22-5	isopropenyl acetate	555.5	3680000	0.000323	0.355
108-24-7	acetic anhydride	606	4000000	0.00029	0.454
108-29-2	4-methyl-γ-butyrolactone	727	4840000	0.000279	0.403
108-30-5	succinic anhydride	811	6730000	0.000223	0.53
108-31-6	maleic anhydride	721	7280000	0.000219	0.546
108-32-7	propylene carbonate	778	5410000	0.000246	0.442
108-36-1	m-dibromobenzene	761	4660000	0.000372	0.293
108-38-3	m-xylene	617	3541000	0.000375	0.327
108-39-4	m-cresol	705.85	4560000	0.000312	0.448
108-40-7	m-methylthiophenol	716.34	4386000	0.0003735	0.329
108-41-8	m-chlorotoluene	660.18	3853000	0.0003685	0.318
108-42-9	m-chloroaniline	751	4590000	0.000364	0.42
