CASRN	Name 	logP
115-10-6	Dimethyl ether	0.1
68-12-2	N,N-Dimethylformamide	-1.01
573-98-8	1,2-Dimethylnaphthalene	4.31
571-58-4	1,4-Dimethylnaphthalene	4.37
75-84-3	2,2-Dimethyl-1-propanol	1.31
67-71-0	Dimethyl sulfone	-1.41
67-68-5	Dimethyl sulfoxide	-1.35
122-39-4	Diphenylamine	3.44
103-29-7	1,2-Diphenylethane	4.7
101-84-8	Diphenyl ether	4.21
101-81-5	Diphenylmethane	4.14
91-01-0	Diphenylmethanol	2.67
139-66-2	Diphenyl sulfide	4.45
142-84-7	Dipropylamine	1.67
111-43-3	Dipropyl ether	2.03
143-07-7	Dodecanoic acid	4.6
112-53-8	1-Dodecanol	5.13
506-30-9	Eicosanoic acid	9.29
506-32-1	5,8,11,14-Eicosatetraenoic acid, (all-cis)	6.98
13403-37-7	Epichlorohydrin	0.3
64-17-5	Ethanol	-0.3
103-73-1	Ethoxybenzene	2.51
141-78-6	Ethyl acetate	0.73
140-88-5	Ethyl acrylate	1.32
75-04-7	Ethylamine	-0.13
589-16-2	4-Ethylaniline	1.96
100-41-4	Ethylbenzene	3.15
93-89-0	Ethyl benzoate	2.64
3208-16-0	2-Ethylfuran	2.4
97-63-2	Ethyl methacrylate	1.94
624-78-2	Ethylmethylamine	0.15
1127-76-0	1-Ethylnaphthalene	4.4
90-00-6	2-Ethylphenol	2.47
620-17-7	3-Ethylphenol	2.5
123-07-9	4-Ethylphenol	2.5
105-37-3	Ethyl propanoate	1.21
611-14-3	2-Ethyltoluene	3.53
622-96-8	4-Ethyltoluene	3.63
109-92-2	Ethyl vinyl ether	1.04
206-44-0	Fluoranthene	5.07
86-73-7	9H-Fluorene	4.2
486-25-9	9H-Fluoren-9-one	3.58
462-06-6	Fluorobenzene	2.27
2366-52-1	1-Fluorobutane	2.58
593-53-3	Fluoromethane	0.51
592-50-7	1-Fluoropentane	2.33
50-00-0	Formaldehyde	0.35
75-12-7	Formamide	-1.51
64-18-6	Formic acid	-0.54
110-00-9	Furan	1.34
52663-71-5	2,2',3,3',4,4',6-Heptachlorobiphenyl	6.7
142-82-5	Heptane	4.5
111-70-6	1-Heptanol	2.62
52390-72-4	2-Heptanol, (±)-	2.31
26549-25-7	3-Heptanol, (S)-	2.24
589-55-9	4-Heptanol	2.22
110-43-0	2-Heptanone	1.98
592-76-7	1-Heptene	3.99
111-68-2	Heptylamine	2.57
118-74-1	Hexachlorobenzene	5.47
38380-07-3	2,2',3,3',4,4'-Hexachlorobiphenyl	7
33979-03-2	2,2',4,4',6,6'-Hexachlorobiphenyl	7
38411-22-2	2,2',3,3',6,6'-Hexachlorobiphenyl	6.7
67-72-1	Hexachloroethane	4
57-10-3	Hexadecanoic acid	7.17
592-42-7	1,5-Hexadiene	2.8
87-85-4	Hexamethylbenzene	4.69
66-25-1	Hexanal	1.78
110-54-3	Hexane	4
628-73-9	Hexanenitrile	1.66
142-62-1	Hexanoic acid	1.92
111-27-3	1-Hexanol	2.03
20281-86-1	2-Hexanol	1.76
17015-11-1	3-Hexanol	1.65
591-78-6	2-Hexanone	1.38
592-41-6	1-Hexene	3.4
109-49-9	5-Hexen-2-one	1.02
111-26-2	Hexylamine	2.06
1077-16-3	Hexylbenzene	5.52
693-02-7	1-Hexyne	2.73
2550-28-9	5-Hexyn-2-one	0.58
69-72-7	2-Hydroxybenzoic acid	2.2
496-11-7	Indan	3.33
95-13-6	Indene	2.92
120-72-9	1H-Indole	2.14
591-50-4	Iodobenzene	3.28
542-69-8	1-Iodobutane	3
75-03-6	Iodoethane	2
4282-40-0	1-Iodoheptane	4.7
74-88-4	Iodomethane	1.5
107-08-4	1-Iodopropane	2.5
75-28-5	Isobutane	2.8
115-11-7	Isobutene	2.35
538-93-2	Isobutylbenzene	4.01
75-31-0	Isopropylamine	0.26
98-82-8	Isopropylbenzene	3.66
939-48-0	Isopropyl benzoate	3.18
99-87-6	1-Isopropyl-4-methylbenzene	4.1
119-65-3	Isoquinoline	2.08
79-41-4	Methacrylic acid	0.93
67-56-1	Methanol	-0.74
79-16-3	N-Methylacetamide	-1.05
79-20-9	Methyl acetate	0.18
122-00-9	4-Methylacetophenone	2.19
96-33-3	Methyl acrylate	0.8
74-89-5	Methylamine	-0.57
95-53-4	2-Methylaniline	1.32
108-44-1	3-Methylaniline	1.4
106-49-0	4-Methylaniline	1.39
100-61-8	N-Methylaniline	1.66
