I, J, N
1,   1,   1.5736404855259E-03
1,   2,   9.0153761673944E-04
1,   3,   -5.0270077677648E-03
2,   3,   2.2440037409485E-06
2,   9,   -4.1163275453471E-06
3,   7,   3.7919454822955E-08
