J, N
0,   -9.6927686500217E+00
1,   1.0086655968018E+01
-5,  -5.6087911283020E-03
-4,  7.1452738081455E-02
-3,  -4.0710498223928E-01
-2,  1.4240819171444E+00
-1,  -4.3839511319450E+00
2,  -2.8408632460772E-01
3,   2.1268463753307E-02
