CASRN	Name	Tflash	Tautoignition	LFL	UFL
100-41-4	Ethyl Benzene 	288.15	705.15	0.008	0.067
97-95-0	Ethyl Butanol 	330.15		0.012	0.077
106-35-4	Ethyl Butyl Ketone 	319.15			
75-00-3	Ethyl Chloride 	223.15	792.15	0.038	0.154
109-94-4	Ethyl Formate 	253.15	728.15	0.028	0.16
75-08-1	Ethyl Mercaptan 	255.15	573.15	0.028	0.18
100-74-3	n-Ethyl Morpholine 	305.15			
645-62-5	2-Ethyl-3-Propyl Acrolein 	341.15			
50-00-0	Formaldehyde (Gas) 		703.15	0.07	0.73
64-18-6	Formic Acid 	323.15	707.15	0.18	0.57
98-01-1	Furfural 	333.15	589.15	0.021	0.193
98-00-0	Furfuryl Alcohol 	348.15	763.15	0.018	0.163
8006-61-9	Gasoline 	227.15	553.15	0.014	0.076
142-82-5	n-Heptane 	269.15	477.15	0.01	0.067
81624-04-6	n-Heptene 	272.15	477.15		
110-54-3	n-Hexane 	250.15	498.15	0.011	0.075
111-27-3	Hexanol 	336.15			
591-78-6	2-Hexanone 	308.15	697.15	0.012	0.08
592-41-6	Hexene 	247.15	518.15	0.012	0.069
108-84-9	sec-Hexyl Acetate 	318.15			
302-01-2	Hydrazine 	311.15	296.15		0.98
1333-74-0	Hydrogen 		773.15	0.04	0.75
74-90-8	Hydrogen Cyanide 	255.15	811.15	0.056	0.4
7783-07-5	Hydrogen Selenide 				
7783-06-4	Hydrogen Sulfide 		533.15	0.04	0.44
123-92-2	Isoamyl Acetate 	298.15	633.15	0.01	0.075
123-51-3	Isoamyl Alcohol 	316.15	623.15	0.012	0.09
75-28-5	Isobutane 		733.15	0.018	0.084
110-19-0	Isobutyl Acetate 	291.15	694.15	0.024	0.105
106-63-8	Isobutyl Acrylate 		700.15		
78-83-1	Isobutyl Alcohol 	233.15	689.15	0.012	0.109
78-84-2	Isobutyraldehyde 	233.15	469.15	0.016	0.106
107-83-5	Isohexane 		537.15		
78-59-1	Isophorone 	357.15	733.15	0.008	0.038
78-79-5	Isoprene 	219.15	493.15	0.015	0.089
108-21-4	Isopropyl Acetate 		733.15	0.018	0.08
108-20-3	Isopropyl Ether 	245.15	716.15	0.014	0.079
75-31-0	Isopropylamine 	247.15	675.15	0.023	0.104
8008-20-6	Kerosene 	345.15	483.15	0.007	0.05
68476-85-7	Liquefied Petroleum Gas 		678.15		
141-97-9	Mesityl Oxide 	304.15	617.15	0.014	0.072
74-82-8	Methane 		873.15	0.05	0.15
67-56-1	Methanol 	285.15	658.15	0.06	0.36
79-20-9	Methyl Acetate 	263.15	727.15	0.031	0.16
96-33-3	Methyl Acrylate 	270.15	741.15	0.028	0.25
108-11-2	Methyl Amyl Alcohol 	314.15		0.01	0.055
74-87-3	Methyl Chloride 	227.15	905.15	0.081	0.174
115-10-6	Methyl Ether 	232.15	623.15	0.034	0.27
78-93-3	Methyl Ethyl Ketone 	267.15	677.15	0.014	0.114
534-15-6	Methyl Formal 	274.15	511.15		
107-31-3	Methyl Formate 	254.15	722.15	0.045	0.23
31394-54-4	2-Methylhexane 		553.15		
141-79-7	Methyl Isobutyl Ketone 	304.15	713.15	0.012	0.08
624-83-9	Methyl Isocyanate 	258.15	807.15	0.053	0.26
74-93-1	Methyl Mercaptan 	255.15		0.039	0.218
80-62-6	Methyl Methacrylate 	283.15	695.15	0.017	0.082
110-43-0	Methyl N-Amyl Ketone 	322.15	666.15	0.011	0.079
1634-04-4	Methyl Tertiary Butyl Ether 	193.15	708.15	0.016	0.084
3221-61-2	2-Methyloctane 		493.15		
75-65-0	Methyl-2-Propanol 	283.15	633.15	0.024	0.08
104-90-5	2-Methyl-5-Ethyl Pyridine 	347.15		0.011	0.066
74-99-7	Methylacetylene 			0.017	
109-87-5	Methylal 	255.15	510.15	0.016	0.176
74-89-5	Methylamine 		703.15	0.049	0.207
78-78-4	2-Methylbutane 	217.15	693.15	0.014	0.083
108-87-2	Methylcyclohexane 	269.15	523.15	0.012	0.067
590-67-0	Methylcyclohexanol 	341.15	569.15		
592-27-8	2-Methylheptane 		693.15		
589-34-4	3-Methylhexane 		553.15		
96-14-0	3-Methylpentane 		551.15		
2216-32-2	2-Methyloctane 		493.15		
2216-33-3	3-Methyloctane 		493.15		
2216-34-4	4-Methyloctane 		498.15		
141-43-5	Monoethanolamine 	358.15	683.15		
78-96-6	Monoisopropanolamine	350.15	647.15		
100-61-8	Monomethyl Aniline 		755.15		
60-34-4	Monomethyl Hydrazine 	296.15	467.15	0.025	0.92
110-91-8	Morpholine 	308.15	583.15	0.014	0.112
8030-30-6	Naphtha (Petroleum) 	315.15	561.15	0.011	0.059
463-82-1	Neopentane 	208.15	723.15	0.014	0.083
98-95-3	Nitrobenzene 	361.15	755.15	0.018	
79-24-3	Nitroethane 	301.15	687.15	0.034	
75-52-5	Nitromethane 	308.15	691.15	0.073	
108-03-2	1-Nitropropane 	307.15	694.15	0.022	
79-46-9	2-Nitropropane 	301.15	701.15	0.026	0.11
111-84-2	n-Nonane 	304.15	478.15	0.008	0.029
124-11-8	Nonene 			0.008	
143-08-8	Nonyl Alcohol 			0.008	0.061
111-65-9	n-Octane 	286.15	479.15	0.01	0.065
25377-83-7	Octene 	281.15	503.15	0.009	
109-66-0	n-Pentane 	233.15	516.15	0.015	0.078
71-41-0	1-Pentanol 	306.15	573.15	0.012	0.1
107-87-9	2-Pentanone 	280.15	725.15	0.015	0.082
109-67-1	1-Pentene 	255.15	548.15	0.015	0.087
109-68-2	2-Pentene 	255.15			
100-63-0	Phenylhydrazine 	362.15			
74-98-6	2 Propane 		723.15	0.021	0.095
71-23-8	1-Propanol 	288.15	686.15	0.022	0.137
67-63-0	2-Propanol 	285.15	672.15	0.02	0.127
57-57-8	Propiolactone 			0.029	
123-38-6	Propionaldehyde 	264.15	480.15	0.026	0.17
79-09-4	Propionic Acid 	327.15	739.15	0.029	0.121
123-62-6	Propionic Anhydride 	347.15	558.15	0.013	0.095
109-60-4	n-Propyl Acetate 	287.15	723.15	0.017	0.08
111-43-3	n-Propyl Ether 	294.15	488.15	0.013	0.07
627-13-4	Propyl Nitrate 	293.15	448.15	0.02	1
115-07-1	Propylene 		733.15	0.024	0.103
78-87-5	Propylene Dichloride 	289.15	830.15	0.034	0.145
75-56-9	Propylene Oxide 	236.15	722.15	0.023	0.36
110-86-1	Pyridine 	293.15	755.15	0.018	0.124
100-42-5	Styrene 	304.15	763.15	0.009	0.068
109-99-9	Tetrahydrofuran 	259.15	594.15	0.02	0.118
119-64-2	Tetrahydronaphthalene		658.15	0.008	0.05
75-74-1	Tetramethyl Lead 	311.15			
108-88-3	Toluene 	277.15	753.15	0.011	0.071
2437-56-1	n-Tridecene 			0.006	
121-44-8	Triethylamine 	264.15	522.15	0.012	0.08
25340-18-5	Triethylbenzene 	356.15			0.56
102-69-2	Tripropylamine 	314.15			
8006-64-2	Turpentine 	308.15	526.15	0.008	
28761-27-5	n-Undecene 			0.007	
57-14-7	Unsymmetrical Dimethyl Hydrazine 	258.15	522.15	0.02	0.95
110-62-3	Valeraldehyde 	553.15	495.15		
108-05-4	Vinyl Acetate 	267.15	675.15	0.026	0.134
75-01-4	Vinyl Chloride 	195.15	745.15	0.036	0.33
25013-15-4	Vinyl Toluene 	325.15	767.15	0.008	0.11
75-35-4	Vinylidene Chloride 		843.15	0.065	0.155
1330-20-7	Xylene 	298.15	737.15	0.009	0.07
121-69-7	Xylidine 	336.15	644.15	0.01	
