CASRN	Chemical	Formula	Hfus
108-45-2	1,3-Benzenediamine	C6H8N2	15570
108-46-3	Resorcinol	C6H6O2	20400
108-67-8	1,3,5-Trimethylbenzene	C9H12	9510
108-68-9	3,5-Xylenol	C8H10O	17400
108-70-3	1,3,5-Trichlorobenzene	C6H3Cl3	18100
108-86-1	Bromobenzene	C6H5Br	10700
108-87-2	Methylcyclohexane	C7H14	6750
108-88-3	Toluene	C7H8	6640
108-89-4	4-Methylpyridine	C6H7N	12580
108-90-7	Chlorobenzene	C6H5Cl	9600
108-91-8	Cyclohexylamine	C6H13N	17500
108-93-0	Cyclohexanol	C6H12O	1780
108-94-1	Cyclohexanone	C6H10O	1328
108-95-2	Phenol	C6H6O	11510
108-98-5	Benzenethiol	C6H6S	11480
108-99-6	3-Methylpyridine	C6H7N	14180
109-06-8	2-Methylpyridine	C6H7N	9720
109-52-4	Pentanoic acid	C5H10O2	14160
109-64-8	1,3-Dibromopropane	C3H6Br2	14600
109-65-9	1-Bromobutane	C4H9Br	9230
109-66-0	Pentane	C5H12	8400
109-67-1	1-Pentene	C5H10	5940
109-79-5	1-Butanethiol	C4H10S	10460
109-87-5	Dimethoxymethane	C3H8O2	8330
109-93-3	Divinyl ether	C4H6O	7900
109-97-7	Pyrrole	C4H5N	7910
109-99-9	Tetrahydrofuran	C4H8O	8540
110-00-9	Furan	C4H4O	3800
110-01-0	Tetrahydrothiophene	C4H8S	7350
110-02-1	Thiophene	C4H4S	5070
110-15-6	Succinic acid	C4H6O4	32400
110-53-2	1-Bromopentane	C5H11Br	14370
110-54-3	Hexane	C6H14	13080
110-59-8	Pentanenitrile	C5H9N	9000
110-61-2	Succinonitrile	C4H4N2	3700
110-63-4	1,4-Butanediol	C4H10O2	18700
110-66-7	1-Pentanethiol	C5H12S	17530
110-71-4	1,2-Dimethoxyethane	C4H10O2	12600
110-82-7	Cyclohexane	C6H12	2680
110-83-8	Cyclohexene	C6H10	3290
110-86-1	Pyridine	C5H5N	8280
110-88-3	1,3,5-Trioxane	C3H6O3	15110
110-89-4	Piperidine	C5H11N	14850
110-91-8	Morpholine	C4H9NO	14500
110-94-1	Pentanedioic acid	C5H8O4	20300
111-14-8	Heptanoic acid	C7H14O2	15130
111-20-6	Decanedioic acid	C10H18O4	40800
111-25-1	1-Bromohexane	C6H13Br	18100
111-27-3	1-Hexanol	C6H14O	15380
111-43-3	Dipropyl ether	C6H14O	10800
111-65-9	Octane	C8H18	20730
111-66-0	1-Octene	C8H16	15310
111-70-6	1-Heptanol	C7H16O	18170
111-71-7	Heptanal	C7H14O	23200
111-83-1	1-Bromooctane	C8H17Br	24700
111-84-2	Nonane	C9H20	15470
111-87-5	1-Octanol	C8H18O	23700
112-05-0	Nonanoic acid	C9H18O2	19820
112-30-1	1-Decanol	C10H22O	43000
112-31-2	Decanal	C10H20O	34500
112-40-3	Dodecane	C12H26	36800
