CAS	Chemical	C
99-93-4	4-hydroxyacetophenone	1.3404
25714-71-0	4-hydroxybutyraldehyde	20.5656
3006-96-0	4-hydroxymethyl benzoic acid	39.2321
2628-17-3	4-hydroxystyrene	-3.634
63444-56-4	4-isobutylstyrene	-7.5205
104-01-8	4-methoxyphenylacetic acid	19.8153
7372-88-5	4-methyl dibenzothiophene	-7.4342
15870-10-7	2-methyl-1-heptene	-14.0648
3769-23-1	4-methyl-1-hexene	-17.2062
38514-03-3	4-methyl-1-octanol	18.7499
691-37-2	4-methyl-1-pentene	-22.4054
108-11-2	4-methyl-2-pentanol	4.0391
691-38-3	4-methyl-cis-2-pentene	-21.7096
34885-03-5	4-methyl-cyclohexane-methanol	6.7334
1759-81-5	4-methylcyclopentene	-22.7549
589-53-7	4-methylheptane	-12.6456
17301-94-9	4-methylnonane	-5.4534
2216-34-4	4-methyloctane	-10.337
832-64-4	4-methylphenanthrene	-8.5454
108-89-4	4-methylpyridine	-18.5358
674-76-0	4-methyl-trans-2-pentene	-20.9333
4485-09-0	4-nonanone	-3.5335
589-63-9	4-octanone	-7.196
16219-75-3	5-ethylidene-2-norbornene	-16.9633
934-74-7	5-ethyl-m-xylene	-10.5468
109-49-9	5-hexen-2-one	-9.767
627-98-5	5-methyl-1-hexanol	15.8249
3524-73-0	5-methyl-1-hexene	-16.3934
110-12-3	5-methyl-2-hexanone	-8.9812
15869-85-9	5-methylnonane	-8.2148
502-56-7	5-nonanone	-3.3845
6047-69-4	5-o-tolyl-2-pentene	-5.7198
373-04-6	6-aminohexanamide	7.6301
4048-33-3	6-aminohexanol	26.8847
1191-25-9	6-hydroxyhexanoic acid	37.9736
5026-76-6	6-methyl-1-heptene	-13.6602
38514-05-5	6-methyl-1-octanol	19.3004
13151-06-9	7-methyl-1-octene	-9.9267
148-24-3	8-hydroxyquinoline	-3.2766
55505-26-5	8-methyl-1-nonanol	6.5264
26741-24-2	8-methyl-1-nonene	-7.1384
611-32-5	8-methylquinoline	-14.9261
514-10-3	abietic acid	24.6823
208-96-8	acenaphthalene	-11.4095
83-32-9	acenaphthene	-8.9996
105-57-7	acetal	-7.7312
75-07-0	acetaldehyde	-24.3015
107-89-1	acetaldol	16.4437
107-29-9	acetaldoxime	6.9379
60-35-5	acetamide	-7.9519
103-90-2	acetaminophen	14.6777
103-84-4	acetanilide	-0.8731
64-19-7	acetic acid	-39.8564
108-24-7	acetic anhydride	-5.6747
102-01-2	acetoacetanilide	11.8046
541-50-4	acetoacetic acid	11.2082
116-09-6	acetol	6.0395
828-00-2	acetomethoxane	5.8069
67-64-1	acetone	-17.7857
75-86-5	acetone cyanohydrin	15.6094
75-05-8	acetonitrile	-18.756
98-86-2	acetophenone	-12.649
498-02-2	acetovanillone	12.8679
13831-30-6	acetoxyacetic acid	9.7643
75-36-5	acetyl chloride	-19.9581
123-54-6	acetylacetone	-25.424
50-78-2	acetylsalicylic acid	15.9121
260-94-6	acridine	-10.0031
107-02-8	acrolein	-20.2507
5809-59-6	acrolein cyanohydrin	19.1219
79-06-1	acrylamide	-5.774
79-10-7	acrylic acid	-29.5069
107-13-1	acrylonitrile	-17.2137
24615-84-7	acryloxy propionic acid	15.0904
281-23-2	adamantane	-26.1195
124-04-9	adipic acid	13.9041
111-69-3	adiponitrile	4.5962
1857-24-5	agathadiol	37.6783
591-87-7	allyl acetate	-12.8372
999-55-3	allyl acrylate	-6.4416
107-18-6	allyl alcohol	3.9639
106-92-3	allyl glycidyl ether	-9.331
96-05-9	allyl methacrylate	-10.7623
107-11-9	allylamine	-14.6948
39972-78-6	allyl-tert-butylperoxide	-10.1395
540-61-4	aminoacetonitrile	-5.0281
2432-74-8	aminocapronitrile	5.446
7664-41-7	ammonia	-23.5777
104-46-1	anethole	-5.7732
62-53-3	aniline	-13.4793
100-66-3	anisole	-14.5159
120-12-7	anthracene	-8.2138
84-65-1	anthraquinone	0.947
10025-91-9	antimony trichloride	-27.2284
7784-34-1	arsenic (iii) chloride	-17.5291
1327-53-3	arsenic trioxide	-33.7127
7784-42-1	arsine	-47.189
50-81-7	ascorbic acid	102.2858
123-99-9	azelaic acid	23.806
100-52-7	benzaldehyde	-17.0255
55-21-0	benzamide	-0.3676
56-55-3	benzanthracene	-2.4397
71-43-2	benzene	-24.8706
204446	benzene-1,2,4-tricarboxylic acid trimethyl ester	17.2479
92-87-5	benzidine	7.8633
65-85-0	benzoic acid	5.7784
100-47-0	benzonitrile	-14.0316
119-61-9	benzophenone	-7.2607
95-15-8	benzothiophene	-19.557
98-07-7	benzotrichloride	-20.9804
98-08-8	benzotrifluoride	-17.1279
98-88-4	benzoyl chloride	-10.5024
94-36-0	benzoyl peroxide	17.8297
140-11-4	benzyl acetate	-6.4983
100-51-6	benzyl alcohol	-9.1925
120-51-4	benzyl benzoate	-1.473
100-44-7	benzyl chloride	-16.3203
98-87-3	benzyl dichloride	-17.3073
539-30-0	benzyl ethyl ether	-9.2209
104-57-4	benzyl formate	-9.5056
100-53-8	benzyl mercaptan	-17.2459
100-46-9	benzylamine	-11.0973
279-23-2	bicyclo[2.2.1]heptane	-27.5021
92-51-3	bicyclohexyl	-11.6
92-52-4	biphenyl	-11.4809
93-96-9	bis(alpha-methylbenzyl) ether	-5.485
2752-17-2	bis-(2-aminoethyl)ether	6.8035
959-26-2	bis-(2-hydroxyethyl) terephthalate	55.3266
542-88-1	bis(chloromethyl)ether	-15.463
1656-48-0	bis(cyanoethyl)ether	11.4949
1691-17-4	bis(difluoromethyl)ether	-10.2952
56706-10-6	bis[3-(triethoxysilyl)propyl]disulfide	13.4208
35112-74-4	bis[3-(trimethoxysilyl)propyl]disulfide	31.0531
80-05-7	bisphenol a	24.872
10294-33-4	boron tribromide	-23.1671
10294-34-5	boron trichloride	-28.2996
7726-95-6	bromine	-33.3754
108-86-1	bromobenzene	-22.284
353-59-3	bromochlorodifluoromethane	-27.8375
74-97-5	bromochloromethane	-24.9816
1511-62-2	bromodifluoromethane	-19.2993
74-96-4	bromoethane	-26.8087
74-83-9	bromomethane	-30.9963
75-62-7	bromotrichloromethane	-26.44
598-73-2	bromotrifluoroethylene	-28.1248
75-63-8	bromotrifluoromethane	-29.9922
123-72-8	butanal	-18.9353
111-34-2	butyl vinyl ether	-11.6202
106-31-0	butyric anhydride	2.2386
79-92-5	camphene	-18.1924
76-22-2	camphor	-16.4368
463-72-9	carbamyl chloride	-4.705
75-15-0	carbon disulfide	-34.8722
56-23-5	carbon tetrachloride	-26.4347
463-58-1	carbonyl sulfide	-37.517
2495-27-4	cetyl methacrylate	20.4495
7782-50-5	chlorine	-37.7734
10049-04-4	chlorine dioxide	-23.2781
7790-91-2	chlorine trifluoride	-9.2883
107-20-0	chloroacetaldehyde	-14.3971
79-11-8	chloroacetic acid	0.1106
79-04-9	chloroacetyl chloride	-17.4537
75-45-6	chlorodifluoromethane	-24.2394
593-70-4	chlorofluoromethane	-27.9133
67-66-3	chloroform	-24.7859
107-30-2	chloromethyl methyl ether	-19.4431
126-99-8	chloroprene	-26.6785
7790-94-5	chlorosulfonic acid	-22.2719
79-38-9	chlorotrifluoroethylene	-22.6153
218-01-9	chrysene	-0.542
140-10-3	cinnamic acid	9.0787
5194-50-3	cis,trans-2,4-hexadiene	-19.1412
156-59-2	cis-1,2-dichloroethylene	-28.2477
112134	cis-1,2-dimethylcyclohexane	-21.7108
1192-18-3	cis-1,2-dimethylcyclopentane	-21.0048
10061-01-5	cis-1,3-dichloropropene	-22.0976
638-04-0	cis-1,3-dimethylcyclohexane	-21.6187
2532-58-3	cis-1,3-dimethylcyclopentane	-20.1923
1574-41-0	cis-1,3-pentadiene	-25.9463
624-29-3	cis-1,4-dimethylcyclohexane	-21.5996
565-48-0	cis-1,8-terpin	31.7613
766-90-5	cis-1-propenylbenzene	-15.5144
590-18-1	cis-2-butene	-25.8653
6117-80-2	cis-2-butene-1,4-diol	33.5696
20348-51-0	cis-2-decene	-5.5799
7206-26-0	cis-2-dodecene	-0.19
6443-92-1	cis-2-heptene	-15.4937
7688-21-3	cis-2-hexene	-18.1768
7443-70-1	cis-2-methylcyclohexanol	7.3141
6434-77-1	cis-2-nonene	-8.3491
2097322	cis-2-octene	-12.7022
627-20-3	cis-2-pentene	-21.7307
768-00-3	cis-2-phenylbutene-2	-14.069
2097503	cis-3-heptene	-17.8032
2097470	cis-3-hexene	-19.1116
5454-79-5	cis-3-methylcyclohexanol	10.7992
14850-22-7	cis-3-octene	-13.0222
7731-28-4	cis-4-methylcyclohexanol	8.9445
7642-15-1	cis-4-octene	-12.5605
15798-64-8	cis-crotonaldehyde	-15.3433
503-64-0	cis-crotonic acid	8.3535
1190-76-7	cis-crotonitrile	-15.546
493-01-6	cis-decahydronaphthalene	-20.2764
2141-58-4	cis-dicyano-1-butene	5.4803
645-49-8	cis-stilbene	-7.7382
498-23-7	citraconic acid	21.4013
77-92-9	citric acid	83.6061
52458-04-5	crotyl glycol ether	0.2592
98-82-8	cumene	-16.0767
460-19-5	cyanogen	-20.1428
506-77-4	cyanogen chloride	-17.5124
287-23-0	cyclobutane	-28.7652
291-64-5	cycloheptane	-22.6802
628-92-2	cycloheptene	-20.9665
110-82-7	cyclohexane	-25.0328
108-93-0	cyclohexanol	-7.2705
108-94-1	cyclohexanone	-18.2706
100-64-1	cyclohexanone oxime	-6.6723
110-83-8	cyclohexene	-24.9709
622-45-7	cyclohexyl acetate	-9.009
4351-54-6	cyclohexyl formate	-13.9728
3173-53-3	cyclohexyl isocyanate	-1.5876
1569-69-3	cyclohexyl mercaptan	-21.3026
766-07-4	cyclohexyl hydroperoxide	13.4215
108-91-8	cyclohexylamine	-17.5353
827-52-1	cyclohexylbenzene	-11.8421
292-64-8	cyclooctane	-21.4085
931-88-4	cyclooctene	-18.6832
542-92-7	cyclopentadiene	-29.4676
287-92-3	cyclopentane	-26.7444
120-92-3	cyclopentanone	-18.8446
142-29-0	cyclopentene	-26.8761
1123-00-8	cyclopentylacetic acid	4.2159
1003-03-8	cyclopentylamine	-14.9675
75-19-4	cyclopropane	-33.9077
1759-53-1	cyclopropane carboxylic acid	-9.996
6228-73-5	cyclopropanecarboxamide	1.422
5500-21-0	cyclopropyl cyanide	-14.0739
765-30-0	cyclopropylamine	-18.5817
541-02-6	decamethylcyclopentasiloxane	3.5468
141-62-8	decamethyltetrasiloxane	5.6246
112-47-0	decan-1,10-diol	20.0954
112-31-2	decanal	-2.0094
1740-19-8	dehydroabietic acid	17.0666
1446-61-3	dehydroabietylamine	7.2946
50-99-7	dextrose	102.4199
111-91-1	di-(2-chloroethoxy)methane	-2.7529
111-44-4	di(2-chloroethyl)ether	-17.7143
103-23-1	di(2-ethylhexyl)adipate	11.5601
6422-86-2	di(2-ethylhexyl)terephthalate	34.067
106-20-7	di-2-ethylhexylamine	18.0178
123-42-2	diacetone alcohol	8.8187
999-21-3	diallyl maleate	13.4645
131-17-9	diallyl phthalate	8.7479
592-88-1	diallyl sulfide	-29.7404
124-02-7	diallylamine	-6.2693
2292-79-7	diamantane	-27.6526
927-49-1	diamyl ketone	-5.0955
2050-92-2	diamylamine	6.6648
132-64-9	dibenzofuran	-13.1226
86-74-8	dibenzopyrrole	-7.082
132-65-0	dibenzothiophene	-12.8051
103-50-4	dibenzyl ether	-2.1052
75-61-6	dibromodifluoromethane	-32.4236
74-95-3	dibromomethane	-25.8382
105-76-0	dibutyl maleate	18.7422
109-43-3	dibutyl sebacate	29.0786
79-02-7	dichloroacetaldehyde	-14.0479
79-43-6	dichloroacetic acid	0.4684
79-36-7	dichloroacetyl chloride	-16.8026
1719-53-5	dichlorodiethylsilane	-14.4424
75-71-8	dichlorodifluoromethane	-27.9321
75-43-4	dichlorofluoromethane	-25.014
75-09-2	dichloromethane	-25.372
4109-96-0	dichlorosilane	-24.6676
80-43-3	dicumyl peroxide	-9.0287
461-58-5	dicyandiamide	7.6409
7133-46-2	dicyclohexyl sulfide	-11.9268
101-83-7	dicyclohexylamine	-9.0626
77-73-6	dicyclopentadiene	-18.4049
111-42-2	diethanolamine	23.5998
105-58-8	diethyl carbonate	-8.1856
110-81-6	diethyl disulfide	-16.7242
60-29-7	diethyl ether	-18.8862
141-05-9	diethyl maleate	5.0136
105-53-3	diethyl malonate	3.9294
95-92-1	diethyl oxalate	4.2249
84-66-2	diethyl phthalate	2.0187
123-25-1	diethyl succinate	3.1111
64-67-5	diethyl sulfate	-12.7954
352-93-2	diethyl sulfide	-19.5756
96-10-6	diethylaluminum chloride	-14.9066
109-89-7	diethylamine	-16.3321
111-46-6	diethylene glycol	2.0358
112-36-7	diethylene glycol diethyl ether	5.8112
111-96-6	diethylene glycol dimethyl ether	0.7728
112-73-2	diethylene glycol di-n-butyl ether	13.5954
112-15-2	diethylene glycol ethyl ether acetate	7.4362
124-17-4	diethylene glycol monobutyl ether acetate	16.8575
6881-94-3	diethylene glycol monopropyl ether	0.8056
111-40-0	diethylenetriamine	3.3733
100-37-8	diethylethanolamine	8.2207
623-81-4	diethylsulfite	-8.6015
75-10-5	difluoromethane	-20.9575
359-15-9	difluoromethyl methyl ether	-29.4944
110-99-6	diglycolic acid	30.518
110-33-8	dihexyl adipate	26.233
75-11-6	diiodomethane	-28.5254
628-55-7	diisobutyl ether	-10.6911
108-83-8	diisobutyl ketone	-4.9216
84-69-5	diisobutyl phthalate	18.1631
1779-25-5	diisobutylaluminum chloride	27.6638
110-96-3	diisobutylamine	-4.8207
26761-40-0	diisodecyl phthalate	21.1832
28553-12-0	diisononyl phthalate	21.2816
27554-26-3	diisooctyl phthalate	24.0778
544-02-5	diisopentylsulfide	1.5921
110-97-4	diisopropanolamine	50.7149
108-20-3	diisopropyl ether	-14.3112
565-80-0	diisopropyl ketone	-9.6964
625-80-9	diisopropyl sulfide	-17.0937
108-18-9	diisopropylamine	-16.8537
674-82-8	diketene	-11.2272
19201-34-4	dilactic acid	22.2718
95-96-5	dilactide (dl)	38.5009
91352	dimercaptoethyl ether	-9.8116
616-38-6	dimethyl carbonate	-12.5594
624-92-0	dimethyl disulfide	-25.0113
115-10-6	dimethyl ether	-27.0168
1459-93-4	dimethyl isophthalate	-2.4819
624-48-6	dimethyl maleate	-0.1674
131-11-3	dimethyl phthalate	4.9012
1111-74-6	dimethyl silane	-32.6045
106-65-0	dimethyl succinate	1.6347
77-78-1	dimethyl sulfate	-21.8998
75-18-3	dimethyl sulfide	-27.0032
67-68-5	dimethyl sulfoxide	-17.0655
120-61-6	dimethyl terephthalate	-0.4904
94-60-0	dimethyl-1,4-cyclohexanedicarboxylate	3.1436
840-65-3	dimethyl-2,6-naphthalenedicarboxylate	4.4666
503-17-3	dimethylacetylene	-22.3601
1184-58-3	dimethylaluminum chloride	-23.0627
124-40-3	dimethylamine	-15.1927
1066-35-9	dimethylchlorosilane	-24.6773
75-78-5	dimethyldichlorosilane	-19.4928
1112-39-6	dimethyldimethoxysilane	-16.6893
108-01-0	dimethylethanolamine	12.461
108-59-8	dimethylmalonate	13.4205
142-96-1	di-n-butyl ether	-7.3457
84-74-2	di-n-butyl phthalate	16.2069
625-22-9	di-n-butyl sulfate	0.0944
544-40-1	di-n-butyl sulfide	-5.7003
598-04-9	di-n-butyl sulfone	6.3405
111-92-2	di-n-butylamine	-3.1598
84-77-5	di-n-decyl phthalate	12.0418
3648-21-3	di-n-heptyl phthalate	25.3403
112-58-3	di-n-hexyl ether	8.4172
84-75-3	di-n-hexyl phthalate	28.5559
84-76-4	di-n-nonyl phthalate	15.2393
629-82-3	di-n-octyl ether	19.6897
288761	di-n-octyl sulfide	14.1556
4654-26-6	di-n-octyl terephthalate	24.8748
1120-48-5	di-n-octylamine	12.9151
1323-65-5	dinonylphenol	25.8588
693-65-2	di-n-pentyl ether	0.9515
629-19-6	di-n-propyl disulfide	-10.1525
111-43-3	di-n-propyl ether	-13.8588
131-16-8	di-n-propyl phthalate	12.2638
111-47-7	di-n-propyl sulfide	-13.3867
598-03-8	di-n-propyl sulfone	0.735
142-84-7	di-n-propylamine	-7.859
3648-20-2	di-n-undecyl phthalate	2.8397
123-79-5	dioctyl adipate	21.1528
117-81-7	dioctyl phthalate	23.7824
882-33-7	diphenyl disulfide	1.0455
101-84-8	diphenyl ether	-10.5051
501-65-5	diphenylacetylene	-13.0028
122-39-4	diphenylamine	-4.1593
80-10-4	diphenyldichlorosilane	-8.3671
101-81-5	diphenylmethane	-7.6059
101-68-8	diphenylmethane-4,4'-diisocyanate	40.8874
2432-63-5	dipropyl maleate	12.3042
25265-71-8	dipropylene glycol	35.7112
30025-38-8	dipropylene glycol monoethyl ether	18.8624
34590-94-8	dipropylene glycol monomethyl ether	13.4722
88917-22-0	dipropylene glycol monomethyl ether acetate	6.8902
29911-28-2	dipropylene glycol n-butyl ether	24.1912
29911-27-1	dipropylene glycol n-propyl ether	19.3681
132739-31-2	dipropylene glycol t-butyl ether	25.9842
6863-58-7	di-sec-butyl ether	-10.0096
1590-87-0	disilane	-35.2022
110-05-4	di-t-butyl peroxide	-10.386
110-06-5	di-tert-butyl disulfide	-12.1436
6163-66-2	di-tert-butyl ether	-15.1615
107-47-1	di-tert-butyl sulfide	-17.1254
109-93-3	divinyl ether	-18.7665
5989-27-5	d-limonene	-14.5852
540-97-6	dodecamethylcyclohexasiloxane	7.2218
141-63-9	dodecamethylpentasiloxane	7.8796
112-54-9	dodecanal	6.9779
74-84-0	ethane	-39.8666
594-44-5	ethanesulfonyl chloride	-13.5408
64-17-5	ethanol	9.6092
141-78-6	ethyl acetate	-12.3992
141-97-9	ethyl acetoacetate	0.0318
140-88-5	ethyl acrylate	-11.2856
563-43-9	ethyl aluminum dichloride	-1.5449
12075-68-2	ethyl aluminum sesquichloride	-13.6593
93-89-0	ethyl benzoate	-6.2529
75-00-3	ethyl chloride	-26.2849
541-41-3	ethyl chloroformate	23.4938
105-56-6	ethyl cyanoacetate	13.9929
353-36-6	ethyl fluoride	-25.6665
109-94-4	ethyl formate	-18.1907
540-82-9	ethyl hydrogen sulfate	-4.4817
3031-74-1	ethyl hydroperoxide	-1.2132
75-03-6	ethyl iodide	-26.3542
624-42-0	ethyl isoamyl ketone	-6.3263
627-02-1	ethyl isobutyl ether	-12.5716
97-62-1	ethyl isobutyrate	-8.8812
625-54-7	ethyl isopropyl ether	-17.0156
565-69-5	ethyl isopropyl ketone	-10.8893
108-64-5	ethyl isovalerate	-8.3922
97-64-3	ethyl lactate	3.0688
539-88-8	ethyl levulinate	2.4127
75-08-1	ethyl mercaptan	-26.8885
97-63-2	ethyl methacrylate	-15.3052
20333-39-5	ethyl methyl disulfide	-18.8859
105-54-4	ethyl n-butyrate	-8.7152
5756-43-4	ethyl n-hexyl ether	-3.8506
3698-94-0	ethyl n-octyl sulfide	-4.893
26158-99-6	ethyl n-pentyl sulfide	-7.9455
101-97-3	ethyl phenyl acetate	-2.6921
105-37-3	ethyl propionate	-11.4939
30453-31-7	ethyl propyl disulfide	-12.1813
628-32-0	ethyl propyl ether	-21.6898
4110-50-3	ethyl propyl sulfide	-15.8496
14290-92-7	ethyl t-butyl sulfide	-18.7903
919-94-8	ethyl tert-pentyl ether	-14.1373
625-60-5	ethyl thiolacetate	-16.2648
3938-95-2	ethyl trimethyl acetate	-10.5824
121-32-4	ethyl vanillin	30.2597
109-92-2	ethyl vinyl ether	-19.8804
763-69-9	ethyl-3-ethoxypropionate	-3.8794
107-00-6	ethylacetylene	-21.7321
462-95-3	ethylal	-10.3219
75-04-7	ethylamine	-16.724
100-41-4	ethylbenzene	-18.346
3071-32-7	ethylbenzene hydroperoxide	15.2366
105-39-5	ethylchloroacetate	-10.077
1678-91-7	ethylcyclohexane	-20.8468
1640-89-7	ethylcyclopentane	-20.2973
96-49-1	ethylene carbonate	-11.458
107-21-1	ethylene glycol	-0.2454
1559-35-9	ethylene glycol 2-ethylhexyl ether	22.2441
111-55-7	ethylene glycol diacetate	-1.2571
136911	ethylene glycol diacrylate	5.4019
628-96-6	ethylene glycol dinitrate	15.5408
112-07-2	ethylene glycol monobutyl ether acetate	-5.0415
2807-30-9	ethylene glycol monopropyl ether	-0.9566
75-21-8	ethylene oxide	-26.5977
107-15-3	ethylenediamine	-6.4247
60-00-4	ethylenediaminetetraacetic acid	60.015
151-56-4	ethyleneimine	-20.8813
542-10-9	ethylidene diacetate	-1.7254
15403-89-1	ethylnorbornene	-21.1405
110-77-0	ethylthioethanol	7.6553
115-21-9	ethyltrichlorosilane	-18.8335
536-74-3	ethynylbenzene	-23.0471
206-44-0	fluoranthene	-6.5568
86-73-7	fluorene	-11.1334
462-06-6	fluorobenzene	-21.9983
50-00-0	formaldehyde	-26.7916
75-12-7	formamide	-9.3964
103-70-8	formanilide	-1.6392
110-17-8	fumaric acid	26.2951
764-42-1	fumaronitrile	0.5753
110-00-9	furan	-24.4929
98-01-1	furfural	-12.7871
98-00-0	furfuryl alcohol	11.8398
13450-90-3	gallium trichloride	-9.3917
7782-65-2	germanium tetrahydride	-42.4324
111-30-8	glutaraldehyde	-0.76
110-94-1	glutaric acid	12.3399
108-55-4	glutaric anhydride	-3.9873
544-13-8	glutaronitrile	-0.6203
56-81-5	glycerol	0.4908
102-76-1	glyceryl triacetate	16.141
56-40-6	glycine	6.711
141-46-8	glycol aldehyde	17.7428
79-14-1	glycolic acid	36.0661
107-22-2	glyoxal	-10.5594
90-05-1	guaiacol	-0.1831
151-67-7	halothane	-21.3869
375-03-1	heptafluoropropyl methyl ether	-8.2039
111-71-7	heptanal	-10.9479
87-68-3	hexachloro-1,3-butadiene	-22.9014
118-74-1	hexachlorobenzene	-2.4876
77-47-4	hexachlorocyclopentadiene	-12.759
67-72-1	hexachloroethane	-20.5552
604-88-6	hexaethylbenzene	9.1939
685-63-2	hexafluoro-1,3-butadiene	-8.468
392-56-3	hexafluorobenzene	-10.6447
116-15-4	hexafluoropropylene	-19.9243
87-85-4	hexamethylbenzene	-5.2929
541-05-9	hexamethylcyclotrisiloxane	-1.532
999-97-3	hexamethyldisilazane	-4.9819
107-46-0	hexamethyldisiloxane	-8.3823
124-09-4	hexamethylenediamine	1.9974
111-49-9	hexamethyleneimine	-15.8658
100-97-0	hexamethylenetetramine	-18.281
66-25-1	hexanal	-13.0756
628-02-4	hexanamide	4.8837
628-73-9	hexanenitrile	-4.4427
107-41-5	hexylene glycol	36.3331
2691-41-0	hmx	28.6224
109-78-4	hydracrylonitrile	12.8091
302-01-2	hydrazine	-16.2555
122-66-7	hydrazobenzene	4.2472
10035-10-6	hydrogen bromide	-40.0971
7647-01-0	hydrogen chloride	-37.5697
74-90-8	hydrogen cyanide	-15.6521
10034-85-2	hydrogen iodide	-41.3271
7722-84-1	hydrogen peroxide	-14.5343
2148909	hydrogen selenide	-38.532
2148878	hydrogen sulfide	-37.3259
107-16-4	hydroxyacetonitrile	18.2167
6064-63-7	hydroxycaproic acid	36.0212
1115-20-4	hydroxypivalyl hydroxypivalate	36.7977
15687-27-1	ibuprofen	25.3301
496-11-7	indane	-20.1046
95-13-6	indene	-17.2766
120-72-9	indole	-12.2702
7553-56-2	iodine	-33.1215
591-50-4	iodobenzene	-21.9589
17990-11-3	isoagatholal	27.1908
75-28-5	isobutane	-27.679
115-11-7	isobutene	-26.885
110-19-0	isobutyl acetate	-7.0043
106-63-8	isobutyl acrylate	-6.7469
513-36-0	isobutyl chloride	-22.4522
542-55-2	isobutyl formate	-11.9456
97-85-8	isobutyl isobutyrate	-9.0277
513-44-0	isobutyl mercaptan	-22.351
97-86-9	isobutyl methacrylate	-9.4725
78-81-9	isobutylamine	-13.7135
538-93-2	isobutylbenzene	-12.8902
1678-98-4	iso-butylcyclohexane	-13.5903
33021-02-2	isobutyl-tert-butyl ether	-13.3016
79-31-2	isobutyric acid	-14.7099
97-72-3	isobutyric anhydride	0.4207
78-82-0	isobutyronitrile	-14.6884
78-78-4	isopentane	-24.1656
123-92-2	isopentyl acetate	-8.1238
659-70-1	isopentyl isovalerate	-1.0183
78-59-1	isophorone	-11.1082
4098-71-9	isophorone diisocyanate	5.0997
121-91-5	isophthalic acid	26.4368
99-63-8	isophthaloyl chloride	4.6536
5835-26-7	isopimaric acid	10.8821
78-79-5	isoprene	-26.7776
67-63-0	isopropanol	15.6044
108-21-4	isopropyl acetate	-10.8751
689-12-3	isopropyl acrylate	-10.9477
1860-27-1	isopropyl butyl ether	-11.8669
75-29-6	isopropyl chloride	-25.0765
75-30-9	isopropyl iodide	-25.5293
78448-33-6	isopropyl isobutyl ether	-13.7889
75-33-2	isopropyl mercaptan	-25.7263
110-27-0	isopropyl myristate	17.9995
75-31-0	isopropylamine	-17.0365
696-29-7	isopropylcyclohexane	-16.4595
3875-51-2	isopropylcyclopentane	-18.2231
119-65-3	isoquinoline	-18.1902
503-74-2	isovaleric acid	-7.4175
288-14-2	isoxazole	-21.5946
97-65-4	itaconic acid	21.3688
463-51-4	ketene	-31.2104
50-21-5	lactic acid	30.5238
78-97-7	lactonitrile	17.1136
123-76-2	levulinic acid	12.0294
56-86-0	l-glutamic acid	36.3882
60-33-3	linoleic acid	31.7296
463-40-1	linolenic acid	31.6422
2216-51-5	l-menthol	11.4627
63-91-2	l-phenylalanine	15.5966
56-87-1	lysine	25.484
110-16-7	maleic acid	26.9538
108-31-6	maleic anhydride	-5.5779
928-53-0	maleonitrile	-0.4732
6915-15-7	malic acid	56.4245
141-82-2	malonic acid	5.0594
109-77-3	malononitrile	-3.8469
108-42-9	m-chloroaniline	-15.582
618-46-2	m-chlorobenzoyl chloride	-7.4787
121-73-3	m-chloronitrobenzene	-6.4508
108-43-0	m-chlorophenol	-8.0466
108-39-4	m-cresol	-6.7746
535-77-3	m-cymene	-12.6088
108-36-1	m-dibromobenzene	-19.7064
541-73-1	m-dichlorobenzene	-19.4481
141-93-5	m-diethylbenzene	-14.0258
99-62-7	m-diisopropylbenzene	-12.1477
26762-93-6	m-diisopropylbenzene hydroperoxide	21.4539
99-65-0	m-dinitrobenzene	1.0488
108-57-6	m-divinylbenzene	-12.7561
108-78-1	melamine	6.947
141-79-7	mesityl oxide	-14.8624
108-67-8	mesitylene	-11.5156
78-85-3	methacrolein	-21.6664
79-41-4	methacrylic acid	-23.3794
126-98-7	methacrylonitrile	-20.7085
124-63-0	methanesulfonyl chloride	-15.7096
67-56-1	methanol	-2.6064
625-45-6	methoxyacetic acid	3.6471
5878-19-3	methoxyacetone	-12.1466
932952	methoxydihydropyran	-12.5992
79-20-9	methyl acetate	-15.3491
105-45-3	methyl acetoacetate	-9.1959
96-33-3	methyl acrylate	-14.7437
93-58-3	methyl benzoate	-11.2734
74-87-3	methyl chloride	-30.8516
96-34-4	methyl chloroacetate	-7.9051
79-22-1	methyl chloroformate	-9.5024
993-00-0	methyl chlorosilane	-27.2382
105-34-0	methyl cyanoacetate	-1.2624
110-42-9	methyl decanoate	0.1352
75-54-7	methyl dichlorosilane	-22.9415
105-59-9	methyl diethanolamine	4.6806
111-82-0	methyl dodecanoate	5.5385
540-67-0	methyl ethyl ether	-23.5161
78-93-3	methyl ethyl ketone	-16.2705
624-89-5	methyl ethyl sulfide	-23.5865
593-53-3	methyl fluoride	-29.3833
107-31-3	methyl formate	-20.7482
96-35-5	methyl glycolate	9.7399
3031-73-0	methyl hydroperoxide	-2.8506
74-88-4	methyl iodide	-31.8417
625-44-5	methyl isobutyl ether	-19.1718
108-10-1	methyl isobutyl ketone	-13.1297
547-63-7	methyl isobutyrate	-12.3989
624-83-9	methyl isocyanate	-16.5839
814-78-8	methyl isopropenyl ketone	-18.3441
598-53-8	methyl isopropyl ether	-20.0572
563-80-4	methyl isopropyl ketone	-15.8331
1551-21-9	methyl isopropyl sulfide	-22.0733
547-64-8	methyl lactate	-1.0525
616-02-4	methyl maleic anhydride	-10.5998
