CAS	Chemical	C
96-23-1	1,3-dichloro-2-propanol	7.709
662-01-1	1,3-dichlorohexafluoropropane	-14.553
142-28-9	1,3-dichloropropane	-19.5124
10075-38-4	(z)-1,3-dichloro-2-butene	-20.6042
96-31-1	1,3-dimethyl urea	2.0688
702-79-4	1,3-dimethyladamantane	-18.747
505-22-6	1,3-dioxane	-18.2443
136-35-6	1,3-diphenyltriazene	1.6977
109-76-2	1,3-propanediamine	-3.5684
504-63-2	1,3-propylene glycol	9.7929
503-30-0	1,3-propylene oxide	-25.3191
66032-51-7	1,4-benzenedicarboxylic acid,bis(2,3-dihydroxypropyl)ester	64.7118
110-63-4	1,4-butanediol	35.0738
628-41-1	1,4-cyclohexadiene	-22.3463
619-82-9	1,4-cyclohexanedicarboxylic acid	25.6144
105-08-8	1,4-cyclohexanedimethanol	34.9899
106-37-6	1,4-dibromobenzene	-12.1485
110-56-5	1,4-dichlorobutane	-15.332
1476-11-5	1,4-dichloro-cis-2-butene	-15.3737
110-57-6	1,4-dichloro-trans-2-butene	-15.4832
1119-85-3	1,4-dicyano-2-butene	5.8957
123-91-1	1,4-dioxane	-18.9892
1012-72-2	1,4-di-tert-butylbenzene	-6.655
592-45-0	1,4-hexadiene	-20.042
591-93-5	1,4-pentadiene	-30.0093
706-31-0	1,5,9-cyclododecatriene	-12.5766
111-78-4	1,5-cyclooctadiene	-18.948
628-76-2	1,5-dichloropentane	-12.0099
592-42-7	1,5-hexadiene	-23.2281
3173-72-6	1,5-naphthalene diisocyanate	8.1988
462-94-2	1,5-pentanediamine	-0.269
111-29-5	1,5-pentanediol	39.475
822-06-0	1,6-hexamethylene diisocyanate	8.6557
629-11-8	1,6-hexanediol	27.9112
1647-16-1	1,9-decadiene	-2.9198
78-96-6	1-amino-2-propanol	14.3582
109-65-9	1-bromobutane	-19.1104
143-15-7	1-bromododecane	6.1306
629-04-9	1-bromoheptane	-8.7147
90-11-9	1-bromonaphthalene	-13.5518
106-94-5	1-bromopropane	-22.1917
71-36-3	1-butanol	8.5238
106-98-9	1-butene	-27.3598
75-68-3	1-chloro-1,1-difluoroethane	-23.4708
97-00-7	1-chloro-2,4-dinitrobenzene	9.3767
127-00-4	1-chloro-2-propanol	-0.4142
627-30-5	1-chloro-3-propanol	5.6776
90-13-1	1-chloronaphthalene	-13.5277
543-59-9	1-chloropentane	-17.9076
112-30-1	1-decanol	3.989
872-05-9	1-decene	-5.4758
764-93-2	1-decyne	-4.3064
1599-67-3	1-docosene	18.1486
112-53-8	1-dodecanol	3.9811
112-41-4	1-dodecene	-0.4379
629-96-9	1-eicosanol	13.6859
567040	1-eicosene	11.4798
1569-02-4	1-ethoxy-2-propanol	9.4852
18970-44-0	1-ethyl-2-isopropylbenzene	-9.9054
1127-76-0	1-ethylnaphthalene	-11.9044
1454-85-9	1-heptadecanol	11.0971
6765-39-5	1-heptadecene	6.0073
111-70-6	1-heptanol	4.3879
592-76-7	1-heptene	-15.2606
628-71-7	1-heptyne	-13.4087
18835-33-1	1-hexacosene	23.5389
36653-82-4	1-hexadecanol	8.8014
629-73-2	1-hexadecene	5.163
111-27-3	1-hexanol	4.9668
592-41-6	1-hexene	-17.3593
693-02-7	1-hexyne	-16.6289
3944-36-3	1-isopropoxy-2-propanol	9.7536
16747-50-5	1-methyl-1-ethylcyclopentane	-17.6048
1074-17-5	1-methyl-2-n-propylbenzene	-12.3191
19177-04-9	1-methyl-3-(methylethoxy)benzene	-8.8388
485106	1-methyl-3-hydroxy-5-isopropyl benzene	2.3043
485076	1-methyl-3-hydroxy-6-isopropyl benzene	0.5831
1074-43-7	1-methyl-3-n-propylbenzene	-11.0808
1074-55-1	1-methyl-4-n-propylbenzene	-11.2284
17699-86-4	1-methyl-4-vinylcyclohexene	-14.4287
590-67-0	1-methylcyclohexanol	-22.9083
693-89-0	1-methylcyclopentene	-22.8206
