CAS	Chemical	C1	C2	C3	C4	Tmin	Hv at Tmin	Tmax	Hv  at Tmax 
593-53-3	Fluoromethane  	24708000	0.37014	0	0	131.35	20276000	317.42	0
50-00-0	Formaldehyde  	30760000	0.2954	0	0	181.15	25863000	408	0
75-12-7	Formamide  	73580000	0.3564	0	0	275.7	62844000	771	0
64-18-6	Formic acid  	23195000	1.9091	-5.0003	3.2641	250	18865000	588	0
110-00-9	Furan  	40050000	0.3995	0	0	196.29	32647000	490.15	0
7440-59-7	Helium-4  	125040	1.3038	-2.6954	1.7098	2.2	97000	5.2	0
629-78-7	Heptadecane  	104730000	0.4374	0	0	295.13	83699000	736	0
111-71-7	Heptanal  	59560000	0.36474	0	0	229.8	50248000	616.8	0
142-82-5	Heptane  	50014000	0.38795	0	0	182.57	42619000	540.2	0
111-14-8	Heptanoic acid  	112740000	0.86047	-0.40661	-0.012644	265.83	79579000	677.3	0
111-70-6	1-Heptanol  	70236000	-1.3652	3.987	-2.2545	239.15	76498000	632.3	0
543-49-7	2-Heptanol  	96433000	0.783	-0.27273	0.038495	230	69638000	608.3	0
106-35-4	3-Heptanone  	63357000	0.42167	0	0	234.15	51579000	606.6	0
110-43-0	2-Heptanone  	61425000	0.39802	0	0	238.15	50471000	611.4	0
592-76-7	1-Heptene  	49437000	0.35428	0.22149	-0.2353	154.12	43208000	537.4	0
1639-09-4	Heptyl mercaptan  	65473000	0.40968	0	0	229.92	54656000	645	0
628-71-7	1-Heptyne  	48222000	0.33858	0	0	192.22	41647000	547	0
544-76-3	Hexadecane  	101560000	0.45726	0	0	291.31	80225000	723	0
66-25-1	Hexanal  	56661000	0.38533	0	0	217.15	47495000	591	0
110-54-3	Hexane  	44544000	0.39002	0	0	177.83	37647000	507.6	0
142-62-1	Hexanoic acid  	90746000	0.8926	-0.75172	0.34378	269.25	64783000	660.2	0
111-27-3	1-Hexanol  	70350000	-0.9575	3.1431	-1.8066	228.55	71509000	611.3	0
626-93-7	2-Hexanol  	115500000	2.2877	-3.6724	2.1326	223	65014000	585.3	0
591-78-6	2-Hexanone  	56231000	0.38207	0	0	217.35	47135000	587.61	0
589-38-8	3-Hexanone  	56232000	0.39972	0	0	217.5	46655000	582.82	0
592-41-6	1-Hexene  	41429000	0.49118	-0.44821	0.32105	133.39	36691000	504	0
928-49-4	3-Hexyne  	48080000	0.436	0	0	170.05	40831000	544	0
111-31-9	Hexyl mercaptan  	58422000	0.38704	0	0	192.62	50630000	623	0
693-02-7	1-Hexyne  	45740000	0.3698	0	0	141.25	40640000	516.2	0
764-35-2	2-Hexyne  	49110000	0.4392	0	0	183.65	41067000	549	0
302-01-2	Hydrazine  	59794000	0.9424	-1.398	0.8862	274.69	45238000	653.15	0
1333-74-0	Hydrogen  	1012700	0.698	-1.817	1.447	13.95	913000	33.19	0
10035-10-6	Hydrogen bromide  	24850000	0.39	0	0	185.15	18817000	363.15	0
7647-01-0	Hydrogen chloride  	22093000	0.3466	0	0	158.97	17498000	324.65	0
74-90-8	Hydrogen cyanide  	33490000	0.2053	0	0	259.83	28176000	456.65	0
7664-39-3	Hydrogen fluoride  	134510000	13.36	-23.383	10.785	277.56	7104000	461.15	0
7783-06-4	Hydrogen sulfide  	25676000	0.37358	0	0	187.68	19782000	373.53	0
79-31-2	Isobutyric acid  	40385000	0.82698	-2.033	1.4769	227.15	35534000	605	0
75-31-0	Isopropyl amine  	44041000	0.43325	0	0	177.95	35874000	471.85	0
141-82-2	Malonic acid  	117670000	0.37877	0	0	407.95	90033000	805	0
79-41-4	Methacrylic acid  	46095000	0.23331	0	0	288.15	40342000	662	0
74-82-8	Methane  	10194000	0.26087	-0.14694	0.22154	90.69	8724000	190.56	0
67-56-1	Methanol  	50451000	0.33594	0	0	175.47	43825000	512.5	0
79-16-3	N-Methyl acetamide  	73402000	0.38974	0	0	301.15	59384000	718	0
79-20-9	Methyl acetate  	44920000	0.3685	0	0	175.15	38418000	506.55	0
74-99-7	Methyl acetylene  	31889000	0.37881	0	0	170.45	25882000	402.4	0
96-33-3	Methyl acrylate  	46800000	0.349	0	0	196.32	39913000	536	0
74-89-5	Methyl amine  	38580000	0.404	0	0	179.69	31006000	430.05	0
93-58-3	Methyl benzoate  	68504000	0.38852	0	0	260.75	57026000	693	0
598-25-4	3-Methyl-1,2-butadiene  	41233000	0.426	0	0	159.53	34864000	490	0
78-78-4	2-Methylbutane  	37593000	0.39173	0	0	113.25	33657000	460.4	0
116-53-0	2-Methylbutanoic acid  	74800000	0.3933	0	0	193	65004000	643	0
123-51-3	3-Methyl-1-butanol  	101780000	1.3211	-1.2234	0.44836	155.95	73738000	577.2	0
563-46-2	2-Methyl-1-butene  	39091000	0.39866	0	0	135.58	34072000	465	0
513-35-9	2-Methyl-2-butene  	39248000	0.36173	0	0	139.39	34558000	470	0
78-80-8	2-Methyl -1-butene-3-yne 	36480000	0.3863	0	0	160.15	31332000	492	0
628-28-4	Methylbutyl ether  	45302000	0.37779	0	0	157.48	39438000	512.74	0
628-29-5	Methylbutyl sulfide  	53416000	0.3835	0	0	175.3	46699000	593	0
598-23-2	3-Methyl-1-butyne  	37920000	0.3565	0	0	183.45	31681000	463.2	0
623-42-7	Methyl butyrate  	53781000	0.39523	0	0	187.35	45694000	554.5	0
993-00-0	Methylchlorosilane  	32835000	0.33116	0	0	139.05	28974000	442	0
108-87-2	Methylcyclohexane  	47528000	0.39437	0	0	146.58	42291000	572.1	0
590-67-0	1-Methylcyclohexanol  	64770000	0.4853	0	0	299.15	49050000	686	0
7443-70-1	cis-2-Methylcyclohexanol 	78011000	0.4172	0	0	280.15	60500000	614	0
7443-52-9	trans-2-Methylcyclohexanol 	78995000	0.42479	0	0	269.15	61926000	617	0
96-37-7	Methylcyclopentane  	43595000	0.38507	0	0	130.73	39115000	532.7	0
693-89-0	1-Methylcyclopentene  	43541000	0.36805	0	0	146.62	38769000	542	0
1120-62-3	3-Methylcyclopentene  	42090000	0.36779	0	0	115	38439000	526	0
75-54-7	Methyldichlorosilane  	36756000	0.31266	0	0	182.55	31686000	483	0
540-67-0	Methylethyl ether  	35300000	0.376	0	0	160	29751000	437.8	0
78-93-3	Methylethyl ketone  	46220000	0.355	0	0	186.48	39704000	535.5	0
624-89-5	Methylethyl sulfide  	44842000	0.41151	0	0	167.23	38406000	533	0
107-31-3	Methyl formate  	41030000	0.3825	0	0	174.15	34644000	487.2	0
625-44-5	Methylisobutyl ether  	42678000	0.37995	0	0	150	37232000	497	0
108-10-1	Methylisobutyl ketone  	54687000	0.40583	0	0	189.15	46507000	574.6	0
624-83-9	Methyl Isocyanate  	42967000	0.37922	0	0	256.15	32402000	488	0
598-53-8	Methylisopropyl ether  	38501000	0.36453	0	0	127.93	34235000	464.48	0
563-80-4	Methylisopropyl ketone  	47075000	0.33601	0	0	180.15	41240000	553.4	0
1551-21-9	Methylisopropyl sulfide  	45052000	0.36493	0	0	171.64	39340000	553.1	0
74-93-1	Methyl mercaptan  	34448000	0.37427	0	0	150.18	29825000	469.95	0
80-62-6	Methyl methacrylate  	54680000	0.4472	0	0	224.95	43596000	566	0
3004-93-1	2-Methyloctanoic acid  	105300000	0.7454	-0.39297	0.047214	240	81106000	694	0
107-83-5	2-Methylpentane  	42522000	0.3807	0	0	119.55	38300000	497.7	0
628-80-8	Methyl pentyl ether  	50002000	0.3781	0	0	176	43168000	546.49	0
75-28-5	2-Methylpropane  	31880000	0.39006	0	0	113.54	28070000	407.8	0
75-65-0	2-Methyl-2-propanol  	77646000	0.56757	0	0	298.97	46771000	506.2	0
115-11-7	2-Methyl propene  	32614000	0.38073	0	0	132.81	28195000	417.9	0
554-12-1	Methyl propionate  	50080000	0.3959	0	0	185.65	42231000	530.6	0
557-17-5	Methylpropyl ether  	42719000	0.43175	0	0	133.97	37041000	476.25	0
3877-15-4	Methylpropyl sulfide  	48253000	0.38087	0	0	160.17	42499000	565	0
992-94-9	Methylsilane  	22656000	0.30269	0	0	116.34	20069000	352.5	0
98-83-9	alpha-Methyl styrene  	58071000	0.37009	0	0	249.95	48591000	654	0
1634-04-4	Methyl tert-butyl ether  	38720000	0.044	0.448	-0.112	164.55	36017000	497.1	0
107-25-5	Methyl vinyl ether  	35870000	0.3769	0	0	151.15	30567000	437	0
91-20-3	Naphthalene  	70911000	0.46468	0	0	353.43	52691000	748.4	0
7440-01-9	Neon  	2389000	0.3494	0	0	24.56	1803000	44.4	0
79-24-3	Nitroethane  	51459000	0.33017	0	0	183.63	45533000	593	0
7727-37-9	Nitrogen  	7490500	0.40406	-0.317	0.27343	63.15	6024000	126.2	0
7783-54-2	Nitrogen trifluoride  	16402000	0.36494	0	0	66.46	14519000	234	0
75-52-5	Nitromethane  	47417000	0.3062	0	0	244.6	40220000	588.15	0
10024-97-2	Nitrous oxide  	23215000	0.384	0	0	182.3	16502000	309.57	0
10102-43-9	Nitric oxide  	21310000	0.4056	0	0	109.5	14578000	180.15	0
629-92-5	Nonadecane  	116740000	0.45865	0	0	305.04	92185000	758	0
124-19-6	Nonanal  	73363000	0.41735	0	0	255.15	59779000	658	0
111-84-2	Nonane  	60370000	0.38522	0	0	219.66	50545000	594.6	0
112-05-0	Nonanoic acid  	123800000	0.69869	0.097854	-0.35082	285.55	87232000	710.7	0
143-08-8	1-Nonanol  	75429000	-1.5966	4.6489	-2.7229	268.15	82411000	670.9	0
628-99-9	2-Nonanol  	79797000	-1.0341	3.553	-2.1149	238.15	80370000	649.5	0
124-11-8	1-Nonene  	59054000	0.61039	-0.54533	0.30683	191.91	49218000	593.1	0
1455-21-6	Nonyl mercaptan  	75239000	0.3991	0	0	253.05	62506000	681	0
3452-09-3	1-Nonyne  	63337000	0.3975	0	0	223.15	52606000	598.05	0
593-45-3	Octadecane  	109690000	0.44327	0	0	301.31	87246000	747	0
124-13-0	Octanal  	67735000	0.40607	0	0	246	55600000	638.9	0
111-65-9	Octane  	55180000	0.38467	0	0	216.38	45898000	568.7	0
124-07-2	Octanoic acid  	122300000	0.69294	0.12287	-0.36132	289.65	84658000	694.26	0
111-87-5	1-Octanol  	72468000	-1.2464	3.6797	-2.0665	257.65	76793000	652.3	0
123-96-6	2-Octanol  	76376000	-0.7612	2.7875	-1.6033	241.55	73759000	629.8	0
111-13-7	2-Octanone  	65363000	0.38718	0	0	252.85	53646000	632.7	0
106-68-3	3-Octanone  	66142000	0.58562	-0.40512	0.22144	255.55	52076000	627.7	0
111-66-0	1-Octene  	54859000	0.26207	0.50642	-0.43873	171.45	47927000	566.9	0
111-88-6	Octyl mercaptan  	68907000	0.40017	0	0	223.95	58506000	667.3	0
629-05-0	1-Octyne  	54046000	0.35299	0	0	193.55	46743000	574	0
144-62-7	Oxalic acid  	114730000	0.37238	0	0	462.65	83393000	804	0
7782-44-7	Oxygen  	9008000	0.4542	-0.4096	0.3183	54.36	7742000	154.58	0
10028-15-6	Ozone  	18587000	0.30416	0	0	80.15	16625000	261	0
629-62-9	Pentadecane  	96741000	0.45399	0	0	283.07	76728000	708	0
110-62-3	Pentanal  	51478000	0.37541	0	0	182	44502000	566.1	0
109-66-0	Pentane  	39109000	0.38681	0	0	143.42	33968000	469.7	0
109-52-4	Pentanoic acid  	73197000	1.2093	-1.9114	1.1591	239.15	53813000	639.16	0
71-41-0	1-Pentanol  	73900000	-0.1464	1.4751	-0.9208	195.56	67005000	588.1	0
6032-29-7	2-Pentanol  	111110000	1.8011	-2.1801	1.0641	200	66655000	561	0
107-87-9	2-Pentanone  	51740000	0.39422	0	0	196.29	43663000	561.08	0
96-22-0	3-Pentanone  	52359000	0.40465	0	0	234.18	42075000	560.95	0
109-67-1	1-Pentene  	35027000	0.3481	-0.19672	0.22394	108.02	32232000	464.8	0
2084-19-7	2-Pentyl mercaptan  	50573000	0.45827	-0.22568	0.16393	160.75	44343000	584.3	0
110-66-7	Pentyl mercaptan  	54315000	0.3972	0	0	197.45	46322000	598	0
627-19-0	1-Pentyne  	39540000	0.3512	0	0	167.45	34025000	481.2	0
627-21-4	2-Pentyne  	44158000	0.44347	0	0	163.83	37321000	519	0
85-01-8	Phenanthrene  	83482000	0.33172	0	0	372.38	69340000	869	0
108-95-2	Phenol  	73060000	0.4246	0	0	314.06	56577000	694.25	0
103-71-9	Phenyl isocyanate  	55769000	0.30346	0	0	243.15	48418000	653	0
85-44-9	Phthalic anhydride  	69160000	0.1755	0	0	404.15	61001000	791	0
463-49-0	Propadiene  	29535000	0.41367	0	0	136.87	24755000	394	0
74-98-6	Propane  	29209000	0.78237	-0.77319	0.39246	85.47	24787000	369.83	0
71-23-8	1-Propanol  	68988000	0.6458	-0.5384	0.3317	146.95	58356000	536.8	0
67-63-0	2-Propanol  	72542000	0.79137	-0.66092	0.34223	185.26	55370000	508.3	0
13511-13-2	Propenylcyclohexene  	58866000	0.38533	0	0	199	50941000	636	0
123-38-6	Propionaldehyde  	41492000	0.36751	0	0	170	35675000	504.4	0
79-09-4	Propionic acid  	40000000	1.3936	-2.9465	1.794	252.45	30922000	600.81	0
107-12-0	Propionitrile  	49348000	0.41873	0	0	180.26	42005000	564.4	0
109-60-4	Propyl acetate  	54327000	0.407	0	0	178.15	46322000	549.73	0
107-10-8	Propyl amine  	44488000	0.39494	0	0	188.36	36857000	496.95	0
103-65-1	Propylbenzene  	58887000	0.38534	0	0	173.55	52110000	638.35	0
115-07-1	Propylene  	25216000	0.33721	-0.18399	0.22377	87.89	23177000	364.85	0
110-74-7	Propyl formate  	49687000	0.4025	0	0	180.25	42162000	538	0
75-33-2	2-Propyl mercaptan  	42191000	0.41161	0	0	142.61	36942000	517	0
107-03-9	Propyl mercaptan  	44782000	0.41073	0	0	159.95	38723000	536.6	0
57-55-6	1,2-Propylene glycol  	80700000	0.295	0	0	213.15	71374000	626	0
106-51-4	Quinone  	64900000	0.3112	0	0	388.85	49933000	683	0
7783-61-1	Silicon tetrafluoride  	24105000	0.37988	0	0	186.35	14873000	259	0
100-42-5	Styrene  	57260000	0.4055	0	0	242.54	47128000	636	0
110-15-6	Succinic acid  	120180000	0.37149	0	0	460.65	87719000	806	0
7446-09-5	Sulfur dioxide  	36760000	0.4	0	0	197.67	28753000	430.75	0
2551-62-4	Sulfur hexafluoride  	25710000	0.383	0	0	223.15	16208000	318.69	0
7446-11-9	Sulfur trioxide  	73370000	0.5647	0	0	289.95	44303000	490.85	0
84-15-1	o-Terphenyl  	87165000	0.3224	0	0	329.35	74548000	857	0
