CASRN	Chemical	Formula	Tb	HvapTb	Hvap298
7647-19-0	Phosphorus(V) fluoride	F5P	188.55	17200	
765-04-8	1,11-Undecanediol	C11H24O2			132000
765-43-5	Cyclopropyl methyl ketone	C5H8O	384.45	34070	39410
765-85-5	Methyl cyclobutanecarboxylate	C6H10O2	408.65	37130	44720
766-05-2	Cyclohexanecarbonitrile	C7H11N	457.15		51920
7664-41-7	Ammonia	H3N	239.82	23330	19860
7688-21-3	cis-2-Hexene	C6H12	341.95		32190
7697-37-2	Nitric acid	HNO3	356.15		39100
7699-45-8	Zinc bromide	Br2Zn	943.15	118000	
7704-34-9	Sulfur (rhombic)	S	717.76	45000	
7705-07-9	Titanium(III) chloride	Cl3Ti	1233.15	124000	
771-56-2	2,3,4,5,6-Pentafluorotoluene	C7H3F5	390.65	34750	41120
7719-09-7	Thionyl chloride	Cl2OS	348.75	31700	31000
7719-12-2	Phosphorus(III) chloride	Cl3P	349.15	30500	32100
7720-83-4	Titanium(IV) iodide	I4Ti	650.15	58400	
7721-01-9	Tantalum(V) chloride	Cl5Ta	512.15	54800	
7722-84-1	Hydrogen peroxide	H2O2	423.35		51600
7723-14-0	Phosphorus (white)	P	553.65	12400	14200
7726-95-6	Bromine	Br2	331.95	29960	30910
7727-15-3	Aluminum bromide	AlBr3	528.15	23500	
7727-18-6	Vanadyl trichloride	Cl3OV	400.15	36780	
7727-37-9	Nitrogen	N2	77.36	5570	
7732-18-5	Water	H2O	373.12	40650	43980
7735-42-4	1,16-Hexadecanediol	C16H34O2			163000
7758-95-4	Lead(II) chloride	Cl2Pb	1224.15	127000	
7772-99-8	Tin(II) chloride	Cl2Sn	896.15	86800	
7774-29-0	Mercury(II) iodide (yellow)	HgI2	624.15	59200	
7782-41-4	Fluorine	F2	85.04	6620	
7782-44-7	Oxygen	O2	90.2	6820	
7782-49-2	Selenium (α form)	Se	958.15	95480	
7782-50-5	Chlorine	Cl2	239.11	20410	17650
7782-65-2	Germane	GeH4	185.05	14060	
7782-79-8	Hydrazoic acid	HN3	308.85	30500	
7783-06-4	Hydrogen sulfide	H2S	213.6	18670	14080
7783-07-5	Hydrogen selenide	H2Se	231.9	19700	
7783-09-7	Hydrogen telluride	H2Te	271.15	19200	
7783-26-8	Trisilane	H8Si3	326.05	28500	
7783-41-7	Fluorine monoxide	F2O	128.85	11090	
7783-42-8	Thionyl fluoride	F2OS	229.35	21800	
7783-44-0	Difluorine dioxide	F2O2	216.15	19100	
7783-46-2	Lead(II) fluoride	F2Pb	1566.15	160400	
7783-49-5	Zinc fluoride	F2Zn	1773.15	190100	
7783-54-2	Nitrogen trifluoride	F3N	144.4	11560	
7783-55-3	Phosphorus(III) fluoride	F3P	171.35	16500	
7783-60-0	Sulfur tetrafluoride	F4S	232.7	26440	
7783-66-6	Iodine pentafluoride	F5I	373.65	41300	
7783-68-8	Niobium(V) fluoride	F5Nb	507.15	52300	
7783-71-3	Tantalum(V) fluoride	F5Ta	502.65	56900	
7783-72-4	Vanadium(V) fluoride	F5V	321.45	44520	
7783-75-7	Iridium(VI) fluoride	F6Ir	326.75	30900	
7783-77-9	Molybdenum(VI) fluoride	F6Mo	307.15	29000	
7783-82-6	Tungsten(VI) fluoride	F6W	290.25	26500	
7783-90-6	Silver(I) chloride	AgCl	1820.15	199000	
7783-96-2	Silver(I) iodide	AgI	1779.15	143900	
7784-23-8	Aluminum iodide	AlI3	655.15	32200	
7784-33-0	Arsenic(III) bromide	AsBr3	494.15	41800	
7784-34-1	Arsenic(III) chloride	AsCl3	403.15	35010	
7784-35-2	Arsenic(III) fluoride	AsF3	330.28	29700	
7784-36-3	Arsenic(V) fluoride	AsF5	220.35	20800	
7784-42-1	Arsine	AsH3	210.65	16690	
7784-45-4	Arsenic(III) iodide	AsI3	697.15	59300	
7785-23-1	Silver(I) bromide	AgBr	1775.15	198000	
7787-47-5	Beryllium chloride	BeCl2	755.15	105000	
7787-53-3	Beryllium iodide	BeI2	863.15	70500	
7787-58-8	Bismuth tribromide	BiBr3	735.15	75400	
7787-60-2	Bismuth trichloride	BiCl3	714.15	72610	
7787-71-5	Bromine trifluoride	BrF3	398.95	47570	
7789-24-4	Lithium fluoride	FLi	1946.15	147000	
7789-25-5	Nitrosyl fluoride	FNO	213.25	19280	
7789-30-2	Bromine pentafluoride	BrF5	314.45	30600	
7789-40-4	Thallium(I) bromide	BrTl	1092.15	99560	
7789-42-6	Cadmium bromide	Br2Cd	1136.15	115000	
7789-47-1	Mercury(II) bromide	Br2Hg	591.15	58890	
7789-57-3	Tribromosilane	Br3HSi	382.15	34800	
7789-59-5	Phosphoryl bromide	Br3OP	464.85	38000	
7789-60-8	Phosphorus(III) bromide	Br3P	446.35	38800	
7789-61-9	Antimony(III) bromide	Br3Sb	561.15	59000	
7789-66-4	Tetrabromosilane	Br4Si	427.15	37900	
7789-67-5	Tin(IV) bromide	Br4Sn	478.15	43500	
7789-68-6	Titanium(IV) bromide	Br4Ti	506.65	44370	
7790-30-9	Thallium(I) iodide	ITl	1097.15	104700	
7790-44-5	Antimony(III) iodide	I3Sb	673.15	68600	
7790-47-8	Tin(IV) iodide	I4Sn	637.5	56900	
7790-79-6	Cadmium fluoride	CdF2	2023.15	214000	
7790-80-9	Cadmium iodide	CdI2	1017.15	115000	
7790-89-8	Chlorine fluoride	ClF	172.05	24000	
7790-91-2	Chlorine trifluoride	ClF3	284.9	27530	
7791-12-0	Thallium(I) chloride	ClTl	993.15	102200	
