CASRN	Chemical	Formula	Tb	HvapTb	Hvap298
109-99-9	Tetrahydrofuran	C4H8O	338.15	29810	31990
110-00-9	Furan	C4H4O	304.65	27100	27450
110-01-0	Tetrahydrothiophene	C4H8S	394.25	34660	39430
110-02-1	Thiophene	C4H4S	357.15	31480	34700
110-03-2	2,5-Dimethyl-2,5-hexanediol	C8H18O2	487.15		85200
110-19-0	Isobutyl acetate	C6H12O2	389.65	35900	
110-43-0	2-Heptanone	C7H14O	424.2		47240
110-49-6	2-Methoxyethyl acetate	C5H10O3	416.15	43900	
110-52-1	1,4-Dibromobutane	C4H8Br2	470.15		53090
110-53-2	1-Bromopentane	C5H11Br	402.95	35010	41280
110-54-3	Hexane	C6H14	341.88	28850	31560
110-56-5	1,4-Dichlorobutane	C4H8Cl2	434.15		46360
110-58-7	Pentylamine	C5H13N	377.45	34010	40080
110-59-8	Pentanenitrile	C5H9N	414.45	36090	43600
110-61-2	Succinonitrile	C4H4N2	539.15	48500	
110-63-4	1,4-Butanediol	C4H10O2	508.15		77100
110-65-6	2-Butyne-1,4-diol	C4H6O2	511.15		81500
110-66-7	1-Pentanethiol	C5H12S	399.75	34880	41240
110-71-4	1,2-Dimethoxyethane	C4H10O2	357.65	32420	36390
110-74-7	Propyl formate	C4H8O2	354.05	33610	37530
110-80-5	2-Ethoxyethanol	C4H10O2	408.15	39220	48210
110-81-6	Diethyl disulfide	C4H10S2	427.15	37580	45180
110-82-7	Cyclohexane	C6H12	353.88	29970	33010
110-83-8	Cyclohexene	C6H10	356.13	30460	33470
110-86-1	Pyridine	C5H5N	388.38	35090	40210
110-89-4	Piperidine	C5H11N	379.37		39290
110-91-8	Morpholine	C4H9NO	401.15	37100	
111-11-5	Methyl octanoate	C9H18O2	466.05		56410
111-15-9	2-Ethoxyethyl acetate	C6H12O3	429.55	40760	52610
111-25-1	1-Bromohexane	C6H13Br	428.45		45890
111-26-2	Hexylamine	C6H15N	405.95	36540	45100
111-27-3	1-Hexanol	C6H14O	430.75	44500	61610
111-29-5	1,5-Pentanediol	C5H12O2	512.15	60700	83000
111-34-2	Butyl vinyl ether	C6H12O	367.15	31580	36170
111-42-2	Diethanolamine	C4H11NO2	541.95	65200	
111-43-3	Dipropyl ether	C6H14O	363.23	31310	35690
111-44-4	Bis(2-chloroethyl) ether	C4H8Cl2O	451.65	45200	
111-46-6	Diethylene glycol	C4H10O3	518.95	52300	
111-47-7	Dipropyl sulfide	C6H14S	416.05	36600	44210
111-55-7	1,2-Ethanediol, diacetate	C6H10O4	463.15		61440
111-65-9	Octane	C8H18	398.82	34410	41490
111-66-0	1-Octene	C8H16	394.44	34070	40340
111-68-2	Heptylamine	C7H17N	429.15		49960
111-70-6	1-Heptanol	C7H16O	449.6		66810
111-76-2	2-Butoxyethanol	C6H14O2	441.55		56590
111-77-3	Diethylene glycol monomethyl ether	C5H12O3	466.15	46600	
111-82-0	Methyl dodecanoate	C13H26O2	540.15		77170
111-83-1	1-Bromooctane	C8H17Br	473.95		55770
111-84-2	Nonane	C9H20	423.97	37180	46550
111-85-3	1-Chlorooctane	C8H17Cl	456.65		52420
111-87-5	1-Octanol	C8H18O	468.31		70980
111-90-0	Diethylene glycol monoethyl ether	C6H14O3	469.15	47500	
111-92-2	Dibutylamine	C8H19N	432.75	38440	49450
111-96-6	Diethylene glycol dimethyl ether	C6H14O3	435.15	36170	44690
1119-40-0	Dimethyl glutarate	C7H12O4	487.15		65700
112-27-6	Triethylene glycol	C6H14O4	558.15	71400	
112-30-1	1-Decanol	C10H22O	504.25		81500
112-36-7	Diethylene glycol diethyl ether	C8H18O3	461.15		58400
112-40-3	Dodecane	C12H26	489.47	44090	61520
112-41-4	1-Dodecene	C12H24	486.95		60780
112-42-5	1-Undecanol	C11H24O	518.15		85800
112-47-0	1,10-Decanediol	C10H22O2			120000
112-53-8	1-Dodecanol	C12H26O	533.15		90800
112-70-9	1-Tridecanol	C13H28O	547.15		94700
112-72-1	1-Tetradecanol	C14H30O	560.15		98900
112-80-1	cis-9-Octadecenoic acid	C18H34O2	633.15	67400	
112-92-5	1-Octadecanol	C18H38O	608.15		116800
112-95-8	Eicosane	C20H42	616.15	58490	101810
1120-21-4	Undecane	C11H24	469.05	41910	56580
1120-59-8	2,3-Dihydrothiophene	C4H6S	385.25	33240	37740
1121-37-5	Dicyclopropyl ketone	C7H10O	434.15		53700
112283-13-3	6-Heptadecanol	C17H36O			108600
115-07-1	Propene	C3H6	225.46	18420	14240
115-10-6	Dimethyl ether	C2H6O	248.35	21510	18510
115-25-3	Perfluorocyclobutane	C4F8	267.24	23200	
116-54-1	Methyl dichloroacetate	C3H4Cl2O2	416.05	39280	47720
116783-23-4	sec-Butyl methyl ether	C5H12O	332.25	28090	30230
119-36-8	Methyl salicylate	C8H8O3	496.05	46700	
119-64-2	1,2,3,4-Tetrahydronaphthalene	C10H12	480.75	43900	
119-65-3	Isoquinoline	C9H7N	516.37	49000	60260
1191-08-8	1,4-Butanedithiol	C4H10S2	468.65		55100
120-51-4	Benzyl benzoate	C14H12O2	596.65	53600	
120-92-3	Cyclopentanone	C5H8O	403.72	36350	42720
121-44-8	Triethylamine	C6H15N	362.15	31010	34840
121-69-7	N,N-Dimethylaniline	C8H11N	467.3		52830
123-01-3	Dodecylbenzene	C18H30	601.15		86600
123-02-4	Tridecylbenzene	C19H32	619.15		91800
123-38-6	Propanal	C3H6O	321.15	28310	29620
123-39-7	N-Methylformamide	C2H5NO	472.66		56190
123-51-3	3-Methyl-1-butanol	C5H12O	404.25	44070	55610
123-54-6	2,4-Pentanedione	C5H8O2	411.15	34300	41770
123-62-6	Propanoic anhydride	C6H10O3	443.15	41700	
123-66-0	Ethyl hexanoate	C8H16O2	440.15		51720
123-72-8	Butanal	C4H8O	347.95	31500	
123-75-1	Pyrrolidine	C4H9N	359.71	33010	37520
123-86-4	Butyl acetate	C6H12O2	399.25	36280	43860
123-91-1	1,4-Dioxane	C4H8O2	374.65	34160	38600
123-92-2	Isopentyl acetate	C7H14O2	415.65	37500	
124-07-2	Octanoic acid	C8H16O2	512.15	58500	
124-12-9	Octanenitrile	C8H15N	478.4		56800
124-18-5	Decane	C10H22	447.3	39580	51420
124-40-3	Dimethylamine	C2H7N	280.03	26400	25050
124-68-5	2-Amino-2-methyl-1-propanol	C4H11NO	438.65	50600	
124-73-2	1,2-Dibromotetrafluoroethane	C2Br2F4	320.5	27030	28390
126-98-7	2-Methylacrylonitrile	C4H5N	363.45	31800	
127-18-4	Tetrachloroethene	C2Cl4	394.45	34680	39680
127-19-5	N,N-Dimethylacetamide	C4H9NO	438.15		50240
1310-65-2	Lithium hydroxide	HLiO	1899.15	188000	
1310-73-2	Sodium hydroxide	HNaO	1661.15	175000	
1313-27-5	Molybdenum(VI) oxide	MoO3	1428.15	138000	
1314-97-2	Thallium(I) sulfide	STl2	1640.15	154000	
13269-52-8	trans-3-Hexene	C6H12	340.25		31550
13283-01-7	Tungsten(VI) chloride	Cl6W	610.15	52700	
1333-74-0	Hydrogen	H2	20.39	900	
13360-63-9	Butylethylamine	C6H15N	380.65	33970	40150
13362-52-2	1,13-Tridecanediol	C13H28O2			133000
13444-90-1	Nitryl chloride	ClNO2	258.15	25700	
13445-50-6	Diphosphine	H4P2	336.65	28800	
13450-88-9	Gallium(III) bromide	Br3Ga	552.15	38900	
13450-90-3	Gallium(III) chloride	Cl3Ga	474.15	23900	
13450-91-4	Gallium(III) iodide	GaI3	613.15	56500	
13450-92-5	Germanium(IV) bromide	Br4Ge	459.5	41400	
13451-11-1	Tantalum(V) bromide	Br5Ta	621.95	62300	
13455-01-1	Phosphorus(III) iodide	I3P	500.15	43900	
13465-07-1	Hydrogen disulfide	H2S2	343.85		33780
13465-66-2	Selenium tetrafluoride	F4Se	374.75	47200	
13465-71-9	Trifluorosilane	F3HSi	178.15	16200	
13465-73-1	Bromosilane	BrH3Si	275.05	24400	
13465-78-6	Chlorosilane	ClH3Si	242.75	21000	
13465-84-4	Tetraiodosilane	I4Si	560.5	50200	
13475-82-6	2,2,4,6,6-Pentamethylheptane	C12H26	450.95		48970
13494-80-9	Tellurium	Te	1261.15	114100	
13517-10-7	Boron triiodide	BI3	482.65	40500	
13520-78-0	Tungsten(VI) oxytetrachloride	Cl4OW	503.15	67800	
13520-79-1	Tungsten(VI) oxytetrafluoride	F4OW	459.05	59500	
13537-33-2	Fluorosilane	FH3Si	174.55	18800	
13709-59-6	Thorium(IV) fluoride	F4Th	1953.15	258000	
13768-38-2	Osmium(VI) fluoride	F6Os	320.65	28100	
13768-94-0	Dibromosilane	Br2H2Si	339.15	31000	
13818-89-8	Digermane	Ge2H6	302.15	25100	
13819-84-6	Molybdenum(V) fluoride	F5Mo	486.75	51800	
13824-36-7	Difluorosilane	F2H2Si	195.35	16300	
13863-59-7	Bromine fluoride	BrF	293.15	25100	
13965-73-6	Tetrafluorodiborane	B2F4	239.15	28000	
13966-94-4	Indium(I) iodide	IIn	985.15	90800	
140-11-4	Benzyl acetate	C9H10O2	486.15	49400	
140-88-5	Ethyl acrylate	C5H8O2	372.55	34700	
14049-36-6	Chlorotrifluorosilane	ClF3Si	203.15	18700	
141-43-5	Ethanolamine	C2H7NO	444.15	49830	
141-78-6	Ethyl acetate	C4H8O2	350.26	31940	35600
141-79-7	Mesityl oxide	C6H10O	403.15	36100	
142-28-9	1,3-Dichloropropane	C3H6Cl2	394.05	35180	40750
142-30-3	2,5-Dimethyl-3-hexyne-2,5-diol	C8H14O2	478.15		82800
142-68-7	Tetrahydropyran	C5H10O	361.15	31170	34580
142-82-5	Heptane	C7H16	371.55	31770	36570
142-84-7	Dipropylamine	C6H15N	382.45	33470	40040
142-96-1	Dibutyl ether	C8H18O	413.43	36490	44970
14280-53-6	Indium(I) bromide	BrIn	929.15	92000	
143-08-8	1-Nonanol	C9H20O	486.52		76860
143-10-2	1-Decanethiol	C10H22S	513.75		65480
14335-40-1	Phosphorus(III) chloride difluoride	ClF2P	225.85	17600	
14459-59-7	Molybdenum(VI) oxytetrafluoride	F4MoO	459.15	50600	
1454-85-9	1-Heptadecanol	C17H36O	597.15		112500
1459-09-2	Hexadecylbenzene	C22H38	658.15		104800
1459-10-5	Tetradecylbenzene	C20H34	632.15		95800
1462-84-6	2,3,6-Trimethylpyridine	C8H11N	444.75	39950	50610
14686-13-6	trans-2-Heptene	C7H14	371.15		36270
14686-14-7	trans-3-Heptene	C7H14	368.85		35840
14691-44-2	Trigermane	Ge3H8	383.65	32200	
14722-40-8	1,15-Pentadecanediol	C15H32O2			139000
149-57-5	2-Ethylhexanoic acid	C8H16O2	501.15		75600
14977-61-8	Chromium(VI) dichloride dioxide	Cl2CrO2	390.15	35100	
151-67-7	2-Bromo-2-chloro-1,1,1-trifluoroethane	C2HBrClF3	323.35	28080	29610
1522-22-1	Hexafluoroacetylacetone	C5H2F6O2	327.3	27050	30580
15232-76-5	3-Octyne	C8H14	406.25	36940	43920
1551-21-9	Isopropyl methyl sulfide	C4H10S	357.95	30710	34150
15597-63-4	Phosphorus(III) dichloride fluoride	Cl2FP	287	24900	
156-59-2	cis-1,2-Dichloroethene	C2H2Cl2	333.25	30200	
156-60-5	trans-1,2-Dichloroethene	C2H2Cl2	321.85	28900	
1569-69-3	Cyclohexanethiol	C6H12S	431.95	37060	44570
157-40-4	Spiro[2.2]pentane	C5H8	312.15	26760	27490
15869-85-9	5-Methylnonane	C10H22	438.25	38140	49340
1590-87-0	Disilane	H6Si2	258.35	21200	
16033-71-9	Methyloxirane	C3H6O	308.15	27350	27890
1613-51-0	Thiacyclohexane	C5H10S	414.95	35960	42580
1634-04-4	Methyl tert-butyl ether	C5H12O	328.15	27940	29820
1639-01-6	2,3-Dimethyl-2-butanethiol	C6H14S	399.25		39300
1640-89-7	Ethylcyclopentane	C7H14	376.65	31960	36400
16529-66-1	trans-3-Pentenenitrile	C5H7N	417.15	37090	44770
1674-33-5	1,2-Dichloropentane	C5H10Cl2	421.45	36450	43890
16747-50-5	1-Ethyl-1-methylcyclopentane	C8H16	394.75	33200	38850
1678-91-7	Ethylcyclohexane	C8H16	405.05	34040	40560
1678-92-8	Propylcyclohexane	C9H18	429.15		45080
1678-93-9	Butylcyclohexane	C10H20	453.15		49360
1679-07-8	Cyclopentanethiol	C5H10S	405.25	35320	41420
1679-08-9	2,2-Dimethyl-1-propanethiol	C5H12S	376.85		36400
1679-09-0	2-Methyl-2-butanethiol	C5H12S	372.25	31370	35670
16962-07-5	Aluminum borohydride	AlB3H12	317.65	30000	
17026-29-8	Rhenium(VI) oxytetrafluoride	F4ORe	444.85	61000	
1708-32-3	2,5-Dihydrothiophene	C4H6S	395.55	34830	39950
1717-00-6	1,1-Dichloro-1-fluoroethane	C2H3Cl2F	305.15	26060	26480
1732-08-7	Dimethyl heptanedioate	C9H16O4			73500
1732-09-8	Dimethyl octanedioate	C10H18O4	541.15		78100
1732-10-1	Dimethyl nonanedioate	C11H20O4			82300
1741-83-9	Methyl pentyl sulfide	C6H14S	418.25	37410	45240
17952-11-3	Ethyl pentyl ether	C7H16O	390.75	34410	41010
18283-93-7	Tetraborane(10)	B4H10	291.15	27100	
18356-71-3	Dichlorodifluorosilane	Cl2F2Si	241.15	21200	
18433-84-6	Pentaborane(11)	B5H11	338.15	31800	
1855-63-6	1-Cyclohexenecarbonitrile	C7H9N			53550
18854-56-3	1,2-Dipropoxyethane	C8H18O2	436.35		50620
19287-45-7	Diborane	B2H6	180.66	14280	
1942-45-6	4-Octyne	C8H14	404.75	36000	42730
1975-78-6	Decanenitrile	C10H19N	516.15		66840
19780-66-6	3-Ethyl-2-methyl-1-pentene	C8H16	382.65		37270
19812-64-7	1,14-Tetradecanediol	C14H30O2			149700
19961-27-4	Ethylisopropylamine	C5H13N	342.75	29940	33130
20089-07-0	2-Methyl-1-butanethiol, (+)	C5H12S	392.25	33790	39450
20281-86-1	2-Hexanol	C6H14O	413.15	41010	58460
2040-95-1	Butylcyclopentane	C9H18	429.75	36160	45890
2040-96-2	Propylcyclopentane	C8H16	404.15	34700	41080
2084-18-6	3-Methyl-2-butanethiol	C5H12S	382.95		37500
2131-18-2	Pentadecylbenzene	C21H36	646.15		100300
2159-75-3	Azobutane	C8H18N2			49310
2162-92-7	1,2-Dichlorohexane	C6H12Cl2	446.15		48160
2189-60-8	Octylbenzene	C14H22	537.15		69100
21968-17-2	Isopropylpropylamine	C6H15N	370.05	32140	37230
2207-01-4	cis-1,2-Dimethylcyclohexane	C8H16	402.95	33470	39700
2207-03-6	trans-1,3-Dimethylcyclohexane	C8H16	397.65	33390	39160
2207-04-7	trans-1,4-Dimethylcyclohexane	C8H16	392.55	32560	37900
2213-32-3	2,4-Dimethyl-1-pentene	C7H14	354.75		33030
2244-07-7	Undecanenitrile	C11H21N	526.15		71140
2404-52-6	Phosphorothioc trifluoride	F3PS	220.9	19600	
2406-52-2	Stannane	H4Sn	221.35	19050	
2437-25-4	Dodecanenitrile	C12H23N	550.15		76120
2532-58-3	cis-1,3-Dimethylcyclopentane	C7H14	363.95	30400	34200
2551-62-4	Sulfur hexafluoride	F6S			8990
26171-83-5	1,2-Butanediol, (±)-	C4H10O2	463.65	52840	71550
26549-25-7	3-Heptanol, (S)-	C7H16O	430.15	42500	
2696-92-6	Nitrosyl chloride	ClNO	267.65	25780	
2807-30-9	2-Propoxyethanol	C5H12O2	422.95	41400	52120
2809-67-8	2-Octyne	C8H14	410.75	37260	44490
2847-72-5	4-Methyldecane	C11H24	460.15	40700	53760
2868-37-3	Methyl cyclopropanecarboxylate	C5H8O2	388.05	35250	41270
287-23-0	Cyclobutane	C4H8	285.75	24190	23510
287-27-4	Thietane	C3H6S	368.15	32320	35970
287-92-3	Cyclopentane	C5H10	322.45	27300	28520
289-80-5	Pyridazine	C4H4N2	481.15		53470
289-95-2	Pyrimidine	C4H4N2	396.95	43090	49790
29882-57-3	2-Chloropentane, (+)	C5H11Cl	370.15	31790	36030
302-01-2	Hydrazine	H4N2	386.7	41800	44700
3047-38-9	1-Cyclopentenecarbonitrile	C6H7N			44980
306-94-5	Perfluorodecalin	C10F18	415.17		41540
307-34-6	Perfluorooctane	C8F18	379.05	33380	41130
3073-92-5	Butyl propyl ether	C7H16O	391.25	33720	40220
30937-52-1	Rhenium(V) fluoride	F5Re	494.45	58100	
311-89-7	Tris(perfluorobutyl)amine	C12F27N	451.15	46400	
31576-40-6	Osmium(V) fluoride	F5Os	506.15	65600	
33021-02-2	tert-Butyl isobutyl ether	C8H18O	385.15	33110	40500
33966-50-6	sec-Butylamine	C4H11N	335.88	29920	32850
344-07-0	Chloropentafluorobenzene	C6ClF5	391.11	34760	41070
3452-97-9	3,5,5-Trimethyl-1-hexanol	C9H20O	467.15		67860
34713-94-5	2-Methyl-1-butanol, (±)-	C5H12O	400.65		55160
352-32-9	4-Fluorotoluene	C7H7F	389.75	34080	39420
352-93-2	Diethyl sulfide	C4H10S	365.25	31770	35800
3522-94-9	2,2,5-Trimethylhexane	C9H20	397.24	33650	40160
354-51-8	1,2-Dibromo-1-chloro-1,2,2-trifluoroethane	C2Br2ClF3	366.15	31170	35040
354-58-5	1,1,1-Trichloro-2,2,2-trifluoroethane	C2Cl3F3	318.65	26850	28080
355-25-9	Perfluorobutane	C4F10	271.25	22900	
355-42-0	Perfluorohexane	C6F14	330.29		32470
363-72-4	Pentafluorobenzene	C6HF5	358.89	32150	36270
36383-15-0	sec-Butylbenzene, (±)-	C10H14	446.45		48100
36653-82-4	1-Hexadecanol	C16H34O	585.15		107700
367-11-3	o-Difluorobenzene	C6H4F2	367.15	32210	36180
372-18-9	m-Difluorobenzene	C6H4F2	355.75	31100	34590
375-96-2	Perfluorononane	C9F20	390.76		45270
3875-51-2	Isopropylcyclopentane	C8H16	399.65	33560	39440
3877-15-4	Methyl propyl sulfide	C4H10S	368.75	32080	36240
3899-36-3	trans-3-Methyl-3-hexene	C7H14	366.65		35700
392-56-3	Hexafluorobenzene	C6F6	353.47	31660	35710
3937-56-2	1,9-Nonanediol	C9H20O2			112500
3938-95-2	Ethyl 2,2-dimethylpropanoate	C7H14O2	391.55	34510	41250
4032-94-4	2,4-Dimethyloctane	C10H22	429.15	36470	47130
4050-45-7	trans-2-Hexene	C6H12	341.05		31600
4109-96-0	Dichlorosilane	Cl2H2Si	281.45	25000	24200
4110-50-3	Ethyl propyl sulfide	C5H12S	391.75	34240	39970
4128-31-8	2-Octanol	C8H18O	452.45	44400	
420-46-2	1,1,1-Trifluoroethane	C2H3F3	225.9	18990	
4254-02-8	Cyclopentanecarbonitrile	C6H9N	443.15		43430
4292-92-6	Pentylcyclohexane	C11H22	476.85		53880
434-64-0	Perfluorotoluene	C7F8	376.7		40520
4426-11-3	Cyclobutanecarbonitrile	C5H7N	422.75	36880	44340
460-19-5	Cyanogen	C2N2	252.05	23330	19750
462-06-6	Fluorobenzene	C6H5F	357.88	31190	34580
462-95-3	Diethoxymethane	C5H12O2	361.15	31330	35650
4625-24-5	1-Methylbicyclo[3.1.0]hexane	C7H12	366.25	31070	34770
463-11-6	1-Fluorooctane	C8H17F	415.45	40430	49650
463-82-1	Neopentane	C5H12	282.63	22740	21840
464-06-2	2,2,3-Trimethylbutane	C7H16	354.01	28900	32050
464-49-3	Camphor, (+)	C10H16O	480.55	59500	
4747-07-3	Hexyl methyl ether	C7H16O	399.25	34930	42070
4747-21-1	Isopropylmethylamine	C4H11N	323.55	28710	30690
4806-61-5	Ethylcyclobutane	C6H12	343.95	28670	31240
491-35-0	4-Methylquinoline	C10H9N	535.15		67600
4914-89-0	cis-3-Methyl-3-hexene	C7H14	368.55		36310
493-01-6	cis-Decahydronaphthalene	C10H18	468.95	41000	
493-02-7	trans-Decahydronaphthalene	C10H18	460.45	40200	
496-11-7	Indan	C9H10	451.12	39630	48790
5008-73-1	Isopropyl propyl sulfide	C6H14S	405.25	35110	41780
502-56-7	5-Nonanone	C9H18O	461.6		53300
503-30-0	Oxetane	C3H6O	320.75	28670	29850
504-63-2	1,3-Propanediol	C3H8O2	487.55	57900	69800
505-22-6	1,3-Dioxane	C4H8O2	379.25	34370	39090
506-52-5	1-Hexacosanol	C26H54O			153700
507-19-7	2-Bromo-2-methylpropane	C4H9Br	346.45	29230	31810
507-20-0	2-Chloro-2-methylpropane	C4H9Cl	324.05	27550	28980
509-14-8	Tetranitromethane	CN4O8	399.25	40740	49930
513-35-9	2-Methyl-2-butene	C5H10	311.71	26310	27060
513-36-0	1-Chloro-2-methylpropane	C4H9Cl	341.65	29220	31670
513-38-2	1-Iodo-2-methylpropane	C4H9I	394.25	33540	38830
513-44-0	2-Methyl-1-propanethiol	C4H10S	361.65	31010	34630
5137-45-1	1-Ethoxy-2-methoxyethane	C5H12O2	376.65	34330	39830
5145-99-3	Ethyl isopropyl sulfide	C5H12S	380.65	32740	37780
515-84-4	Ethyl trichloroacetate	C4H5Cl3O2	440.65		50970
52152-71-3	2-Iodobutane, (±)-	C4H9I	393.25	33270	38460
526-73-8	1,2,3-Trimethylbenzene	C9H12	449.27		49050
53178-20-4	2-Chlorobutane	C4H9Cl	341.35	29170	31530
535-15-9	Ethyl dichloroacetate	C4H6Cl2O2	428.15		50600
538-68-1	Pentylbenzene	C11H16	478.55		55100
538-93-2	Isobutylbenzene	C10H14	445.94		48000
539-82-2	Ethyl pentanoate	C7H14O2	419.25	36960	47010
540-36-3	p-Difluorobenzene	C6H4F2	362.15	31770	35540
540-54-5	1-Chloropropane	C3H7Cl	319.65	27180	28350
540-63-6	1,2-Ethanedithiol	C2H6S2	419.25	37930	44680
540-84-1	2,2,4-Trimethylpentane	C8H18	372.37	30790	35140
540-88-5	tert-Butyl acetate	C6H12O2	368.25	33070	38030
541-73-1	m-Dichlorobenzene	C6H4Cl2	446.15	38620	48580
542-55-2	Isobutyl formate	C5H10O2	371.35	33600	
542-69-8	1-Iodobutane	C4H9I	403.65	34660	40630
543-59-9	1-Chloropentane	C5H11Cl	381.55	33150	38240
544-01-4	Diisopentyl ether	C10H22O	445.65	35100	
544-10-5	1-Chlorohexane	C6H13Cl	408.25	35670	42830
544-40-1	Dibutyl sulfide	C8H18S	458.15		52960
544-76-3	Hexadecane	C16H34	560.01	51840	81350
547-63-7	Methyl isobutanoate	C5H10O2	365.65	32610	37320
5500-21-0	Cyclopropanecarbonitrile	C4H5N	408.25	35550	41940
55156-16-6	3-Methyl-2-pentanone, (±)-	C6H12O	390.65	34160	40530
553-90-2	Dimethyl oxalate	C4H6O4	436.65		54700
554-12-1	Methyl propanoate	C4H8O2	352.95	32240	35850
554-14-3	2-Methylthiophene	C5H6S	385.75	33900	38870
557-17-5	Methyl propyl ether	C4H10O	312.25	26750	27600
558-17-8	2-Iodo-2-methylpropane	C4H9I	373.25	31430	35410
558-37-2	3,3-Dimethyl-1-butene	C6H12	314.35		26610
56-23-5	Tetrachloromethane	CCl4	349.95	29820	32430
56-81-5	Glycerol	C3H8O3	563.15	61000	
560-21-4	2,3,3-Trimethylpentane	C8H18	387.95	32120	37270
562-49-2	3,3-Dimethylpentane	C7H16	359.21	29620	33030
563-16-6	3,3-Dimethylhexane	C8H18	385.12	32310	37530
563-45-1	3-Methyl-1-butene	C5H10	293.25		23770
563-46-2	2-Methyl-1-butene	C5H10	304.35	25500	25920
563-78-0	2,3-Dimethyl-1-butene	C6H12	328.75		29180
563-79-1	2,3-Dimethyl-2-butene	C6H12	346.45	29640	32510
563-80-4	3-Methyl-2-butanone	C5H10O	367.48	32350	36780
564-02-3	2,2,3-Trimethylpentane	C8H18	383.15	31940	36910
564-04-5	2,2-Dimethyl-3-pentanone	C7H14O	398.75	36090	42340
5648-29-3	Bis(ethoxymethyl) ether	C6H14O3	413.75	36170	44690
565-59-3	2,3-Dimethylpentane	C7H16	362.93	30460	34260
565-69-5	2-Methyl-3-pentanone	C6H12O	386.65	33840	39790
565-75-3	2,3,4-Trimethylpentane	C8H18	386.65	32360	37750
565-80-0	2,4-Dimethyl-3-pentanone	C7H14O	398.55	34640	41510
5675-51-4	1,12-Dodecanediol	C12H26O2			135000
57-14-7	1,1-Dimethylhydrazine	C2H8N2	337.05	32550	35000
57-55-6	1,2-Propanediol	C3H8O2	460.75	52400	
57-57-8	2-Oxetanone	C3H4O2	435.15		47030
57-88-5	Cholesterol	C27H46O			148000
57246-89-6	Rhenium(VII) dioxytrifluoride	F3O2Re	458.55	65700	
576-26-1	2,6-Xylenol	C8H10O	474.22		75310
5787-31-5	2-Bromobutane, (±)-	C4H9Br	364.45	30770	34410
583-48-2	3,4-Dimethylhexane	C8H18	390.88	33240	38970
583-58-4	3,4-Dimethylpyridine	C7H9N	452.25	39990	50500
583-61-9	2,3-Dimethylpyridine	C7H9N	434.27	39080	47820
584-02-1	3-Pentanol	C5H12O	389.4		54000
584-94-1	2,3-Dimethylhexane	C8H18	388.77	33170	38780
5857-36-3	2,2,4-Trimethyl-3-pentanone	C8H16O	408.25	35640	43300
589-38-8	3-Hexanone	C6H12O	396.65	35360	42470
589-43-5	2,4-Dimethylhexane	C8H18	382.65	32510	37760
589-53-7	4-Methylheptane	C8H18	390.87	33350	39690
589-81-1	3-Methylheptane	C8H18	392.05	33660	39830
589-93-5	2,5-Dimethylpyridine	C7H9N	430.13	38680	47040
590-18-1	cis-2-Butene	C4H8	276.86	23340	22160
590-19-2	1,2-Butadiene	C4H6	284.05	24020	23210
590-35-2	2,2-Dimethylpentane	C7H16	352.35	29230	32420
590-36-3	2-Methyl-2-pentanol	C6H14O	394.25	39590	54770
590-66-9	1,1-Dimethylcyclohexane	C8H16	392.75	32510	37920
590-67-0	1-Methylcyclohexanol	C7H14O	428.15	79000	
590-73-8	2,2-Dimethylhexane	C8H18	380.01	32070	37280
591-22-0	3,5-Dimethylpyridine	C7H9N	444.99	39460	49330
591-50-4	Iodobenzene	C6H5I	461.55	39500	
591-76-4	2-Methylhexane	C7H16	363.19	30620	34870
591-78-6	2-Hexanone	C6H12O	400.75	36350	43140
591-87-7	Allyl acetate	C5H8O2	376.65	36300	
5911-04-6	3-Methylnonane	C10H22	441.05	38260	49710
592-13-2	2,5-Dimethylhexane	C8H18	382.27	32540	37850
592-27-8	2-Methylheptane	C8H18	390.81	33260	39670
592-41-6	1-Hexene	C6H12	336.63		30610
592-65-4	Diisobutyl sulfide	C8H18S	444.15		48710
592-76-7	1-Heptene	C7H14	366.79		35490
592-84-7	Butyl formate	C5H10O2	379.25	36580	41110
593-45-3	Octadecane	C18H38	589.45	55230	91440
593-60-2	Bromoethene	C2H3Br	288.95	23400	
594-56-9	2,3,3-Trimethyl-1-butene	C7H14	351.05		32090
594-82-1	2,2,3,3-Tetramethylbutane	C8H18	379.6		42900
597-49-9	3-Ethyl-3-pentanol	C7H16O	415.15		57340
598-53-8	Isopropyl methyl ether	C4H10O	303.92	26050	26410
598-98-1	Methyl 2,2-dimethylpropanoate	C6H12O2	374.25	33420	38760
598-99-2	Methyl trichloroacetate	C3H3Cl3O2	426.95		48330
60-29-7	Diethyl ether	C4H10O	307.65	26520	27100
60-34-4	Methylhydrazine	CH6N2	360.65	36120	40370
600-07-7	2-Methylbutanoic acid	C5H10O2	450.15		46910
6032-29-7	2-Pentanol	C5H12O	392.45	41400	54210
609-26-7	3-Ethyl-2-methylpentane	C8H18	388.81	32930	38520
611-32-5	8-Methylquinoline	C10H9N	520.65		65700
615-38-3	cis-2-Methylcyclohexanol	C7H14O	438.15	48500	
615-39-4	trans-2-Methylcyclohexanol, (±)-	C7H14O	440.65	53000	
616-12-6	3-Methyl-trans-2-pentene	C6H12	343.55		31350
616-21-7	1,2-Dichlorobutane	C4H8Cl2	397.25	33900	39580
616-44-4	3-Methylthiophene	C5H6S	388.65	34240	39430
