PAOXFRSJRCGJLV-UHFFFAOYSA-N	1 1 1	2 4 29 2 35 2 	2 2 29 2 35 2 78 2 	2 4 29 2 35 2 
PLKNNIMJRPBOSW-UHFFFAOYSA-N	1 1 1	9 16 10 10 	9 16 10 10 	9 16 10 10 
PQFMNVGMJJMLAE-QMMMGPOBSA-N	1 1 1	9 4 12 1 17 1 30 1 94 1 	9 4 12 1 17 1 30 1 91 1 	9 4 12 1 17 1 30 1 94 1 
PSNQKTODENQMIO-UHFFFAOYSA-N	1 1 1	1 3 2 2 3 3 19 1 	1 3 3 1 19 1 78 2 79 2 	1 3 2 2 3 3 19 1 
PTTYCKUPSLRLBP-UHFFFAOYSA-N	1 1 1	2 3 6 1 9 5 10 1 14 1 35 1 42 1 77 1 	2 3 6 1 9 5 10 1 14 1 35 1 42 1 77 1 	2 3 6 1 9 5 10 1 14 1 35 1 42 1 77 1 
WODXGCGEKYXYEZ-KVVVOXFISA-N	1 1 1	1 1 2 14 6 1 29 2 42 1 	1 1 2 14 6 1 29 2 42 1 	1 1 2 14 6 1 29 2 42 1 
UUBGRKCIBHMJQC-UHFFFAOYSA-N	1 1 1	1 4 2 3 3 2 4 2 22 1 	1 4 22 1 78 3 79 2 80 2 	1 4 2 3 3 2 4 2 22 1 
AVSOLGBUADYZAD-UHFFFAOYSA-N	1 1 1	2 8 3 3 4 1 38 1 77 1 	2 2 9 2 10 1 37 1 77 1 78 6 79 3 80 1 	2 8 3 3 4 1 38 1 77 1 
KWFVZAJQUSRMCC-HAGHYFMRSA-N	1 1 1	3 2 9 8 10 6 13 2 14 4 	9 8 10 8 79 4 81 4 	3 2 9 8 10 6 13 2 14 4 
ZDVJGWXFXGJSIU-UHFFFAOYSA-N	1 1 1	1 3 2 2 3 2 14 1 	1 3 2 2 3 2 81 1 	1 3 2 2 3 2 14 1 
OPTDDWCXQQYKGU-UHFFFAOYSA-N	1 1 1	9 10 10 2 49 1 	9 10 10 2 49 1 	9 10 10 2 49 1 
KZJWDPNRJALLNS-FBZNIEFRSA-N	1 1 1	1 6 2 11 3 8 4 2 8 1 14 1 	1 6 2 3 3 3 8 1 78 8 79 5 80 2 81 1 	1 6 2 11 3 8 4 2 8 1 14 1 
DBKJZSIBBKOBCN-UPJWGTAASA-N	1 1 1	1 4 2 1 3 3 8 2 20 1 	1 4 8 2 20 1 78 1 79 3 	1 4 2 1 3 3 8 2 20 1 
YJWGKXIQTRYZSH-UHFFFAOYSA-N	1 1 1	9 3 10 2 36 1 63 2 	9 3 10 2 36 1 63 2 	9 3 10 2 36 1 63 2 
PLHJCCHSCFNKCC-UHFFFAOYSA-N	1 1 1	1 2 2 1 3 1 65 1 	1 2 2 1 3 1 65 1 	1 2 2 1 3 1 65 1 
FKCRTRYQHZHXES-UHFFFAOYSA-N	1 1 1	9 3 12 1 42 1 71 2 	9 3 12 1 42 1 71 2 	9 3 12 1 42 1 71 2 
CYEZJYAMLNTSKN-UHFFFAOYSA-N	1 1 1	1 3 2 2 3 1 6 1 	1 3 2 2 3 1 6 1 	1 3 2 2 3 1 6 1 
KMVHSWCLZXSNEN-UHFFFAOYSA-N	1 1 1	1 3 2 2 3 1 6 1 25 2 	1 3 2 2 3 1 6 1 25 2 	1 3 2 2 3 1 6 1 25 2 
ZQGJEUVBUVKZKS-UHFFFAOYSA-N	1 1 1	1 3 4 1 31 1 	1 3 4 1 31 1 	1 3 4 1 31 1 
BBEAZDGZMVABIC-UHFFFAOYSA-N	1 1 1	2 1 51 2 	2 1 51 2 	2 1 51 2 
WXZMFSXDPGVJKK-UHFFFAOYSA-N	1 1 1	2 4 4 1 14 4 	2 4 4 1 14 4 	2 4 4 1 14 4 
RGXIXVNKYUAKHS-UHFFFAOYSA-N	1 1 1	2 2 6 1 8 1 24 1 	6 1 8 1 24 1 78 2 	2 2 6 1 8 1 24 1 
UYZAUXBNFFFZFA-UHFFFAOYSA-N	1 1 1	2 1 9 3 12 1 14 1 53 1 71 1 	2 1 9 3 12 1 14 1 53 1 71 1 	2 1 9 3 12 1 14 1 53 1 71 1 
ZTEGQXPXBLYCGL-UHFFFAOYSA-N	1 1 1	1 2 2 2 9 6 13 2 17 4 	1 2 2 2 9 6 13 2 17 4 	1 2 2 2 9 6 13 2 17 4 
IBKCTZVPGMUZGZ-OLQVQODUSA-N	1 1 1	1 2 2 2 3 1 104 1 	1 2 78 2 79 1 124 1 	1 2 2 2 3 1 104 1 
ABZLKKGJOVPBBL-UHFFFAOYSA-N	1 1 1	1 2 2 6 103 1 	1 2 2 6 123 1 	1 2 2 6 103 1 
UBVACUZVNTVHTE-SNVBAGLBSA-N	1 1 1	1 2 2 6 3 1 14 1 22 1 	1 2 2 6 3 1 22 1 81 1 	1 2 2 6 3 1 14 1 22 1 
XFKPOLRDQWCGPV-UHFFFAOYSA-N	1 1 1	1 3 2 2 3 1 25 1 	1 3 2 2 3 1 25 1 	1 3 2 2 3 1 25 1 
UWHATVBKIRLRTB-UHFFFAOYSA-N	1 1 1	2 6 3 2 6 1 	6 1 78 6 79 2 	2 6 3 2 6 1 
XCKHBAKSZUHYPM-UHFFFAOYSA-N	1 1 1	1 2 2 17 45 1 	1 2 2 17 45 1 	1 2 2 17 45 1 
XDWPSGQUCMCJCO-UHFFFAOYSA-N	1 1 1	9 9 10 7 11 1 44 1 71 1 	9 9 10 7 11 1 44 1 71 1 	9 9 10 7 11 1 44 1 71 1 
JRRHUIUXVVVOQH-UHFFFAOYSA-N	1 1 1	2 3 3 1 6 1 35 1 	6 1 35 1 78 3 79 1 	2 3 3 1 6 1 35 1 
VVMRZYODYMBLRJ-UHFFFAOYSA-N	1 1 1	2 4 4 1 9 4 10 1 42 1 71 1 	9 4 10 1 42 1 71 1 78 4 80 1 	2 4 4 1 9 4 10 1 42 1 71 1 
VRTUIPADMRQBPL-AFEZEDKISA-N	1 1 1	1 3 2 16 3 1 6 1 14 1 34 1 42 1 96 1 	1 3 2 16 3 1 6 1 34 1 42 1 81 1 100 1 	1 3 2 16 3 1 6 1 14 1 34 1 42 1 96 1 
DCJOHKAKSCTBKS-UHFFFAOYSA-N	1 1 1	1 2 2 11 9 2 10 1 12 1 17 2 19 1 	1 2 2 11 9 2 10 1 12 1 17 2 19 1 	1 2 2 11 9 2 10 1 12 1 17 2 19 1 
XINIQAUPXOVUCJ-UHFFFAOYSA-N	1 1 1	1 1 2 4 4 1 9 9 10 2 25 1 35 1 53 1 	1 1 4 1 9 9 10 2 25 1 35 1 53 1 78 4 	1 1 2 4 4 1 9 9 10 2 25 1 35 1 53 1 
OBFMYPMABCVIFZ-UHFFFAOYSA-N	1 1 1	1 6 2 9 4 3 	1 6 2 6 78 3 80 3 	1 6 2 9 4 3 
CNLYNLSYCPWZQY-UHFFFAOYSA-N	1 1 1	9 6 10 2 17 1 53 1 	9 6 10 2 17 1 53 1 	9 6 10 2 17 1 53 1 
HGOGNLOBEAIJAM-UHFFFAOYSA-N	1 1 1	1 1 6 1 64 1 77 1 	1 1 6 1 64 1 77 1 	1 1 6 1 64 1 77 1 
FHLZIYNVLQXIAD-UHFFFAOYSA-N	1 1 1	2 4 3 4 6 1 30 1 	6 1 30 1 78 4 79 4 	2 4 3 4 6 1 30 1 
GOERTRUXQHDLHC-UHFFFAOYSA-N	0 1 0	1 1 9 4 10 3 12 1 24 1 34 1 	1 1 9 3 10 2 12 1 24 1 34 1 38 1 	1 1 9 4 10 3 12 1 24 1 34 1 
JIPTZBYHWFNYFB-UHFFFAOYSA-N	1 1 1	1 2 2 10 3 1 42 1 	1 2 2 10 3 1 42 1 	1 2 2 10 3 1 42 1 
YQUVCSBJEUQKSH-UHFFFAOYSA-N	1 1 1	9 3 10 1 17 2 42 1 	9 3 10 1 17 2 42 1 	9 3 10 1 17 2 42 1 
UMWCHHTXFDYJDZ-UHFFFAOYSA-N	1 1 1	2 2 3 1 5 1 14 1 74 2 75 2 76 1 77 1 	2 2 3 1 5 1 74 2 75 2 76 1 77 1 81 1 	2 2 3 1 5 1 14 1 74 2 75 2 76 1 77 1 
DIZHLKGDDLADCI-UHFFFAOYSA-N	1 1 1	1 4 3 2 7 1 25 1 	1 4 3 2 7 1 25 1 	1 4 3 2 7 1 25 1 
ZMCUKNMLHBAGMS-UHFFFAOYSA-N	1 1 1	9 4 13 2 64 4 	9 4 13 2 64 4 	9 4 13 2 64 4 
LSJXFRHMMURWFI-UHFFFAOYSA-N	1 1 1	1 1 2 4 9 1 10 1 17 1 53 3 77 1 	1 1 2 4 9 1 10 1 17 1 53 3 77 1 	1 1 2 4 9 1 10 1 17 1 53 3 77 1 
RISLXYINQFKFRL-UHFFFAOYSA-N	1 1 1	1 2 2 11 22 2 	1 2 2 11 22 2 	1 2 2 11 22 2 
WJUUZHQWGKSLIJ-UHFFFAOYSA-N	0 0 1	1 3 4 1 9 3 10 1 11 1 32 1 53 1 101 1 	1 3 3 1 4 1 9 3 10 1 11 1 25 1 32 1 53 1 81 1 	1 3 4 1 9 3 10 1 11 1 32 1 53 1 101 1 130 1 
CWHJIJJSDGEHNS-UHFFFAOYSA-N	1 1 1	1 5 2 9 3 6 4 5 14 2 42 2 44 1 70 1 	1 5 42 2 44 1 70 1 78 9 79 6 80 5 81 2 	1 5 2 9 3 6 4 5 14 2 42 2 44 1 70 1 
IDDWGDKSBYYEPL-UHFFFAOYSA-N	1 1 1	1 3 2 3 8 1 22 1 77 2 	1 3 2 3 8 1 22 1 77 2 	1 3 2 3 8 1 22 1 77 2 
PQMCFTMVQORYJC-UHFFFAOYSA-N	1 1 1	2 4 3 1 14 1 30 1 	30 1 78 4 79 1 81 1 	2 4 3 1 14 1 30 1 
OMQRHANPZIOLFM-UHFFFAOYSA-N	1 1 1	1 1 2 24 44 1 	1 1 2 24 44 1 	1 1 2 24 44 1 
ONBQOCZVFSXWQW-UHFFFAOYSA-N	1 1 1	2 5 3 5 42 1 	42 1 78 5 79 5 	2 5 3 5 42 1 
XVIZMMSINIOIQP-UHFFFAOYSA-N	1 1 1	9 7 10 2 53 3 	9 7 10 2 53 3 	9 7 10 2 53 3 
HWVZBCRVHCPVTE-UHFFFAOYSA-N	1 0 0	2 10 9 8 10 3 12 1 14 3 22 1 100 1 109 2 	2 7 9 8 10 3 12 1 14 4 22 1 25 1 78 4 	2 10 9 8 10 3 12 1 14 3 22 1 100 1 
YSFZWUJOBANROZ-UHFFFAOYSA-N	1 1 1	1 1 2 6 3 1 42 2 	1 1 2 6 3 1 42 2 	1 1 2 6 3 1 42 2 
MWPLVEDNUUSJAV-LHNTUAQVSA-N	1 1 1	9 10 10 4 	9 10 10 4 	9 10 10 4 
YRCWQPVGYLYSOX-UHFFFAOYSA-N	1 1 1	2 1 9 4 13 1 14 1 17 1 31 1 	2 1 9 4 13 1 17 1 31 1 81 1 	2 1 9 4 13 1 14 1 17 1 31 1 
WFBDWTZOYPUBQZ-UHFFFAOYSA-N	0 1 0	1 1 2 2 32 1 34 1 	1 1 2 2 34 1 94 1 	1 1 2 2 32 1 34 1 
XCWKYQWOLSOBCC-UHFFFAOYSA-N	1 1 1	1 3 2 3 3 1 25 2 	1 3 2 3 3 1 25 2 	1 3 2 3 3 1 25 2 
SNYRXHULAWEECU-UHFFFAOYSA-N	1 1 1	9 3 10 1 25 1 42 1 53 2 	9 3 10 1 25 1 42 1 53 2 	9 3 10 1 25 1 42 1 53 2 
DOCWCRVSOQKFMI-UHFFFAOYSA-N	1 1 1	1 2 2 2 3 1 60 1 	1 2 2 2 3 1 60 1 	1 2 2 2 3 1 60 1 
DRGAZIDRYFYHIJ-UHFFFAOYSA-N	1 1 1	38 2 39 1 	9 9 38 2 39 1 	38 2 39 1 
SVONRAPFKPVNKG-UHFFFAOYSA-N	1 1 1	1 1 2 2 21 1 25 1 	1 1 2 2 21 1 25 1 	1 1 2 2 21 1 25 1 
UGZLIZPBSLIKKG-UHFFFAOYSA-N	1 1 1	9 8 10 4 11 2 	9 8 10 4 11 2 	9 8 10 4 11 2 
UNFGQCCHVMMMRF-UHFFFAOYSA-N	1 1 1	1 1 2 1 9 5 13 1 94 1 	1 1 2 1 9 5 13 1 91 1 	1 1 2 1 9 5 13 1 94 1 
SHJGZTHMRQYWME-UHFFFAOYSA-N	1 1 1	1 3 2 16 3 1 6 2 22 1 	1 3 2 16 3 1 6 2 22 1 	1 3 2 16 3 1 6 2 22 1 
MPEFSWGYIJNMCW-UHFFFAOYSA-N	1 1 1	74 3 75 1 76 1 	74 3 75 1 76 1 	74 3 75 1 76 1 
LOLNQOPVHRAGHR-UHFFFAOYSA-N	1 1 1	2 1 9 5 13 1 14 1 21 1 	2 1 9 5 13 1 14 1 21 1 	2 1 9 5 13 1 14 1 21 1 
IAJBQAYHSQIQRE-UHFFFAOYSA-N	1 1 1	9 2 10 4 20 1 24 3 	9 2 10 4 20 1 24 3 	9 2 10 4 20 1 24 3 
PPPFYBPQAPISCT-UHFFFAOYSA-N	1 1 1	1 1 2 1 3 1 14 1 21 1 	1 1 2 1 3 1 21 1 81 1 	1 1 2 1 3 1 14 1 21 1 
NBTGDHBAHMODDU-UHFFFAOYSA-N	1 1 1	9 9 10 2 13 1 51 1 64 1 	9 9 10 2 13 1 51 1 64 1 	9 9 10 2 13 1 51 1 64 1 
GOLXRNDWAUTYKT-UHFFFAOYSA-N	0 1 0	2 1 9 5 10 2 12 1 42 1 	2 1 9 4 10 1 12 1 38 1 42 1 	2 1 9 5 10 2 12 1 42 1 
LPTITAGPBXDDGR-LJIZCISZSA-N	1 1 1	2 1 3 4 21 5 26 1 	2 1 21 5 27 1 79 3 	2 1 3 4 21 5 26 1 
CQDMCVJMVGGZHQ-UHFFFAOYSA-N	1 1 1	1 3 2 34 4 1 14 1 22 2 	1 3 2 34 4 1 14 1 22 2 	1 3 2 34 4 1 14 1 22 2 
FJQXCDYVZAHXNS-UNTBIKODSA-N	0 0 1	1 3 2 1 3 1 4 1 9 10 10 2 19 1 34 1 	1 3 2 1 3 1 4 1 9 10 10 2 19 1 34 1 	1 3 2 1 3 1 4 1 9 10 10 2 19 1 34 1 130 1 
JCRIVQIOJSSCQD-UHFFFAOYSA-N	1 1 1	1 1 2 6 3 2 31 1 	1 1 2 1 3 1 31 1 78 5 79 1 	1 1 2 6 3 2 31 1 
UNOQITWAUFOMKI-UHFFFAOYSA-N	1 0 1	1 6 33 2 81 1 	1 6 33 2 	1 6 33 2 81 1 
FBCQUCJYYPMKRO-UHFFFAOYSA-N	1 1 1	1 1 2 1 5 1 7 1 77 1 	1 1 2 1 5 1 7 1 77 1 	1 1 2 1 5 1 7 1 77 1 
WNABMWFLKQEGCP-UHFFFAOYSA-N	1 1 1	9 2 10 3 36 1 42 1 64 2 	9 2 10 3 36 1 42 1 64 2 	9 2 10 3 36 1 42 1 64 2 
UTZTYDYZCJIRLN-ZPXUAEPASA-N	0 1 0	1 5 2 3 3 8 8 3 14 5 26 1 34 1 70 1 	1 5 2 2 3 2 8 3 27 1 70 1 78 1 79 5 81 4 82 1 86 1 	1 5 2 3 3 8 8 3 14 5 26 1 34 1 70 1 
ULBNWNUHGJLQHO-VKMIBBQISA-N	0 1 0	1 1 2 3 3 5 9 5 10 7 12 1 13 1 24 5 35 1 77 2 	1 1 9 5 10 7 24 5 35 1 39 1 77 2 78 4 79 6 	1 1 2 3 3 5 9 5 10 7 12 1 13 1 24 5 35 1 77 2 
IXODJGLAVBPVSW-UHFFFAOYSA-N	1 1 1	1 1 2 16 9 5 10 1 96 1 	1 1 2 16 9 5 10 1 100 1 	1 1 2 16 9 5 10 1 96 1 
FKRMEMVMXFURIB-UHFFFAOYSA-N	1 1 1	1 1 2 10 9 2 10 2 11 1 12 1 44 2 	1 1 2 10 9 2 10 2 11 1 12 1 44 2 	1 1 2 10 9 2 10 2 11 1 12 1 44 2 
ZKZCHOVDCNLSKG-UHFFFAOYSA-N	1 1 1	2 8 70 1 	70 1 78 8 	2 8 70 1 
XFNJVKMNNVCYEK-UHFFFAOYSA-N	1 1 1	9 7 10 2 12 1 94 1 	9 7 10 2 12 1 91 1 	9 7 10 2 12 1 94 1 
RKORKXFKXYYHAQ-UHFFFAOYSA-N	1 1 1	9 4 10 2 25 1 42 1 63 1 	9 4 10 2 25 1 42 1 63 1 	9 4 10 2 25 1 42 1 63 1 
FAIACLOKYTYHSR-UHFFFAOYSA-N	1 1 1	9 4 10 1 17 1 18 1 19 1 	9 4 10 1 17 1 18 1 19 1 	9 4 10 1 17 1 18 1 19 1 
OZQAPQSEYFAMCY-UHFFFAOYSA-N	1 1 1	1 3 2 5 3 2 4 1 7 1 8 1 	1 3 7 1 8 1 78 5 79 2 80 1 	1 3 2 5 3 2 4 1 7 1 8 1 
HTKIVHYYNMKZDN-UHFFFAOYSA-N	1 1 1	1 2 2 1 4 1 103 2 	1 2 2 1 80 1 123 2 	1 2 2 1 4 1 103 2 
AGBQKNBQESQNJD-UHFFFAOYSA-N	0 1 0	2 6 3 1 42 1 	2 4 42 1 78 2 79 1 201 1 	2 6 3 1 42 1 
GCNKJQRMNYNDBI-UHFFFAOYSA-N	1 1 1	1 3 2 4 4 1 7 2 14 1 77 2 	1 3 2 4 4 1 7 2 14 1 77 2 	1 3 2 4 4 1 7 2 14 1 77 2 
UZZFECMSYKVUBM-UHFFFAOYSA-N	0 0 1	1 1 2 6 3 1 9 5 10 1 35 1 77 1 	1 1 2 2 9 5 10 1 35 1 77 1 78 4 79 1 	1 1 2 6 3 1 9 5 10 1 35 1 77 1 130 1 
GGTYBZJRPHEQDG-UHFFFAOYSA-N	0 0 1	2 2 29 1 30 1 42 1 	2 2 29 1 30 1 42 1 	2 2 29 1 30 1 42 1 130 1 
MQPHVIPKLRXGDJ-BWZBUEFSSA-N	1 1 1	1 3 2 1 3 3 4 1 19 1 	1 3 19 1 78 1 79 3 80 1 	1 3 2 1 3 3 4 1 19 1 
