100-00-5	s
100-01-6	s
100-02-7	s
100-03-8	s
10004-44-1	s
100-06-1	s
1000-70-0	l
100-07-2	l
1000-86-8	l
100-09-4	s
100-10-7	s
100-11-8	s
100-12-9	l
100-13-0	s
100-14-1	s
100-15-2	s
1001-53-2	s
100-17-4	s
100-18-5	l
1001-89-4	l
100-19-6	s
100-20-9	s
100-21-0	s
100-22-1	s
10022-31-8	s
10022-50-1	g
100-23-2	s
1002-43-3	l
10024-93-8	s
10024-97-2	g
100-25-4	s
10025-71-5	s
10025-76-0	s
10025-78-2	l
1002-57-9	s
10025-82-8	s
10025-85-1	l
10025-87-3	l
10025-91-9	s
10025-93-1	s
10026-04-7	l
10026-07-0	s
10026-08-1	s
10026-10-5	s
10026-12-7	s
10026-13-8	s
10026-18-3	s
100-26-5	s
1002-69-3	l
100-27-6	s
10028-14-5	s
10028-15-6	g
10028-17-8	g
10028-18-9	s
1002-84-2	s
100-28-7	s
1002-88-6	s
100-29-8	s
1003-03-8	l
10030-80-5	s
1003-09-4	l
1003-10-7	l
10031-22-8	s
10031-24-0	s
10031-27-3	s
10031-50-2	s
10031-82-0	l
100-32-3	s
1003-29-8	s
10034-85-2	g
10034-93-2	s
10035-10-6	g
1003-56-1	s
100-35-6	s
10036-47-2	g
1003-67-4	s
1003-68-5	s
1003-73-2	s
1003-78-7	l
100-37-8	l
10038-98-9	l
1003-90-3	s
100-39-0	l
10039-55-1	s
100-40-3	l
10040-95-6	s
10041-02-8	s
10041-06-2	s
100-41-4	l
100-42-5	g
10042-76-9	s
10042-88-3	s
10043-11-5	s
10043-35-3	s
1004-36-0	s
1004-38-2	s
10043-92-2	g
100-44-7	l
10045-94-0	s
100-46-9	l
100-47-0	l
1004-77-9	s
100-48-1	s
10049-03-3	g
10049-04-4	g
10049-05-5	s
10049-06-6	s
10049-10-2	s
10049-11-3	s
10049-12-4	s
10049-17-9	l
10049-25-9	s
100-49-2	l
100-50-5	l
100-51-6	g
100-52-7	l
100-53-8	l
1005-39-6	s
100-54-9	s
100-55-0	l
100-56-1	s
1005-67-0	l
100-60-7	l
10061-02-6	l
100-61-8	l
100-63-0	l
1006-31-1	s
1006-41-3	s
100-64-1	s
100-65-2	s
100-66-3	l
100-68-5	l
1006-94-6	s
100-69-6	l
1006-99-1	s
100-70-9	s
100-71-0	l
1007-15-4	s
100-72-1	l
100-74-3	l
100-75-4	l
10075-50-0	s
10075-85-1	s
100-76-5	s
100784-20-1	s
100-80-1	l
100-83-4	s
100-84-5	l
100-86-7	l
1008-76-0	s
1008-88-4	s
10088-95-6	s
1008-89-5	l
100-88-9	s
1009-11-6	s
1009-14-9	l
100-91-4	s
1009-61-6	s
1009-67-2	s
100-97-0	l
100-99-2	l
1009-93-4	l
10099-60-2	s
10099-74-8	s
10099-76-0	s
101007-06-1	s
10101-63-0	s
10101-88-9	s
101-01-9	s
101-02-0	l
10102-43-9	g
10102-45-1	s
10102-68-8	s
10102-75-7	s
1010-48-6	s
101-05-3	s
101-10-0	s
1011-12-7	s
1011-15-0	s
101-14-4	s
1011-50-3	s
101-16-6	s
101-17-7	s
101-18-8	s
101200-48-0	s
101-20-2	s
101-21-3	s
10124-36-4	s
10124-37-5	s
101-25-7	s
1012-72-2	s
101-27-9	s
1012-84-6	s
1013-08-7	s
10130-89-9	s
1013-25-8	s
10136-65-9	s
101-37-1	s
10137-74-3	s
101-38-2	s
10138-41-7	s
10138-52-0	s
10138-62-2	s
1013-88-3	l
101-39-3	l
10139-84-1	s
1014-05-7	s
101-40-6	l
101-42-8	s
1014-60-4	l
1014-69-3	s
1014-70-6	s
10147-40-7	s
10147-41-8	s
1014-81-9	s
1014-98-8	l
10151-95-8	s
101-53-1	s
101-54-2	s
101-55-3	l
101-57-5	s
1015-89-0	s
