Tc	Pc	c0	c1	c2	name	inchikey
738	4078046.93242	0.449565035518008	0.819094588226222	1.87332078601332	1-methyl-1-phenylhydrazine	MWOODERJGVWYJE-UHFFFAOYSA-N
499	1533775.76575	0.223435308651056	0.818821997525229	3.13660025954537	cyclohexane, undecafluoro(pentafluoroethyl)-	SEEJHICDPXGSRQ-UHFFFAOYSA-N
646	1633062.30796	0.387852037205503	0.806982199052569	2.07210127321299	ethenetetramine, octamethyl-	CBXRMKZFYQISIV-UHFFFAOYSA-N
600.8	3448664.41508	0.170339828069701	0.843259066927716	2.66070708472918	2-methyl-2-pentanethiol	ISUXQQTXICTKOV-UHFFFAOYSA-N
645	3846932.10013	0.174929660441617	0.841018689373967	2.69841276109738	2-(1-methylethyl)thiophene	LOXBELRNKUFSRD-UHFFFAOYSA-N
694	3375697.51414	0.279481572182147	0.821707742760238	2.11909965601527	2,3-dihydro-1,1-dimethyl-1H-indene	UTTMVTDJCFSOFF-UHFFFAOYSA-N
528	3872868.68187	0.265012368847286	0.831097583266167	2.03974325281948	1,1,2-trichloro-1,2-difluoroethane	BQNSLJQRJAJITR-UHFFFAOYSA-N
637	5670821.43871	0.211285332389265	0.848806881773238	2.56844240326262	4-methylthiazole	QMHIMXFNBOYPND-UHFFFAOYSA-N
671	2779468.68774	0.254638863917961	0.823471962497538	2.53664266480269	1,2-dichloroheptane	WBCSJABQCRFUCP-UHFFFAOYSA-N
661	4137523.85589	0.166866815007979	0.849624108872577	2.55473146292032	2-methylthiacyclohexane	VLBGYQISAJHVAD-UHFFFAOYSA-N
486	1343605.50934	0.284375378682693	0.808671804217894	3.06001175962727	bis(nonafluorobutyl) ether	LOJJTTDNNWYSGX-UHFFFAOYSA-N
634	5490819.49299	0.918168115588889	0.907326012115155	0.807211978522358	2-methylthiazole	VZWOXDYRBDIHMA-UHFFFAOYSA-N
572	5778056.46609	0.270345729071103	0.819762145961433	2.03350539566088	2-methoxyethylamine	ASUDFOJKTJLAIK-UHFFFAOYSA-N
425.01	4014289.22892	0.791192032153804	0.884238322446014	0.976454404244769	1-chloro-2,2,2-trifluoroethane	CYXIKYKBLDZZNW-UHFFFAOYSA-N
521	1426957.65588	0.373496720700134	0.804567463688499	2.42080759148216	perfluoro(propylcyclohexane)	ITPKQVFBLQIXLT-UHFFFAOYSA-N
640	3043452.19244	0.193785424269152	0.832439584936151	2.85615649654802	1,1-dichlorohexane	RQXXCWHCUOJQGR-UHFFFAOYSA-N
642.4	2019636.07572	0.28244317964981	0.810177770769332	2.83835338603205	1-hexanol, 2-ethyl-, acetate	WOYWLLHHWAMFCB-UHFFFAOYSA-N
699	4558176.0366	0.302856497760385	0.816211928542347	2.0003080537865	benzoxazole	BCMCBBGGLRIHSE-UHFFFAOYSA-N
619	4647274.49807	0.810103187777431	0.89028051244034	0.978404718507851	2,4-hexadiyne	PCTCNWZFDASPLA-UHFFFAOYSA-N
507	2580083.85399	0.612867930923231	0.940403242957721	1.4454286257046	(R*,R*)-2,3-dichloro-1,1,1,4,4,4-hexafluorobutane	DRNMSWBRUAIIJO-LWMBPPNESA-N
643	2746258.06266	0.743955163841149	0.851942048074366	1.05567815757065	(-)-trans-pinane	XOKSLPVRUOBDEW-CIUDSAMLSA-N
723	3295197.82869	1.19143905088459	0.999999967132352	0.792059669868489	benzonitrile, p-chloro-	GJNGXPDXRVXSEH-UHFFFAOYSA-N
452.74484	7159272.99943	0.338887466254431	0.831700135955679	1.907772636381	chlorine trifluoride	JOHWNGGYGAVMGU-UHFFFAOYSA-N
655	2726390.17384	0.725032497527323	0.8489956371883	1.26870701902778	2-methylcyclohexyl acetate	AKIIJALHGMKJEJ-UHFFFAOYSA-N
708	3150062.73916	0.198269450926548	0.836739084648333	2.77575636204186	1,2-dibromohexane	NUUUANNAZVEWHM-UHFFFAOYSA-N
644	2064459.16382	0.257820318637148	0.814383681106803	2.79435042808108	pivalic anhydride	PGZVFRAEAAXREB-UHFFFAOYSA-N
541	3018266.33009	0.45480462674293	0.820578812122207	1.50522664083682	(E)-3-methyl-3-hexene	FHHSSXNRVNXTBG-VOTSOKGWSA-N
824	1896496.72198	0.493444938353873	0.785191699045866	1.77916743904284	2,2-di-p-tolylbutane	YLYGJDUBXATBCZ-UHFFFAOYSA-N
803	2847862.426	0.318479228478925	0.815570730981537	2.18049349002033	dicyclohexyl sulfide	FTAORUVBXKFVDA-UHFFFAOYSA-N
510	1158869.52746	0.261358840315078	0.810881519734796	3.32185816769156	perfluoro-1-decene	IMVVEWPCRIJQCA-UHFFFAOYSA-N
