	CASRN	Formula	MW	c_0	c_1	c_2	c_3	c_4	Min T	Max T	Max w	No of points in corr	v_1	v_2	v_3	v_4	v_5	v_6	Min T	Max T	Max w	No of points in corr	a1	a2	a3	a4	a5	a6	Min T	Max T	Max w	No of points in corr
Sodium Sulfide	1313-82-2	Na2S	78.05	61.5246446879715	5.96898663654019	-0.340010266220993	0.010714807353398	2196.74755874377	25	25	0.0838082718553414	8											-1.13853681429231	-0.0412353462450485	1.8722524604359	-15.1634637463036	0.309684746129478	-0.357774489604084	25	25	0.0838082718553414	8
Sodium Thiosulfate	7772-98-7	Na2S2O3	158.11	-1.38269885022596	889.546797352274	0.698935895205399	0.00420349527799401	1191.73071571581	25	80	0.6	38	22.6456121407352	2.47377765225894	3.56865484126635	0.0126301850609514	2203.19530855246	9.55937363252023	11.85	50	0.493802872319496	85	-0.386168865473059	-0.0271669313221761	1.26345022968517	-2.22477063715712	4.30403037441163	0.647388329602726	25	25	0.0374829873036563	17
Sodium Sulfite	7757-83-7	Na2SO3	126.06	0.0000151967488422278	0.000000437655086571068	0.102960669860311	-0.00152708622851478	-4500.84960861175	25	80	0.2	36	0.0000440781107296358	-2.28233049574303	5.5871409906515	0.0146299063746211	-0.251895861233079	4.71691544641652	25	40	0.0603456497192383	20										
Sodium Sulfate	7757-82-6	Na2SO4	142.05	0.00000445025449497252	0.00000912086519621226	0.0840358370073922	0.00465767525381795	4349.50513887423	0	125	0.325190633645995	402	26.519030558821	1.57461388862123	3.49662845657778	0.0103879555384097	106.225284686677	2.97377111982723	15	150	0.331293819357543	222	-0.128940059850601	-0.0791007850273286	3.222049067173	-15.6934250748885	5.80544717183583	1.18362567114092	25	140.38	0.211407107227829	106
Sodium Tungstate	13472-45-2	Na2WO4	293.83	-0.380319842633345	1.18772188238953	1.81560860490363	0.0209650440175783	3105.3641624205	20	80	0.4	27											-0.279378834206737	-0.0588583214346121	1.26191859973699	-0.619907016268095	1.64388513276095	0.770346469979388	25	25	0.0451564045911922	11
Sodium Phosphate	7601-54-9	Na3PO4	163.94	155.804085307097	251.218167358366	-0.163160740820224	0.000301220796704921	1298.06956536295	25	80	0.3	29	25.155119950393	0.551461095083463	12.2188262482389	0.00233381035504977	6965445.67542483	1.8308806953571	19.95	49.95	0.07584	35	-0.12154439489363	-0.0271669313221761	1.26345022968517	-6.64188048551598	-2.76326670017069	0.785159187253261	25	25	0.0278275267813536	7
Sodium Aluminate	11138-49-1	NaAl(OH)4	118.0009	-42.8778436531619	200.054540406384	10.0093292764999	0.0846053773738101	2248.96510654738	22	90	0.380060255901169	219	285.167969325647	4.55515153998458	5.28152484865231	0.0103814784472959	1374622.51194174	13.7479925507093	22	75	0.995357873764107	113										
Sodium Bromide	7647-15-6	NaBr	102.91	23.765937876294	210.721942848473	2.01023472140861	0.0163941235513688	1941.82908042744	0	95	0.548160826326951	291	13.02905395428	1.74783698289335	0.604127008790876	0.0108036956912202	17.6807414205322	2.3830591098608	5	60	0.540469323569245	217	-0.116019394027422	-0.0583057782055604	2.79511132946178	-8.56927510684063	3.06633066948505	2.21670345002073	5	120	0.438573425841879	262
Sodium Acetate	127-09-3	NaCH3CO2	82.04	1732.57047592873	83.5413523305266	0.0400429680170604	0.0000471569682646929	-274.927412526629	5	95	0.3171	155	9.05447005986345	1.02421691056515	5.11873034125429	0.0207405487854787	1.45916695675574	2.83513533611403	15	55	0.455930359085963	47	-9449.26290521344	0.0520447630370826	-8.88529158691544	-2.70833743099674	2.2503820575469	0.121149416630291	5	120	0.0383123141230807	133
Sodium Formate	141-53-7	NaCHO2	68.02	757.620542046849	1317.08144389483	0.756915393987625	0.00316468742066717	687.344536387312	25	45	0.405965440701747	99	3.7183862739329	3.72713477520443	3.79994518773218	0.0198922322967837	2.845561234942	2.75661653053348	25	25	0.00793085700024956	5	-1.1696589197325	-0.0092365353968173	-0.0469475502581106	-0.477516748018179	3.27089662651212	-0.0111046055523319	0	120	0.161901237100822	51
Sodium Chloride	7647-14-5	NaCl	58.45	-0.00324112223655149	0.0636354335906616	1.01371399467365	0.0145951015210159	3317.34854426537	0	140	0.26589930421877	869	16.221788633396	1.32293086770011	1.48485985010431	0.00746912559657377	30.7802007540575	2.05826852322558	5	154	0.264456748962402	552	-0.0693559668993322	-0.0782134167486952	3.84798479408635	-11.2762109247072	8.73187698542672	1.81245930472755	1.5	120	0.261058295490885	356
Sodium Chlorate	7775-09-9	NaClO3	106.45	1689.74194323263	2306.80721665048	0.823135861678897	0.00287341278943238	336.486976255836	25	35	0.500970661636882	48	9.09437644760694	1.75632134796021	0.782937562657701	0.0203946989954193	1.68826923569265	3.93246286237429	25	65	0.58264	46	-0.0860013115375719	-0.0271669313221761	1.26345022968517	2.72578911190464	3.28247603057711	0.671651229112885	25	25	0.271775779833685	13
Sodium Fluoride	7681-49-4	NaF	41.99	0.0000246433035701229	0.00000640023572476968	-0.0442093572124659	0.000252933311636729	4231.60399757237	0	98.67	0.03744	226	17.6844291356975	0.0171046832667944	-11.0863914174168	0.00186206665644735	0.422691002106297	6.18869821446872	5	55	0.0389490127563477	67	-0.0188014095565548	-0.123400511922156	5.49523657232955	-17.7405963181415	-0.0212121467897214	-0.63724345697544	5	120	0.0293364671918345	176
Sodium Dihydrogen Phosphate	7758-80-7	NaH2PO4	119.979	1614.75236436149	1267.61449182737	0.331039480071181	0.00125354906642541	347.040108092145	25	45	0.357099747184555	88	19.9364131324086	0.103175620883031	-4.31073888952754	0.00280817363355542	25365.4130865702	1.2632453720635	20	50	0.2997	53	-0.898193058341899	-0.933842034432815	1.83870888808927	-5.88847934533716	1.88782230949812	0.342413861852324	39.5	39.5	0.2	5
Sodium Bicarbonate	144-55-8	NaHCO3	84.01	0.0377378060615898	0.00710029652458366	0.0735733388535116	0.00168369765511221	3291.38382252025	0	125	0.126441643582641	145	31.5819207092739	0.0794532561718167	-16.9096255040761	0.0013751751230389	44188.6551718116	1.88902235502575	20	30	0.0844392776489258	12	-0.0306885807802693	-0.0271669313221761	1.26345022968517	-0.352415251157233	4.15847941330021	0.682203311194025	25	25	0.083352939191768	20
Sodium Hydrogen Sulfide	16721-80-5	NaHS	56.07	0.00000242217645672975	0.00000200860291900763	0.352962938977364	-0.00206679739877992	-4493.99118943498	10	125	0.0526403873973243	49											-0.00431579537824825	-0.106513654523218	6.61634979578469	-13.9845085417817	0.0159778540730333	-0.673914828860749	10	40	0.0521117086161818	29
Sodium Hydrogen Sulfite	7631-90-5	NaHSO3	104.06	-13.4660000968563	22.7340851053589	47.9384705050001	-0.0755567510590347	-3013.64888406774	10	40	0.242976332902623	103											0.121524503946654	-0.0271669313221761	1.26345022968517	3.68935232980144	1.74043062821646	0.600704312869987	25	25	0.0930896200566437	16
Sodium Hydrogen Sulfate	7681-38-1	NaHSO4	120.0614	422.258641684634	303.929809147079	0.27900620122336	0.0032476083442729	1179.46229633624	25	45	0.2982	45	4.16473103122787	1.46887498099292	2.27474659696881	0.00880918531392803	-3.73178073127544	4.38881791703819	18	18	0.375119898869404	5	-9449.26290528436	0.0661142747316597	-8.88446492642497	-2.76783022320535	2.75887060030185	0.237644750741336	21	21	0.2	5
Sodium Iodide	7681-82-5	NaI	149.92	20.6580552070423	58.2655367174969	1.55325823873968	0.0153181315946676	2196.74755874377	10	99.96	0.628528577326264	99	12.3495683018735	1.79133944503558	-0.227424348220467	0.00840545325368774	43.3075417104273	3.14063409209208	5	97.83	0.628528577326264	166	-0.01576176585026	-0.08167060601723	4.15410470171572	-5.31232065731733	5.30591627893455	2.89203001475597	25	100	0.231560841324076	22
Sodium Permanganate	10101-50-5	NaMnO4	141.9254	-0.0355367095332094	0.65854780876441	2.17897974282739	0.0280925958073744	3081.72430008019	1.35	37.45	0.256	20																				
Sodium Nitrite	7632-00-0	NaNO2	69	-1.37953326632496	986.377568711927	1.39162575447536	0.00219037364131067	1191.73071571581	15	20	0.2	15																				
Sodium Nitrate	7631-99-4	NaNO3	85.01	22.3499264791804	66.4478689005725	0.989888301509443	0.00947165097909636	1971.5514625204	0	100	0.489193052084002	259	6.7313473153146	1.05612138465955	0.877718891436357	0.0107285288664735	3.05655294565016	0.955895443778298	10	60	0.552056248834366	338	-0.0420888209361667	-0.0862083520705012	4.04836454348122	-8.1584512900783	1.57362106214301	0.23955967308698	2	120	0.459940227674964	206
Sodium Hydroxide	1310-73-2	NaOH	40.01	319.020509469838	528.592358475315	-0.102197896602724	0.000350420706415566	765.970470238438	4	120	0.502885546184013	517	448.457566713375	0.00871452408983102	-431.97212334697	0.0160144202049452	104.011738670148	4.64493684488816	12.5	70	0.56	180	-0.922780764834469	-0.0412353462450485	1.8722524604359	-5.94223565147303	3.13007617842649	0.141040805508813	4	120	0.303470562208185	322
Ammonia	7664-41-7	NH3	17.0368	0.0637631725924523	0.0681799828976475	1.23759952767397	-0.00599852493721479	-3078.57767189507	20	140.65	0.521892056235873	205	214.093149693271	8.02413293476943	6.62645825743232	0.00579429595304288	255.273038265555	0.243086396113273	19.85	39.85	0.339554069991558	25	-4.05675618678269	-0.0281870626966953	0.852985661010096	-4.91044705875811	4.55479084507766	-0.174339325408522	-13.22	100.43	1	62
Ammonium Chloride	12125-02-9	NH4Cl	53.4917	16.8882196383907	318.560293047784	5.08655606958672	-0.0150616503055142	-1769.12237165588	12.5	100	0.4	364	12.3958070582055	1.50390805858088	-1.77559495076665	0.234706870177963	-2.75914543946026	2.84081895215159	10	73.5	0.324324324324324	265	-0.0001335122407473	-0.155637962012773	9.8832713843405	-12.1193859023825	68.3808840262902	3.10989254346951	10	40	0.141280353271798	58
Ammonium Hydrogen Carbonate	1066-33-7	NH4HCO3	79.06	1.73144327427269	91.0520546932618	0.681145761585944	0.00271492549708282	1657.29199465191	19.85	49.85	0.366607750439367	96																				
Ammonium Nitrate	6484-52-2	NH4NO3	80.05	1412.56319897369	1214.07575155077	0.705071278089242	0.00117760862220194	107.081780208688	25	95	0.787403898362436	152	3.52869241505642	2.56393124167865	0.786265896528359	0.00950328356699947	0.650002908903089	-0.487778317746458	15	60	0.78494623655914	277	-0.0656252331963257	0.00881204607399727	1.36895243625553	0.71398195301971	2.87257103021084	0.404159375360177	25	25	0.642284990474944	17
Nickel(II) Nitrate	13138-45-9	Ni(NO3)2	182.7	0.0000116651490339282	0.00000877655118813601	0.197139504253947	0.00624131090182794	4369.04742073114	5	95	0.422232493644557	72	21.4016622821059	1.93856786772164	1.8947740796082	0.00837125445019256	52.4652429937696	3.38208659115767	24.71	102.66	0.422232493644557	48	-0.0618820283537097	-0.0776705082638635	3.35555125890016	-5.52445698917125	-0.0509189782852462	-0.476007686996472	5	120	0.0860797126154991	144
Nickel(II) Chloride	7718-54-9	NiCl2	129.6	639.415869392635	424.594017007811	0.1040336744447	0.000749998743310398	1235.74452374578	15	75	0.411028172360108	253	59.3549674953021	3.81649629479918	5.72113412213212	0.0087645991700653	0.451772192574947	-0.936508514878937	14.85	50	0.424271090901373	160	-0.758971991507195	-0.0271669313221761	1.26345022968517	1.85550695253382	10.5459492134744	1.10469582722811	25	25	0.411028172360108	30
Nickel(II) Sulfate	7786-81-4	NiSO4	154.75	-0.0401410237214016	0.222743683226075	-0.144336817253579	0.000986517827689712	3072.83762271097	15	60	0.353294213251116	105	26.187439990599	1.8869958550977	5.31082558854858	0.0102519361469226	-0.314588064937243	0.414650939570491	15	60	0.353294213251116	99	-7.6298564065871	-0.00893875935876805	-1.48688982584683	-1.94847664739146	0.275007360743484	1.40987278728842	41	41	0.15	3
Lead(II) Nitrate	10099-74-8	Pb(NO3)2	331.2	-0.127124603918499	0.806948181312687	0.0379503909340827	0.387149089770115	3331.03567744625	18	25	0.331908070550508	13	3.99035919792614	1.38617828450206	1.35913205101229	0.0283700789895151	62.5007206971948	5.34095594249311	25	50	0.375	14										
Sulfur Dioxide	7446-09-5	SO2	64.07	-1.34174456968595	1364.85364375354	2.99691268850207	0.00628143071706763	1191.73071571581	25	25	0.133250561362192	22											0.0611535693207181	-0.079429318484156	4.16518423709373	-12.5287934421408	4.16312473470823	0.31026160727287	25	103.14	0.0530335196673911	22
Strontium Nitrate	10042-76-9	Sr(NO3)2	211.65	2.75790740362453	15.508434808092	0.883208238480309	0.0111330016902523	2401.16566669936	5	95	0.437646571823844	125	12.4492239658443	1.65457098541244	1.07647312842207	0.00837125445019256	7.39123573642881	2.06966863585972	25	25	0.388360500321111	7	-0.0602423694530795	-0.0703058794372798	3.30109619473521	-7.65805116222226	1.61254325117645	0.967529118914805	5	120	0.388471330658438	216
Strontium Chloride	10476-85-4	SrCl2	158.54	0.00000135341758029363	-0.000000748767819877433	-1.93563339996439	0.010704329282332	-4882.14470009011	15	98.81	0.283821528324859	98	8.03309316438313	1.85314812521892	1.99358226403085	0.00848650077967969	-4.98502701890093	2.88704932687605	10	91.34	0.453744385584795	195	-0.677562942962466	-0.0245651838313946	1.13677326984777	-1.97322361317554	1.6619925635595	1.02404182557963	25	100	0.142158718878145	28
Sucrose	57-50-1	Sucrose	342.3	532.919899042424	13692.5881480438	12.6127261369233	0.0266415899284128	649.049186827162	15	55	0.506635749173615	82	16.2391830818804	1.46930910938613	3.28485782809427	0.0102845759149181	33.9389495762169	2.28172425556793	15	55	0.506635749173615	81										
Titanyl Sulfate	13825-74-6	TiOSO4	159.97	-0.97659617072232	3.22848084595143	11.6051743803017	0.111816073690407	3145.77718014766	25	50	0.486226376508971	76																				
Zinc Nitrate	7779-88-6	Zn(NO3)2	189.4	8.52669239331489	-10.820003740737	-2.36038500330944	0.00612589660769429	-2660.08958450117	5	95	0.59522390108956	283	18.7667783068283	2.00636249961516	1.83277241226622	0.00754294855608874	65.0612543551505	4.05490749912228	0	50	0.581922426040614	222	-0.205793826198991	-0.0522260413901375	2.04205142438351	-2.88608089564882	1.88496934033772	0.829844653438985	5	120	0.0771318711518983	144
Zinc Chloride	7646-85-7	ZnCl2	136.29	2048.25617083301	367.89930516684	-0.00687080489664351	0.00118355512010183	505.031662947486	15	75	0.519523651904688	191	12.6973981828472	2.82446113664577	2.81954626448774	0.00837125445019256	7.38504679431372	2.06966863585972	25	25	0.519523651904688	13										
Zinc Sulfate	7733-02-0	ZnSO4	161.44	19.3998326251204	36.9810552705442	-0.088765784769985	0.0010689313754713	2058.60217737214	15	60	0.367715489274536	221	13.5925262742582	1.35400381043399	10.5559124347897	0.00360342454740079	613.22295280165	0.195826073391803	15	55	0.318005561828613	46										
