CASRN	Chemical	T	Permittivity	A	B	C	D	Tmin	Tmax
108-10-1	4-Methyl-2-pentanone	293.2	13.11	36.341	-0.097119	0.000061896		204	373
108-20-3	Diisopropyl ether	303.2	3.805						
108-24-7	Acetic anhydride	293.2	22.45						
108-31-6	Maleic anhydride	326.2	52.75						
108-32-7	Propylene carbonate	293	66.14	159.4	-0.3953	0.00026284		273	333
108-36-1	m-Dibromobenzene	293.2	4.81	9.3214	-0.020273	0.000016667		293	353
108-38-3	m-Xylene	293.2	2.359	2.8421	-0.0010191	-0.0000021429		273	323
108-39-4	m-Cresol	298.2	12.44	81.716	-0.35039	0.00039878		274	463
108-41-8	3-Chlorotoluene	293.2	5.763	13.921	-0.037186	0.000031786		273	323
108-42-9	3-Chloroaniline	293.2	13.3						
108-43-0	3-Chlorophenol	293.2	6.255						
108-44-1	3-Methylaniline	298.2	5.816	13.477	-0.035551	0.000033135		298	398
108-46-3	Resorcinol	393.2	13.55	30.252	-0.056443	0.000035578		393	463
108-47-4	2,4-Dimethylpyridine	293.2	9.6	25.895	-0.0739	0.0000625		293	333
108-48-5	2,6-Dimethylpyridine	293.2	7.33	17.714	-0.03908	0.0000125		293	333
108-50-9	2,6-Dimethylpyrazine	308.2	2.653						
108-59-8	Dimethyl malonate	293.2	9.82	26.47	-0.076656	0.000067888		293	433
108-64-5	Ethyl 3-methylbutanoate	293.2	4.71						
108-67-8	1,3,5-Trimethylbenzene	293.2	2.279	3.8998	-0.0088072	0.000011149		288	358
108-68-9	3,5-Xylenol	323.2	9.06	54.251	-0.21647	0.00023542		323	453
108-75-8	2,4,6-Trimethylpyridine	298.2	7.807	20.99	-0.057419	0.000044286		298	358
108-83-8	2,6-Dimethyl-4-heptanone	293.2	9.91	33.178	-0.1129	0.00011454		273	393
108-85-0	Bromocyclohexane	303.2	8.0026						
108-86-1	Bromobenzene	293.2	5.45	9.41	-0.012537	-0.0000031127		234	333
108-87-2	Methylcyclohexane	293.2	2.024						
108-88-3	Toluene	296.35	2.379	3.2584	-0.003441	0.0000015937		207	316
108-89-4	4-Methylpyridine	293	12.2	33.765	-0.10113	0.00009386		274	333
108-90-7	Chlorobenzene	293.2	5.6895	19.471	-0.070786	0.000082466		293	430
108-91-8	Cyclohexylamine	293.2	4.547						
108-93-0	Cyclohexanol	293.2	16.4	101.73	-0.43072	0.00047926		293	423
108-94-1	Cyclohexanone	293	16.1	41.577	-0.11463	0.000092454		253	423
108-95-2	Phenol	303.2	12.4	63.391	-0.24988	0.0002693		303	433
108-98-5	Benzenethiol	303.2	4.26	5.7155	-0.0070336	0.0000073617		303	358
108-99-6	3-Methylpyridine	303	11.1	196.43	-1.1167	0.0016667		303	333
109-04-6	2-Bromopyridine	298.2	23.18	73.391	-0.23678	0.0002293		298	398
109-06-8	2-Methylpyridine	293.2	10.18	34.56	-0.1198	0.000125		293	333
109-09-1	2-Chloropyridine	298.2	27.32	98.702	-0.34237	0.00034502		298	398
109-21-7	Butyl butanoate	298.2	4.39	7.9684	-0.012	0.000000000000015266		298	318
109-43-3	Dibutyl sebacate	293.2	4.54						
109-52-4	Pentanoic acid	294.4	2.661	3.3491	-0.0075156	0.00001782		250	344
109-53-5	Isobutyl vinyl ether	293.2	3.34	4.806	-0.005	-4.1495E-015		293	323
109-60-4	Propyl acetate	293.2	5.62	17.677	-0.061404	0.000069196		253	353
109-61-5	Propyl chlorocarbonate	293.2	11.2						
109-64-8	1,3-Dibromopropane	293.2	9.482	29.193	-0.09445	0.0000928		293	368
109-65-9	1-Bromobutane	283.2	7.315	22.542	-0.079306	0.000089867		183	363
109-66-0	Pentane	293.2	1.8371						
109-67-1	1-Pentene	293.2	2.011	-1.1438	0.02542	-0.00005		273	293
109-69-3	1-Chlorobutane	293.2	7.276	13.565	-0.010161	-0.00003875		273	323
109-73-9	Butylamine	293.2	4.71	13.322	-0.044176	0.00005025		223	333
109-74-0	Butanenitrile	293.2	24.83	53.884	-0.099257			293	333
109-79-5	1-Butanethiol	288.2	5.204	11.201	-0.020767			273	318
109-80-8	1,3-Propanedithiol	303.2	8.11	6.6607	0.03131	-0.0000875		303	343
109-86-4	2-Methoxyethanol	298.2	17.2	118.03	-0.58	0.00081001		254	318
109-87-5	Dimethoxymethane	293.2	2.644	2.5877	-0.00093019	0.0000038472		171	293
109-89-7	Diethylamine	293.2	3.68	26.462	-0.1375	0.00020373		243	323
109-90-0	Ethyl isocyanate	293.2	19.7						
109-93-3	Divinyl ether	288.2	3.94						
109-94-4	Ethyl formate	288.2	8.57	15.884	-0.025333			288	318
109-97-7	Pyrrole	293	8	12.672	-0.014075	-0.0000062671		293	357
109-99-9	Tetrahydrofuran	295.2	7.52	30.739	-0.12946	0.00017195		224	295
110-00-9	Furan	298.2	2.94	1.3636	0.012864	-0.000022701		188	277
110-02-1	Thiophene	293.2	2.739	3.2941	-0.0019019			253	293
110-12-3	5-Methyl-2-hexanone	293.2	13.53	52.353	-0.17695	0.00015195		293	333
110-19-0	Isobutyl acetate	293.2	5.068	14.323	-0.046048	0.000049286		273	323
110-38-3	Ethyl decanoate	293.2	3.75	7.0969	-0.01508	0.0000125		293	353
110-40-7	Diethyl sebacate	303.2	4.995	39.143	-0.20965	0.00032		303	313
110-43-0	2-Heptanone	293.2	11.95	38.348	-0.12531	0.00012005		253	413
110-45-2	Isopentyl formate	288.2	5.44	29.257	-0.14028	0.0002		288	323
110-52-1	1,4-Dibromobutane	303.2	8.68	20.944	-0.05562	0.00005		303	333
110-53-2	1-Bromopentane	299.2	6.31	20.954	-0.078743	0.000098908		183	328
110-54-3	Hexane	293.2	1.8865	1.9768	0.00070933	-0.000003447		293	473
110-56-5	1,4-Dichlorobutane	308.2	9.3	5.9766	0.0493	-0.000125		308	338
110-58-7	Pentylamine	293.2	4.27	11.274	-0.034965	0.000037706		223	353
110-59-8	Pentanenitrile	293.2	20.04	55.793	-0.1575	0.00012432		183	333
110-61-2	Succinonitrile	298.2	62.6	177.24	-0.54654	0.00054046		236	351
110-62-3	Pentanal	293.2	10						
110-63-4	1,4-Butanediol	298.2	31.9	130.79	-0.46985	0.0004632		288	328
110-66-7	1-Pentanethiol	293.2	4.847	7.1131	-0.0030228	-0.000016414		273	333
110-71-4	1,2-Dimethoxyethane	296.7	7.3	48.832	-0.24218	0.00034413		256	318
110-74-7	Propyl formate	303.2	6.92						
110-80-5	2-Ethoxyethanol	298.2	13.38						
110-82-7	Cyclohexane	293.2	2.0243	2.4293	-0.0012095	-0.00000058741		283	333
110-83-8	Cyclohexene	293.2	2.2176	3.0598	-0.0039841	0.0000037554		141	313
110-86-1	Pyridine	293.2	13.26	43.991	-0.1515	0.00015925		293	323
110-88-3	1,3,5-Trioxane	338.2	15.55						
110-89-4	Piperidine	293	4.33	8.2317	-0.011229	-0.0000071429		293	333
110-91-8	Morpholine	298.2	7.42						
111-01-3	2,6,10,15,19,23-Hexamethyltetracosane	373.2	1.9106						
111-11-5	Methyl octanoate	293.2	4.101						
111-13-7	2-Octanone	293.2	9.51	-16.219	0.18799	-0.00034156		293	333
111-14-8	Heptanoic acid	288.2	3.04	3.6423	-0.0031996	0.0000039362		288	423
111-15-9	2-Ethoxyethyl acetate	303.2	7.567	23.29	-0.071566	0.000065		303	323
111-24-0	1,5-Dibromopentane	303.2	9.14	38.192	-0.15648	0.0002		303	333
111-25-1	1-Bromohexane	298.2	5.82	15.233	-0.044385	0.000043039		274	328
111-26-2	Hexylamine	293.2	4.08	8.0244	-0.016627	0.000010874		253	373
111-27-3	1-Hexanol	293.2	13.03	62.744	-0.24214	0.00024704		233	513
111-29-5	1,5-Pentanediol	293.2	26.2	118.58	-0.4592	0.00049341		243	343
111-31-9	1-Hexanethiol	293.2	4.436	11.774	-0.037298	0.000041875		273	333
111-40-0	Bis(2-aminoethyl)amine	293.2	12.62	57.84	-0.23873	0.00028841		213	333
111-42-2	Diethanolamine	293.2	25.75	73.435	-0.21377	0.000175		273	323
111-43-3	Dipropyl ether	297	3.38	14.6	-0.07267	0.00011742		161	297
111-44-4	Bis(2-chloroethyl) ether	293.2	21.2						
111-46-6	Diethylene glycol	293.2	31.82	139.73	-0.54725	0.00061149		288	343
111-48-8	Bis(2-hydroxyethyl) sulfide	293.2	28.61	131.28	-0.52719	0.00060465		253	333
111-55-7	1,2-Ethanediol, diacetate	290.2	7.7	25.093	-0.095171	0.00012224		223	290
111-61-5	Ethyl stearate	313.2	2.958	7.093	-0.019081	0.000019555		331	440
111-62-6	Ethyl cis-9-octadecenoate	301.2	3.17	5.7033	-0.011223	0.0000093447		301	423
111-65-9	Octane	293.2	1.948	2.259	-0.00084212	-0.00000075758		233	393
111-66-0	1-Octene	293.2	2.113	2.4348	0.000342	-0.000005		273	323
111-68-2	Heptylamine	293.2	3.81	8.7794	-0.024363	0.000025325		253	373
111-70-6	1-Heptanol	293.2	11.75	60.662	-0.24049	0.00025155		239	513
111-71-7	Heptanal	295.2	9.07						
111-82-0	Methyl dodecanoate	293.2	3.539						
111-83-1	1-Bromooctane	293.2	5.0957	12.404	-0.03505	0.000034542		283	353
111-84-2	Nonane	293.2	1.9722	2.3894	-0.001483	0.00000014881		253	393
111-85-3	1-Chlorooctane	298.2	5.05	11.346	-0.02512	0.00001345		274	328
111-86-4	Octylamine	293.2	3.58	7.7931	-0.020015	0.000019347		273	373
111-87-5	1-Octanol	293.2	10.3	51.647	-0.20371	0.0002132		258	513
111-88-6	1-Octanethiol	293.2	3.949	6.3667	-0.008792	0.000001875		273	333
111-92-2	Dibutylamine	293.2	2.765	5.2504	-0.010538	0.0000071485		243	323
111-96-6	Diethylene glycol dimethyl ether	298.2	7.23	28.291	-0.11236	0.00014		298	333
1112-39-6	Dimethoxydimethylsilane	298.2	3.663						
1116-61-6	Tripropylborane	293.2	2.026						
111675-77-5	2-Methyl-1-heptanol, ()-	293.1	5.16	61.698	-0.33647	0.00049066		236	328
111767-95-4	5-Methyl-1-heptanol, ()-	290.4	7.68	54.581	-0.24772	0.00029734		235	328
1119-40-0	Dimethyl glutarate	293.2	7.87	20.697	-0.057794	0.000048405		293	433
1119-49-9	N-Butylacetamide	293.2	104	707.39	-3.7369	0.0071585	-0.0000048716	253	493
112-05-0	Nonanoic acid	294.9	2.475	2.5039	0.00067274	-0.000002418		295	365
112-06-1	Heptyl acetate	293.2	4.2						
112-12-9	2-Undecanone	285.3	8.3						
112-14-1	Octyl acetate	288.2	4.18	-3.4691	0.058106	-0.00010952		288	323
112-17-4	Decyl acetate	293.2	3.75						
112-20-9	Nonylamine	293.2	3.42	5.3575	-0.0071982	0.0000019481		293	373
112-24-3	N,N'-Bis(2-aminoethyl)-1,2-ethanediamine	293.2	10.76	50.699	-0.2173	0.00027582		213	333
112-27-6	Triethylene glycol	293.2	23.69	91.845	-0.33827	0.00036062		253	333
112-29-8	1-Bromodecane	298.2	4.44	11.202	-0.033491	0.000036314		274	328
112-30-1	1-Decanol	293.2	7.93	47.195	-0.2074	0.00024942		293	343
112-39-0	Methyl palmitate	313.2	3.124						
112-40-3	Dodecane	293.2	2.012	2.3697	-0.00122	-3.6375E-017		283	363
112-41-4	1-Dodecene	293.2	2.152	2.2581	0.0011106	-0.000005		273	323
112-42-5	1-Undecanol	313.2	5.98						
112-49-2	Triethylene glycol dimethyl ether	298.2	7.62						
112-52-7	1-Chlorododecane	298.2	4.17	10.002	-0.027798	0.000027559		274	328
112-53-8	1-Dodecanol	303.2	5.82	18.518	-0.044859	0.00000999		303	358
112-57-2	Tetraethylenepentamine	293.2	9.4	40.553	-0.16681	0.00020659		213	333
112-60-7	Tetraethylene glycol	293.2	20.44	83.547	-0.31691	0.00034689		253	333
112-61-8	Methyl stearate	313.2	3.021						
112-62-9	Methyl oleate	293.2	3.211						
112-63-0	Methyl linoleate	293.2	3.466						
112-66-3	Dodecyl acetate	293.2	3.6						
112-70-9	1-Tridecanol	333.2	4.02						
112-71-0	1-Bromotetradecane	293.2	3.84	10.058	-0.033905	0.000043528		274	328
112-72-1	1-Tetradecanol	318.2	4.42	12.272	-0.024667	-0.000000000000013168		318	358
112-80-1	cis-9-Octadecenoic acid	293.2	2.336	2.5385	-0.00069448			275	368
112-82-3	1-Bromohexadecane	298.2	3.68	5.8668	-0.0073333	-5.2666E-015		298	328
112-89-0	1-Bromooctadecane	303.35	3.53	4.679	-0.0030355	-0.0000024798		303	332
112-92-5	1-Octadecanol	333.2	3.38	7.3784	-0.012	-0.000000000000022871		333	363
1120-21-4	Undecane	293.2	1.9972	2.3637	-0.00125	-8.5869E-017		283	363
1122-83-4	N-Sulfinylaniline	298.2	6.97						
1123-84-8	2,5-Dichlorostyrene	298.2	2.58						
1126-79-0	Butyl phenyl ether	293.2	3.734						
1131-60-8	4-Cyclohexylphenol	404.2	4.42						
115-07-1	Propene	220	2.1365	2.9623	-0.0037564			220	250
115-10-6	Dimethyl ether	258	6.18	22.389	-0.086524	0.000091291		155	258
115-11-7	Isobutene	288.7	2.1225	3.3701	-0.0043295			220	289
115-17-3	Tribromoacetaldehyde	293.2	7.6						
116-16-5	Hexachloroacetone	291.9	3.925	7.6423	-0.015838	0.000010618		269	303
117-84-0	Dioctyl phthalate	293.2	5.22						
1174-72-7	Phenyl silicate	333.2	3.4915						
118-55-8	Phenyl salicylate	290.2	6.92	26.545	-0.1118	0.0001522		290	358
118-58-1	Benzyl salicylate	301.2	4.12						
118-61-6	Ethyl salicylate	308.2	8.48	18.91	-0.035623	0.0000046529		225	321
118-69-4	2,6-Dichlorotoluene	301.2	3.36						
1185-33-7	2,2-Dimethyl-1-butanol	293.2	10.5	140.54	-0.72925	0.00097821		243	393
1185-55-3	Trimethoxymethylsilane	298.2	4.9						
1187-03-7	Tetraethylurea	296.8	14.29	52.82	-0.1879	0.0001958		205	411
1187-58-2	N-Methylpropanamide	293.2	170						
119-36-8	Methyl salicylate	314.4	8.8	20.501	-0.039045	0.0000068298		223	398
119-42-6	2-Cyclohexylphenol	328.2	3.97						
119-61-9	Benzophenone	300.2	12.62	34.13	-0.10249	0.00010268		300	420
119-64-2	1,2,3,4-Tetrahydronaphthalene	298.2	2.771	2.9172	0.0012832	-0.0000059453		298	343
119-65-3	Isoquinoline	298.2	11	144.12	-0.79935	0.0011839		298	323
1190-63-2	Hexadecyl stearate	333.2	2.61						
1191-95-3	Cyclobutanone	298.2	14.27	43.974	-0.15712	0.00019264		220	317
1191-96-4	Ethylcyclopropane	293.2	1.933						
120-12-7	Anthracene	502	2.649	20.571	-0.069169	0.000066667		502	516
120-50-3	Isobutyl benzoate	291.2	5.39						
120-51-4	Benzyl benzoate	303.2	5.26	7.6856	-0.008	-8.0361E-016		303	358
120-80-9	Pyrocatechol	388.2	17.57	74.93	-0.22142	0.00018919		388	463
120-92-3	Cyclopentanone	298.2	13.58	24.083	-0.030286	-0.000016802		219	298
120-94-5	N-Methylpyrrolidine	298.2	32.2						
12057-92-0	Manganese(VII) oxide	293.2	3.28	3.7655	-0.0016463			283	312
121-43-7	Trimethyl borate	293.2	2.2762						
121-44-8	Triethylamine	293.2	2.418	2.9205	-0.0014007	-0.0000013469		233	323
121-69-7	N,N-Dimethylaniline	298.2	4.9	8.4052	-0.013549	0.0000062835		289	453
121-73-3	1-Chloro-3-nitrobenzene	323.2	20.9	77.193	-0.25118	0.00023798		323	433
122-03-2	4-Isopropylbenzaldehyde	288.2	10.68						
122-32-7	Glycerol trioleate	293.2	3.109						
122-39-4	Diphenylamine	323.2	3.73						
122-51-0	Triethoxymethane	293.2	4.779						
122-63-4	Benzyl propanoate	303	5.11	4.2301	0.013962	-0.000036426		303	358
122-79-2	Phenyl acetate	298.2	5.403	11.327	-0.026707	0.000022938		298	404
122-97-4	Benzenepropanol	293.2	11.97	94.482	-0.4554	0.00059307		213	303
123-11-5	4-Methoxybenzaldehyde	303.2	22						
