CASRN	Chemical	sigma	epsilon
502-56-7	5-Nonanone	6.60236	495.36
98-19-1	5-tert-Butyl-m-xylene	6.67527	530.07
927-49-1	6-Undecanone	6.95669	524.78
781-43-1	9,10-Dimethylanthracene	7.01984	696
1808-26-0	AA ethyl ester	8.64877	743.53
60-35-5	Acetamide	5.05897	589.01
67-64-1	Acetone	4.67012	332.97
75-05-8	Acetonitrile	4.02424	652.53
260-94-6	Acridine	6.40475	700.47
700-58-3	Adamantanone	6.343	587.58
302-72-7	Alanine	5.22405	540.62
3107-04-8	Alloisoleucine	6.15161	590.48
144-98-9	Allothreonine	5.58555	640.55
300-57-2	Allylbenzene	5.91809	495.25
7664-41-7	Ammonia	4.24397	4.46
62-53-3	Aniline	5.2745	541.03
100-66-3	Anisole	5.5356	496.64
120-12-7	Anthracene	6.77034	675.7
10323-20-3	Arabinose	5.30127	790.58
506-32-1	Arachidonic acid (AA)	8.55861	784.39
7440-37-1	Argon	3.40744	123.55
5908-87-2	Behenic acid ethyl ester	9.03867	762.34
71-43-2	Benzene	5.19165	308.43
65-85-0	Benzoic acid	5.65763	582.05
100-47-0	Benzonitrile	5.66827	541.3
95-15-8	Benzothiophene	5.61049	591.34
140-11-4	Benzyl acetate	6.17454	541.03
2550-26-7	Benzylacetone	6.27139	559.22
92-52-4	Biphenyl	6.04576	610.69
108-86-1	Bromobenzene	5.47376	518.58
105-54-4	Butyric acid ethyl ester	5.85491	448.15
58-08-2	Caffeine	6.05672	662.23
76-22-2	Camphor	6.31568	548.77
110-38-3	Capric acid ethyl ester	7.28024	541.26
106-32-1	Caprylic acid ethyl ester	6.82453	507.51
124-38-9	Carbon dioxide	3.26192	500.71
75-15-0	Carbon disulphide	4.29901	376.51
630-08-0	Carbon monoxide	3.53562	102.86
558-13-4	Carbon tetrabromide	4.41501	561.08
56-23-5	Carbon tetrachloride	5.2924	418.84
108-90-7	Chlorobenzene	5.56838	207.5
75-72-9	Chlorotrifluoromethane	4.37636	410.79
218-01-9	Chrysene	7.37056	757.75
140-10-3	Cinnamic acid	6.21895	616.88
5392-40-5	Citral	6.75868	536.15
21679-46-9	Cobalt(III) acetylacetonate	6.9752	443.87
14324-82-4	Copper(II) trifluoroacetylacetonate	6.00245	319.55
502-42-1	Cycloheptanone	5.83262	519.5
110-82-7	Cyclohexane	5.73075	224.87
3350-30-9	Cyclononanone	6.20229	543.42
287-92-3	Cyclopentane	5.03324	396.06
120-92-3	Cyclopentanone	4.94075	484.52
5989-27-5	D-Limonene	6.33828	510.84
7789-20-0	Deuterium oxide	3.26304	498.37
84494-72-4	DHA ethyl ester	8.77291	792.02
2566-90-7	DHA methyl ester	8.68778	773.49
14174-09-5	Dibenzo-24-crown-8	8.69916	1081.1
132-65-0	Dibenzothiophene	6.27791	694.28
103-50-4	Dibenzyl ether	6.78621	601.4
16069-36-6	Dicyclohexano-18-crown-6	8.41774	911.36
17455-23-1	Dicyclohexano-24-crown-8	8.6225	1050.83
111-42-2	Diethanolamine	5.73659	570.13
60-29-7	Diethyl ether	5.23105	361.23
111-46-6	Diethylene glycol	5.6252	576.32
929-06-6	Diglycolamine	5.60851	541.03
110-97-4	Diisopropanolamine	5.87683	520.13
108-20-3	Diisopropyl ether	5.74891	387.23
108-01-0	Dimethylethanolamine	5.3545	442.59
2465-32-9	Diolein	10.44146	793.35
25265-71-8	Dipropylene glycol	5.83824	506.2
6217-54-5	Docosahexaenoic acid (DHA)	8.67455	832.4
10417-94-4	Eicosapentaenoic acid (EPA)	8.48687	790.18
73310-10-8	EPA ethyl ester	8.61744	749.36
2734-47-6	EPA methyl ester	8.46741	689.29
74-84-0	Ethane	4.17587	213.99
64-17-5	Ethanol	4.23738	1291.41
141-78-6	Ethyl acetate	5.33606	404.96
93-89-0	Ethyl benzoate	6.68655	517.57
100-41-4	Ethylbenzene	5.72572	477.71
74-85-1	Ethylene	4.04838	169.08
107-21-1	Ethylene glycol	4.60221	499.23
1273-89-8	Ethylferrocene	6.02127	428.96
97-53-0	Eugenol	6.17078	569.13
102-54-5	Ferrocene	6.37838	608.57
462-06-6	Fluorobenzene	5.16448	433.52
75-12-7	Formamide	4.81768	596.75
57-48-7	Fructose	7.32992	961.35
98-01-1	Furfural	5.10151	518.7
59-23-4	Galactose	5.56327	820.08
106-24-1	Geraniol	6.5403	532.85
50-99-7	Glucose	5.56833	584.37
56-81-5	Glycerol	5.81929	559.6
56-40-6	Glycine	5.51083	790.25
90-05-1	Guaiacol	5.46372	539.48
118-74-1	Hexachlorobenzene	6.69481	638.55
392-56-3	Hexafluorobenzene	5.56763	399.93
