CASRN	Name	Formula	A	B	C	Tmin	Tmax
78-83-1	2 - Methyl - 1 - propanol 	C4H10O 	-3.1025	-946.92	37.007	270	380
75-65-0	2 - Methyl - 2 - propanol 	C4H10S 	-1.7679	-239.2	198.59	300	360
554-12-1	Methyl propionate 	C4H8O2 	-1.9955	-553.64	-41.506	270	350
79-31-2	2 - Methyl propionic acid 	C4H8O2 	-1.899	-597.55	-2.4824	270	430
119-36-8	Methyl salicylate 	C 8H8O3 	-1.6908	-531.13	41.528	350	500
872-93-5	3 - Methyl sulfolane 	C5H6SO2 	-1.2086	-376.51	132.99	290	400
67-68-5	Methyl sulfoxide 	C2H6OS 	-1.3585	-323.95	102.62	290	400
6939-12-4	3 - Methyl sydnone 	C3H4N2O2 	-0.9503	-268.63	154.26	310	400
556-64-9	Methyl thio cyanate 	C2H3SN 	-1.4357	-314.04	57.847	270	380
677-43-0	Mono dimethyl amino phosphoryl chloride 	C2H6Cl2NOP 	-0.8387	-175.69	142.04	250	350
98-95-3	Nitro benzene 	C6H5NO2 	-1.4054	-372.85	75.641	270	500
88-75-5	2 - Nitro phenol 	C6H5NO3 	-1.3361	-328.93	129.92	300	490
554-84-7	3 - Nitro phenol 	C6H5NO3 	-0.9333	-216.26	223.8	360	400
100-02-7	4 - Nitro phenol 	C6H5NO3 	-2.1303	-889.28	59.746	370	570
15457-05-3	2 - Nitro phenyl methyl ether 	C8H9NO3 	-1.496	-422.07	106.85	280	520
601-89-8	2 - Nitro resorcinol 	C6H5NO4 	-1.5642	-455.67	128.78	360	510
88-72-2	2 - Nitro toluene 	C7H7NO2 	-1.4923	-404.73	76.683	270	500
99-08-1	3 - Nitro toluene 	C7H7NO2 	-1.1521	-252.23	127.13	290	380
99-99-0	4 - Nitro toluene 	C7H7NO2 	-1.4681	-404.79	71.717	330	520
111-84-2	Nonane 	C9H20 	-1.7864	-440.73	24.243	270	380
1455-21-6	1 - Nonane thiol 	C9H20S 	-1.3351	-297.76	102.73	270	400
13281-11-3	2 - Nonane thiol 	C9H20S 	-1.4906	-335.75	80.523	270	400
112-05-0	Nonanoic acid 	C9H18O2 	-1.621	-489.09	99.881	290	370
502-56-7	5 - Nonanone 	C9H18O 	-1.4816	-346.38	76.18	290	380
2307-28-0	Nonyl thio palmitate 	C 25H50OS 	-0.6375	-224.63	180.63	340	370
593-45-3	Octa decane 	C18H38 	-1.3923	-378.2	111.62	300	380
2307-27-9	Octa decyl thio myrisate 	C32H64OS 	0.6614	-6.4228	318.15	330	370
111-65-9	Octane 	C8H18 	-2.103	-632.42	-51.438	270	400
111-88-6	1 - Octane thiol 	C8H18S 	-1.5008	-366.58	68.84	270	380
3001-66-9	2 - Octane thiol 	C8H18S 	-1.4502	-323.68	79.12	270	380
124-07-2	Octanoic acid 	C8H16O2 	-1.1803	-272.88	153.08	290	370
111-67-1	trans - 2 - Octene 	C8H16 	-2.3398	-836.02	-115.97	290	380
111-86-4	Octyl amine 	C8H19N 	-1.9093	-501.41	57.503	270	340
8001-25-0	Olive oil 	- 	-1.911	-699.7	110.3	290	340
57-10-3	Palmitic acid 	C16H32O2 	-0.8383	-267.36	188.83	340	370
123-63-7	Paracetaldehyde 	C6H12O3 	-1.7345	-361.18	93.813	280	400
76-01-7	Penta chloro ethane 	C2H5Cl 	-1.5124	-438.07	63.314	270	360
629-62-9	Penta decane 	C15H32 	-1.3494	-323.33	114	290	380
109-66-0	Pentane 	C5H12 	-1.4907	-224.14	31.92	150	330
2084-19-7	2 - Pentane thiol 	C5H12S 	-1.9446	-565.81	-43.074	270	380
71-41-0	1 - Pentanol 	C5H12O 	-2.4786	-696.8	68.729	220	410
6032-29-7	2 - Pentanol 	C5H12O 	-1.9433	-343.89	159.69	290	390
584-02-1	3 - Pentanol 	C5H12O 	-1.7586	-254.46	191.08	290	390
96-22-0	3 - Pentanone 	C5H10O 	-2.0685	-628.2	-68.044	270	380
646-04-8	2 - Pentene 	C5H10 	-1.0663	-25.287	229.5	290	310
693-65-2	Pentyl ether 	C10H22O 	-1.4828	-311.96	87.694	270	380
23228-90-2	Perfluoro -1,4 -di iso propoxy butane 	C10F20O2 	0.0257999999999998	-7.0538	273.86	290	320
60-12-8	Phenethyl alcohol 	C8H10O 	-1.4593	-324.57	168.71	270	380
108-95-2	Phenol 	C6H6O 	-1.3571	-267.31	181.96	300	460
2050-04-6	Phenyl - n - amyl ether 	C11H16O 	-1.8009	-510.42	58.052	290	510
103-72-0	Phenyl iso thio cyanate 	C7H5NS 	-1.1719	-247.72	111.4	270	380
1123-85-9	2 - Phenyl - 1 - propanol 	C9H12O 	0.2641	-26.229	270.16	290	330
495-40-9	Phenyl propyl ketone 	C10H12O 	-1.1646	-232.5	142.01	270	380
7719-12-2	Phosphorus trichloride 	PCl3 	-1.2542	-270	21.934	200	340
10025-87-3	Phosphoryl chloride 	POCl 3 	-1.2043	-249.22	92.575	270	360
109-06-8	2 - Picoline 	C6H7N 	-1.6362	-402.11	33.102	270	360
931-19-1	2 - Picoline - N - oxide 	C6H7NO 	-1.1864	-294.26	156.24	320	400
1003-73-2	3 - Picoline - N -oxide 	C6H7NO 	-1.0257	-241.12	184.32	310	400
75-97-8	Pinacolone 	C6H12O 	-1.9656	-559.39	-14.42	290	360
110-89-4	Pipiridine 	C5H11N 	-1.5966	-328.47	115	280	380
7440-09-7	Potassium 	K 	-1.4954	-869.76	-389.82	400	1800
13153-11-2	1,3 - Propane sulfone 	C3H6SO3 	-1.0403	-346.7	126.85	300	350
75-33-2	2 - Propane thiol 	C3H8S 	-1.78	-387.13	7.6593	270	320
71-23-8	1 - Propanol 	C3H8O 	-2.7281	-853.5	15.262	210	370
67-63-0	2 - Propanol 	C3H8O 	-3.305	-1009.2	18.917	270	360
123-38-6	Propionaldehyde 	C3H6O 	-2.1953	-611.3	-60.958	280	330
79-05-0	Propionamide 	C3H7NO 	-1.3422	-267.72	205.36	260	490
79-09-4	Propionic acid 	C3H6O2 	-1.8207	-561.55	-8.1224	270	420
123-62-6	Propionic anhydride 	C 6H10O3 	-1.7818	-492.35	24.606	270	440
107-12-0	Propio nitrile 	C3H5N 	-1.7953	-424.61	-37.983	290	380
79-03-8	Propionyl chloride 	C3H5ClO 	-1.7776	-443.86	-11.959	290	360
103-65-1	Propyl benzene 	C9H12O 	-1.7786	-473.64	53.513	280	460
2696-84-6	Propyl benzene amine 	C9H13N 	-1.8964	-612.19	20.818	370	500
627-12-3	Propyl carbamate 	C4H9NO 	-1.5234	-342.48	164.26	330	380
6423-43-4	Propylene glycol dinitrate 	C3H6N2O6 	-0.9605	-196	168.35	280	340
110-74-7	Propyl formate 	C4H8O2 	-2.3847	-858.62	116.02	270	360
598-03-8	Propyl sulfone 	C6H14O2S 	-1.2525	-290.93	156.68	300	400
4253-91-2	Propyl sulfoxide 	C6H14OS 	-1.2525	-290.93	156.68	300	400
2307-10-0	Propyl thioacetate 	C5H10OS 	-1.4072	-330.35	49.855	300	370
110-86-1	Pyridine 	C5H5N 	-1.1172	-174.52	133.66	270	390
109-97-7	Pyrrole 	C4H5N 	-1.2156	-216.75	131.91	250	350
123-75-1	Pyrrolidine 	C4H9N 	-1.285	-204.2	117.84	210	340
8002-13-9	Rape seed oil 		-1.4802	-597.2	119.99	290	340
90-02-8	Salicylic aldehyde 	C7H6O2 	-1.6526	-502.49	49.163	340	470
10102-17-7	Sodium thiosulfate penta hydrate 	Na2S2O3.5H2 O 	-0.0453999999999999	-54.28	268.25	320	340
8001-22-7	Soyabean oil 		-1.4977	-581.28	115.28	290	340
180-43-8	Spiro ( 5,5 ) undecane 	C11H20 	-1.4509	-406.57	84.58	270	380
181-15-7	Spiro ( 5,6 ) dodecane 	C12H22 	-1.3005	-349.6	114.44	270	380
10025-70-4	Strontium chloride hexahydrate (molten) 	SrCl2.6H2O 	-0.6073	-954	341.06	1150	1320
100-42-5	Styrene 	C8H8 	-1.6087	-343.56	61.746	270	420
57-50-1	Sucrose 	C = 26, H2O 	-1.3736	-327.15	102.69	290	330
8001-21-6	Sunflower oil 	- 	-0.6505	-304.27	168.98	290	340
1067-42-1	Tetra butyl germane 	Ge(C4H9)4 	-1.0687	-211.37	158.55	270	340
629-59-4	Tetra decane 	C14H30 	-1.348	-307.14	114.12	280	380
2307-14-4	Tetra decyl thiolaurate 	C26H52OS 	-0.6644	-241.2	176.1	300	370
2307-25-7	Tetra decyl thio myrisate 	C28H56OS 	-0.7246	-275.4	167.88	300	370
597-63-7	Tetra - n - ethyl germane 	Ge(C2H5)4 	-0.8769	-124.05	127.22	270	340
4828-44-8	Tetra - n - hexyl germane 	Ge(C6H13)4 	-1.1948	-307.49	142.51	270	340
66538-96-3	1,2,3,4 - Tetrahydro -6 - butyl -hexyl naphthalene 	C20H32 	-1.4021	-382.01	159.74	270	380
66205-02-5	1,2,3,4 -Tetra hydro - 7 -butyl - 1 - n - hexyl naphthalene 	C20H32 	-1.278	-335.62	163.76	270	380
55255-58-8	1,2,3,4 -Tetra hydro - 5,8 -dimethyl - 1 - octyl naphthalene 	C20H32 	-1.1062	-288.48	183.98	290	390
3634-47-7	Tetra - n -pentyl germane 	Ge(C5H11)4 	-0.9447	-210.02	166.92	270	340
994-65-0	Tetra - n - propyl germane 	Ge(C3H7)4 	-1.2442	-244.89	114.56	270	350
7440-28-0	Thallium 	Tl 	-0.1959	-282.64	118.24	570	740
3982-91-0	Thio phosphoryl chloride 	PSCl3 	-1.1147	-230.6	92.836	240	380
7440-31-5	Tin 	Sn 	-0.2469	-207.8	88.744	510	770
688-74-4	Tri butyl borate 	C12H27BO3 	-1.8408	-562.33	24.655	290	500
126-73-8	Tri butyl phosphate 	C12H27O4P 	-1.1597	-282.5	131.38	205	340
150-46-9	Tri ethyl borate 	C6H15BO3 	-1.8708	-497.4	-15.747	290	370
629-50-5	Tri decane 	C13H28 	-1.6835	-453.6	61.909	270	480
2307-31-5	Tri decyl thiopalmitate	C29H58OS 	-0.3966	-176.63	204.38	340	370
75-89-8	3,3,3 - Trifluoroethanol 	C2H3F3O 	-2.6152	-735.51	40.809	290	340
102-86-3	Tri hexyl amine 	C 18H39N 	-1.5462	-412.41	105.78	280	430
538-24-9	Tri laurin 	C39H74O2 	-0.9293	-336.14	170.15	310	360
121-45-9	Tri methyl phosphite 	C3H9O3P 	-1.2594	-195.02	102.02	240	380
4731-53-7	Tri octyl phosphine 	C24H51OP 	-0.4379	-126.97	249.94	330	380
555-44-2	Tri palmitin 	C51H98O6 	-0.7364	-69.231	171.28	340	360
115-86-6	Tri phenyl phosphate 	C18H15O4P 	-0.4721	-149.45	221.84	320	370
101-02-0	Tri phenyl phosphite 	C18H15O3P 	-0.8459	-231.62	185.13	250	360
688-71-1	Tri propyl borate 	C3H7BO3 	-2.0077	-633.51	-16.47	290	450
680-31-9	Tris dimethyl amino phosphine oxide 	C6H18N3OP 	-0.9327	-226.35	143.09	280	350
78-42-2	Tris - ( 2 - ethyl hexyl) phosphate 	C24H51O4P 	-1.1967	-332.1	151.17	220	350
1120-21-4	Undecane 	C11H24 	-1.7592	-466.88	38.719	260	480
112-12-9	2 - Undecanone 	C11H22O 	-1.5021	-364.95	92.28	290	420
2307-30-4	Undecyl thio palmitate 	C27H54OS 	-0.7452	-275.62	166.17	340	370
2307-38-2	Undecyl thio stearate 	C29H58OS 	-0.3186	-155.73	213.36	340	370
110-59-8	Valero nitrile 	C5H9N 	-1.8445	-512.47	4.9088	270	420
7732-18-5	Water 	H2 O 	-1.5318	-220.57	149.39	270	380
108-38-3	m - Xylene 	C8H10 	-1.8271	-505.32	-19.347	270	410
95-47-6	o - Xylene 	C8H10 	-1.8927	-553.59	-14.003	260	420
106-42-3	p - Xylene 	C8H10 	-2.2463	-826.32	-109.48	280	410
7440-66-6	Zinc 	Zn 	-0.0413000000000001	-186.99	405.78	690	1100
