CASRN	Name	Formula	A	B	C	Tmin	Tmax
108-41-8	3 - Chloro toluene 	C7H7Cl 	-1.5776	-405.97	26.217	270	440
106-43-4	4 - Chloro toluene 	C7H7Cl 	-1.5492	-380.43	39.664	280	440
8001-30-7	Corn oil 	- 	-0.5581	-263.32	183.6	290	340
8029-43-4	Corn syrup 	- 	-1.45	-234.8	159.91	280	360
108-39-4	m - Cresol 	C7H8O 	-1.4933	-298.87	183.39	280	480
95-48-7	o - Cresol 	C7H8O 	-1.3697	-250.28	187.77	270	470
106-44-5	p - Cresol 	C7H8O 	-1.3867	-268.79	192.8	280	480
100-70-9	2 - Cyanopyridine 	C6H4N2 	-1.3011	-315.45	100.85	300	400
100-54-9	3 - Cyanopyridine 	C6H4N 	-1.2055	-268.49	137.4	320	400
108-93-0	Cyclo hexanol 	C6H12O 	-1.8184	-388.21	189.65	300	440
108-91-8	Cyclo hexyl amine 	C6H13N 	-1.6016	-357.42	109.06	280	410
108-85-0	Cyclo hexyl bromide 	C6H11Br 	-1.5225	-412.4	76.454	280	440
542-18-7	Cyclo hexyl chloride 	C6H11Cl 	-1.6971	-460.15	51.188	290	420
493-01-6	Cis - Decalin 	C10H18 	-1.448	-395.48	93.359	240	460
493-02-7	Trans - Decalin 	C10H18 	-1.5844	-443.2	61.638	240	440
124-18-5	Decane 	C10H22 	-1.574	-343.92	68.462	240	380
112-30-1	1 - Decanol 	C10H22O 	-2.2085	-619.24	107.41	280	330
872-05-9	Decene 	C10H20 	-1.9646	-576.81	-13.145	290	420
7789-20-0	Deuterium oxide 	D2 O 	-1.2911	-164.97	174.24	280	310
78-90-0	1,2 - Diamino propane 	C3H10N2 	-1.0837	-167.55	166.21	240	330
106-93-4	1,2 – Dibromo methane 	C2H4Br2 	-1.2416	-300.36	90.197	280	400
594-34-3	1,2 - Dibromo - 2 - methyl propane 	C4H8Br2 	-1.5276	-435.27	60.001	270	420
78-75-1	1,2 - Dibromo propane 	C3H6Br2 	-1.7088	-562.02	1.9572	270	420
111-92-2	Dibutyl amine 	C8H19N 	-1.6971	-360.91	80.751	270	440
542-52-9	Dibutyl carbonate 	C9H18O3 	-0.9131	-155.55	163.43	290	420
79-43-6	Dichloro acetic acid 	C2H2Cl2O2 	-2.1869	-929.48	-25.087	290	470
95-50-1	1,2 - Dichloro benzene 	C6H4Cl 	-1.5524	-456.48	23.531	290	460
541-73-1	1,3 - Dichloro benzene 	C6H4Cl 	-1.6277	-490.14	-1.115	300	450
75-34-3	1,1 - Dichloro ethane 	C2H2Cl2 	-1.836	-486.96	-25.909	280	330
107-06-2	1,2 - Dichloro ethane 	C2H4Cl2 	-1.598	-385.16	39.584	270	360
156-59-2	Cis - 1,2 - Dichloro - ethylenene 	C2H2Cl2 	-1.4812	-315.48	-18.953	200	300
75-43-4	Dichloro fluoro methane 	CHCl2F 	-1.6041	-336.39	-6.3451	220	350
75-09-2	Dichloro methane 	CH2Cl2 	-1.5147	-316.63	18.104	200	380
579-66-8	2,6 - Diethyl aniline 	C10H15N 	-1.0635	-207.07	171.42	290	380
105-58-8	Diethyl carbonate 	C5H10O3 	-0.798	-65.04	202.89	290	400
693-21-0	Diethylene glycol dinitrate 	C4H8N2O7 	-0.8314	-192.04	182.51	280	340
