CASRN	Name	Formula	A	B	Tmin	Tmax
13478-00-7	Nickle - nitrate hexa hydrate 	Ni(NO3)2. 6H2O 	-5.9846	1482.6	330	350
4812-23-1	2 - Nitro - 2 - butene 	C4 H7NO2 	-4.6679	477.91	300	340
10102-44-0	Nitrogen dioxide 	N2O4 	-4.7244	394.75	250	295
6065-14-1	2 - Nitro - 2 - heptene 	C7 H13NO2 	-4.8386	595.07	300	340
6065-13-0	3 - Nitro - 2 - heptene 	C7 H13NO2 	-4.9617	634.33	300	340
6187-24-2	3 - Nitro - 3 - heptene 	C7 H13NO2 	-4.9097	612.34	300	340
6065-12-9	4 - Nitro - 3 - heptene 	C7 H13NO2 	-4.8737	595.53	300	340
6065-17-4	2 - Nitro - 2 - hexene 	C6 H11NO2 	-4.7845	558.37	300	340
6065-16-3	3 - Nitro - 2 - hexene 	C6 H11NO2 	-4.8706	578.71	300	340
4812-22-0	3 - Nitro - 3 - hexene 	C6 H11NO2 	-4.7675	534.93	300	340
4812-25-3	2 - Nitro - 2 - nonene 	C9 H17NO2 	-5.0352	708.95	300	340
4065-05-8	3 - Nitro - 2 - nonene 	C9 H17NO2 	-5.1782	753.52	300	340
6065-04-9	3 - Nitro - 3 - nonene 	C9 H17NO2 	-5.0969	720.8	300	340
6065-03-8	4 - Nitro - 3 - nonene 	C9 H17NO2 	-5.1298	729.59	300	340
4812-24-2	4 - Nitro - 4 - nonene 	C9 H17NO2 	-5.0884	715.18	300	340
6065-01-6	5 - Nitro - 4 - nonene 	C9 H17NO2 	-5.1475	736.86	300	340
6065-11-8	2 - Nitro - 2 - octene 	C8 H15NO2 	-4.9726	665.91	300	340
6065-10-7	3 - Nitro - 2 - octene 	C8 H15NO2 	-5.0634	692.81	300	340
6065-09-4	3 - Nitro - 3 - octene 	C8 H15NO2 	-4.9554	648.82	300	340
6065-08-3	4 - Nitro - 3 - octene 	C8 H15NO2 	-4.9931	657.09	300	340
6065-07-2	4 - Nitro - 4 - octene 	C8 H15NO2 	-5.0407	680.29	300	340
6065-19-6	2 - Nitro - 2 - pentene 	C5 H9NO2 	-4.7037	498.04	300	340
6065-18-5	3 - Nitro - 2 - pentene 	C5 H9NO2 	-4.7613	523.36	300	340
10022-50-1	Nitryl fluoride 	FNO2 	-4.0163	133.93	150	190
629-92-5	Nona decane 	C19H40 	-5.5763	976.51	300	350
29136-19-4	Nona decyl benzene 	C25H44 	-5.7965	1163.9	300	350
143-08-8	1 - Nonanol 	C9 H20O 	-6.6238	1366.7	280	330
75-21-8	Oxirane 	C2 H4O 	-4.6446	312.9	220	290
1333-74-0	Para Hydrogen 	H2 	3.6446	-1.876	15	32
107-87-9	2 - Pentanone 	C5 H10O 	-4.7986	438.45	270	380
109-67-1	1 - Pentene 	C5 H10 	-4.7345	305.2	180	280
95-54-5	1,2 - Phenyledene diamine 	C6 H8N2 	-5.1842	967.3	380	400
7757-79-1	Potassium nitrate 	KNO3 	-4.1228	971.07	610	750
107-10-8	1 - Propan amine 	C3 H9N 	-5.1626	518.12	280	320
75-31-0	2 - Propan amine 	C3 H9N 	-5.0248	456.33	280	310
107-03-9	1 - Propane thiol 	C3 H8S 	-4.6911	380.5	270	310
109-60-4	Propyl acetate 	C5 H12O2 	-4.9024	488.31	270	380
111-43-3	Propyl ether 	C6 H14O 	-4.8897	443.44	270	360
18358-66-2	3 - n - Propyl - 4 - methyl sydnone 	C6 H10N2 O2 	-5.9837	1237.6	290	320
111-59-1	Propyl oleate 	C21H40O 2 	-5.3227	936.52	300	370
129-00-0	Pyrene 	C16H10 	-5.132	1014.2	450	510
694-59-7	Pyridine - N - oxide 	C5H5NO 	-4.9399	828.32	340	400
31304-44-6	Sodium acetate hydrate 	CH3COONa. 3H2O 	-6.7211	1483.7	330	360
6132-02-1	Sodium carbonate hydrate 	Na2CO3. 10H2O 	-7.5193	1668.7	300	330
12200-64-5	Sodium hydroxide hydrate 	NaOH. H2O 	-7.39	1826	330	360
79-27-6	1,1,2,2 - Tetra bromo ethane 	C2H2Br4 	-5.7617	1117.2	290	320
865-52-1	Tetra - n - methyl germane 	Ge(CH3)4 	-4.5041	307.67	270	310
76-05-1	Trifluoro acetic acid 	C2HF3O2 	-5.0399	580.67	290	340
421-50-1	1,1,1 - Trifluoro acetone 	C3H3F3O 	-5.0099	439.06	280	290
400-37-3	1,1,1 - Trifluoro isopropyl acetate 	C5H7F3O2 	-5.0598	562.57	290	340
401-75-2	Trifluoro methyl cyclo hexane 	C7H11F3 	-4.8304	530.52	290	340
98-08-8	α,α,α - Trifluoro toluene 	C6H5CF3 	-4.659	414.69	290	340
76-13-1	1,1,2 - Tri fluoro1,2,2 - trichloro ethane 	C2F2Cl3 	-4.8178	487.1	280	320
513-08-6	Tri- n - propyl - ortho - phosphate 	C9H21O4P 	-5.4955	863.5	290	320
78-30-8	Tri - o - tolyl phosphate 	C21H21O4P 	-9.852	2619.9	290	320
