CASRN	Fluid	sigma0	n0	sigma1	n1	sigma2	n2	Tc	Tmin	Tmax
593-53-3	R41 	0.05049	1.242	0	0	0	0	317.28	131.35	285.68
115-25-3	RC318 	0.0507	1.25	0	0	0	0	388.38	233.7	350
7446-09-5	Sulfur dioxide 	0.0803	0.928	0.0139	1.57	-0.0114	0.364	430.64	189.15	373.15
2551-62-4	Sulfur hexafluoride 	0.0538	1.271	-0.00004064	0.2116	0	0	318.723	205	318.12
108-88-3	Toluene 	0.06897	1.291	0	0	0	0	591.75	176.65	473.15
2314-97-8	Trifluoroiodomethane 	0.05767	1.298	0	0	0	0	396.44	242.98	344.2
7732-18-5	Water 	-0.1306	2.471	0.2151	1.233	0	0	647.096	233.22	646.15
7440-63-3	Xenon 	-0.11538	1.0512	0.16598	1.098	0	0	289.733	161.96	285.35
287-92-3	Cyclopentane	0.07348	1.388	0	0	0	0	511.72	238.95	323.15
75-19-4	Cyclopropane	0.06812	1.314	0	0	0	0	398.3	145.59	373.15
541-02-6	Decamethylcyclopentasiloxane	0.04408	1.357	0	0	0	0	619.15	293.15	433.15
141-62-8	Decamethyltetrasiloxane	0.0456	1.41	0	0	0	0	599.4	293.15	363.15
60-29-7	Diethyl ether	1.2348	1.4846	-1.1808	1.5021	0	0	466.7	156.85	453.15
616-38-6	Dimethyl carbonate (Dimethyl ester carbonic acid)	0.0825	1.39	0	0	0	0	557	282.11	371.32
540-97-6	Dodecamethylcyclohexasiloxane	0.05105	1.594	0	0	0	0	645.78	293.15	322.15
141-63-9	Dodecamethylpentasiloxane	0.03972	1.254	0	0	0	0	628.36	293.15	328.15
1678-91-7	Ethylbenzene	0.0638	1.22	0	0	0	0	617.12	273.1	404.08
75-21-8	Ethylene oxide	0.07542	1.151	0	0	0	0	468.92	203.15	453.15
107-46-0	Hexamethyldisiloxane	0.04576	1.272	0	0	0	0	518.75	222.4	358.45
7647-01-0	Hydrogen chloride	0.05994	1.0953	0	0	0	0	324.55	163.1	308.15
540-84-1	Isooctane (2,2,4-trimethylpentane)	0.04794	1.209	0	0	0	0	543.87	273.15	373.15
112-63-0	Methyl linoleate (Methyl (Z,Z)-9,12-octadecadienoate)	0.072487	1.9014	0	0	0	0	799	294.85	333.35
112-62-9	Methyl oleate (Methyl cis-9-octadecenoate)	0.0565	1.31	0	0	0	0	782	293.05	683.05
112-39-0	Methyl palmitate (Methyl hexadecanoate)	0.025025	3.039	0.044435	1.1653	0	0	755	303.05	685.98
112-61-8	Methyl stearate (Methyl octadecanoate)	0.02313	3.242	0.04567	1.163	0	0	775	312.15	702.99
108-87-2	Methylcyclohexane	0.0606	1.3	0	0	0	0	572.2	253.15	373.97
108-38-3	m-xylene (1,3-dimethylbenzene)	0.06445	1.256	0	0	0	0	616.89	273.1	473.15
463-82-1	Neopentane (2,2-dimethylpropane)	0.04465	1.21	0	0	0	0	433.74	256.58	423.15
7783-54-2	Nitrogen trifluoride	0.063203	1.2565	0	0	0	0	234	66.36	206.36
556-67-2	Octamethylcyclotetrasiloxane	0.04246	1.207	0	0	0	0	586.5	292.45	520.54
107-51-7	Octamethyltrisiloxane	0.04992	1.465	0	0	0	0	564.09	293.15	363.15
95-47-6	o-xylene (1,2-dimethylbenzene)	0.06477	1.227	0	0	0	0	630.259	273.1	473.15
1678-92-8	Propylcyclohexane	0.055	1.17	0	0	0	0	630.8	243.15	543.15
106-42-3	p-xylene	0.0619	1.21	0	0	0	0	616.168	273.15	473.15
116-15-4	R1216 (Hexafluoropropene)	0.053876	1.0944	0.038318	2.3239	0	0	358.9	116.65	326.65
29118-24-9	R1234ze(E) (trans-1,3,3,3-tetrafluoropropene)	0.06158	1.281	-0.8247	6.505	0	0	382.51	253	373.14
420-46-2	R143a (1,1,1-Trifluoroethane)	0.0537	1.25	0	0	0	0	345.857	161.82	333.24
74-87-3	R40 (Methyl chloride)	0.071315	1.2177	0	0	0	0	416.3	193.15	373.15
22410-44-2	RE245cb2 (Methyl-pentafluoroethyl ether)	0.04534	1.237	0	0	0	0	406.813	153.09	353.41
1885-48-9	RE245fa2 (2,2,2-trifluoroethyl-difluoromethyl ether)	0.0699	1.222	0	0	0	0	444.88	150	399.63
375-03-1	RE347mcc (HFE-7000 or Methyl-heptafluoropropyl ether)	0.05031	1.232	0	0	0	0	437.7	150.7	393.93
107-52-8	Tetradecamethylhexasiloxane	0.040798	1.3323	0	0	0	0	653.2	293.15	328.15
624-64-6	trans-2-butene	0.0001859	0.07485	0.05539	1.224	0	0	428.61	167.62	423.15
1120-21-4	Undecane	0.0556	1.32	0	0	0	0	638.8	273.15	523.15
