CASRN	Chemical	MW	rho	k	Tm	Tmax
10476-81-0	Strontium bromide	247.43	3700	0.745	930.15	1277.15
10476-85-4	Strontium chloride	158.53	2727	0.578	1147.15	1310.15
7783-48-4	Strontium fluoride	125.62	3470	0.751	1750.15	2200.15
10476-86-5	Strontium iodide	341.43	4085	0.885	811.15	1299.15
7704-34-9	Sulfur	32.065	1819	0.8	388.36	433.15
7440-25-7	Tantalum	180.948	15000	0	3290.15	3310.15
7721-01-9	Tantalum(V) chloride	358.213	2700	4.316	489.75	730.15
13494-80-9	Tellurium	127.6	5700	0.35	722.66	873.15
7440-27-9	Terbium	158.925	7650	0	1632.15	1652.15
7440-28-0	Thallium	204.383	11220	1.44	577.15	873.15
7789-40-4	Thallium(I) bromide	284.287	5980	1.755	733.15	920.15
7791-12-0	Thallium(I) chloride	239.836	5628	1.8	704.15	915.15
7790-30-9	Thallium(I) iodide	331.287	6150	1.761	714.85	1010.15
10102-45-1	Thallium(I) nitrate	266.388	4910	1.873	479.15	552.15
7446-18-6	Thallium(I) sulfate	504.83	5620	1.3	905.15	1200.15
10026-08-1	Thorium(IV) chloride	373.85	3363	1.4	1043.15	1120.15
13709-59-6	Thorium(IV) fluoride	308.032	6058	0.759	1383.15	1651.15
7440-30-4	Thulium	168.934	8560	0.5	1818.15	1948.15
7440-31-5	Tin	118.71	6979	0.652	505.08	1923.15
7772-99-8	Tin(II) chloride	189.616	3360	1.253	520.15	753.15
7646-78-8	Tin(IV) chloride	260.522	2370	2.687	239.08	411.15
7440-32-6	Titanium	47.867	4110	0	1941.15	1961.15
7550-45-0	Titanium(IV) chloride	189.679	1807	1.735	249.03	410.15
7440-33-7	Tungsten	183.84	17600	0	3695.15	3715.15
7440-61-1	Uranium	238.029	17300	0	1408.15	1428.15
10025-93-1	Uranium(III) chloride	344.388	4840	7.943	1110.15	1330.15
10026-10-5	Uranium(IV) chloride	379.841	3572	1.945	863.15	940.15
10049-14-6	Uranium(IV) fluoride	314.023	6485	0.992	1309.15	1614.15
7440-62-2	Vanadium	50.942	5500	0	2183.15	2203.15
7440-64-4	Ytterbium	173.04	6210	0	1097.15	1117.15
7440-65-5	Yttrium	88.906	4180	0.29	1795.15	1958.15
10361-92-9	Yttrium chloride	195.265	2510	0.5	994.15	1118.15
7440-66-6	Zinc	65.409	6570	1.1	692.68	973.15
7699-45-8	Zinc bromide	225.217	3470	0.959	675.15	875.15
7646-85-7	Zinc chloride	136.315	2540	0.53	563.15	830.15
10139-47-6	Zinc iodide	319.218	3878	1.36	723.15	861.15
7733-02-0	Zinc sulfate	161.472	3140	0.47	953.15	1260.15
7440-67-7	Zirconium	91.224	5800	0	2127.85	2147.85
10026-11-6	Zirconium(IV) chloride	233.036	1643	7.464	710.15	765.15
