CASRN	Chemical	Vm
12057-75-9	Magnesium antimonide	0.0000793070175438596
12058-18-3	Molybdenum(IV) selenide	0.0000367913043478261
12058-20-7	Molybdenum(IV) telluride	0.0000456025974025974
12059-14-2	Nickel silicide (Ni2Si)	0.0000196585135135135
12059-95-9	Plutonium(IV) oxide	0.000024
12060-00-3	Lead(II) titanate	0.0000383670886075949
12060-01-4	Lead(II) zirconate	0.0000433
12060-08-1	Scandium oxide	0.0000356909937888199
12060-58-1	Samarium(III) oxide	0.0000458842105263158
12060-59-2	Strontium titanate	0.000035978431372549
12061-16-4	Erbium oxide	0.0000442726851851852
12062-24-7	Copper(II) hexafluorosilicate tetrahydrate	0.0001084703125
12063-98-8	Gallium phosphide	0.0000243347027549541
12064-03-8	Gallium antimonide	0.0000341099453123608
12064-62-9	Gadolinium(III) oxide	0.0000489203778677463
12065-10-0	Germanium(II) selenide	0.0000270714285714286
12065-11-1	Germanium(IV) selenide	0.0000505614035087719
12065-65-5	Titanium(III,IV) oxide	0.0000527353773584906
12065-68-8	Lead(II) tantalate	0.0000841898734177215
12066-83-0	Praseodymium silicide	0.0000360950549450549
12067-00-4	Rhenium(IV) telluride	0.0000519305882352941
12067-22-0	Samarium(III) sulfide	0.000067618398637138
12067-46-8	Tungsten(IV) selenide	0.0000371478260869565
12067-54-8	Thorium silicide	0.0000364821518987342
12067-66-2	Tantalum(IV) telluride	0.0000463989361702128
12067-76-4	Tungsten(IV) telluride	0.0000465577942735949
12068-40-5	Lithium aluminum silicate	0.0000583720200752823
12068-49-4	Iron(II) aluminate	0.00004042
12068-51-8	Magnesium aluminate	0.0000400749295774648
12068-69-8	Bismuth selenide	0.000087312
12068-90-5	Mercury(II) telluride	0.0000380289687137891
12069-00-0	Lead(II) selenide	0.0000353333333333333
12069-32-8	Boron carbide	0.000022102
12069-69-1	Copper(II) carbonate hydroxide	0.000055279
12069-85-1	Hafnium carbide	0.0000156147540983607
12069-89-5	Molybdenum carbide (Mo2C)	0.0000222102396514161
12069-94-2	Niobium carbide (NbC)	0.0000134164961636829
12070-06-3	Tantalum carbide	0.0000134936363636364
12070-07-4	Tantalum carbide (Ta2C)	0.0000247620529801324
12070-08-5	Titanium carbide	0.0000121456389452333
12070-10-9	Vanadium carbide (VC)	0.0000109103986135182
12070-12-1	Tungsten carbide	0.0000125544871794872
12070-13-2	Tungsten carbide (W2C)	0.0000256547297297297
12071-15-7	Lanthanum carbide	0.000030798865784499
12071-29-3	Strontium carbide	0.0000349968652037618
12071-31-7	Thorium dicarbide	0.000028451
12071-33-9	Uranium carbide [UC2]	0.0000231902654867257
12071-35-1	Yttrium carbide	0.0000273430992736077
12076-62-9	Uranium carbide [U2C3]	0.0000403220472440945
12088-65-2	Iron dodecacarbonyl	0.000251828
12115-63-8	Cerium carbide	0.0000458353623188406
12124-97-9	Ammonium bromide	0.0000403223548785508
12124-99-1	Ammonium hydrogen sulfide	0.0000436854700854701
12125-01-8	Ammonium fluoride	0.0000364896551724138
12125-02-9	Ammonium chloride	0.0000352152732060566
