CAS	Chemical	Dipole
105-54-4	ethyl butanoate	1.8
105-66-8	propyl butanoate	1.8
590-01-2	butyl propanoate	1.8
123-86-4	butyl acetate	1.8401266323704
108-93-0	cyclohexanol	1.86000287800842
110-19-0	isobutyl acetate	1.871
75-21-8	ethylene oxide	1.89001211161876
542-55-2	isobutyl formate	1.89001211161876
156-59-2	cis-1,2-dichloroethene	1.9
151-56-4	ethyleneimine	1.9
107-15-3	ethylenediamine	1.9
110-74-7	propyl formate	1.9
638-49-3	pentyl formate	1.9
540-88-5	tert-butyl acetate	1.91
592-84-7	butyl formate	1.91867227878308
353-36-6	ethyl fluoride	1.94
80-62-6	methyl methacrylate	1.96999676224053
108-64-5	ethyl isovalerate	1.96999676224053
107-20-0	chloroacetaldehyde	1.991
105-67-9	2,4-xylenol	2
75-56-9	1,2-propylene oxide	2.00998908755141
74-96-4	bromoethane	2.03
109-86-4	2-methoxyethanol	2.04
75-00-3	ethyl chloride	2.05
540-54-5	1-chloropropane	2.05
75-34-3	1,1-dichloroethane	2.06
111-76-2	2-butoxyethanol	2.07999064647264
78-99-9	1,1-dichloropropane	2.081
142-28-9	1,3-dichloropropane	2.081
108-46-3	resorcinol	2.09
97-62-1	ethyl isobutanoate	2.1
78-86-4	2-chlorobutane	2.1
97-99-4	tetrahydrofurfuryl alcohol	2.12001295103788
107-93-7	trans-2-butenoic acid	2.13
75-68-3	1-chloro-1,1-difluoroethane	2.14
557-91-5	1,1-dibromoethane	2.141
97-63-2	ethyl methacrylate	2.14999220539387
109-83-1	methylethanolamine	2.159
543-59-9	1-chloropentane	2.16000527634877
106-94-5	1-bromopropane	2.18
110-15-6	succinic acid	2.2
75-26-3	2-bromopropane	2.21
110-56-5	1,4-dichlorobutane	2.22
78-76-2	2-bromobutane	2.23
111-15-9	2-ethoxyethyl acetate	2.25000299792544
75-37-6	1,1-difluoroethane	2.27
121-91-5	isophthalic acid	2.27
107-21-1	ethylene glycol	2.3084025854109
79-11-8	chloroacetic acid	2.31
124-04-9	adipic acid	2.32
123-99-9	azelaic acid	2.35
628-76-2	1,5-dichloropentane	2.36
111-29-5	1,5-pentanediol	2.37000995311245
97-64-3	ethyl lactate	2.39998920746843
1630-77-9	cis-1,2-difluoroethene	2.42
110-17-8	fumaric acid	2.45
119-36-8	methyl salicylate	2.46999076638966
629-11-8	1,6-hexanediol	2.5
93-58-3	methyl benzoate	2.53000923361034
110-62-3	pentanal	2.57000155892123
120-80-9	pyrocatechol	2.599
88-99-3	phthalic acid	2.6
100-21-0	terephthalic acid	2.60219927809955
110-94-1	glutaric acid	2.64
69-72-7	salicylic acid	2.65
123-05-7	2-ethylhexanal	2.66
624-72-6	1,2-difluoroethane	2.671
591-78-6	2-hexanone	2.67999544315334
78-85-3	methacrolein	2.68
75-07-0	acetaldehyde	2.69
156-87-6	3-amino-1-propanol	2.69
96-22-0	diethyl ketone	2.7
107-87-9	methyl propyl ketone	2.71998776846422
123-72-8	butyraldehyde	2.72
565-80-0	2,4-dimethyl-3-pentanone	2.731
78-93-3	methyl ethyl ketone	2.76001007302946
563-80-4	methyl isopropyl ketone	2.76999316473001
131-11-3	dimethyl phthalate	2.8
108-10-1	4-methyl-2-pentanone	2.8
117-84-0	dioctyl phthalate	2.839
67-64-1	propanone	2.87998704896212
107-41-5	hexylene glycol	2.9
84-66-2	diethyl phthalate	2.90001319087192
120-92-3	cyclopentanone	2.93
107-06-2	1,2-dichloroethane	2.94
108-94-1	cyclohexanone	3.08
6915-15-7	malic acid	3.118
107-02-8	acrolein	3.11994100082743
123-42-2	diacetone alcohol	3.24015781079493
627-05-4	1-nitrobutane	3.4
75-52-5	nitromethane	3.46
57-55-6	1,2-propanediol 	3.62988811742274
79-24-3	nitroethane	3.65
108-03-2	1-nitropropane	3.66
123-73-9	trans-crotonaldehyde	3.67
79-46-9	2-nitropropane	3.73
96-48-0	gamma-butyrolactone	3.82
99-65-0	m-dinitrobenzene	3.837
110-63-4	1,4-butanediol	3.93
88-74-4	o-nitroaniline	4.06
56-81-5	glycerol	4.21
98-95-3	nitrobenzene	4.22
99-08-1	m-nitrotoluene	4.23
99-99-0	p-nitrotoluene	4.44
96-49-1	ethylene carbonate	4.51007902531448
99-09-2	m-nitroaniline	4.9
111-46-6	diethylene glycol	5.486
112-27-6	triethylene glycol	5.58
