CASRN	Chemical	Tm	Tb	rho
12070-13-2	Tungsten carbide (W2C)	3073.15		14800
12071-15-7	Lanthanum carbide	2633.15		5290
12071-29-3	Strontium carbide			3190
12071-31-7	Thorium dicarbide	2923.15		9000
12071-33-9	Uranium carbide [UC2]	2623.15	4643.15	11300
12071-35-1	Yttrium carbide	2673.15		4130
12076-62-9	Uranium carbide [U2C3]			12700
12088-65-2	Iron dodecacarbonyl	413.15		2000
121012-90-6	Calcium hexafluoro-2,4-pentanedioate	408.15		
12115-63-8	Cerium carbide	1778.15		6900
12116-66-4	Hafnocene dichloride	508.15		
12124-97-9	Ammonium bromide			2429
12124-99-1	Ammonium hydrogen sulfide			1170
12125-01-8	Ammonium fluoride	511.15		1015
12125-02-9	Ammonium chloride			1519
12125-08-5	Ammonium hexachloroosmate(IV)			2930
12125-09-6	Phosphonium iodide	291.65	335.65	2860
12125-22-3	Palladium(II) sulfide			6700
12125-25-6	Lutetium nitride			11600
12125-63-2	Iron(II) telluride	1187.15		6800
12133-07-2	Dysprosium silicide	1823.15		5200
12133-10-7	Dysprosium(III) sulfide			6080
12134-02-0	Cobalt phosphide	1659.15		6400
12134-22-4	Cesium trioxide	673.15		4250
12134-75-7	Gadolinium silicide	1813.15		5900
12134-77-9	Gadolinium(III) sulfide			6100
12136-24-2	Holmium silicide			7100
12136-42-4	Iridium(III) sulfide			10200
12136-45-7	Potassium oxide	1013.15		2350
12136-58-2	Lithium sulfide	1645.15		1640
12136-78-6	Molybdenum silicide [MoSi2]	2173.15		6200
12136-97-9	Niobium(IV) sulfide			4400
12137-12-1	Nickel(II,III) sulfide	1268.15		4770
12137-20-1	Titanium(II) oxide	2043.15	3500.15	4950
12137-25-6	Rubidium superoxide	813.15		3000
12137-27-8	Rhodium(IV) oxide			7200
12137-83-6	Platinum silicide	1502.15		12400
12138-07-7	Thorium(IV) sulfide	2178.15		7300
12138-09-9	Tungsten(IV) sulfide			7600
12138-11-3	Terbium(III) sulfide			6350
12138-17-9	Vanadium(V) sulfide			3000
12138-28-2	Strontium silicide	1373.15		3350
12139-93-4	Cobalt(II) stannate			6300
12140-41-9	Iron(II) tantalate			7330
12141-45-6	Aluminum silicate	2089.15		3250
12142-33-5	Potassium stannate trihydrate			3200
12143-72-5	Tantalum(IV) sulfide			6860
12143-96-3	Magnesium carbonate dihydroxide trihydrate			2040
12159-07-8	Copper silicide	1098.15		
12159-43-2	Dysprosium(III) telluride	1823.15		
12159-66-9	Erbium sulfide	2003.15		6070
12160-99-5	Gadolinium(III) telluride	1528.15		7700
12162-21-9	Hafnium(IV) selenide			7460
12162-59-3	Holmium sulfide			5920
12163-00-7	Lithium manganate			3900
12163-20-1	Lutetium sulfide			6260
12163-22-3	Lutetium telluride			7800
12163-69-8	Molybdenum phosphide			7340
12164-94-2	Ammonium azide	433.15		1346
12165-05-8	Rhenium(V) oxide			7000
12165-69-4	Phosphorus(III) sulfide	563.15	763.15	
12166-29-9	Scandium sulfide	2048.15		2910
12166-44-8	Scandium telluride			5290
12167-74-7	Calcium hydroxide phosphate			3155
12168-52-4	Iron(II) titanate	1743.15		4720
12168-85-3	Calcium oxide silicate	2423.15		
12183-80-1	Aluminum silicate			3145
12186-97-9	Yttrium antimonide	2583.15		5970
12187-14-3	Cadmium niobate	1683.15		6280
12188-41-9	Titanium(IV) oxide (brookite)			4170
12201-89-7	Nickel silicide [NiSi2]	1266.15		4830
12211-52-8	Ammonium cyanide			1100
12214-16-3	Cesium sulfide	793.15		
12228-50-1	Manganese boride [MnB2]	2100.15		5300
12229-63-9	Thorium boride	2723.15		6990
12230-71-6	Barium hydroxide octahydrate			2180
12233-56-6	Bismuth germanium oxide	1317.15		
12254-64-7	Americium(III) oxide			11770
12254-82-9	Cobalt arsenic sulfide			6100
12254-85-2	Chromium arsenide			7040
12255-48-0	Yttrium arsenide			5590
12256-04-1	Cobalt arsenide [CoAs3]	1215.15		6840
12266-65-8	Manganese carbide	1793.15		6890
12279-90-2	Arsenic sulfide	580.15	838.15	3500
12280-52-3	Cesium hydrogen fluoride	443.15		3860
12280-64-7	Rubidium hydrogen fluoride	461.15		3300
12286-33-8	Tin triphosphide	823.15		5200
12291-65-5	Calcium hexaborate pentahydrate			2420
12294-01-8	Yttrium phosphide			4400
12300-22-0	Samarium silicide			5140
12310-43-9	Dysprosium boride	2773.15		6980
12310-44-0	Erbium boride	2723.15		7000
12322-34-8	Antimony arsenide	953.15		6000
12323-03-4	Barium sodium niobate	1710.15		5400
12323-19-2	Bismuth antimonide	748.15		
12325-59-6	Hafnium phosphide			9780
12326-21-5	Uranium(VI) oxide monohydrate			7050
12333-54-9	Manganese phosphide (Mn2P)	1600.15		6000
12340-14-6	Xenon tetroxide	237.25		
12345-14-1	Barium chromate(V)			5250
12399-08-5	Iodine tetroxide	403.15		4200
124-38-9	Carbon dioxide			1.799
12401-56-8	Hafnium silicide	1973.15		7600
12419-43-1	Tin(II) hexafluorozirconate			4210
12429-94-6	Beryllium boride [BeB6]	2343.15		
12434-24-1	Europium silicide	1773.15		5460
12440-00-5	Tetraphosphorus(III) hexoxide	296.95	448.55	
12442-63-6	Dichlorine hexoxide	276.65	473.15	
12504-41-5	Silicon monosulfide	1363.15	1213.15	1850
12513-27-8	Zinc borate hemiheptahydrate	1253.15		4220
12536-51-5	Beryllium boride (Be2B)	1793.15		
12536-52-6	Beryllium boride (Be4B)	1433.15		
12536-65-1	Zinc borate pentahydrate			3640
12640-47-0	Cobalt(II) tungstate			7800
12650-28-1	Barium disilicate	1693.15		3700
12672-79-6	Barium aluminide	1370.15		
12688-52-7	Lutetium boride	2873.15		7000
127-08-2	Potassium acetate	582.15		1570
127-09-3	Sodium acetate	601.35		1528
127-95-7	Potassium hydrogen oxalate hemihydrate			2090
1271-19-8	Titanocene dichloride	562.15		1600
1271-27-8	Manganocene	446.15		
1271-28-9	Nickelocene	446.15		
1273-81-0	Osmocene	502.15		
1273-98-9	Neodymium(III) tris(cyclopentadienyl)	653.15		
1277-43-6	Cobaltocene	446.15		
1277-47-0	Vanadocene	440.15		
12770-26-2	Hafnium hydride			11400
1291-32-3	Zirconocene dichloride	521.15		
1299-86-1	Aluminum carbide	2373.15		2360
13007-92-6	Chromium carbonyl			1770
1301-96-8	Silver(II) oxide			7500
13011-54-6	Sodium ammonium phosphate tetrahydrate			1540
1302-01-8	Silver subfluoride			8600
1302-09-6	Silver(I) selenide	1153.15		8216
1302-42-7	Sodium aluminate	1923.15		4630
1302-52-9	Beryllium aluminum metasilicate			2640
1302-76-7	Aluminum silicate			3680
1302-81-4	Aluminum sulfide	1373.15		2020
1302-82-5	Aluminum selenide	1233.15		3437
1302-88-1	Magnesium aluminum silicate			2600
1302-93-8	Aluminum silicate	2023.15		3170
1303-00-0	Gallium arsenide	1511.15		5317.6
1303-11-3	Indium arsenide	1215.15		5670
1303-28-2	Arsenic(V) oxide	1003.15		4320
1303-33-9	Arsenic(III) sulfide	585.15	980.15	3460
1303-36-2	Arsenic(III) selenide	650.15		4750
1303-60-2	Gold(I) sulfide			11000
1303-62-4	Gold(III) selenide			4650
1303-86-2	Boron oxide	723.15		2550
1303-96-4	Sodium tetraborate decahydrate			1730
1304-28-5	Barium oxide	2246.15		5720
1304-29-6	Barium peroxide			4960
1304-39-8	Barium selenide	2053.15		5020
1304-40-1	Barium silicide	1453.15		
1304-54-7	Beryllium nitride	2473.15		2710
1304-56-9	Beryllium oxide	2851.15		3010
1304-76-3	Bismuth oxide	1098.15	2163.15	8900
1304-82-1	Bismuth telluride	853.15		7740
1304-85-4	Bismuth subnitrate			4928
1305-62-0	Calcium hydroxide			2200
1305-78-8	Calcium oxide	2886.15		3340
1305-79-9	Calcium peroxide			2900
1305-84-6	Calcium selenide			3800
1305-99-3	Calcium phosphide	1873.15		2510
1306-19-0	Cadmium oxide			8150
1306-23-6	Cadmium sulfide	1753.15		4826
1306-24-7	Cadmium selenide	1513.15		5810
1306-25-8	Cadmium telluride	1315.15		6200
1306-38-3	Cerium(IV) oxide	2753.15		7216
1307-86-4	Cobalt(III) hydroxide			4000
1307-96-6	Cobalt(II) oxide	2103.15		6440
1307-99-9	Cobalt(II) selenide	1328.15		7650
1308-04-9	Cobalt(III) oxide			5180
1308-06-1	Cobalt(II,III) oxide			6110
1308-31-2	Iron(II) chromite			5000
1308-38-9	Chromium(III) oxide	2705.15	3273.15	5220
1308-56-1	Copper(II) ferrous sulfide	1223.15		4200
1308-80-1	Copper nitride			5840
1308-87-8	Dysprosium(III) oxide	2681.15	4173.15	7810
1308-96-9	Europium(III) oxide	2623.15	4063.15	7420
13083-04-0	Cerium(III) ammonium nitrate tetrahydrate	347.15		
1309-33-7	Iron(III) hydroxide			3120
1309-37-1	Iron(III) oxide	1812.15		5250
1309-42-8	Magnesium hydroxide	623.15		2370
1309-48-4	Magnesium oxide	3098.15	3873.15	3600
1309-60-0	Lead(IV) oxide			9640
1309-64-4	Antimony(III) oxide (valentinite)	928.15	1698.15	5700
131-74-8	Ammonium picrate			1720
1310-32-3	Iron(II) selenide			6700
1310-43-6	Iron phosphide (Fe2P)	1643.15		6800
1310-52-7	Magnesium germanide	1390.15		3090
1310-53-8	Germanium(IV) oxide	1389.15		4250
1310-58-3	Potassium hydroxide	679.15	1600.15	2044
1310-61-8	Potassium hydrogen sulfide	723.15		1690
1310-65-2	Lithium hydroxide	746.15	1899.15	1450
1310-66-3	Lithium hydroxide monohydrate			1510
1310-73-2	Sodium hydroxide	596.15	1661.15	2130
1310-82-3	Rubidium hydroxide	658.15		3200
1311-11-1	Lead(II) oxide hydrate			7410
1311-93-9	Ammonium tungstate(VI) pentahydrate			2300
1312-41-0	Indium antimonide	797.15		5774.7
1312-42-1	Indium(III) selenide	933.15		5800
1312-43-2	Indium(III) oxide	2185.15		7180
1312-45-4	Indium(III) telluride	940.15		5750
1312-73-8	Potassium sulfide	1221.15		1740
1312-74-9	Potassium selenide	1073.15		2290
1312-81-8	Lanthanum oxide	2577.15	3893.15	6510
13126-12-0	Rubidium nitrate	583.15		3110
1313-04-8	Magnesium selenide			4200
1313-08-2	Magnesium stannide	1044.15		3600
1313-13-9	Manganese(IV) oxide			5080
1313-22-0	Manganese(II) selenide	1733.15		5450
1313-27-5	Molybdenum(VI) oxide	1075.15	1428.15	4700
1313-30-0	Sodium molybdophosphate			2830
1313-49-1	Zinc nitride			6220
1313-59-3	Sodium oxide	1407.15		2270
1313-60-6	Sodium peroxide	948.15		2805
1313-82-2	Sodium sulfide	1445.15		1856
1313-83-3	Sodium sulfide pentahydrate			1580
1313-84-4	Sodium sulfide nonahydrate			1430
1313-85-5	Sodium selenide			2620
1313-96-8	Niobium(V) oxide	1785.15		4470
1313-97-9	Neodymium(III) oxide	2506.15	4033.15	7240
1313-99-1	Nickel(II) oxide	2230.15		6720
1314-05-2	Nickel(II) selenide	1253.15		7200
1314-08-5	Palladium(II) oxide			8300
1314-11-0	Strontium oxide	2804.15		5100
1314-12-1	Thallium(I) oxide	852.15	1353.15	9520
1314-13-2	Zinc oxide	2247.15		5600
1314-15-4	Platinum(IV) oxide	723.15		11800
1314-18-7	Strontium peroxide			4780
1314-20-1	Thorium(IV) oxide	3623.15	4673.15	10000
1314-22-3	Zinc peroxide			1570
1314-23-4	Zirconium(IV) oxide	2983.15	4573.15	5680
1314-24-5	Phosphorus(III) oxide	296.95	446.15	2130
1314-27-8	Lead(II,IV) oxide			10050
1314-28-9	Rhenium(VI) oxide			6900
1314-32-5	Thallium(III) oxide	1107.15		10200
1314-34-7	Vanadium(III) oxide	2230.15	3273.15	4870
1314-35-8	Tungsten(VI) oxide	1746.15	1973.15	7200
1314-36-9	Yttrium oxide	2712.15		5030
1314-37-0	Ytterbium(III) oxide	2628.15	4343.15	9200
1314-41-6	Lead(II,II,IV) oxide	1103.15		8920
1314-56-3	Phosphorus(V) oxide	835.15	878.15	2300
1314-60-9	Antimony(V) oxide			3780
1314-61-0	Tantalum(V) oxide	2148.15		8240
1314-62-1	Vanadium(V) oxide	954.15	2023.15	3350
1314-68-7	Rhenium(VII) oxide	600.15	633.15	6100
1314-80-3	Phosphorus(V) sulfide	558.15	788.15	2030
1314-84-7	Zinc phosphide [Zn3P2]	1433.15		4550
1314-85-8	Phosphorus sesquisulfide	446.15	680.15	2030
1314-86-9	Phosphorus(III) selenide	518.15	653.15	1310
1314-87-0	Lead(II) sulfide	1386.15		7600
1314-91-6	Lead(II) telluride	1197.15		8164
1314-95-0	Tin(II) sulfide	1154.15	1483.15	5080
1314-96-1	Strontium sulfide	2499.15		3700
1314-97-2	Thallium(I) sulfide	730.15	1640.15	8390
1314-98-3	Zinc sulfide (wurtzite)	2100.15		4090
1315-01-1	Tin(IV) sulfide			4500
1315-03-3	Vanadium(III) sulfide			4700
1315-04-4	Antimony(V) sulfide			4120
1315-05-5	Antimony(III) selenide	884.15		5810
1315-06-6	Tin(II) selenide	1134.15		6180
1315-07-7	Strontium selenide	1873.15		4540
1315-09-9	Zinc selenide			5650
1315-11-3	Zinc telluride	1568.15		5900
1317-33-5	Molybdenum(IV) sulfide	2023.15		5060
1317-34-6	Manganese(III) oxide			5000
1317-35-7	Manganese(II,III) oxide	1840.15		4840
1317-36-8	Lead(II) oxide (massicot)	1160.15		9640
1317-37-9	Iron(II) sulfide	1461.15		4700
1317-38-0	Copper(II) oxide	1500.15		6310
1317-39-1	Copper(I) oxide	1517.15		6000
1317-40-4	Copper(II) sulfide			4760
1317-41-5	Copper(II) selenide			5990
1317-42-6	Cobalt(II) sulfide	1390.15		5450
1317-61-9	Iron(II,III) oxide	1870.15		5170
1317-66-4	Iron disulfide			5020
1317-70-0	Titanium(IV) oxide (anatase)	1833.15		3900
1317-80-2	Titanium(IV) oxide (rutile)	2185.15	3273.15	4170
13172-31-1	Sulfur bromide [SSBr2]	227.15		2630
1318-23-6	Aluminum oxyhydroxide			3070
1319-46-6	Lead(II) carbonate, basic			6500
13205-44-2	Borane carbonyl	136.15	209.15	1.71
13255-26-0	Barium metasilicate	1878.15		4400
13255-48-6	Hydrazine acetate	373.15		
13268-42-3	Ammonium iron(III) oxalate trihydrate			1780
1327-44-2	Potassium aluminum silicate			2560
1327-50-0	Antimony(III) telluride	893.15		6500
1327-53-3	Arsenic(III) oxide (arsenolite)	547.15	733.15	3860
13283-01-7	Tungsten(VI) chloride	555.15	610.15	3520
1330-43-4	Sodium tetraborate	1016.15	1848.15	2400
1332-14-5	Copper(II) sulfate, basic			3880
1332-52-1	Beryllium basic acetate	558.15	603.15	1250
1332-58-7	Aluminum silicate dihydrate			2590
1332-63-4	Manganese(III) hydroxide			4300
1332-71-4	Cobalt(III) sulfide			4800
1332-81-6	Antimony(III,V) oxide			6640
13320-71-3	Molybdenum(IV) chloride	590.15		
13327-32-7	Beryllium hydroxide (α)			1920
1333-74-0	Hydrogen	13.99	20.271	0.082
1333-82-0	Chromium(VI) oxide	470.15		2700
1333-83-1	Sodium hydrogen fluoride			2080
1335-26-8	Magnesium peroxide			3000
1335-31-5	Mercury(II) oxycyanide			4440
133578-89-9	Vanadyl selenite hydrate			3506
133863-98-6	Molybdenum(VI) metaphosphate			3280
13400-13-0	Cesium fluoride	976.15		4640
1341-49-7	Ammonium hydrogen fluoride	398.15		1500
13423-61-5	Magnesium chromate heptahydrate			1695
13424-46-9	Lead(II) azide			4700
1344-28-1	Aluminum oxide (α)	2327.15	3250.15	3990
1344-43-0	Manganese(II) oxide	2115.15		5370
1344-48-5	Mercury(II) sulfide (black)	1093.15		7700
1344-54-3	Titanium(III) oxide	2115.15		4486
1344-57-6	Uranium(IV) oxide	3120.15		10970
1344-58-7	Uranium(VI) oxide			7300
1344-59-8	Uranium(V,VI) oxide			8380
1344-95-2	Calcium metasilicate	1813.15		2920
13444-75-2	Mercury(II) chromate			6060
13444-87-6	Nitrosyl bromide	217.15	273.15	4.492
13444-90-1	Nitryl chloride	128.15	258.15	3.33
13444-94-5	Palladium(II) bromide			5200
13444-96-7	Palladium(II) fluoride	1225.15		5760
13445-50-6	Diphosphine	174.15		
13445-58-4	Phosphorus(V) dibromide trifluoride	253.15		
13446-03-2	Manganese(II) bromide	971.15		4385
13446-08-7	Ammonium fluorosulfonate	518.15		
13446-09-8	Ammonium iodate	423.15		3300
13446-10-1	Ammonium permanganate			2220
13446-18-9	Magnesium nitrate hexahydrate			1460
13446-19-0	Magnesium perchlorate hexahydrate			1980
13446-23-6	Magnesium phosphate octahydrate			2170
13446-24-7	Magnesium pyrophosphate	1668.15		2560
13446-28-1	Magnesium selenate hexahydrate			1928
13446-29-2	Magnesium sulfite hexahydrate			1720
13446-30-5	Magnesium thiosulfate hexahydrate			1820
13446-34-9	Manganese(II) chloride tetrahydrate	360.65		1913
13446-48-5	Ammonium nitrite			1690
13446-49-6	Potassium molybdate	1192.15		2300
13446-53-2	Magnesium bromide hexahydrate			2000
13446-56-5	Molybdenum(II) bromide			4880
13446-57-6	Molybdenum(III) bromide			4890
13446-70-3	Rubidium bromate	703.15		3680
13446-71-4	Rubidium chlorate	597.15		3190
13446-72-5	Rubidium chromate			3518
13446-73-6	Rubidium dichromate			3100
13446-74-7	Rubidium fluoride	1068.15	1683.15	3200
13446-75-8	Rubidium hydride	858.15		2600
13446-76-9	Rubidium iodate			4330
1345-04-6	Antimony(III) sulfide	823.15		4562
1345-07-9	Bismuth sulfide	1050.15		6780
1345-13-7	Cerium(III) oxide	2523.15	4003.15	6200
1345-25-1	Iron(II) oxide	1650.15		6000
13450-87-8	Gadolinium(III) sulfate octahydrate			4140
13450-88-9	Gallium(III) bromide	396.15	552.15	3690
13450-90-3	Gallium(III) chloride	351.05	474.15	2470
13450-91-4	Gallium(III) iodide	485.15	613.15	4500
13450-92-5	Germanium(IV) bromide	299.25	459.5	3132
13450-95-8	Germanium(IV) iodide	419.15	621.15	4322
13451-05-3	Strontium tungstate			6187
13451-11-1	Tantalum(V) bromide	513.15	621.95	4670
13451-18-8	Tellurium trioxide	703.15		5070
13451-19-9	Terbium(III) nitrate hexahydrate	362.15		
13453-06-0	Ammonium tellurate			3024
13453-07-1	Gold(III) chloride			4700
13453-30-0	Thallium(I) chlorate			5500
13453-32-2	Thallium(III) chloride	428.15		4700
13453-34-4	Thallium(I) cyanide			6523
13453-40-2	Thallium(I) perchlorate	774.15		4890
13453-49-1	Thorium(IV) bromide	952.15		
13453-69-5	Lithium metaborate	1117.15		2180
13453-71-9	Lithium chlorate	400.75		1119
13453-78-6	Lithium perchlorate trihydrate			1840
13453-80-0	Lithium dihydrogen phosphate			2461
13453-84-4	Lithium orthosilicate	1529.15		2390
13454-74-5	Cerium(III) tungstate	1362.15		6770
13454-75-6	Cesium bromate			4110
13454-81-4	Cesium iodate			4850
13454-83-6	Cesium nitrite	679.15		
13454-84-7	Cesium perchlorate			3327
13454-88-1	Copper(II) fluoride dihydrate			2934
13454-89-2	Copper(II) iodate			5241
13454-90-5	Copper(II) iodate monohydrate			4872
13454-94-9	Cerium(III) sulfate octahydrate			2870
13454-96-1	Platinum(IV) chloride pentahydrate			2430
13454-99-4	Phosphorus(V) dichloride trifluoride	148.15	280.25	6.494
13455-00-0	Diphosphorus tetraiodide	398.65		3890
13455-01-1	Phosphorus(III) iodide	334.35		4180
13455-03-3	Phosphoryl bromide dichloride	284.15	409.65	2104.14
13455-04-4	Phosphoryl iodide	326.15		
13455-12-4	Platinum(II) bromide			6650
13455-15-7	Platinum(IV) fluoride	873.15		
13455-20-4	Potassium dithionate			2270
13455-21-5	Potassium fluoride dihydrate			2500
13455-25-9	Cobalt(II) chromite			5140
13455-28-2	Cobalt(II) iodate			5090
13455-31-7	Cobalt(II) perchlorate			3330
13455-34-0	Cobalt(II) sulfate monohydrate			3080
13460-50-9	Metaboric acid (γ form)	509.15		2487
13462-88-9	Nickel(II) bromide	1236.15		5100
13462-90-3	Nickel(II) iodide	1073.15		5220
13462-93-6	Ammonium dihydrogen arsenate			2311
13463-12-2	Iron(II) bromide hexahydrate			4640
13463-22-4	Barium oxalate monohydrate			2660
13463-30-4	Lead(IV) chloride	258.15		
13463-39-3	Nickel carbonyl [Ni(CO)4]	253.85		1312.5
13463-40-6	Iron pentacarbonyl	252.65	376.15	1520
13464-36-3	Potassium arsenate			2800
13464-45-4	Zinc arsenate octahydrate			3330
13464-46-5	Americium(III) chloride	773.15		5870
13464-80-7	Dihydrazine sulfate	377.15		
13464-82-9	Indium(III) sulfate			3440
13464-97-6	Hydrazine nitrate	343.15		
13465-05-9	Hydrogen chloride dihydrate	255.45		1460
13465-07-1	Hydrogen disulfide		343.85	1334
13465-09-3	Indium(III) bromide	693.15		4740
13465-10-6	Indium(I) chloride	498.15	881.15	4190
13465-11-7	Indium(II) chloride	508.15		3640
13465-15-1	Indium(III) perchlorate octahydrate	353.15		
13465-30-0	Mercury(II) chlorate			4998
13465-49-1	Rubidium permanganate			3240
13465-55-9	Samarium(III) chloride hexahydrate			2380
13465-58-2	Samarium(III) sulfate octahydrate			2930
13465-59-3	Scandium bromide	1242.15		9330
13465-66-2	Selenium tetrafluoride	263.65	374.75	2750
13465-71-9	Trifluorosilane	142.15	178.15	3.519
13465-72-0	Triiodosilane	281.15		
13465-73-1	Bromosilane	179.15	275.05	4.538
13465-74-2	Bromotrichlorosilane	211.15	353.45	1826
13465-75-3	Dibromodichlorosilane	227.65	377.15	2172
13465-76-4	Tribromochlorosilane	252.35	400.15	2497
13465-77-5	Hexachlorodisilane	275.65	419.15	
13465-78-6	Chlorosilane	155.15	242.75	2.721
13465-84-4	Tetraiodosilane	393.65	560.5	4100
13465-85-5	Trichloroiodosilane	213.15	386.65	
13465-93-5	Silver(I) tungstate	893.15		
13465-94-6	Barium nitrite	540.15		3234
13465-95-7	Barium perchlorate	778.15		3200
13465-96-8	Silver(I) metaphosphate	763.15		6370
13466-08-5	Sodium bromide dihydrate			2180
13466-20-1	Barium metaphosphate	1833.15		
13466-21-2	Barium pyrophosphate	1703.15		3900
13469-98-2	Yttrium bromide	1177.15		
13470-01-4	Strontium iodate			5045
13470-04-7	Strontium molybdate	1313.15		4540
13470-06-9	Strontium nitrite			2800
13470-08-1	Titanium(III) fluoride			2980
13470-11-6	Tungsten(V) bromide	559.15	606.15	
13470-12-7	Tungsten(II) chloride			5440
13470-13-8	Tungsten(IV) chloride			4620
13470-14-9	Tungsten(V) chloride	526.15	559.15	3880
13470-17-2	Tungsten(II) iodide			6790
13470-19-4	Uranium(III) bromide	1000.15		
13470-20-7	Uranium(IV) bromide	792.15		
13470-21-8	Uranium(V) chloride	560.15		
13470-22-9	Uranium(IV) iodide	779.15		
13470-26-3	Vanadium(III) bromide			4000
13470-38-7	Yttrium iodide	1270.15		
13472-31-6	Sodium periodate trihydrate			3220
13472-33-8	Sodium perrhenate	573.15		5390
13472-35-0	Sodium dihydrogen phosphate dihydrate			1910
13472-45-2	Sodium tungstate	968.15		4180
13476-01-2	Cobalt(II) bromate hexahydrate			2500
13476-99-8	Vanadium(III) 2,4-pentanedioate	458.15		1000
13477-00-4	Barium chlorate	687.15		
13477-09-3	Barium hydride	1473.15		4160
13477-17-3	Cadmium phosphate	1773.15		
13477-19-5	Cadmium metasilicate	1525.15		5100
13477-28-6	Calcium bromide hexahydrate			2290
13477-29-7	Calcium chloride monohydrate			2240
13477-34-4	Calcium nitrate tetrahydrate			1820
13477-36-6	Calcium perchlorate			2650
13477-75-3	Aluminum phosphate dihydrate			2540
13477-89-9	Neodymium(III) chloride hexahydrate			2300
13477-91-3	Neodymium(III) sulfate octahydrate			2850
13477-94-6	Nickel(II) chlorate hexahydrate			2070
13477-98-0	Nickel(II) iodate			5070
13477-99-1	Nickel(II) iodate tetrahydrate			5070
13478-00-7	Nickel(II) nitrate hexahydrate			2050
13478-04-1	Cesium periodate			4260
13478-10-9	Iron(II) chloride tetrahydrate			1930
13478-14-3	Lithium arsenate			3070
13478-16-5	Magnesium ammonium phosphate hexahydrate			1710
13478-17-6	Molybdenum(II) chloride			3710
13478-18-7	Molybdenum(III) chloride			3740
13478-20-1	Phosphoryl fluoride			4.25
13478-28-9	Chromium(II) iodide	1140.15		5100
13478-33-6	Cobalt(II) perchlorate hexahydrate			3330
13478-38-1	Copper(II) nitrate hexahydrate			2070
13478-41-6	Copper(I) fluoride			7100
13478-45-0	Niobium(V) bromide	527.15	634.75	4360
13478-49-4	Erbium sulfate			3680
13478-50-7	Lead(II) thiosulfate			5180
13492-25-6	Mercury(I) nitrite			7300
134929-59-2	Fullerene fluoride	560.15		
13494-80-9	Tellurium	722.66	1261.15	6232
13497-91-1	Diphosphorus tetrachloride	245.15		
13498-11-8	Phosphorus(V) chloride tetrafluoride	141.15	229.75	5.821
13510-35-5	Indium(III) iodide	480.15		4690
13510-41-3	Praseodymium(III) sulfate octahydrate			2830
13510-42-4	Rubidium perchlorate	823.15		2900
13510-43-5	Hexaiododisilane	523.15		
13510-44-6	Silver(I) arsenate			6657
13510-49-1	Beryllium sulfate	1400.15		2500
13510-89-9	Lead(II) antimonate			6580
13517-06-1	Sodium iodide dihydrate			2450
13517-10-7	Boron triiodide	322.85	482.65	3350
13517-13-0	Hexabromosilane	368.15	538.15	
13517-27-6	Zinc bromate hexahydrate	373.15		2570
13520-56-4	Iron(III) sulfate nonahydrate			2100
13520-76-8	Tungsten(VI) dioxydichloride	538.15		4670
13520-77-9	Tungsten(VI) oxytetrabromide	550.15	600.15	5500
13520-78-0	Tungsten(VI) oxytetrachloride	483.15	503.15	11920
13520-79-1	Tungsten(VI) oxytetrafluoride	378.15	459.05	5070
13520-83-7	Uranyl nitrate hexahydrate	333.15		2810
13520-87-1	Vanadyl chloride		400.15	1720
13520-90-6	Vanadyl tribromide	214.15	443.15	
13520-92-8	Zirconyl chloride octahydrate			1910
13530-57-9	Rubidium aluminum sulfate			3100
13530-65-9	Zinc chromate	589.15		3400
13536-53-3	Praseodymium(III) bromide	966.15		5280
13536-59-9	Hydrogen bromide-d	185.61	206.25	
13536-61-3	Sulfuryl bromide fluoride	187.15	314.15	
13536-73-7	Erbium bromide	1223.15	1733.15	
13536-79-3	Lanthanum bromide	1061.15		5100
13536-80-6	Neodymium(III) bromide	955.15	1813.15	5300
13537-09-2	Dysprosium(III) hydride			7100
13537-15-0	Europium(III) sulfate			4990
13537-18-3	Thulium(III) chloride	1118.15		
13537-23-0	Phosphorus(V) trichloride difluoride	210.15		
13537-30-9	Fluorogermane			3.868
13537-32-1	Fluorophosphonic acid			1820
13537-33-2	Fluorosilane		174.55	2.048
13550-28-2	Lithium bromate	533.15		
13550-31-7	Phosphoryl dibromide chloride	304.15	438.15	
13550-53-3	Erbium hydride			7600
13565-96-3	Bismuth molybdate			9320
13566-17-1	Lead(II) orthosilicate	1016.15		7600
13568-32-6	Manganese(II) orthosilicate			4110
13568-33-7	Lithium nitrite	495.15		
13568-40-6	Lithium molybdate	975.15		2660
13568-45-1	Lithium tungstate	1013.15		3710
13568-63-3	Magnesium vanadate			3100
13569-43-2	Bromogermane	241.15	325.15	2340
13569-49-8	Rhenium(III) bromide			6100
13569-50-1	Cerium(II) hydride			5450
13569-62-5	Plutonium(III) chloride	1033.15		5710
13569-63-6	Rhenium(III) chloride			4810
13569-70-5	Niobium(IV) chloride			3200
13569-71-6	Rhenium(IV) chloride			4900
13569-72-7	Tantalum(IV) chloride			4350
13569-75-0	Chromium(III) iodide	1130.15		5320
13569-80-7	Dysprosium(III) fluoride	1430.15		
13572-93-5	Gallium(III) hydride	258.15		
13572-98-0	Gadolinium(III) iodide	1203.15		
13573-02-9	Iodogermane	258.15	363.15	
13573-08-5	Germanium(II) iodide	701.15		5400
13573-11-0	Magnesium tungstate			6890
13586-38-4	Ammonium cobalt(II) sulfate hexahydrate			1900
