CASRN	Chemical	Tm	Tb	rho
10049-14-6	Uranium(IV) fluoride	1309.15	1690.15	6700
10049-16-8	Vanadium(IV) fluoride			3150
10049-17-9	Rhenium(VI) fluoride	291.65	306.95	4060
10049-23-7	Tellurous acid			3000
10049-24-8	Iridium(III) bromide			6820
10049-25-9	Chromium(II) bromide	1115.15		4236
10060-08-9	Calcium chromate dihydrate			2500
10060-09-0	Cadmium selenate dihydrate			3620
10060-10-3	Cerium(IV) fluoride			4770
10060-13-6	Ammonium copper(II) chloride dihydrate			1993
10097-28-6	Silicon monoxide			2180
10099-58-8	Lanthanum chloride	1131.15		3840
10099-60-2	Lanthanum sulfate	1423.15		
10099-66-8	Lutetium chloride	1198.15		3980
10099-74-8	Lead(II) nitrate	743.15		4530
10099-76-0	Lead(II) metasilicate	1037.15		6490
10101-41-4	Calcium sulfate dihydrate			2320
10101-50-5	Sodium permanganate trihydrate			2470
10101-52-7	Zirconium(IV) orthosilicate			4600
10101-53-8	Chromium(III) sulfate			3100
10101-63-0	Lead(II) iodide	683.15		6160
10101-68-5	Manganese(II) sulfate tetrahydrate			2260
10101-88-9	Sodium thiophosphate dodecahydrate	333.15		
10101-89-0	Sodium phosphate dodecahydrate	348.15		1620
10101-91-4	Sodium thioantimonate nonahydrate			1800
10101-97-0	Nickel(II) sulfate hexahydrate			2070
10101-98-1	Nickel(II) sulfate heptahydrate			1980
10102-03-1	Nitrogen pentoxide			2000
10102-15-5	Sodium sulfite heptahydrate			1560
10102-17-7	Sodium thiosulfate pentahydrate			1690
10102-23-5	Sodium selenate decahydrate			1610
10102-24-6	Lithium metasilicate	1474.15		2520
10102-25-7	Lithium sulfate monohydrate			2060
10102-34-8	Magnesium pyrophosphate trihydrate			2560
10102-40-6	Sodium molybdate dihydrate			3500
10102-43-9	Nitric oxide	109.55	121.41	1.226
10102-44-0	Nitrogen dioxide			1.88
10102-45-1	Thallium(I) nitrate	479.15		5550
10102-49-5	Iron(III) arsenate dihydrate			3180
10102-68-8	Calcium iodide	1056.15	1373.15	3960
10102-71-3	Sodium aluminum sulfate dodecahydrate	333.15		1610
10102-75-7	Calcium bromate	453.15		
10108-64-2	Cadmium chloride	841.15	1237.15	4080
10112-91-1	Mercury(I) chloride			7160
10118-76-0	Calcium permanganate			2400
10124-36-4	Cadmium sulfate	1273.15		4690
10124-37-5	Calcium nitrate	834.15		2500
10124-41-1	Calcium thiosulfate hexahydrate			1870
10124-43-3	Cobalt(II) sulfate			3710
10124-48-8	Mercury(II) amide chloride			5380
10125-13-0	Copper(II) chloride dihydrate			2510
