CASRN	RI	RIT
13313-91-2	1.4501	293.15
13325-10-5	1.4625	293.15
13360-61-7	1.4389	293.15
13360-63-9	1.404	293.15
13360-65-1	1.5014	297.15
13361-63-2	1.3983	293.15
1338-43-8	1.48	293.15
13389-42-9	1.4132	293.15
134-20-3	1.581	
134-32-7	1.614	293.15
134-62-3	1.5212	293.15
13403-37-7	1.4358	298.15
13444-24-1	1.4777	287.15
13463-40-6	1.453	295.15
13475-76-8	1.4499	293.15
13475-79-1	1.4246	293.15
13475-81-5	1.4282	293.15
13475-82-6	1.444	293.15
135-00-2	1.6181	327.15
135-01-3	1.5035	293.15
135-02-4	1.56	293.15
13529-27-6	1.4451	293.15
13531-52-7	1.4805	298.15
13532-18-8	1.465	293.15
13552-31-3	1.491	298.15
136-60-7	1.494	298.15
136-80-1	1.5675	293.15
13618-93-4	1.4748	
13674-87-8	1.5022	293.15
13679-46-4	1.457	293.15
13679-70-4	1.5825	293.15
13698-16-3	1.4595	293.15
137-05-3	1.443	
137-06-4	1.57	293.15
137-07-5	1.4606	293.15
137-43-9	1.4886	293.15
13706-86-0	1.4119	293.15
13741-18-9	1.5382	293.15
138-87-4	1.4747	293.15
13838-16-9	1.3025	293.15
139-45-7	1.4318	292.15
139-66-2	1.6334	293.15
139-87-7	1.4663	293.15
13905-48-1	1.4979	293.15
13956-29-1	1.5404	293.15
13984-57-1	1.4277	293.15
140-08-9	1.4868	293.15
140-11-4	1.5232	293.15
140-18-1	1.5426	291.15
140-25-0	1.4812	297.15
140-28-3	1.5635	293.15
140-29-4	1.5211	298.15
140-31-8	1.4983	293.15
140-39-6	1.5163	295.15
140-57-8	1.51	293.15
140-67-0	1.5195	293.15
140-75-0	1.5139	293.15
140-77-2	1.457	293.15
140-80-7	1.4429	293.15
140-82-9	1.448	293.15
140-88-5	1.4068	293.15
14007-64-8	1.4909	293.15
14062-18-1	1.5075	293.15
14064-10-9	1.4327	293.15
14073-97-3	1.4505	293.15
141-03-7	1.4299	293.15
141-04-8	1.4301	293.15
141-05-9	1.4416	293.15
141-06-0	1.4065	293.15
141-10-6	1.5335	293.15
141-12-8	1.452	293.15
141-22-0	1.4716	294.15
141-27-5	1.4898	293.15
141-28-6	1.4272	293.15
141-32-2	1.4185	293.15
141-43-5	1.4541	293.15
141-46-8	1.4772	292.15
141-57-1	1.431	293.15
141-62-8	1.3895	293.15
141-63-9	1.3925	293.15
141-75-3	1.4121	293.15
141-78-6	1.3723	293.15
141-79-7	1.444	293.15
141-91-3	1.446	293.15
141-93-5	1.4955	293.15
141-97-9	1.4171	293.15
14167-59-0	1.4296	363.15
142-09-6	1.429	298.15
142-26-7	1.4674	293.15
142-28-9	1.4455	298.15
142-29-0	1.4225	293.15
142-50-7	1.4898	293.15
142-60-9	1.4221	288.15
142-61-0	1.4264	293.15
142-62-1	1.4163	293.15
142-68-7	1.42	293.15
142-77-8	1.448	298.15
142-82-5	1.3855	298.15
142-83-6	1.5384	293.15
142-84-7	1.405	293.15
142-91-6	1.4364	298.15
142-92-7	1.4092	293.15
142-96-1	1.3992	293.15
1423-60-5	1.407	293.15
143-07-7	1.4183	355.15
143-08-8	1.4333	293.15
143-10-2	1.4509	293.15
143-13-5	1.426	293.15
143-15-7	1.4583	293.15
143-16-8	1.4339	293.15
143-22-6	1.4389	293.15
143-27-1	1.4496	293.15
143-28-2	1.4606	293.15
14321-27-8	1.5117	293.15
1436-59-5	1.4951	293.15
14371-10-9	1.6195	293.15
144-19-4	1.4513	288.15
144-79-6	1.5742	293.15
1441-87-8	1.5812	293.15
14417-88-0	1.505	296.15
14436-32-9	1.4507	288.15
1445-45-0	1.3859	298.15
1445-73-4	1.458	298.15
1445-75-6	1.412	289.15
14452-30-3	1.622	293.15
14476-30-3	1.567	293.15
1450-14-2	1.4229	293.15
1453-24-3	1.4567	293.15
1453-58-3	1.4915	293.15
1454-84-8	1.4328	348.15
1455-20-5	1.509	293.15
1455-21-6	1.4548	293.15
1458-99-7	1.4322	293.15
1459-09-2	1.4813	293.15
1459-10-5	1.4818	293.15
1459-93-4	1.5168	293.15
14595-35-8	1.4435	293.15
14596-92-0	1.4379	293.15
146-54-3	1.578	296.15
14602-62-1	1.579	293.15
1462-03-9	1.4429	296.15
1462-12-0	1.4308	290.15
1462-84-6	1.5053	293.15
14620-52-1	1.431	298.15
14630-40-1	1.413	293.15
1464-53-5	1.435	293.15
14660-52-7	1.4543	293.15
1467-05-6	1.529	298.15
1467-79-4	1.4089	292.15
1468-39-9	1.4043	293.15
14686-13-6	1.4045	293.15
14686-14-7	1.4043	293.15
147-71-7	1.4955	293.15
1471-03-0	1.3919	293.15
14752-75-1	1.481	293.15
1476-11-5	1.4887	298.15
1484-85-1	1.562	293.15
14850-22-7	1.4135	293.15
14850-23-8	1.4114	293.15
1486-75-5	1.485	293.15
1487-18-9	1.4992	292.15
1489-57-2	1.4662	291.15
1489-69-6	1.4298	293.15
149-57-5	1.4241	293.15
149-73-5	1.3793	293.15
149-74-6	1.518	293.15
14919-01-8	1.4126	293.15
1493-27-2	1.5489	290.15
14938-35-3	1.5272	298.15
14979-39-6	1.43	293.15
1498-51-7	1.4338	293.15
150-19-6	1.551	293.15
150-46-9	1.3749	293.15
150-77-6	1.4343	293.15
150-86-7	1.4595	298.15
1501-27-5	1.4381	293.15
1501-60-6	1.446	293.15
15014-25-2	1.5447	293.15
1502-05-2	1.4926	293.15
1502-06-3	1.4806	293.15
1502-22-3	1.507	293.15
1504-58-1	1.5873	301.15
151-10-0	1.5231	293.15
151-13-3	1.4566	295.15
151-18-8	1.4396	293.15
151-19-9	1.437	293.15
151-67-7	1.3697	273.15
15111-56-5	1.4578	293.15
15121-84-3	1.5637	293.15
1515-76-0	1.469	293.15
1515-95-3	1.512	293.15
152-16-9	1.462	298.15
1520-21-4	1.625	295.15
15206-55-0	1.5268	293.15
1521-51-3	1.532	293.15
1522-22-1	1.3333	293.15
1522-46-9	1.4256	291.15
15220-85-6	1.4482	293.15
15232-76-5	1.425	293.15
1527-89-5	1.5402	293.15
1528-30-9	1.4355	293.15
1529-17-5	1.5125	293.15
1529-41-5	1.5437	293.15
1539-42-0	1.5757	298.15
1540-28-9	1.4255	293.15
1540-29-0	1.4301	293.15
1540-34-7	1.4408	292.15
15403-89-1	1.463	293.15
15501-33-4	1.489	293.15
1551-21-9	1.4932	293.15
1556-18-9	1.5447	293.15
15570-12-4	1.5874	293.15
1558-17-4	1.488	293.15
1558-24-3	1.4714	293.15
1558-25-4	1.4555	293.15
1558-31-2	1.47	293.15
1558-33-4	1.45	293.15
1559-02-0	1.4345	291.15
1559-81-5	1.5353	293.15
156-08-1	1.5515	292.15
156-43-4	1.5528	293.15
156-59-2	1.449	293.15
156-60-5	1.4454	293.15
156-87-6	1.4617	293.15
1560-06-1	1.5101	293.15
1561-10-0	1.4051	293.15
15625-89-5	1.4735	293.15
15647-08-2	1.5207	300.15
15647-11-7	1.4904	293.15
1565-81-7	1.434	293.15
1569-01-3	1.413	293.15
1569-60-4	1.4505	293.15
1569-69-3	1.4921	293.15
157-40-4	1.412	293.15
1570-45-2	1.5017	293.15
15706-73-7	1.4135	293.15
1572-52-7	1.4561	293.15
1573-17-7	1.4611	293.15
1574-33-0	1.4332	293.15
1574-41-0	1.4363	293.15
1575-61-7	1.4639	293.15
1576-95-0	1.4354	293.15
1576-96-1	1.4341	293.15
15764-04-2	1.537	293.15
1577-22-6	1.4343	293.15
15840-60-5	1.401	293.15
1585-07-5	1.5445	293.15
15869-80-4	1.4093	293.15
15869-85-9	1.4116	293.15
15869-86-0	1.4151	293.15
15869-87-1	1.4082	293.15
15869-89-3	1.4112	293.15
15869-92-8	1.4182	293.15
15869-94-0	1.4139	293.15
15870-10-7	1.4123	293.15
1589-47-5	1.407	293.15
1590-08-5	1.5535	293.15
15932-80-6	1.4869	293.15
1600-37-9	1.5313	293.15
1603-79-8	1.519	298.15
16033-71-9	1.366	293.15
1604-01-9	1.4661	289.15
1604-02-0	1.4502	298.15
1604-11-1	1.42	293.15
16066-09-4	1.3854	293.15
1609-47-8	1.396	293.15
1609-86-5	1.4061	293.15
1613-51-0	1.5067	293.15
16136-84-8	1.4055	293.15
16136-85-9	1.4054	293.15
1615-80-1	1.4204	293.15
1617-18-1	1.4105	293.15
16177-46-1	1.4563	293.15
16219-75-3	1.49	293.15
1622-32-8	1.492	293.15
1623-14-9	1.427	
16262-48-9	1.5684	293.15
1628-89-3	1.5042	293.15
1629-58-9	1.4195	293.15
1630-94-0	1.3668	293.15
16302-35-5	1.4495	293.15
1631-82-9	1.5171	293.15
1632-16-2	1.4157	293.15
1632-76-4	1.5145	293.15
1632-83-3	1.6013	280.15
1633-83-6	1.464	293.15
1634-04-4	1.3664	298.15
1634-09-9	1.5819	293.15
16369-21-4	1.4428	293.15
1638-22-8	1.5165	298.15
1638-26-2	1.4136	293.15
1639-09-4	1.4521	293.15
1640-89-7	1.4198	293.15
16409-44-2	1.4624	293.15
16409-46-4	1.4486	293.15
1641-40-3	1.5712	293.15
1647-16-1	1.4325	293.15
1647-26-3	1.4899	293.15
1649-08-7	1.36193	293.15
16491-15-9	1.4331	293.15
16520-62-0	1.5208	293.15
16529-66-1	1.422	293.15
1653-19-6	1.489	293.15
1653-30-1	1.4352	298.15
1653-40-3	1.4251	298.15
16532-02-8	1.463	298.15
1654-86-0	1.4423	293.15
1656-48-0	1.4405	293.15
16587-71-6	1.4677	293.15
1663-39-4	1.411	293.15
1663-67-8	1.4639	293.15
1666-13-3	1.743	293.15
1667-01-2	1.5175	293.15
1670-46-8	1.4906	293.15
1671-75-6	1.506	293.15
16714-68-4	1.5098	298.15
1674-10-8	1.462	293.15
1674-30-2	1.5523	293.15
1674-33-5	1.4485	293.15
1674-38-0	1.47	291.15
1674-56-2	1.4479	293.15
16746-86-4	1.4113	293.15
16747-25-4	1.4106	293.15
16747-26-5	1.4033	293.15
16747-28-7	1.4141	293.15
16747-30-1	1.4074	293.15
16747-31-2	1.4178	293.15
16747-32-3	1.4123	293.15
16747-33-4	1.4221	293.15
16747-38-9	1.4222	293.15
16747-44-7	1.4361	293.15
16747-45-8	1.4307	293.15
16747-50-5	1.4272	293.15
16751-59-0	1.4172	293.15
1678-82-6	1.4366	293.15
1678-91-7	1.433	293.15
1678-92-8	1.437	293.15
1678-93-9	1.4408	293.15
1678-98-4	1.4386	293.15
16789-46-1	1.4106	293.15
1679-06-7	1.4451	293.15
1679-09-0	1.4385	293.15
1679-47-6	1.4325	293.15
1679-49-8	1.4339	293.15
1680-51-9	1.5357	293.15
16883-48-0	1.4106	293.15
16939-57-4	1.6089	298.15
1694-31-1	1.418	293.15
16957-70-3	1.4513	293.15
1696-20-4	1.4827	293.15
17015-11-1	1.4167	293.15
17071-47-5	1.4077	294.15
1708-29-8	1.4311	293.15
17082-09-6	1.614	315.15
17082-12-1	1.6266	351.15
17094-21-2	1.416	297.15
1710-98-1	1.5364	293.15
1711-06-4	1.505	295.15
1711-07-5	1.5285	293.15
17113-33-6	1.592	293.15
1712-64-7	1.3912	289.15
1717-00-6	1.36	283.15
17176-77-1	1.5521	291.15
1719-53-5	1.4309	293.15
1719-57-9	1.436	293.15
1719-58-0	1.4141	293.15
1721-93-3	1.6095	293.15
1729-67-5	1.5127	293.15
17301-94-9	1.4123	293.15
1731-84-6	1.4214	293.15
1731-88-0	1.4405	293.15
17312-63-9	1.4273	291.15
1732-08-7	1.4309	293.15
1732-09-8	1.4341	293.15
1732-10-1	1.4367	293.15
17356-19-3	1.4751	293.15
17376-04-4	1.601	293.15
1738-36-9	1.3831	293.15
1741-83-9	1.4506	293.15
1745-81-9	1.5181	293.15
1746-11-8	1.5308	
1746-13-0	1.5223	293.15
1754-62-7	1.5766	295.15
1755-01-7	1.505	308.15
17556-48-8	1.313	298.15
1758-33-4	1.3802	293.15
1758-88-9	1.5043	293.15
17587-22-3	1.3766	293.15
1759-53-1	1.439	293.15
1759-58-6	1.4107	293.15
1759-81-5	1.4209	293.15
1760-24-3	1.4416	298.15
17679-92-4	1.4592	293.15
17696-37-6	1.5311	293.15
17699-86-4	1.4701	293.15
1772-25-4	1.466	293.15
1779-25-5	1.4506	293.15
1781-78-8	1.485	293.15
17851-27-3	1.5075	293.15
17878-44-3	1.5145	293.15
1795-15-9	1.4503	293.15
1795-16-0	1.4534	293.15
1795-17-1	1.4559	293.15
1795-18-2	1.4579	293.15
1795-20-6	1.4446	293.15
1795-21-7	1.4486	293.15
1795-26-2	1.4307	293.15
1795-48-8	1.3825	293.15
17952-11-3	1.3927	293.15
180-43-8	1.4731	
18023-33-1	1.3981	293.15
18031-40-8	1.5072	293.15
1809-05-8	1.4974	293.15
1809-10-5	1.4441	293.15
1809-19-4	1.422	293.15
1817-47-6	1.5367	293.15
1817-57-8	1.5762	293.15
18171-59-0	1.461	293.15
1818-07-1	1.4875	293.15
1820-09-3	1.4908	298.15
1821-36-9	1.561	293.15
1822-74-8	1.4837	293.15
1822-86-2	1.4988	293.15
1823-91-2	1.5095	298.15
18243-41-9	1.446	293.15
1825-31-6	1.6228	349.15
1825-62-3	1.3741	293.15
1825-82-7	1.4045	293.15
1830-54-2	1.4434	293.15
18309-32-5	1.4993	291.15
18328-90-0	1.4221	293.15
18362-97-5	1.4061	293.15
1838-73-9	1.4211	298.15
18388-45-9	1.4104	293.15
18435-45-5	1.4445	298.15
18444-79-6	1.5309	293.15
1845-30-3	1.4912	298.15
18479-51-1	1.4569	288.15
18479-57-7	1.422	298.15
18492-37-0	1.4702	293.15
18495-30-2	1.5037	290.15
1850-14-2	1.3845	293.15
1860-27-1	1.387	288.15
1864-92-2	1.5325	298.15
1866-31-5	1.53	293.15
1868-53-7	1.4685	293.15
1871-52-9	1.5035	298.15
1871-57-4	1.4753	
1871-96-1	1.4474	293.15
18720-65-5	1.433	297.15
1873-25-2	1.44	293.15
1873-88-7	1.3818	293.15
1873-92-3	1.4419	293.15
1879-09-0	1.5183	293.15
18794-84-8	1.4899	293.15
18829-56-6	1.4531	293.15
1885-38-7	1.6013	293.15
18854-56-3	1.4013	298.15
1888-71-7	1.5091	293.15
18936-17-9	1.3933	293.15
1896-62-4	1.5836	318.15
18970-44-0	1.508	293.15
1921-70-6	1.437	298.15
19269-28-4	1.4122	293.15
19317-11-4	1.4995	
1932-04-3	1.4853	298.15
19329-89-6	1.424	298.15
1937-54-8	1.4755	293.15
1937-62-8	1.4513	293.15
19398-53-9	1.4987	293.15
19398-61-9	1.5449	293.15
19398-77-7	1.419	293.15
1942-45-6	1.4248	293.15
1942-46-7	1.4331	293.15
1943-16-4	1.45	293.15
1954-28-5	1.4622	293.15
19549-79-2	1.4283	293.15
19653-33-9	1.4525	298.15
19686-73-8	1.4801	293.15
1973-22-4	1.5472	293.15
19735-89-8	1.637	
1974-04-5	1.4503	293.15
1975-78-6	1.4296	293.15
19780-66-6	1.414	293.15
19819-98-8	1.5355	293.15
1984-65-2	1.543	293.15
19889-37-3	1.425	293.15
19961-27-4	1.3872	298.15
2004-70-8	1.4301	293.15
20089-07-0	1.444	293.15
2009-83-8	1.455	293.15
2016-42-4	1.4463	293.15
2016-57-1	1.4369	293.15
20193-20-8	1.3858	298.15
2021-28-5	1.4954	293.15
20237-34-7	1.4406	293.15
2025-40-3	1.5033	
2027-17-0	1.5848	293.15
20278-89-1	1.4229	293.15
2028-63-9	1.4207	293.15
20281-83-8	1.4112	296.15
20281-86-1	1.4144	293.15
20281-91-8	1.4148	293.15
2031-67-6	1.3832	293.15
2032-35-1	1.4387	293.15
2038-03-1	1.4715	293.15
2039-82-9	1.5947	293.15
2039-85-2	1.5625	293.15
2039-86-3	1.5933	293.15
2039-87-4	1.5649	293.15
2039-88-5	1.5927	293.15
2039-93-2	1.5288	293.15
20395-25-9	1.4718	293.15
2040-95-1	1.4316	293.15
2040-96-2	1.4266	293.15
2043-61-0	1.4496	293.15
2049-67-4	1.4411	293.15
2049-80-1	1.4305	293.15
2049-94-7	1.4867	283.15
2049-95-8	1.4958	293.15
2050-08-0	1.506	293.15
2050-24-0	1.5027	293.15
2050-46-6	1.5083	298.15
2050-60-4	1.4234	293.15
2050-69-3	1.5338	322.15
2050-73-9	1.6092	373.15
2050-74-0	1.6236	373.15
2050-77-3	1.4858	293.15
2050-92-2	1.4272	293.15
2051-30-1	1.4097	293.15
2051-31-2	1.432	293.15
2051-49-2	1.4297	293.15
2051-53-8	1.5387	293.15
2051-61-8	1.6181	298.15
2051-78-7	1.4158	293.15
2051-97-0	1.5655	297.15
2052-07-5	1.6248	298.15
2052-14-4	1.5115	293.15
2052-15-5	1.429	293.15
2055-40-5	1.5289	293.15
2057-43-4	1.5076	298.15
2057-49-0	1.5616	298.15
2065-23-8	1.5155	293.15
20739-58-6	1.4556	293.15
2077-13-6	1.5168	293.15
2078-54-8	1.514	293.15
2079-95-0	1.4597	293.15
2082-59-9	1.4171	299.15
2082-81-7	1.456	293.15
2083-91-2	1.4379	297.15
2084-19-7	1.4412	293.15
2085-88-3	1.5232	293.15
20850-43-5	1.566	293.15
20893-30-5	1.5425	293.15
2100-17-6	1.4191	293.15
21020-24-6	1.4218	298.15
21020-27-9	1.4057	293.15
2103-57-3	1.5547	293.15
2104-64-5	1.5978	303.15
21040-45-9	1.5425	293.15
2108-92-1	1.4803	293.15
21087-29-6	1.5851	293.15
2109-66-2	1.4638	293.15
2110-78-3	1.4056	293.15
21129-27-1	1.4619	293.15
2113-51-1	1.662	293.15
2113-57-7	1.6411	293.15
2114-00-3	1.572	293.15
2116-65-6	1.5818	293.15
21266-88-6	1.4992	293.15
21266-90-0	1.501	293.15
21282-97-3	1.456	293.15
2131-18-2	1.4815	293.15
2136-89-2	1.5836	293.15
21370-71-8	1.4849	294.15
2141-62-0	1.4068	293.15
2142-63-4	1.5755	293.15
2142-73-6	1.5291	293.15
2146-38-5	1.4412	293.15
21548-32-3	1.5348	298.15
2155-30-8	1.4141	293.15
2155-94-4	1.401	293.15
21564-91-0	1.526	293.15
21570-35-4	1.4203	
2162-98-3	1.4586	298.15
2162-99-4	1.4572	298.15
2163-00-0	1.4555	298.15
2163-42-0	1.445	293.15
2163-48-6	1.4197	293.15
21650-65-7	1.633	293.15
2167-39-7	1.3885	293.15
2168-93-6	1.4669	293.15
2173-56-0	1.4164	293.15
2175-91-9	1.5474	293.15
2176-98-9	1.4745	293.15
2177-47-1	1.5652	293.15
2179-59-1	1.5219	293.15
2179-60-4	1.508	293.15
2182-66-3	1.403	293.15
2189-60-8	1.4845	293.15
21964-44-3	1.4382	288.15
22029-76-1	1.4969	293.15
2203-80-7	1.4059	253.15
22037-28-1	1.4958	293.15
2207-01-4	1.436	293.15
2207-03-6	1.4284	298.15
2207-04-7	1.4185	298.15
2207-27-4	1.5282	293.15
22083-74-5	1.5289	293.15
2210-28-8	1.419	293.15
22104-78-5	1.447	293.15
2211-67-8	1.4409	298.15
2211-68-9	1.419	293.15
2211-69-0	1.424	293.15
2211-70-3	1.4165	294.15
2213-23-2	1.4034	293.15
2213-32-3	1.3986	293.15
2213-43-6	1.475	293.15
22144-60-1	1.5139	293.15
2216-12-8	1.575	293.15
2216-30-0	1.4033	293.15
2216-32-2	1.4096	293.15
2216-33-3	1.404	298.15
2216-34-4	1.4039	298.15
2216-51-5	1.46	295.15
2216-52-6	1.46	293.15
2216-68-4	1.6722	293.15
2216-69-5	1.694	298.15
2216-94-6	1.552	293.15
22160-39-0	1.413	293.15
22160-40-3	1.4159	293.15
2217-07-4	1.5271	293.15
2217-41-6	1.59	293.15
2219-66-1	1.588	291.15
2219-82-1	1.5195	293.15
2221-95-6	1.5052	293.15
2223-82-7	1.4542	298.15
2230-70-8	1.4493	293.15
2233-00-3	1.4827	293.15
2234-16-4	1.564	293.15
22374-89-6	1.5152	293.15
2243-27-8	1.4255	293.15
2243-35-8	1.5036	338.15
2243-98-3	1.4306	293.15
2244-07-7	1.4293	303.15
2244-16-8	1.4989	293.15
22483-09-6	1.417	293.15
2251-65-2	1.477	293.15
22564-99-4	1.4627	
22717-57-3	1.5351	288.15
22768-19-0	1.419	293.15
2279-76-7	1.49102	301.15
2288-18-8	1.5489	293.15
2305-13-7	1.5545	298.15
2306-88-9	1.4352	293.15
23074-36-4	1.4527	293.15
2310-98-7	1.4575	293.15
2313-65-7	1.4198	291.15
2314-97-8	1.379	241.15
23144-52-7	1.4563	298.15
2315-68-6	1.5	293.15
2328-24-7	1.5237	293.15
23287-26-5	1.5354	289.15
23315-05-1	1.4798	298.15
2344-70-9	1.517	289.15
2344-80-1	1.4175	293.15
2344-83-4	1.4319	293.15
2345-26-8	1.4576	293.15
2346-00-1	1.52	293.15
2346-81-8	1.4163	293.15
2351-13-5	1.4719	298.15
23578-35-0	1.4459	293.15
2358-84-1	1.4571	298.15
23580-51-0	1.443	283.15
2362-10-9	1.4398	293.15
2365-48-2	1.4657	293.15
2366-52-1	1.3396	293.15
2367-82-0	1.4035	293.15
2370-88-9	1.387	293.15
2373-51-5	1.4963	293.15
23783-42-8	1.4453	293.15
2385-81-1	1.5219	293.15
2386-60-9	1.4559	293.15
2388-14-9	1.5238	293.15
2393-23-9	1.5462	293.15
2396-63-6	1.451	290.15
2396-65-8	1.449	293.15
2396-78-3	1.424	296.15
2396-83-0	1.4255	293.15
2396-84-1	1.4951	293.15
2398-37-0	1.5635	293.15
2402-06-4	1.3713	293.15
2403-55-6	1.4663	293.15
2404-35-5	1.4996	293.15
2408-20-0	1.4105	293.15
2408-37-9	1.447	293.15
2409-52-1	1.4377	293.15
2409-55-4	1.4969	348.15
2412-73-9	1.52	293.15
2417-90-5	1.48	293.15
2425-54-9	1.4474	293.15
2425-74-3	1.433	293.15
2425-79-8	1.4611	293.15
2426-54-2	1.4376	298.15
2431-50-7	1.4944	293.15
2432-63-5	1.4434	293.15
2436-85-3	1.6443	326.15
2436-90-0	1.4362	293.15
2437-25-4	1.4361	293.15
2437-56-1	1.434	293.15
2438-12-2	1.4831	293.15
2444-37-3	1.495	293.15
2445-76-3	1.4162	288.15
2450-71-7	1.448	293.15
24544-04-5	1.5332	293.15
24549-06-2	1.5525	293.15
2455-24-5	1.4554	298.15
2456-27-1	1.4356	293.15
2459-09-8	1.5135	293.15
2459-10-1	1.523	293.15
2459-24-7	1.6086	293.15
24622-72-8	1.4978	295.15
2463-63-0	1.4468	290.15
2473-01-0	1.4343	293.15
24734-68-7	1.5494	293.15
2476-37-1	1.5595	303.15
24800-44-0	1.444	293.15
24840-05-9	1.5843	293.15
24934-91-6	1.5244	
2495-25-2	1.448	298.15
2495-35-4	1.5143	293.15
24965-84-2	1.4483	298.15
2497-18-9	1.427	293.15
2497-21-4	1.4388	293.15
2508-29-4	1.4618	290.15
2512-81-4	1.4395	293.15
25144-05-2	1.4504	289.15
2516-34-9	1.4363	292.15
2517-43-3	1.4148	298.15
2523-37-7	1.61	339.15
2524-03-0	1.482	293.15
2524-52-9	1.5104	293.15
2524-64-3	1.55	293.15
25245-34-5	1.57	293.15
2525-16-8	1.463	293.15
2528-61-2	1.4345	291.15
2530-87-2	1.4183	298.15
2531-80-8	1.421	293.15
25312-34-9	1.4735	293.15
2532-58-3	1.4089	293.15
25346-31-0	1.4525	293.15
25346-32-1	1.4113	293.15
25346-33-2	1.4495	293.15
25354-97-6	1.4432	297.15
25394-57-4	1.5134	298.15
254-04-6	1.5869	297.15
2540-82-1	1.5541	293.15
25414-22-6	1.4468	298.15
25415-67-2	1.405	293.15
2548-87-0	1.45	293.15
2550-04-1	1.4072	293.15
2550-06-3	1.4668	293.15
2550-26-7	1.511	295.15
2550-28-9	1.4366	293.15
2550-36-9	1.4907	303.15
2553-19-7	1.5269	293.15
25542-62-5	1.4566	294.15
2555-49-9	1.508	293.15
2568-33-4	1.4452	293.15
2568-90-3	1.4072	290.15
2570-26-5	1.448	293.15
2579-22-8	1.6079	285.15
25790-55-0	1.4775	293.15
2586-89-2	1.4189	293.15
2591-86-8	1.4805	298.15
26002-80-2	1.5483	298.15
26116-12-1	1.4665	293.15
2612-46-6	1.4577	293.15
2613-65-2	1.4186	293.15
2613-66-3	1.4203	293.15
2614-88-2	1.5545	293.15
26171-83-5	1.4378	293.15
26186-02-7	1.4309	293.15
26198-63-0	1.4394	293.15
2620-50-0	1.5635	293.15
2621-46-7	1.5117	293.15
2622-08-4	1.574	301.15
2622-21-1	1.4915	293.15
2623-23-6	1.4469	293.15
2623-95-2	1.4595	297.15
2627-95-4	1.4123	293.15
2636-26-2	1.5404	305.15
2639-63-6	1.416	288.15
26438-26-6	1.5477	293.15
26438-27-7	1.5435	293.15
2648-61-5	1.5686	293.15
2652-13-3	1.398	293.15
26549-25-7	1.4201	293.15
2676-33-7	1.4124	293.15
2678-54-8	1.3643	294.15
2679-87-0	1.3802	293.15
2680-03-7	1.473	293.15
2690-08-6	1.461	293.15
2706-56-1	1.5335	298.15
271-89-6	1.5615	290.15
2719-27-9	1.4711	302.15
2725-82-8	1.5465	293.15
273-53-0	1.5594	293.15
2736-40-5	1.4234	293.15
2738-19-4	1.4106	293.15
27387-79-7	1.4321	293.15
274-07-7	1.507	293.15
274-09-9	1.5398	293.15
2741-16-4	1.4975	293.15
2758-18-1	1.4714	293.15
2759-28-6	1.543	301.15
2761-24-2	1.4059	293.15
2765-18-6	1.5923	293.15
2791-29-9	1.4382	298.15
2798-73-4	1.4818	293.15
28056-54-4	1.43	293.15
2807-30-9	1.4133	293.15
2807-54-7	1.467	298.15
2808-76-6	1.449	293.15
2809-64-5	1.5439	293.15
2809-67-8	1.4278	293.15
281-23-2	1.568	
2810-04-0	1.5248	293.15
2816-57-1	1.446	293.15
2819-48-9	1.4718	298.15
2845-89-8	1.5365	293.15
28467-92-7	1.578	293.15
2847-72-5	1.4352	293.15
285-67-6	1.4336	293.15
2855-19-8	1.4347	298.15
2859-67-8	1.5313	293.15
2859-68-9	1.5298	293.15
2859-78-1	1.5743	293.15
286-08-8	1.4564	293.15
286-20-4	1.4519	293.15
2867-05-2	1.4515	293.15
2868-37-3	1.4144	292.15
2869-34-3	1.4443	293.15
287-23-0	1.375	293.15
287-27-4	1.5102	293.15
287-92-3	1.4065	293.15
2870-04-4	1.5107	293.15
2873-74-7	1.4728	293.15
2876-53-1	1.5647	293.15
28788-62-7	1.5351	293.15
288-13-1	1.4203	
288-14-2	1.4298	290.15
288-32-4	1.4801	374.15
288-36-8	1.4854	298.15
288-39-1	1.515	298.15
288-42-6	1.4285	290.15
288-47-1	1.5969	293.15
288-99-3	1.43	298.15
2882-98-6	1.4467	293.15
2883-02-5	1.4519	293.15
2885-00-9	1.4645	293.15
289-65-6	1.4559	293.15
289-80-5	1.5218	293.15
289-95-2	1.4998	293.15
2892-18-4	1.5523	298.15
28994-41-4	1.5994	293.15
290-37-9	1.4953	334.15
290-38-0	1.5149	298.15
29003-73-4	1.442	293.15
2902-96-7	1.4379	293.15
2905-56-8	1.5227	293.15
291-64-5	1.4436	293.15
2912-62-1	1.544	293.15
29136-19-4	1.4807	293.15
2915-53-9	1.4539	293.15
2917-47-7	1.4298	293.15
2919-23-5	1.4371	293.15
292-64-8	1.4586	293.15
29204-02-2	1.4597	298.15
293-55-0	1.4666	293.15
293-96-9	1.4716	293.15
2935-44-6	1.4475	293.15
2935-90-2	1.464	293.15
2937-50-0	1.422	293.15
2941-64-2	1.482	293.15
2943-70-6	1.466	293.15
2947-61-7	1.519	293.15
295-48-7	1.4592	334.15
2955-88-6	1.4713	293.15
29606-79-9	1.4675	293.15
2961-47-9	1.4846	298.15
2969-81-5	1.4559	293.15
2978-58-7	1.4235	293.15
2979-19-3	1.4482	290.15
298-00-0	1.5367	298.15
2980-71-4	1.4241	293.15
2983-26-8	1.5044	293.15
2983-37-1	1.4123	298.15
